,close,date,high,low,market_cap,open,volume
0,3298.16,"Jun 08, 2018",3425.29,3248.59,"6,524,880",3262.44,"12,205"
1,3256.88,"Jun 07, 2018",3471.07,3243.88,"6,835,990",3418.00,"10,620"
2,3419.02,"Jun 06, 2018",3431.45,3206.39,"6,412,780",3206.39,"10,314"
3,3212.85,"Jun 05, 2018",3445.35,3083.75,"6,691,340",3345.67,"14,131"
4,3345.92,"Jun 04, 2018",3741.44,3056.10,"7,397,060",3698.53,"10,170"
5,3704.09,"Jun 03, 2018",3711.65,3309.20,"6,623,470",3311.74,"10,280"
6,3316.00,"Jun 02, 2018",3475.06,3194.58,"6,567,250",3283.63,"14,907"
7,3284.33,"Jun 01, 2018",3339.34,3080.03,"6,162,090",3081.04,"6,921"
8,3074.41,"May 31, 2018",3281.17,2915.52,"6,253,100",3126.55,"16,387"
9,3129.56,"May 30, 2018",3297.71,2929.36,"6,385,870",3192.94,"16,730"
10,3190.98,"May 29, 2018",3238.02,2589.74,"6,147,520",3073.76,"30,736"
11,3082.67,"May 28, 2018",3548.06,2982.36,"7,063,550",3531.77,"13,403"
12,3366.51,"May 27, 2018",3639.19,3302.40,"7,270,370",3635.19,"15,444"
13,3628.19,"May 26, 2018",3753.53,3500.24,"7,136,790",3568.40,"14,043"
14,3567.88,"May 25, 2018",3757.79,3361.29,"7,423,270",3711.64,"22,715"
15,3707.61,"May 24, 2018",3771.53,3205.02,"7,303,610",3651.81,"10,858"
16,3668.30,"May 23, 2018",3991.72,3482.77,"7,915,580",3957.79,"35,160"
17,3965.67,"May 22, 2018",4550.85,3648.20,"7,598,550",3799.28,"164,175"
18,3807.30,"May 21, 2018",3885.46,3623.23,"7,765,330",3882.66,"4,048"
19,3877.64,"May 20, 2018",3942.40,3653.15,"7,377,160",3688.58,"6,337"
20,3685.50,"May 19, 2018",3935.91,3664.09,"7,626,980",3813.49,"6,850"
21,3813.44,"May 18, 2018",4043.42,3477.10,"8,002,620",4001.31,"27,103"
22,4005.28,"May 17, 2018",4375.58,3797.66,"8,693,080",4346.54,"11,722"
23,4341.39,"May 16, 2018",4382.01,3609.21,"7,983,350",3991.68,"18,233"
24,4370.40,"May 15, 2018",4620.71,3933.30,"9,143,560",4571.78,"30,696"
25,4578.14,"May 14, 2018",4658.30,3722.78,"8,395,750",4197.88,"31,117"
26,4199.62,"May 13, 2018",4264.02,3293.98,"6,695,230",3347.61,"65,211"
27,3354.33,"May 12, 2018",3601.41,2880.39,"7,104,560",3552.28,"60,476"
28,3558.64,"May 11, 2018",4270.15,3452.72,"8,426,010",4213.01,"45,901"
29,4209.95,"May 10, 2018",5691.82,4205.24,"10,667,400",5333.69,"141,476"
30,5418.20,"May 09, 2018",5418.20,5140.84,"10,718,200",5359.10,113
31,6289.26,"May 08, 2018",6414.04,6109.60,"12,222,600",6111.32,232
32,6071.71,"May 07, 2018",6337.47,5691.98,"12,544,600",6272.29,337
33,6077.41,"May 05, 2018",6745.70,5923.09,"12,988,500",6494.27,155
34,6487.12,"May 04, 2018",6661.13,5492.12,"12,899,400",6449.69,"5,278"
35,6470.67,"May 03, 2018",6510.55,5204.32,"11,820,400",5910.22,"12,806"
36,5910.77,"May 02, 2018",5934.85,4148.56,"9,384,580",4692.29,"73,246"
37,4705.89,"May 01, 2018",4858.98,3814.70,"9,159,990",4580.00,"179,772"
38,4565.01,"Apr 30, 2018",4571.74,3372.70,"6,891,630",3445.82,"79,346"
39,3445.42,"Apr 29, 2018",3812.39,3202.54,"6,944,610",3472.30,"43,851"
40,3471.91,"Apr 28, 2018",3494.67,3073.65,"6,163,550",3081.77,"5,252"
41,3108.47,"Apr 27, 2018",3397.62,2961.02,"5,970,760",2985.38,"2,238"
42,2980.20,"Apr 26, 2018",3278.14,2712.64,"5,558,850",2779.42,"16,170"
43,2752.43,"Apr 25, 2018",3597.66,2752.43,"7,195,320",3597.66,"6,325"
44,3598.91,"Apr 24, 2018",3821.28,3052.84,"6,628,990",3314.50,"29,612"
45,3314.40,"Apr 23, 2018",3314.40,2808.43,"6,359,120",3179.56,"6,833"
46,3191.39,"Apr 22, 2018",3300.36,2458.13,"5,675,060",2837.53,"11,495"
