,close,date,high,low,market_cap,open,volume
0,0.061436,"Jun 08, 2018",0.066931,0.061185,"2,308,650",0.062372,"137,234"
1,0.062323,"Jun 07, 2018",0.068070,0.061002,"2,511,970",0.067865,"365,052"
2,0.067850,"Jun 06, 2018",0.067960,0.064369,"2,411,830",0.065159,"110,536"
3,0.065237,"Jun 05, 2018",0.068270,0.064775,"2,435,390",0.065796,"221,299"
4,0.065793,"Jun 04, 2018",0.072317,0.063723,"2,666,770",0.072047,"138,463"
5,0.071984,"Jun 03, 2018",0.074874,0.070579,"2,614,140",0.070625,"233,320"
6,0.070696,"Jun 02, 2018",0.074164,0.065278,"2,426,130",0.065546,"426,831"
7,0.065560,"Jun 01, 2018",0.070350,0.063097,"2,512,620",0.067882,"342,631"
8,0.067805,"May 31, 2018",0.070319,0.063675,"2,360,420",0.063943,"165,255"
9,0.063930,"May 30, 2018",0.065196,0.057074,"2,129,930",0.057699,"224,296"
10,0.057660,"May 29, 2018",0.075531,0.050231,"1,923,930",0.052119,"301,667"
11,0.052176,"May 28, 2018",0.056846,0.051823,"2,098,420",0.056846,"119,647"
12,0.056843,"May 27, 2018",0.059339,0.054312,"2,103,150",0.056974,"144,689"
13,0.056931,"May 26, 2018",0.061269,0.056461,"2,098,820",0.056856,"96,475"
14,0.057012,"May 25, 2018",0.059200,0.056314,"2,160,270",0.058521,"118,140"
15,0.058463,"May 24, 2018",0.059049,0.053878,"2,078,550",0.056307,"85,613"
16,0.056440,"May 23, 2018",0.062660,0.055805,"2,298,640",0.062270,"172,392"
17,0.062338,"May 22, 2018",0.065435,0.062095,"2,394,490",0.064866,"178,126"
18,0.064914,"May 21, 2018",0.065468,0.063072,"2,408,520",0.065246,"160,769"
19,0.065166,"May 20, 2018",0.066774,0.062973,"2,355,630",0.063813,"168,047"
20,0.063777,"May 19, 2018",0.067637,0.063403,"2,490,920",0.067478,"187,410"
21,0.067473,"May 18, 2018",0.068227,0.061746,"2,306,840",0.062492,"185,285"
22,0.062546,"May 17, 2018",0.072907,0.061921,"2,655,100",0.071926,"196,982"
23,0.071881,"May 16, 2018",0.074366,0.068624,"2,741,650",0.074271,"200,468"
