,close,date,high,low,market_cap,open,volume
0,0.007790,"Jun 08, 2018",0.007803,0.007085,-,0.007480,"144,547"
1,0.007473,"Jun 07, 2018",0.007613,0.007082,-,0.007314,"166,297"
2,0.007311,"Jun 06, 2018",0.007859,0.007033,-,0.007616,"154,588"
3,0.007619,"Jun 05, 2018",0.007738,0.006822,-,0.006900,"120,449"
4,0.006897,"Jun 04, 2018",0.007060,0.006659,-,0.006678,"124,600"
5,0.006921,"Jun 03, 2018",0.007218,0.006701,-,0.006922,"77,629"
6,0.006920,"Jun 02, 2018",0.007223,0.006575,-,0.006960,"135,805"
7,0.006971,"Jun 01, 2018",0.007191,0.006698,-,0.006871,"159,392"
8,0.006864,"May 31, 2018",0.008037,0.006813,-,0.007582,"210,375"
9,0.007581,"May 30, 2018",0.008040,0.007319,-,0.007903,"242,579"
10,0.007904,"May 29, 2018",0.007918,0.006601,-,0.006786,"288,256"
11,0.006788,"May 28, 2018",0.007024,0.006423,-,0.006937,"159,918"
12,0.006937,"May 27, 2018",0.007136,0.006666,-,0.006920,"156,068"
13,0.006917,"May 26, 2018",0.007065,0.006759,-,0.006880,"140,064"
14,0.006885,"May 25, 2018",0.006885,0.006211,-,0.006390,"175,104"
15,0.006355,"May 24, 2018",0.007014,0.006348,-,0.006774,"299,716"
16,0.006783,"May 23, 2018",0.007418,0.006164,-,0.007263,"180,316"
17,0.007284,"May 22, 2018",0.008329,0.007139,-,0.007607,"215,582"
18,0.007607,"May 21, 2018",0.008626,0.007521,-,0.008486,"198,555"
19,0.008479,"May 20, 2018",0.008761,0.008388,-,0.008609,"105,509"
20,0.008602,"May 19, 2018",0.008774,0.008269,-,0.008311,"116,267"
21,0.008312,"May 18, 2018",0.008594,0.007927,-,0.008253,"100,948"
22,0.008248,"May 17, 2018",0.009478,0.008216,-,0.009395,"135,625"
23,0.009396,"May 16, 2018",0.009811,0.008522,-,0.009450,"106,027"
24,0.009459,"May 15, 2018",0.011010,0.009024,-,0.010583,"196,704"
25,0.010603,"May 14, 2018",0.010982,0.007943,-,0.009069,"204,423"
26,0.009071,"May 13, 2018",0.009948,0.008665,-,0.009212,"147,175"
27,0.009215,"May 12, 2018",0.009555,0.008451,-,0.009259,"188,176"
28,0.009285,"May 11, 2018",0.010683,0.009022,-,0.010259,"193,171"
29,0.010250,"May 10, 2018",0.013118,0.009937,-,0.010315,"188,121"
30,0.010302,"May 09, 2018",0.011741,0.010276,-,0.011737,"287,256"
31,0.011763,"May 08, 2018",0.011883,0.010950,-,0.011530,"206,159"
32,0.011505,"May 07, 2018",0.012344,0.010448,-,0.012338,"173,302"
33,0.012334,"May 06, 2018",0.013171,0.011607,-,0.013048,"216,558"
34,0.013042,"May 05, 2018",0.013272,0.012143,-,0.012716,"237,787"
35,0.012723,"May 04, 2018",0.013512,0.012254,-,0.013512,"189,340"
36,0.013543,"May 03, 2018",0.014130,0.010878,-,0.013581,"307,250"
37,0.013602,"May 02, 2018",0.014455,0.013234,-,0.013300,"277,667"
38,0.013310,"May 01, 2018",0.014504,0.012526,-,0.014338,"394,654"
39,0.014337,"Apr 30, 2018",0.014831,0.013424,-,0.014171,"345,149"
40,0.014176,"Apr 29, 2018",0.018080,0.012711,-,0.012781,"462,574"
41,0.012786,"Apr 28, 2018",0.012792,0.011253,-,0.011561,"337,482"
42,0.011593,"Apr 27, 2018",0.012203,0.010974,-,0.011505,"393,462"
43,0.011493,"Apr 26, 2018",0.011501,0.010073,-,0.010319,"357,032"
44,0.010235,"Apr 25, 2018",0.011235,0.009924,-,0.010358,"351,820"
45,0.010421,"Apr 24, 2018",0.010568,0.009555,-,0.009582,"427,800"
46,0.009575,"Apr 23, 2018",0.011923,0.009450,-,0.011478,"506,342"
47,0.011263,"Apr 22, 2018",0.011612,0.010411,-,0.011085,"240,977"
48,0.011068,"Apr 21, 2018",0.011144,0.009944,-,0.010897,"264,302"
49,0.010898,"Apr 20, 2018",0.011015,0.009809,-,0.010093,"152,115"
50,0.010087,"Apr 19, 2018",0.010468,0.009284,-,0.010305,"224,480"
51,0.010299,"Apr 18, 2018",0.010374,0.009256,-,0.010031,"246,544"
52,0.010022,"Apr 17, 2018",0.010448,0.009718,-,0.010046,"230,786"
53,0.010040,"Apr 16, 2018",0.010695,0.009442,-,0.009627,"349,036"
54,0.009626,"Apr 15, 2018",0.010476,0.009275,-,0.010368,"195,940"
