,close,date,high,low,market_cap,open,volume
0,0.100111,"Jun 08, 2018",0.103928,0.099308,"173,553",0.103714,"1,947"
1,0.103635,"Jun 07, 2018",0.107854,0.103286,"174,253",0.104132,895
2,0.104036,"Jun 06, 2018",0.108879,0.101940,"179,246",0.107116,487
3,0.107145,"Jun 05, 2018",0.109413,0.099320,"178,019",0.106383,328
4,0.106332,"Jun 04, 2018",0.126136,0.106164,"185,888",0.111085,"1,906"
5,0.111034,"Jun 03, 2018",0.113011,0.108898,"186,658",0.111545,169
6,0.111515,"Jun 02, 2018",0.121632,0.099771,"199,616",0.119289,981
7,0.119340,"Jun 01, 2018",0.122377,0.116881,"201,961",0.120690,127
8,0.120602,"May 31, 2018",0.123567,0.116812,"196,429",0.117384,159
9,0.117406,"May 30, 2018",0.140097,0.116491,"207,478",0.123987,81
10,0.123904,"May 29, 2018",0.140009,0.121836,"212,629",0.127065,232
11,0.127107,"May 28, 2018",0.134367,0.126721,"220,390",0.131703,160
12,0.142908,"May 27, 2018",0.148333,0.130254,"232,109",0.138706,"1,074"
13,0.138645,"May 26, 2018",0.187954,0.131038,"223,692",0.133676,"9,858"
14,0.133852,"May 25, 2018",0.169249,0.118836,"216,028",0.129096,"6,560"
15,0.128854,"May 24, 2018",0.129746,0.116640,"201,707",0.120538,288
16,0.120843,"May 23, 2018",0.128668,0.119768,"214,687",0.128295,216
17,0.128428,"May 22, 2018",0.141074,0.127705,"225,812",0.134943,558
18,0.134967,"May 21, 2018",0.143618,0.134730,"229,456",0.137121,860
19,0.136950,"May 20, 2018",0.143589,0.132306,"227,111",0.135720,940
20,0.135618,"May 19, 2018",0.138065,0.132038,"221,142",0.132153,324
21,0.132173,"May 18, 2018",0.140807,0.129425,"228,719",0.136681,371
22,0.136561,"May 17, 2018",0.148147,0.135858,"246,011",0.147014,184
23,0.146925,"May 16, 2018",0.185915,0.137320,"272,368",0.162765,"1,023"
24,0.162858,"May 15, 2018",0.162988,0.131855,"225,139",0.134541,"3,557"
25,0.134772,"May 14, 2018",0.146401,0.131686,"233,838",0.139740,406
26,0.139765,"May 13, 2018",0.141938,0.122837,"233,943",0.139802,718
27,0.139851,"May 12, 2018",0.154573,0.112513,"225,048",0.134487,"3,961"
28,0.134883,"May 11, 2018",0.146878,0.134807,"242,286",0.144788,278
29,0.144615,"May 10, 2018",0.152606,0.144475,"253,267",0.151350,391
30,0.151393,"May 09, 2018",0.180645,0.146128,"250,143",0.149483,"2,063"
31,0.149712,"May 08, 2018",0.158231,0.147607,"258,470",0.154460,466
32,0.154133,"May 07, 2018",0.155518,0.148354,"258,363",0.154396,127
33,0.154285,"May 06, 2018",0.161661,0.151395,"263,319",0.157357,694
34,0.157251,"May 05, 2018",0.169398,0.156559,"273,136",0.163224,766
35,0.163204,"May 04, 2018",0.196159,0.154318,"326,231",0.194953,"3,583"
36,0.195029,"May 03, 2018",0.197796,0.174418,"311,322",0.186043,454
37,0.186037,"May 02, 2018",0.186757,0.164399,"277,093",0.165589,"4,026"
38,0.171751,"May 01, 2018",0.185050,0.153760,"263,497",0.157464,"2,625"
39,0.157326,"Apr 30, 2018",0.190761,0.149653,"251,718",0.150424,"1,288"
40,0.150474,"Apr 29, 2018",0.163620,0.148099,"250,216",0.149527,146
41,0.149586,"Apr 28, 2018",0.157009,0.142284,"238,708",0.142650,248
42,0.144035,"Apr 27, 2018",0.173484,0.144035,"290,305",0.173484,972
43,0.173244,"Apr 26, 2018",0.173631,0.148401,"260,287",0.155545,648
44,0.154267,"Apr 25, 2018",0.174142,0.154051,"290,328",0.173498,84
45,0.174685,"Apr 24, 2018",0.185918,0.148533,"248,665",0.148600,"1,477"
46,0.148474,"Apr 23, 2018",0.178749,0.145382,"243,484",0.145504,"1,657"
47,0.145798,"Apr 22, 2018",0.178568,0.145048,"263,998",0.157763,"1,634"
48,0.157763,"Apr 21, 2018",0.177136,0.140103,"277,127",0.165609,"2,409"
49,0.165552,"Apr 20, 2018",0.168125,0.111948,"193,025",0.115350,"1,775"
50,0.115274,"Apr 19, 2018",0.125845,0.110061,"208,893",0.124833,331
51,0.124740,"Apr 18, 2018",0.125466,0.103491,"173,357",0.103597,"1,589"
52,0.103501,"Apr 17, 2018",0.122890,0.103465,"205,416",0.122755,448
53,0.122693,"Apr 16, 2018",0.122746,0.103645,"182,800",0.109240,800
54,0.109286,"Apr 15, 2018",0.118312,0.105497,"180,887",0.108097,419
55,0.107981,"Apr 14, 2018",0.113100,0.094175,"180,353",0.107777,"2,254"
56,0.107777,"Apr 13, 2018",0.118699,0.098512,"178,880",0.106897,"1,560"
57,0.106762,"Apr 12, 2018",0.106762,0.087095,"152,971",0.091414,"2,987"
58,0.091636,"Apr 11, 2018",0.097444,0.086436,"153,973",0.092013,323
59,0.091925,"Apr 10, 2018",0.096706,0.081783,"136,998",0.081869,424
60,0.081802,"Apr 09, 2018",0.103365,0.078558,"153,296",0.091608,579
61,0.091460,"Apr 08, 2018",0.098566,0.088150,"155,626",0.093001,482
62,0.098366,"Apr 07, 2018",0.104338,0.084725,"155,120",0.092699,362
63,0.092588,"Apr 06, 2018",0.094139,0.083553,"142,310",0.085043,189
64,0.085479,"Apr 05, 2018",0.102361,0.084154,"150,476",0.089923,206
65,0.089885,"Apr 04, 2018",0.101159,0.080122,"169,278",0.101159,453
66,0.101229,"Apr 03, 2018",0.110860,0.095068,"159,599",0.095375,667
67,0.095308,"Apr 02, 2018",0.102561,0.087676,"147,675",0.088249,478
68,0.087817,"Apr 01, 2018",0.100440,0.085117,"165,710",0.099027,536
69,0.099030,"Mar 31, 2018",0.111836,0.087123,"171,389",0.102421,"5,750"
70,0.102405,"Mar 30, 2018",0.102405,0.060670,"117,946",0.070484,"3,131"
71,0.070872,"Mar 29, 2018",0.086244,0.065501,"132,887",0.079412,214
72,0.079320,"Mar 28, 2018",0.088675,0.078976,"143,333",0.085655,713
73,0.085674,"Mar 27, 2018",0.102113,0.085028,"170,875",0.102113,"1,995"
74,0.102268,"Mar 26, 2018",0.104185,0.092082,"171,314",0.102376,774
75,0.102454,"Mar 25, 2018",0.109296,0.101101,"177,719",0.106203,211
76,0.107686,"Mar 24, 2018",0.115245,0.104579,"189,246",0.113092,677
77,0.110063,"Mar 23, 2018",0.110174,0.100488,"178,805",0.106852,442
78,0.106855,"Mar 22, 2018",0.117226,0.102914,"182,944",0.109326,"1,302"
79,0.109526,"Mar 21, 2018",0.118763,0.108960,"182,678",0.109167,629
80,0.108970,"Mar 20, 2018",0.118824,0.102076,"191,919",0.114689,860
81,0.113424,"Mar 19, 2018",0.237980,0.101302,"390,151",0.233151,"1,018"
82,0.230807,"Mar 18, 2018",0.277212,0.105155,"181,031",0.108183,"1,852"
83,0.105776,"Mar 17, 2018",0.151813,0.096237,"253,500",0.151490,"3,323"
84,0.151321,"Mar 16, 2018",0.229871,0.136512,"358,156",0.214031,"2,289"
85,0.214152,"Mar 15, 2018",0.495655,0.145220,"524,691",0.313551,"1,024"
86,0.313692,"Mar 14, 2018",0.348826,0.108048,"209,488",0.125188,370
87,0.125171,"Mar 13, 2018",0.240418,0.109730,"402,133",0.240311,"3,229"
88,0.241699,"Mar 12, 2018",0.304620,0.109659,"190,516",0.113851,"1,977"
89,0.114211,"Mar 11, 2018",0.363915,0.112995,"366,249",0.218867,"2,452"
90,0.219625,"Mar 10, 2018",0.232465,0.105412,"221,089",0.132121,"2,659"
91,0.132064,"Mar 09, 2018",0.270041,0.096167,"446,720",0.266956,"2,918"
92,0.268657,"Mar 08, 2018",0.326828,0.155320,"263,440",0.157430,"2,289"
93,0.157653,"Mar 07, 2018",0.184706,0.137415,"305,647",0.182652,"4,310"
94,0.182889,"Mar 06, 2018",0.247404,0.162669,"393,474",0.235137,"9,060"
95,0.235788,"Mar 05, 2018",0.693483,0.235788,"1,160,460",0.693483,"15,384"
96,0.693991,"Mar 04, 2018",0.693991,0.209535,"356,199",0.212861,"3,188"
97,0.212680,"Mar 03, 2018",0.241020,0.210843,"403,320",0.241020,"150,062"
98,0.241017,"Mar 02, 2018",0.439020,0.216598,"721,268",0.431024,"165,922"
99,0.436999,"Mar 01, 2018",1.90,0.421182,"1,775,140",1.06,"120,813"
100,1.06,"Feb 28, 2018",3.25,0.242463,"411,963",0.246186,"108,148"
101,0.250309,"Feb 27, 2018",0.301757,0.237491,"418,245",0.249940,"46,579"
102,0.249219,"Feb 26, 2018",0.269289,0.241027,"416,556",0.248931,"21,147"
103,0.248612,"Feb 25, 2018",0.277043,0.232502,"419,619",0.250761,"18,430"
104,0.251131,"Feb 24, 2018",0.293558,0.243164,"434,754",0.259806,"20,658"
105,0.260134,"Feb 23, 2018",0.291222,0.246386,"432,442",0.258424,"21,854"
106,0.258666,"Feb 22, 2018",0.308056,0.249329,"491,252",0.293568,"30,389"
107,0.293867,"Feb 21, 2018",0.355131,0.277595,"551,462",0.329549,"52,621"
108,0.329959,"Feb 20, 2018",0.370955,0.297437,"606,671",0.362542,"189,008"
109,0.365939,"Feb 19, 2018",0.516510,0.356633,"737,840",0.440927,"77,015"
110,0.449701,"Feb 18, 2018",0.545691,0.398643,"871,225",0.520637,"175,059"
111,0.521055,"Feb 17, 2018",1.73,0.488704,"2,895,020",1.73,"742,262"
112,1.73,"Feb 16, 2018",2.51,0.971386,"1,773,780",1.06,"17,680"
113,1.06,"Feb 15, 2018",1.12,0.967726,"1,820,140",1.09,"39,069"
114,1.09,"Feb 14, 2018",1.84,0.872257,"1,459,620",0.872257,"99,831"
115,0.874865,"Feb 13, 2018",0.932542,0.868525,"1,553,430",0.928318,"7,615"
116,0.926632,"Feb 12, 2018",0.967453,0.892629,"1,493,710",0.892629,"16,291"
117,0.886850,"Feb 11, 2018",0.947871,0.856120,"1,586,150",0.947871,"5,755"
118,0.948689,"Feb 10, 2018",1.17,0.908007,"1,732,720",1.04,"61,851"
119,1.02,"Feb 09, 2018",1.10,0.944338,"1,783,560",1.07,"47,266"
120,1.06,"Feb 08, 2018",1.08,0.817596,"1,368,150",0.817596,"34,659"
121,0.820879,"Feb 07, 2018",0.967037,0.672131,"1,203,430",0.719160,"43,042"
122,0.726432,"Feb 06, 2018",0.733133,0.541303,"1,057,910",0.632199,"15,439"
123,0.622291,"Feb 05, 2018",0.926471,0.595214,"1,550,340",0.926471,"37,432"
124,0.935544,"Feb 04, 2018",1.80,0.905999,"2,950,030",1.76,"26,673"
125,1.75,"Feb 03, 2018",3.80,0.887834,"1,687,810",1.01,"32,182"
126,1.01,"Feb 02, 2018",1.05,0.822705,"1,759,870",1.05,"30,911"
127,1.05,"Feb 01, 2018",1.29,0.995926,"2,112,420",1.26,"16,134"
128,1.26,"Jan 31, 2018",1.40,1.20,"2,079,060",1.24,"36,397"
129,1.26,"Jan 30, 2018",1.64,1.25,"2,742,690",1.64,"39,262"
130,1.64,"Jan 29, 2018",1.72,1.57,"2,844,110",1.70,"31,983"
131,1.70,"Jan 28, 2018",1.76,1.57,"2,753,560",1.65,"91,826"
132,1.64,"Jan 27, 2018",1.68,1.53,"2,604,380",1.56,"14,957"
133,1.56,"Jan 26, 2018",1.67,1.46,"2,664,620",1.59,"43,727"
134,1.60,"Jan 25, 2018",1.77,1.54,"2,902,960",1.73,"77,026"
135,1.71,"Jan 24, 2018",1.79,1.61,"2,859,450",1.71,"32,706"
136,1.71,"Jan 23, 2018",1.82,1.57,"2,931,630",1.75,"23,083"
137,1.75,"Jan 22, 2018",2.83,1.61,"4,402,160",2.63,"136,227"
138,2.61,"Jan 21, 2018",3.07,2.14,"4,631,640",2.77,"157,291"
139,2.79,"Jan 20, 2018",3.14,1.84,"3,269,390",1.95,"197,087"
140,1.93,"Jan 19, 2018",2.02,1.74,"3,029,880",1.81,"117,813"
141,1.83,"Jan 18, 2018",2.09,1.71,"2,885,350",1.72,"90,531"
142,1.71,"Jan 17, 2018",1.81,1.37,"2,890,190",1.73,"71,537"
143,1.69,"Jan 16, 2018",2.45,1.49,"4,103,050",2.45,"253,211"
144,2.45,"Jan 15, 2018",2.94,2.45,"4,816,490",2.88,"267,902"
145,2.85,"Jan 14, 2018",3.27,2.59,"4,841,670",2.89,"499,741"
146,2.89,"Jan 13, 2018",3.26,2.65,"4,510,190",2.70,"720,185"
147,2.70,"Jan 12, 2018",3.23,1.89,"3,385,120",2.02,"1,993,450"
148,2.01,"Jan 11, 2018",2.45,1.97,"3,923,720",2.34,"361,569"
149,2.35,"Jan 10, 2018",2.58,2.12,"4,284,290",2.56,"217,586"
150,2.51,"Jan 09, 2018",2.71,2.31,"4,204,050",2.51,"545,698"
151,2.52,"Jan 08, 2018",2.63,2.20,"4,109,680",2.46,"470,995"
152,2.46,"Jan 07, 2018",2.93,2.39,"4,524,830",2.70,"816,907"
153,2.71,"Jan 06, 2018",3.24,2.59,"4,398,600",2.63,"942,363"
154,2.57,"Jan 05, 2018",3.81,1.99,"3,621,680",2.16,"3,081,340"
155,2.19,"Jan 04, 2018",2.19,1.89,"3,432,310",2.05,"230,549"
