,close,date,high,low,market_cap,open,volume
0,0.326886,"Jun 08, 2018",0.369396,0.318842,"1,217,630",0.351859,"6,046"
1,0.351592,"Jun 07, 2018",0.379178,0.350100,"1,206,680",0.350450,"3,220"
2,0.350128,"Jun 06, 2018",0.371872,0.343512,"1,195,390",0.348565,"5,246"
3,0.348658,"Jun 05, 2018",0.372640,0.343502,"1,230,500",0.360261,"3,844"
4,0.360088,"Jun 04, 2018",0.400162,0.346994,"1,342,770",0.394773,"8,143"
5,0.394127,"Jun 03, 2018",0.423714,0.385597,"1,350,680",0.398692,"6,130"
6,0.396981,"Jun 02, 2018",0.423833,0.375617,"1,320,850",0.391691,"7,111"
7,0.391861,"Jun 01, 2018",0.409623,0.343960,"1,157,100",0.344690,"9,514"
8,0.344439,"May 31, 2018",0.377980,0.333615,"1,125,290",0.337019,"5,503"
9,0.337082,"May 30, 2018",0.360672,0.324798,"1,108,500",0.333518,"5,701"
10,0.335905,"May 29, 2018",0.361839,0.321945,"1,147,050",0.346600,"10,389"
11,0.346713,"May 28, 2018",0.356858,0.330185,"1,140,550",0.346115,"10,078"
12,0.346034,"May 27, 2018",0.380871,0.340284,"1,131,720",0.344896,"7,520"
13,0.344743,"May 26, 2018",0.389614,0.344058,"1,168,790",0.357715,"7,014"
14,0.358184,"May 25, 2018",0.379297,0.348080,"1,156,250",0.355450,"5,514"
15,0.354783,"May 24, 2018",0.377907,0.339805,"1,140,410",0.352215,"6,318"
16,0.353106,"May 23, 2018",0.380063,0.349376,"1,221,520",0.378883,"5,535"
17,0.379276,"May 22, 2018",0.403650,0.375475,"1,285,550",0.400541,"9,069"
18,0.400614,"May 21, 2018",0.453304,0.387818,"1,366,950",0.427735,"7,334"
19,0.403184,"May 20, 2018",0.426471,0.377560,"1,206,890",0.379537,"6,553"
20,0.379254,"May 19, 2018",0.392759,0.376417,"1,222,300",0.386242,"5,822"
21,0.386300,"May 18, 2018",0.434947,0.374553,"1,201,570",0.381688,"7,233"
22,0.380304,"May 17, 2018",0.451535,0.371453,"1,260,980",0.402474,"9,834"
23,0.402228,"May 16, 2018",0.421271,0.372613,"1,279,130",0.410221,"9,239"
24,0.410627,"May 15, 2018",0.478091,0.408607,"1,362,480",0.439015,"9,924"
25,0.439769,"May 14, 2018",0.491823,0.439469,"1,513,300",0.489872,"7,070"
26,0.489960,"May 13, 2018",0.542152,0.457248,"1,656,020",0.538547,"9,054"
27,0.538734,"May 12, 2018",0.549075,0.434618,"1,442,940",0.471543,"12,516"
28,0.472933,"May 11, 2018",0.570584,0.423114,"1,365,730",0.449005,"13,517"
29,0.448469,"May 10, 2018",0.590462,0.447483,"1,690,420",0.558831,"10,835"
30,0.558988,"May 09, 2018",0.606619,0.539655,"1,744,430",0.579535,"8,045"
31,0.580422,"May 08, 2018",0.634110,0.568899,"1,848,640",0.617090,"6,718"
32,0.615783,"May 07, 2018",0.653168,0.611816,"1,898,420",0.637002,"7,891"
33,0.636546,"May 06, 2018",0.665181,0.623994,"1,952,980",0.658717,"10,550"
34,0.658665,"May 05, 2018",0.699813,0.636470,"1,908,580",0.648049,"14,502"
35,0.648356,"May 04, 2018",0.774061,0.637639,"2,268,100",0.774061,"21,083"
36,0.774363,"May 03, 2018",0.806918,0.727869,"2,126,130",0.729791,"19,437"
37,0.729765,"May 02, 2018",0.777124,0.712489,"2,128,550",0.734748,"15,923"
38,0.735856,"May 01, 2018",0.779574,0.724869,"2,224,580",0.772440,"11,753"
39,0.771765,"Apr 30, 2018",0.833111,0.767742,"2,277,100",0.794616,"15,925"
40,0.794881,"Apr 29, 2018",0.848820,0.770097,"2,223,710",0.779878,"18,015"
41,0.780089,"Apr 28, 2018",0.787590,0.732585,"2,084,260",0.734468,"12,080"
42,0.737354,"Apr 27, 2018",0.882712,0.737354,"2,126,560",0.753066,"15,296"
43,0.752025,"Apr 26, 2018",0.813228,0.714196,"2,120,330",0.754594,"17,649"
44,0.748479,"Apr 25, 2018",0.890145,0.747519,"2,470,990",0.883685,"16,401"
45,0.888851,"Apr 24, 2018",0.913640,0.806383,"2,468,570",0.887407,"22,785"
46,0.886652,"Apr 23, 2018",0.921912,0.841554,"2,333,390",0.843168,"16,664"
47,0.844872,"Apr 22, 2018",0.868628,0.739991,"2,351,290",0.853812,"20,573"
48,0.853812,"Apr 21, 2018",1.19,0.804535,"2,778,200",1.01,"22,383"
49,1.01,"Apr 20, 2018",1.16,0.832928,"2,352,110",0.862768,"32,657"
50,0.878315,"Apr 19, 2018",0.907680,0.679868,"1,948,680",0.718461,"32,755"
51,0.717847,"Apr 18, 2018",0.719180,0.473517,"1,279,230",0.474003,"37,091"
52,0.473801,"Apr 17, 2018",0.526207,0.453749,"1,346,520",0.501483,"18,127"
53,0.501231,"Apr 16, 2018",0.525827,0.487918,"1,383,200",0.517741,"8,201"
54,0.517960,"Apr 15, 2018",0.524880,0.493436,"1,311,700",0.493436,"9,921"
55,0.492908,"Apr 14, 2018",0.564353,0.490435,"1,427,420",0.538887,"14,457"
56,0.527166,"Apr 13, 2018",0.564201,0.498705,"1,449,480",0.550164,"19,341"
57,0.541957,"Apr 12, 2018",0.607957,0.512321,"1,465,130",0.559323,"10,664"
58,0.560676,"Apr 11, 2018",0.629488,0.480465,"1,588,780",0.609323,"19,634"
59,0.608736,"Apr 10, 2018",0.638155,0.547323,"1,620,680",0.624798,"15,608"
60,0.624288,"Apr 09, 2018",0.832870,0.615466,"2,111,320",0.818294,"24,147"
61,0.816970,"Apr 08, 2018",0.887176,0.787599,"2,124,170",0.827617,"11,520"
62,0.827076,"Apr 07, 2018",0.870368,0.806604,"2,062,480",0.807803,"11,454"
63,0.806839,"Apr 06, 2018",0.856020,0.790526,"2,159,860",0.850434,"10,485"
64,0.854790,"Apr 05, 2018",0.921905,0.840816,"2,297,340",0.910099,"19,008"
65,0.909718,"Apr 04, 2018",1.02,0.880927,"2,502,030",0.997799,"17,544"
66,0.998488,"Apr 03, 2018",1.03,0.892153,"2,234,230",0.894187,"19,912"
67,0.893552,"Apr 02, 2018",0.983038,0.883985,"2,248,370",0.904745,"13,218"
68,0.900315,"Apr 01, 2018",0.954448,0.849237,"2,301,250",0.931086,"12,266"
69,0.931114,"Mar 31, 2018",0.982170,0.874178,"2,235,160",0.909343,"12,378"
70,0.909204,"Mar 30, 2018",0.925276,0.839576,"2,173,830",0.889297,"13,893"
71,0.891513,"Mar 29, 2018",1.02,0.841174,"2,454,290",1.01,"16,076"
72,1.01,"Mar 28, 2018",1.07,0.987076,"2,413,380",0.998424,"38,452"
73,1.03,"Mar 27, 2018",1.28,1.01,"2,895,640",1.20,"21,720"
74,1.21,"Mar 26, 2018",1.30,1.14,"3,035,790",1.27,"21,270"
75,1.27,"Mar 25, 2018",1.54,1.27,"3,525,750",1.48,"28,708"
76,1.50,"Mar 24, 2018",1.77,1.32,"3,518,940",1.49,"37,474"
77,1.37,"Mar 23, 2018",1.43,1.20,"2,929,510",1.25,"30,389"
78,1.25,"Mar 22, 2018",1.44,1.22,"3,178,580",1.36,"23,682"
79,1.36,"Mar 21, 2018",1.59,1.17,"2,894,470",1.25,"52,072"
80,1.24,"Mar 20, 2018",1.37,1.03,"2,452,900",1.06,"32,226"
81,1.05,"Mar 19, 2018",1.08,0.979487,"2,260,570",0.985292,"21,898"
82,0.989461,"Mar 18, 2018",1.04,0.912745,"2,275,530",0.997650,"15,372"
83,1.00,"Mar 17, 2018",1.17,0.939160,"2,456,060",1.08,"17,610"
84,1.07,"Mar 16, 2018",1.21,1.02,"2,374,000",1.05,"20,136"
85,1.05,"Mar 15, 2018",1.15,0.998120,"2,417,210",1.08,"15,395"
86,1.08,"Mar 14, 2018",1.38,1.03,"2,639,230",1.19,"24,854"
87,1.19,"Mar 13, 2018",1.46,1.11,"2,919,270",1.32,"25,961"
88,1.33,"Mar 12, 2018",1.60,1.23,"2,812,090",1.28,"25,516"
89,1.28,"Mar 11, 2018",1.32,1.06,"2,377,120",1.09,"20,251"
90,1.09,"Mar 10, 2018",1.30,1.09,"2,754,010",1.27,"24,436"
91,1.25,"Mar 09, 2018",1.26,1.05,"2,581,340",1.20,"27,127"
92,1.20,"Mar 08, 2018",1.48,1.14,"3,169,040",1.48,"18,506"
93,1.48,"Mar 07, 2018",1.59,1.27,"3,184,380",1.50,"24,982"
94,1.50,"Mar 06, 2018",1.70,1.26,"2,982,660",1.41,"52,182"
95,1.42,"Mar 05, 2018",1.66,1.27,"2,693,090",1.28,"54,752"
96,1.44,"Mar 04, 2018",2.03,1.28,"4,086,540",1.96,"45,807"
97,1.96,"Mar 03, 2018",2.29,1.92,"4,469,670",2.15,"22,550"
98,2.16,"Mar 02, 2018",2.20,1.68,"4,299,140",2.09,"57,370"
99,2.09,"Mar 01, 2018",2.24,1.91,"3,949,950",1.93,"49,294"
100,1.96,"Feb 28, 2018",2.76,1.92,"5,607,830",2.76,"39,621"
101,2.77,"Feb 27, 2018",3.21,2.75,"6,049,650",2.99,"52,271"
102,2.98,"Feb 26, 2018",2.98,2.40,"5,200,480",2.59,"86,255"
103,2.59,"Feb 25, 2018",3.63,2.40,"6,572,220",3.30,"61,584"
104,3.30,"Feb 24, 2018",3.66,2.93,"7,074,360",3.57,"19,429"
105,3.58,"Feb 23, 2018",3.66,3.07,"6,300,410",3.20,"20,134"
106,3.21,"Feb 22, 2018",3.74,2.62,"5,895,110",3.02,"70,565"
107,3.02,"Feb 21, 2018",3.52,2.63,"5,803,190",2.99,"63,039"
108,3.00,"Feb 20, 2018",3.49,2.36,"5,656,600",3.01,"72,916"
109,3.00,"Feb 19, 2018",3.28,2.89,"5,901,430",3.14,"46,880"
110,3.15,"Feb 18, 2018",4.02,3.14,"6,861,020",3.65,"35,746"
111,3.73,"Feb 17, 2018",4.28,3.22,"6,136,980",3.26,"69,824"
112,3.26,"Feb 16, 2018",3.63,2.92,"6,313,850",3.38,"80,058"
113,3.40,"Feb 15, 2018",3.77,3.25,"6,723,780",3.62,"77,178"
114,3.62,"Feb 14, 2018",4.69,3.00,"6,822,840",3.70,"149,640"
115,3.71,"Feb 13, 2018",3.84,3.50,"6,877,130",3.76,"46,856"
116,3.75,"Feb 12, 2018",3.88,3.28,"6,122,260",3.37,"109,095"
117,3.35,"Feb 11, 2018",3.94,3.16,"7,092,460",3.94,"60,666"
118,3.94,"Feb 10, 2018",4.53,3.81,"7,654,860",4.28,"66,148"
119,4.10,"Feb 09, 2018",4.58,3.83,"7,398,090",4.17,"66,207"
120,4.21,"Feb 08, 2018",4.83,4.12,"7,326,130",4.16,"68,097"
121,4.18,"Feb 07, 2018",4.90,4.00,"8,079,910",4.62,"60,317"
122,4.67,"Feb 06, 2018",4.71,3.25,"6,714,290",3.87,"90,029"
123,3.87,"Feb 05, 2018",4.96,3.82,"8,412,910",4.89,"66,371"
124,4.94,"Feb 04, 2018",6.48,4.50,"11,061,200",6.48,"51,734"
125,6.48,"Feb 03, 2018",7.01,4.41,"8,447,550",4.99,"146,403"
126,4.95,"Feb 02, 2018",5.32,3.86,"7,225,870",4.30,"143,738"
127,4.31,"Feb 01, 2018",5.90,3.64,"9,315,540",5.59,"86,713"
128,5.58,"Jan 31, 2018",6.16,5.21,"9,098,480",5.51,"129,525"
129,5.58,"Jan 30, 2018",7.23,5.42,"11,782,600",7.19,"172,254"
130,6.79,"Jan 29, 2018",8.47,6.68,"13,381,500",8.24,"189,965"
131,8.25,"Jan 28, 2018",8.96,8.05,"13,422,600",8.33,"134,286"
132,8.40,"Jan 27, 2018",9.05,8.17,"13,412,100",8.40,"215,182"
133,8.41,"Jan 26, 2018",8.61,7.26,"12,122,100",7.66,"188,590"
134,7.68,"Jan 25, 2018",9.24,7.35,"14,214,800",9.07,"170,650"
135,8.92,"Jan 24, 2018",9.20,7.93,"12,815,800",8.24,"202,621"
136,8.24,"Jan 23, 2018",10.44,7.16,"13,577,800",8.81,"208,134"
137,8.79,"Jan 22, 2018",11.23,7.64,"16,733,800",10.95,"274,904"
138,10.37,"Jan 21, 2018",12.32,10.19,"17,635,100",11.65,"215,719"
139,11.62,"Jan 20, 2018",13.00,11.46,"17,260,900",11.50,"308,416"
140,11.38,"Jan 19, 2018",13.42,10.91,"17,108,800",11.50,"271,471"
141,11.63,"Jan 18, 2018",12.91,10.64,"15,970,400",10.84,"390,019"
142,10.80,"Jan 17, 2018",11.98,8.67,"17,174,200",11.76,"269,478"
143,11.82,"Jan 16, 2018",13.85,9.14,"19,285,300",13.34,"400,402"
144,13.11,"Jan 15, 2018",16.76,13.11,"19,211,600",13.41,"441,579"
145,13.31,"Jan 14, 2018",17.23,12.62,"24,443,400",17.23,"307,572"
146,15.07,"Jan 13, 2018",19.05,14.18,"22,089,900",15.72,"410,166"
147,15.74,"Jan 12, 2018",19.00,14.01,"20,439,800",14.69,"567,736"
148,14.60,"Jan 11, 2018",18.43,9.19,"14,875,500",10.80,"740,381"
149,10.81,"Jan 10, 2018",11.59,9.59,"14,507,600",10.64,"194,322"
150,10.44,"Jan 09, 2018",13.62,10.09,"14,748,200",10.99,"288,978"
151,11.02,"Jan 08, 2018",12.10,9.54,"15,440,300",11.55,"299,797"
152,11.26,"Jan 07, 2018",13.24,9.74,"14,139,800",10.69,"313,559"
153,10.08,"Jan 06, 2018",11.01,9.02,"12,670,600",9.67,"264,180"
154,9.67,"Jan 05, 2018",9.92,7.89,"10,952,500",8.45,"230,679"
155,8.45,"Jan 04, 2018",9.34,7.52,"10,996,800",8.57,"287,234"
156,8.53,"Jan 03, 2018",14.15,6.08,"9,191,590",7.24,"438,904"
157,7.27,"Jan 02, 2018",7.52,5.06,"6,844,770",5.45,"334,480"
158,5.45,"Jan 01, 2018",6.19,5.42,"7,260,290",5.85,"150,883"
159,5.83,"Dec 31, 2017",6.43,5.19,"6,896,430",5.62,"131,203"
160,5.68,"Dec 30, 2017",6.59,4.83,"7,174,700",5.91,"192,357"
161,5.94,"Dec 29, 2017",6.23,4.86,"5,918,540",4.93,"236,938"
162,4.87,"Dec 28, 2017",5.47,4.36,"6,119,320",5.16,"110,424"
163,4.76,"Dec 27, 2017",5.31,4.46,"5,401,420",4.60,"152,100"
164,4.60,"Dec 26, 2017",4.92,4.02,"4,664,050",4.02,"138,086"
165,4.07,"Dec 25, 2017",4.22,3.73,"4,577,580",4.00,"118,217"
166,3.96,"Dec 24, 2017",4.17,3.46,"4,587,420",4.05,"83,759"
167,4.01,"Dec 23, 2017",4.45,3.66,"4,132,030",3.70,"77,684"
168,3.82,"Dec 22, 2017",4.47,3.12,"4,890,090",4.43,"93,624"
169,4.41,"Dec 21, 2017",5.19,4.21,"5,306,050",4.86,"139,178"
170,4.61,"Dec 20, 2017",4.93,4.25,"5,311,460",4.93,"122,478"
171,4.94,"Dec 19, 2017",5.24,4.76,"5,479,280",5.15,"105,712"
172,5.15,"Dec 18, 2017",5.33,4.98,"5,517,890",5.26,"148,884"
173,5.20,"Dec 17, 2017",5.79,5.16,"5,545,720",5.35,"139,807"
174,5.36,"Dec 16, 2017",6.12,4.77,"5,059,380",4.95,"135,167"
175,4.81,"Dec 15, 2017",5.12,4.61,"4,767,570",4.73,"114,327"
176,4.72,"Dec 14, 2017",5.20,4.43,"4,799,000",4.82,"156,122"
177,4.84,"Dec 13, 2017",5.49,4.36,"4,518,550",4.61,"121,576"
178,4.60,"Dec 12, 2017",5.16,4.21,"4,205,440",4.35,"111,906"
179,4.33,"Dec 11, 2017",5.17,3.93,"3,796,500",3.98,"109,927"
180,4.01,"Dec 10, 2017",4.33,3.37,"3,645,540",3.88,"72,599"
181,3.86,"Dec 09, 2017",4.59,3.57,"3,454,450",3.73,"115,701"
182,3.73,"Dec 08, 2017",4.60,2.56,"4,154,520",4.55,"127,059"
183,4.61,"Dec 07, 2017",4.76,3.37,"3,391,110",3.77,"123,745"
184,3.78,"Dec 06, 2017",4.48,3.56,"3,506,740",3.96,"99,087"
185,3.97,"Dec 05, 2017",4.69,3.97,"3,655,500",4.19,"99,369"
186,4.18,"Dec 04, 2017",5.02,3.87,"3,989,510",4.64,"91,105"
187,4.51,"Dec 03, 2017",4.51,3.69,"3,381,600",4.00,"157,982"
188,3.99,"Dec 02, 2017",4.09,3.63,"3,097,450",3.72,"108,372"
189,3.72,"Dec 01, 2017",4.04,3.47,"3,050,680",3.72,"97,781"
190,3.78,"Nov 30, 2017",3.99,3.25,"2,633,500",3.27,"94,320"
191,3.22,"Nov 29, 2017",4.55,3.21,"3,539,830",4.47,"157,218"
192,4.54,"Nov 28, 2017",4.54,2.42,"1,983,740",2.55,"173,648"
193,2.54,"Nov 27, 2017",2.76,1.95,"1,804,550",2.36,"172,121"
194,2.36,"Nov 26, 2017",3.00,1.82,"2,000,850",2.66,"128,997"
195,2.66,"Nov 25, 2017",3.27,2.19,"2,407,710",3.26,"144,130"
196,3.27,"Nov 24, 2017",3.47,2.85,"2,385,780",3.29,"177,461"
197,3.22,"Nov 23, 2017",3.65,3.22,"2,581,910",3.63,"117,032"
198,3.63,"Nov 22, 2017",3.82,3.15,"2,267,120",3.25,"146,828"
199,3.24,"Nov 21, 2017",3.87,3.07,"2,615,540",3.82,"136,375"
200,3.68,"Nov 20, 2017",3.91,2.92,"2,158,150",3.22,"158,414"
201,3.22,"Nov 19, 2017",3.99,3.08,"2,550,610",3.88,"97,817"
202,3.84,"Nov 18, 2017",4.31,3.49,"2,537,240",3.90,"134,012"
203,3.88,"Nov 17, 2017",4.68,3.85,"2,797,090",4.42,"77,591"
204,4.43,"Nov 16, 2017",4.85,3.93,"2,540,270",4.09,"87,832"
205,4.14,"Nov 15, 2017",4.63,4.05,"2,459,160",4.09,"143,699"
206,4.11,"Nov 14, 2017",4.28,3.69,"2,239,190",3.80,"130,634"
207,3.79,"Nov 13, 2017",4.43,3.00,"1,751,340",3.07,"103,825"
