,close,date,high,low,market_cap,open,volume
0,0.101121,"Jun 08, 2018",0.109089,0.100022,"1,073,790",0.107379,22
1,0.107297,"Jun 07, 2018",0.107297,0.096526,"965,934",0.096593,3
2,0.136575,"Jun 06, 2018",0.139823,0.136417,"1,385,270",0.138527,4
3,0.138565,"Jun 05, 2018",0.138814,0.134339,"1,366,920",0.136692,51
4,0.136626,"Jun 04, 2018",0.137377,0.098645,"989,823",0.098982,364
5,0.098936,"Jun 03, 2018",0.122910,0.098510,"1,187,760",0.118776,14
6,0.118744,"Jun 02, 2018",0.118840,0.090292,"927,085",0.092708,49
7,0.092749,"Jun 01, 2018",0.110379,0.091262,"912,884",0.091288,21
8,0.091222,"May 31, 2018",0.118123,0.084575,"1,181,230",0.118123,173
9,0.118145,"May 30, 2018",0.120609,0.093786,"939,046",0.093905,75
10,0.093841,"May 29, 2018",0.097985,0.089898,"976,193",0.097619,41
11,0.097651,"May 28, 2018",0.116449,0.096805,"1,141,570",0.114157,379
12,0.114130,"May 27, 2018",0.137931,0.095469,"1,256,500",0.125650,196
13,0.125594,"May 26, 2018",0.132539,0.124918,"1,308,280",0.130828,111
14,0.131000,"May 25, 2018",0.139146,0.129296,"1,371,330",0.137133,93
15,0.171688,"May 24, 2018",0.172248,0.143858,"1,486,660",0.148666,43
16,0.149042,"May 23, 2018",0.149042,0.121961,"1,294,430",0.129443,82
17,0.129577,"May 22, 2018",0.177876,0.127466,"1,777,390",0.177739,59
18,0.177771,"May 21, 2018",0.178174,0.140057,"1,726,690",0.172669,91
19,0.172454,"May 20, 2018",0.179902,0.161279,"1,722,040",0.172204,397
20,0.172075,"May 19, 2018",0.172075,0.106793,"1,124,480",0.112448,126
21,0.112465,"May 18, 2018",0.151632,0.110494,"1,504,940",0.150494,"1,676"
22,0.150362,"May 17, 2018",0.155275,0.142482,"1,535,310",0.153531,12
23,0.153437,"May 16, 2018",0.153450,0.140608,"1,487,230",0.148723,98
24,0.148809,"May 15, 2018",0.175967,0.147951,"1,727,410",0.172741,323
25,0.173038,"May 14, 2018",0.182278,0.158535,"1,748,670",0.174867,693
26,0.174899,"May 13, 2018",0.193777,0.167186,"1,807,540",0.180754,"1,401"
27,0.180817,"May 12, 2018",0.182495,0.155849,"1,666,060",0.166606,411
28,0.167097,"May 11, 2018",0.213220,0.147583,"1,499,680",0.149968,"1,243"
29,0.149789,"May 10, 2018",0.216508,0.149644,"1,847,010",0.184701,"3,897"
30,0.184753,"May 09, 2018",0.248087,0.177333,"2,479,960",0.247996,"3,980"
31,0.248376,"May 08, 2018",0.262510,0.167748,"1,805,930",0.180593,"5,787"
32,0.180211,"May 07, 2018",0.195258,0.177838,"1,951,580",0.195158,155
33,0.195018,"May 06, 2018",0.209231,0.157111,"2,051,500",0.205150,322
34,0.205011,"May 05, 2018",0.205560,0.125196,"1,954,170",0.195417,886
35,0.195510,"May 04, 2018",0.227625,0.192819,"2,276,250",0.227625,128
36,0.227714,"May 03, 2018",0.231836,0.183600,"1,978,410",0.197841,"1,729"
37,0.197834,"May 02, 2018",0.198600,0.181418,"1,825,740",0.182574,452
38,0.182850,"May 01, 2018",0.539046,0.170037,"2,123,540",0.212354,"6,275"
39,0.212169,"Apr 30, 2018",0.214373,0.173838,"1,786,290",0.178629,66
40,0.178688,"Apr 29, 2018",0.239285,0.177924,"2,178,430",0.217843,298
41,0.217928,"Apr 28, 2018",0.219944,0.189327,"1,898,130",0.189813,919
42,0.190467,"Apr 27, 2018",0.230451,0.190467,"2,304,510",0.230451,242
43,0.229751,"Apr 26, 2018",0.230263,0.209576,"2,154,830",0.215483,789
44,0.213712,"Apr 25, 2018",0.241240,0.211715,"2,399,690",0.239969,547
45,0.241611,"Apr 24, 2018",0.301185,0.209563,"2,274,730",0.227473,887
46,0.227279,"Apr 23, 2018",0.278999,0.158982,"1,591,150",0.159115,"2,601"
47,0.159436,"Apr 22, 2018",0.200035,0.158602,"1,616,020",0.161602,93
48,0.161602,"Apr 21, 2018",0.220267,0.157873,"2,170,690",0.217069,1
49,0.216994,"Apr 20, 2018",0.219012,0.181139,"1,883,640",0.188364,25
50,0.188240,"Apr 19, 2018",0.188373,0.150857,"1,515,300",0.151530,33
51,0.151418,"Apr 18, 2018",0.320758,0.151264,"2,917,680",0.291768,23
52,0.291618,"Apr 17, 2018",0.293116,0.141092,"1,422,350",0.142235,88
53,0.142163,"Apr 16, 2018",0.148375,0.139988,"1,475,450",0.147545,4
54,0.147607,"Apr 15, 2018",0.172940,0.146377,"1,653,050",0.165305,4
55,0.165128,"Apr 14, 2018",0.190795,0.161737,"1,863,680",0.186368,8
56,0.186368,"Apr 13, 2018",0.210894,0.136109,"2,048,460",0.204846,314
57,0.204588,"Apr 12, 2018",0.205557,0.124971,"1,623,370",0.162337,"1,026"
58,0.162730,"Apr 11, 2018",0.162730,0.124658,"1,466,610",0.146661,71
59,0.146520,"Apr 10, 2018",0.158486,0.127049,"1,579,910",0.157991,114
60,0.157862,"Apr 09, 2018",0.157862,0.132532,"1,528,680",0.152868,464
61,0.152621,"Apr 08, 2018",0.163843,0.123348,"1,483,730",0.148373,579
62,0.148239,"Apr 07, 2018",0.148239,0.118412,"1,386,510",0.138651,348
63,0.138485,"Apr 06, 2018",0.158223,0.103476,"1,566,050",0.156605,27
64,0.157393,"Apr 05, 2018",0.157452,0.127566,"1,317,610",0.131761,168
65,0.131705,"Apr 04, 2018",0.149069,0.107494,"1,221,870",0.122187,794
66,0.149164,"Apr 03, 2018",0.150667,0.097968,"991,113",0.099111,947
67,0.099041,"Apr 02, 2018",0.099802,0.095338,"959,619",0.095962,11
68,0.095492,"Apr 01, 2018",0.097930,0.090663,"963,934",0.096393,17
69,0.096396,"Mar 31, 2018",0.100112,0.085487,"857,381",0.085738,1
70,0.085725,"Mar 30, 2018",0.104039,0.082938,"1,023,600",0.102360,3
71,0.102616,"Mar 29, 2018",0.112314,0.089384,"1,121,300",0.112130,134
72,0.111999,"Mar 28, 2018",0.114347,0.109339,"1,099,500",0.109950,82
73,0.109975,"Mar 27, 2018",0.114739,0.108310,"1,140,400",0.114040,81
74,0.114213,"Mar 26, 2018",0.114844,0.092128,"968,898",0.096890,1
75,0.096964,"Mar 25, 2018",0.125853,0.096529,"1,064,580",0.106458,188
76,0.107944,"Mar 24, 2018",0.112217,0.107098,"1,105,070",0.110507,102
77,0.108921,"Mar 23, 2018",0.122643,0.103110,"1,078,960",0.107896,256
78,0.107899,"Mar 22, 2018",0.132729,0.106167,"1,301,420",0.130142,663
79,0.130379,"Mar 21, 2018",0.133979,0.129154,"1,302,700",0.130270,1
80,0.130035,"Mar 20, 2018",0.131824,0.121940,"1,259,850",0.125985,61
81,0.124595,"Mar 19, 2018",0.144282,0.119230,"1,401,360",0.140136,372
82,0.140729,"Mar 18, 2018",0.142187,0.122494,"1,285,510",0.128551,"1,913"
83,0.128864,"Mar 17, 2018",0.131060,0.126281,"1,288,840",0.128884,2
84,0.156026,"Mar 14, 2018",0.156026,0.154532,"1,545,320",0.154532,2
85,0.154511,"Mar 13, 2018",0.160162,0.149882,"1,541,720",0.154172,2
86,0.154278,"Mar 11, 2018",0.155274,0.149511,"1,547,960",0.154796,7
87,0.155331,"Mar 10, 2018",0.167144,0.153920,"1,660,330",0.166033,7
88,0.143278,"Mar 09, 2018",0.145559,0.129851,"1,438,620",0.143862,14
89,0.144779,"Mar 08, 2018",0.178034,0.144606,"1,753,460",0.175346,16
90,0.161444,"Mar 06, 2018",0.169473,0.159803,"1,694,730",0.169473,88
91,0.169942,"Mar 05, 2018",0.171933,0.168198,"1,693,600",0.169360,92
92,0.169484,"Mar 04, 2018",0.169484,0.167763,"1,684,320",0.168432,53
93,0.167066,"Mar 03, 2018",0.167342,0.162315,"1,623,150",0.162315,85
94,0.162514,"Mar 02, 2018",0.227347,0.159155,"2,223,250",0.222325,248
95,0.222898,"Mar 01, 2018",0.225582,0.218552,"2,189,290",0.218929,73
96,0.179881,"Feb 25, 2018",0.188996,0.178542,"1,857,760",0.185776,5
97,0.186058,"Feb 24, 2018",0.186816,0.180035,"1,865,180",0.186518,5
98,0.167321,"Feb 22, 2018",0.184879,0.165254,"1,774,060",0.177406,7
99,0.177587,"Feb 21, 2018",0.189480,0.167451,"1,757,630",0.175763,19
100,0.175982,"Feb 20, 2018",0.190304,0.174100,"1,816,480",0.181648,96
101,0.181483,"Feb 19, 2018",0.181931,0.150778,"1,512,450",0.151245,1
102,0.151943,"Feb 18, 2018",0.247435,0.151587,"2,432,810",0.243281,578
103,0.242537,"Feb 17, 2018",0.243971,0.167337,"1,695,180",0.169518,136
104,0.169557,"Feb 16, 2018",0.236291,0.165005,"2,320,800",0.232080,77
105,0.233076,"Feb 15, 2018",0.234656,0.136860,"1,384,290",0.138429,86
106,0.138354,"Feb 14, 2018",0.218518,0.116585,"1,165,850",0.116585,"1,051"
107,0.116933,"Feb 13, 2018",0.122630,0.114972,"1,220,740",0.122074,83
108,0.121853,"Feb 12, 2018",0.123253,0.117109,"1,207,900",0.120790,122
109,0.147879,"Feb 11, 2018",0.151587,0.139313,"1,515,870",0.151587,2
110,0.151716,"Feb 10, 2018",0.152040,0.145032,"1,484,630",0.148463,2
111,0.139584,"Feb 09, 2018",0.146361,0.139178,"1,463,610",0.146361,1
112,0.145912,"Feb 08, 2018",0.149889,0.142986,"1,489,350",0.148935,1
113,0.102667,"Feb 05, 2018",0.114753,0.101463,"1,124,300",0.112430,181
114,0.113531,"Feb 04, 2018",0.125698,0.108506,"1,250,350",0.125035,201
115,0.171503,"Feb 03, 2018",0.172406,0.154923,"1,674,170",0.167417,10
116,0.166847,"Feb 02, 2018",0.171955,0.145751,"1,716,390",0.171639,10
117,0.171995,"Feb 01, 2018",0.182606,0.121964,"1,268,250",0.126825,93
118,0.126531,"Jan 31, 2018",0.199459,0.123104,"1,980,320",0.198032,84
119,0.197722,"Jan 30, 2018",0.218996,0.132610,"1,364,130",0.136413,6
120,0.136368,"Jan 29, 2018",0.231123,0.135241,"2,281,690",0.228169,67
121,0.228387,"Jan 28, 2018",0.235247,0.224234,"2,249,190",0.224919,144
122,0.223774,"Jan 27, 2018",0.228443,0.214633,"2,193,980",0.219398,3
123,0.219544,"Jan 26, 2018",0.220608,0.212812,"2,172,960",0.217296,3
124,0.225637,"Jan 25, 2018",0.231453,0.222680,"2,260,700",0.226070,1
125,0.222410,"Jan 24, 2018",0.226888,0.208849,"2,147,360",0.214736,1
126,0.214859,"Jan 23, 2018",0.222923,0.214859,"2,220,370",0.222037,1
127,0.349820,"Jan 20, 2018",0.351931,0.319241,"3,194,070",0.319407,8
128,0.315973,"Jan 19, 2018",0.330505,0.305874,"3,149,530",0.314953,19
129,0.319875,"Jan 18, 2018",0.322571,0.299749,"3,052,130",0.305213,1
130,0.304040,"Jan 17, 2018",0.322130,0.255025,"3,141,090",0.314109,1
131,0.315711,"Jan 16, 2018",0.364514,0.279242,"3,535,170",0.353517,320
132,0.353077,"Jan 15, 2018",0.372585,0.272322,"2,737,830",0.273783,1
133,0.275783,"Jan 14, 2018",0.377123,0.271464,"3,732,410",0.373241,71
134,0.372997,"Jan 13, 2018",0.379645,0.361618,"3,616,180",0.361618,13
135,0.362032,"Jan 12, 2018",0.365160,0.155210,"1,599,180",0.159918,70
