,close,date,high,low,market_cap,open,volume
0,0.005420,"Jun 08, 2018",0.006212,0.005149,-,0.005589,"642,891"
1,0.005564,"Jun 07, 2018",0.005873,0.005104,-,0.005681,"667,236"
2,0.005653,"Jun 06, 2018",0.005956,0.005582,-,0.005647,"549,993"
3,0.005665,"Jun 05, 2018",0.005778,0.005239,-,0.005611,"611,286"
4,0.005665,"Jun 04, 2018",0.006689,0.005428,-,0.006197,"623,627"
5,0.006215,"Jun 03, 2018",0.006814,0.005835,-,0.006247,"700,738"
6,0.006508,"Jun 02, 2018",0.006818,0.006151,-,0.006290,"749,224"
7,0.006320,"Jun 01, 2018",0.006905,0.006042,-,0.006573,"1,793,090"
8,0.006623,"May 31, 2018",0.006935,0.006077,-,0.006613,"4,147,440"
9,0.006625,"May 30, 2018",0.007245,0.006310,-,0.006885,"4,175,920"
10,0.007016,"May 29, 2018",0.007016,0.005807,-,0.005832,"4,290,420"
11,0.005997,"May 28, 2018",0.006870,0.005730,-,0.006756,"3,580,610"
12,0.006666,"May 27, 2018",0.007345,0.006384,-,0.006996,"2,882,040"
13,0.006994,"May 26, 2018",0.007853,0.006644,-,0.006797,"11,509,700"
14,0.006670,"May 25, 2018",0.007184,0.006555,-,0.006966,"9,768,330"
15,0.006812,"May 24, 2018",0.007188,0.006079,-,0.006443,"14,588,800"
16,0.006533,"May 23, 2018",0.008086,0.006401,-,0.007900,"6,140,160"
17,0.007716,"May 22, 2018",0.009199,0.007625,-,0.008302,"6,689,360"
18,0.008319,"May 21, 2018",0.009483,0.007790,-,0.009169,"5,899,160"
19,0.009485,"May 20, 2018",0.010296,0.008613,-,0.010042,"9,038,810"
20,0.010028,"May 19, 2018",0.011270,0.009708,-,0.010752,"5,868,390"
21,0.011241,"May 18, 2018",0.012155,0.010796,-,0.011653,"13,840,400"
22,0.011670,"May 17, 2018",0.012934,0.010838,-,0.011481,"6,588,430"
23,0.011479,"May 16, 2018",0.012811,0.009145,-,0.011508,"6,525,880"
24,0.011492,"May 15, 2018",0.013243,0.011113,-,0.012461,"5,737,900"
