,close,date,high,low,market_cap,open,volume
0,228.74,"Jun 08, 2018",230.80,226.63,-,230.33,"3,950"
1,230.15,"Jun 07, 2018",258.78,229.38,-,256.44,"3,959"
2,256.26,"Jun 06, 2018",257.26,227.75,-,228.63,"4,094"
3,228.70,"Jun 05, 2018",307.92,181.44,-,307.59,"3,928"
4,307.44,"Jun 04, 2018",321.72,143.57,-,321.11,"4,032"
5,331.74,"Jun 03, 2018",332.07,326.69,-,328.15,"4,015"
6,328.06,"Jun 02, 2018",329.20,321.36,-,323.17,"3,970"
7,323.31,"Jun 01, 2018",326.40,316.65,-,322.14,"4,094"
8,321.90,"May 31, 2018",356.44,319.93,-,346.88,"3,583"
9,346.94,"May 30, 2018",369.11,260.70,-,364.93,"4,179"
10,364.68,"May 29, 2018",369.06,170.24,-,356.13,"5,134"
11,359.47,"May 28, 2018",370.49,358.44,-,367.20,"3,676"
12,367.11,"May 27, 2018",368.92,361.70,-,366.75,"3,754"
13,366.59,"May 26, 2018",378.96,300.16,-,373.40,"4,140"
14,373.89,"May 25, 2018",381.19,368.04,-,378.14,"3,816"
15,377.43,"May 24, 2018",386.07,363.82,-,380.78,"3,879"
16,380.52,"May 23, 2018",401.33,379.34,-,400.17,"3,959"
17,400.59,"May 22, 2018",420.71,398.33,-,420.38,"4,168"
18,420.46,"May 21, 2018",514.76,317.79,-,511.64,"4,446"
19,511.01,"May 20, 2018",514.96,328.19,-,494.73,"4,258"
20,494.36,"May 19, 2018",502.04,490.45,-,494.34,"2,337"
21,494.41,"May 18, 2018",496.19,307.77,-,483.87,"4,228"
22,483.45,"May 17, 2018",505.75,480.68,-,500.06,"3,787"
23,499.76,"May 16, 2018",560.55,315.20,-,560.09,"4,525"
24,560.41,"May 15, 2018",656.34,337.50,-,650.50,"4,210"
25,651.62,"May 14, 2018",965.99,389.11,-,955.93,"4,489"
26,956.11,"May 13, 2018",1040.61,942.38,-,1015.28,"4,419"
27,1015.63,"May 12, 2018",1038.79,371.37,-,1010.22,"4,285"
28,1013.17,"May 11, 2018",2060.50,344.63,-,994.17,"9,203"
29,992.99,"May 10, 2018",1475.95,382.08,-,1219.24,"4,478"
30,1219.58,"May 09, 2018",1772.76,204.26,-,1564.81,"5,939"
31,1567.20,"May 08, 2018",1879.82,185.00,-,683.78,"9,894"
32,682.33,"May 07, 2018",689.72,277.12,-,288.41,"13,689"
33,288.20,"May 06, 2018",1306.00,284.34,-,728.33,3
34,727.84,"May 05, 2018",752.83,548.79,-,732.70,"10,787"
35,733.05,"May 04, 2018",781.51,191.70,-,195.41,"10,587"
36,195.49,"May 03, 2018",1014.63,188.77,-,1013.19,"12,188"
37,1013.15,"May 02, 2018",1241.01,471.67,-,999.15,"17,337"
38,1000.66,"May 01, 2018",1217.28,466.79,-,780.30,"34,401"
39,779.61,"Apr 30, 2018",1284.39,775.64,-,1279.33,"41,260"
40,1279.75,"Apr 29, 2018",1384.56,794.99,-,1359.13,"56,178"
41,1359.65,"Apr 28, 2018",1370.55,141.46,-,1111.04,"60,677"
42,1114.83,"Apr 27, 2018",1166.70,920.70,-,1157.48,"100,235"
43,1155.88,"Apr 26, 2018",1158.46,1076.49,-,1103.44,"1,073"
44,1094.37,"Apr 25, 2018",1243.43,1092.83,-,1237.44,"1,368"
45,1245.91,"Apr 24, 2018",1245.91,1138.29,-,1138.80,"1,557"
46,1137.83,"Apr 23, 2018",1141.17,1119.52,-,1120.45,"1,422"
47,1122.72,"Apr 22, 2018",1146.02,1116.84,-,1139.22,"1,403"
48,1139.22,"Apr 21, 2018",1144.83,1105.21,-,1128.20,"1,424"
49,1127.81,"Apr 20, 2018",1138.30,1050.78,-,1055.08,"1,410"
50,1054.39,"Apr 19, 2018",1055.13,1037.12,-,1041.75,"1,318"
51,1040.97,"Apr 18, 2018",1047.52,1005.59,-,1007.52,"1,301"
52,1006.59,"Apr 17, 2018",1039.06,1003.31,-,1027.09,"1,258"
53,1026.58,"Apr 16, 2018",1028.49,950.15,-,1001.43,"2,566"
54,1001.86,"Apr 15, 2018",1068.08,992.67,-,1020.93,"1,541"
55,1019.84,"Apr 14, 2018",1030.53,1000.36,-,1003.81,"2,024"
56,1003.81,"Apr 13, 2018",1048.61,991.85,-,1010.35,"1,205"
57,1009.08,"Apr 12, 2018",1014.33,862.87,-,886.34,"1,212"
58,888.49,"Apr 11, 2018",888.49,869.11,-,871.61,"1,067"
59,870.77,"Apr 10, 2018",876.03,856.67,-,862.61,"1,046"
60,861.90,"Apr 09, 2018",914.85,844.45,-,909.71,"1,035"
61,894.88,"Apr 08, 2018",905.46,880.97,-,880.97,"1,074"
62,880.18,"Apr 07, 2018",898.33,843.63,-,844.88,"1,057"
63,843.87,"Apr 06, 2018",873.67,832.53,-,864.66,"1,013"
64,869.09,"Apr 05, 2018",879.18,839.04,-,866.63,"1,043"
65,866.26,"Apr 04, 2018",946.31,858.38,-,946.31,"1,040"
66,946.97,"Apr 03, 2018",956.04,896.55,-,899.45,"1,137"
67,898.81,"Apr 02, 2018",905.72,878.32,-,881.90,"1,079"
68,908.64,"Mar 31, 2018",918.37,869.89,-,872.44,750
69,872.31,"Mar 30, 2018",947.12,843.95,-,931.84,720
70,934.16,"Mar 29, 2018",1014.99,294.27,-,1013.33,866
71,1012.14,"Mar 28, 2018",1065.28,1003.70,-,1024.32,"1,458"
72,1024.55,"Mar 27, 2018",1147.33,1023.24,-,1143.67,404
73,1145.40,"Mar 26, 2018",1187.69,1099.30,-,1178.37,"1,735"
74,1119.27,"Mar 25, 2018",1131.82,1100.03,-,1116.69,"1,308"
75,1132.28,"Mar 24, 2018",1181.08,1129.58,-,1170.38,"1,323"
76,1153.58,"Mar 23, 2018",1153.58,1068.10,-,1117.68,543
77,1117.71,"Mar 22, 2018",1165.34,1094.64,-,1142.62,"1,510"
78,1144.71,"Mar 21, 2018",1252.09,1133.37,-,1169.32,"1,717"
79,1167.20,"Mar 20, 2018",1183.26,1142.03,-,1166.44,"1,142"
80,1153.57,"Mar 19, 2018",1222.39,1103.78,-,1187.26,"2,151"
81,1192.28,"Mar 18, 2018",1255.47,1073.35,-,1255.47,511
82,1258.53,"Mar 17, 2018",1422.89,1243.67,-,1419.93,"1,130"
83,1417.59,"Mar 16, 2018",1460.36,1096.91,-,1139.57,"1,053"
84,1140.21,"Mar 15, 2018",1513.08,1102.38,-,1503.64,"1,377"
85,1504.31,"Mar 14, 2018",1847.44,1464.92,-,1806.06,"1,294"
86,1805.82,"Mar 13, 2018",1832.29,1453.05,-,1488.22,930
87,1496.81,"Mar 12, 2018",2127.45,302.68,-,2052.61,"1,626"
88,2059.09,"Mar 11, 2018",2091.76,1568.30,-,1623.74,"1,575"
89,1629.36,"Mar 10, 2018",1741.20,1388.21,-,1403.51,"1,442"
90,1402.91,"Mar 09, 2018",1739.90,1314.24,-,1719.61,"1,371"
91,1730.57,"Mar 08, 2018",1888.40,1676.93,-,1864.79,554
92,1867.44,"Mar 07, 2018",2030.65,1663.80,-,1666.85,661
93,1669.01,"Mar 06, 2018",2090.37,1649.43,-,2090.37,591
94,2096.16,"Mar 05, 2018",2222.03,2075.77,-,2210.01,"2,069"
95,2211.63,"Mar 04, 2018",2211.63,1007.07,-,2199.47,481
96,2203.25,"Mar 03, 2018",2294.64,1731.84,-,2223.30,"5,247"
97,2226.02,"Mar 02, 2018",2242.63,1114.50,-,1123.35,"1,954"
98,1125.87,"Mar 01, 2018",1137.69,657.44,-,662.60,"1,543"
99,661.63,"Feb 28, 2018",815.91,546.70,-,788.64,"2,017"
100,789.57,"Feb 27, 2018",800.95,670.75,-,680.08,"2,055"
101,678.12,"Feb 26, 2018",686.87,620.58,-,638.39,"1,876"
102,648.84,"Feb 25, 2018",668.94,631.94,-,657.54,905
103,658.54,"Feb 24, 2018",659.82,568.13,-,601.77,919
104,602.53,"Feb 23, 2018",777.72,588.46,-,773.23,840
105,773.95,"Feb 22, 2018",856.67,765.73,-,822.04,"1,143"
106,822.88,"Feb 21, 2018",835.29,775.70,-,829.47,"1,215"
107,830.50,"Feb 20, 2018",869.29,821.62,-,849.17,"1,226"
108,734.13,"Feb 18, 2018",765.16,692.59,-,752.32,"1,084"
109,750.02,"Feb 17, 2018",854.77,724.73,-,800.61,"1,107"
110,800.79,"Feb 16, 2018",803.32,682.84,-,686.54,"2,365"
