,close,date,high,low,market_cap,open,volume
0,0.039314,"Jun 08, 2018",0.041354,0.038111,"340,742,000",0.040565,"36,142,800"
1,0.040503,"Jun 07, 2018",0.043006,0.040503,"351,550,000",0.041851,"45,109,300"
2,0.041766,"Jun 06, 2018",0.043551,0.040624,"364,233,000",0.043361,"25,921,400"
3,0.043322,"Jun 05, 2018",0.043653,0.040128,"355,941,000",0.042374,"28,279,400"
4,0.042279,"Jun 04, 2018",0.047302,0.041469,"392,270,000",0.046699,"33,151,400"
5,0.046836,"Jun 03, 2018",0.048202,0.046126,"389,503,000",0.046369,"31,438,100"
6,0.046402,"Jun 02, 2018",0.047224,0.044381,"376,245,000",0.044791,"32,287,900"
7,0.044940,"Jun 01, 2018",0.045566,0.042736,"371,504,000",0.044227,"36,825,900"
8,0.044187,"May 31, 2018",0.044696,0.040741,"344,825,000",0.041051,"43,432,600"
9,0.041195,"May 30, 2018",0.043162,0.039743,"346,966,000",0.041306,"34,718,700"
10,0.041309,"May 29, 2018",0.042372,0.036525,"317,239,000",0.037767,"43,777,900"
11,0.037722,"May 28, 2018",0.042329,0.037569,"327,333,000",0.038968,"54,083,200"
12,0.039103,"May 27, 2018",0.039184,0.037916,"326,955,000",0.038923,"18,801,700"
13,0.038909,"May 26, 2018",0.040166,0.038065,"330,435,000",0.039337,"17,277,600"
14,0.039362,"May 25, 2018",0.040987,0.037867,"341,016,000",0.040597,"27,995,800"
15,0.040406,"May 24, 2018",0.041162,0.035585,"305,244,000",0.036339,"53,725,600"
16,0.036516,"May 23, 2018",0.044271,0.035602,"364,391,000",0.043380,"59,947,800"
17,0.043600,"May 22, 2018",0.050073,0.042984,"420,477,000",0.050057,"45,479,500"
18,0.050218,"May 21, 2018",0.054559,0.049501,"450,588,000",0.053641,"36,571,600"
19,0.053618,"May 20, 2018",0.054459,0.048434,"417,627,000",0.049717,"36,722,700"
20,0.049324,"May 19, 2018",0.051588,0.047839,"420,191,000",0.050023,"30,924,700"
21,0.050017,"May 18, 2018",0.050623,0.047603,"418,926,000",0.049872,"41,835,700"
22,0.049956,"May 17, 2018",0.056182,0.048921,"446,568,000",0.053163,"49,119,900"
23,0.053107,"May 16, 2018",0.056440,0.051138,"469,298,000",0.055869,"56,028,400"
24,0.056327,"May 15, 2018",0.061901,0.054640,"495,090,000",0.058939,"59,707,000"
