,close,date,high,low,market_cap,open,volume
0,0.688189,"Jun 08, 2018",0.740066,0.678605,-,0.707735,"390,022"
1,0.707528,"Jun 07, 2018",0.729859,0.702459,-,0.702459,"179,212"
2,0.702199,"Jun 06, 2018",0.734730,0.696817,-,0.710060,"158,702"
3,0.710347,"Jun 05, 2018",0.719537,0.687552,-,0.709355,"181,507"
4,0.709345,"Jun 04, 2018",0.758388,0.700688,-,0.750757,"166,128"
5,0.757981,"Jun 03, 2018",0.766789,0.718322,-,0.720153,"282,557"
6,0.720244,"Jun 02, 2018",0.751006,0.706391,-,0.750191,"418,470"
7,0.745581,"Jun 01, 2018",0.776820,0.726450,-,0.727365,"168,999"
8,0.726975,"May 31, 2018",0.783656,0.720836,-,0.782358,"660,623"
9,0.783098,"May 30, 2018",0.827648,0.768363,-,0.775949,"375,127"
10,0.775738,"May 29, 2018",0.794177,0.743272,-,0.768356,"282,483"
11,0.768620,"May 28, 2018",0.814952,0.765918,-,0.788269,"257,800"
12,0.788326,"May 27, 2018",0.829314,0.766309,-,0.809748,"346,552"
13,0.803705,"May 26, 2018",0.836112,0.765240,-,0.771203,"267,630"
14,0.771356,"May 25, 2018",0.824365,0.767995,-,0.814669,"212,271"
15,0.814424,"May 24, 2018",0.891587,0.710010,-,0.839649,"848,141"
16,0.840663,"May 23, 2018",0.976232,0.796808,-,0.965115,"1,285,300"
17,0.965793,"May 22, 2018",1.08,0.951902,-,0.978887,"1,242,960"
18,0.992824,"May 21, 2018",1.12,0.863381,-,0.866728,"4,787,530"
19,0.866547,"May 20, 2018",0.895743,0.786772,-,0.787312,"319,446"
20,0.787713,"May 19, 2018",0.831145,0.776937,-,0.819575,"317,272"
21,0.819415,"May 18, 2018",0.905385,0.798335,-,0.827359,"579,795"
22,0.840648,"May 17, 2018",0.906078,0.826102,-,0.852781,"424,996"
23,0.852589,"May 16, 2018",0.938225,0.851130,-,0.891612,"597,556"
24,0.891707,"May 15, 2018",0.972615,0.891707,-,0.912776,"1,102,080"
25,0.913253,"May 14, 2018",1.00,0.898000,-,0.988613,"767,061"
26,0.988797,"May 13, 2018",1.04,0.908150,-,0.974470,"868,819"
27,0.959657,"May 12, 2018",1.07,0.801419,-,0.962009,"4,420,710"
28,0.962209,"May 11, 2018",1.07,0.860275,-,1.02,"5,225,950"
29,1.02,"May 10, 2018",1.14,1.01,-,1.13,"2,433,840"
30,1.13,"May 09, 2018",1.27,1.06,-,1.27,"2,268,320"
31,1.28,"May 08, 2018",1.42,1.22,-,1.30,"5,621,200"
32,1.29,"May 07, 2018",1.36,1.04,-,1.24,"4,525,340"
33,1.24,"May 06, 2018",1.51,1.04,-,1.43,"8,775,210"
34,1.43,"May 05, 2018",1.75,0.719780,-,0.774018,"32,272,600"
35,0.776602,"May 04, 2018",0.779918,0.553707,-,0.566293,"3,049,910"
36,0.566155,"May 03, 2018",0.577063,0.505230,-,0.514984,"565,687"
37,0.513229,"May 02, 2018",0.518379,0.484330,-,0.487081,"637,833"
38,0.487551,"May 01, 2018",0.497537,0.477285,-,0.489082,"1,263,390"
39,0.488658,"Apr 30, 2018",0.511772,0.484558,-,0.501721,"1,810,720"
40,0.501787,"Apr 29, 2018",0.523091,0.489247,-,0.506702,"1,430,920"
41,0.504953,"Apr 28, 2018",0.513961,0.484444,-,0.505749,"744,616"
42,0.505412,"Apr 27, 2018",0.539081,0.500287,-,0.539081,"617,662"
43,0.539905,"Apr 26, 2018",0.541238,0.470977,-,0.506237,"959,384"
44,0.508490,"Apr 25, 2018",0.549913,0.484646,-,0.546552,"1,485,900"
45,0.538647,"Apr 24, 2018",0.564285,0.532331,-,0.544445,"2,128,110"
46,0.544279,"Apr 23, 2018",0.592445,0.529921,-,0.539163,"1,119,500"
47,0.542501,"Apr 22, 2018",0.570251,0.508036,-,0.521883,"2,373,290"
48,0.522898,"Apr 21, 2018",0.563968,0.476191,-,0.563968,"1,704,720"
49,0.562832,"Apr 20, 2018",0.573096,0.536430,-,0.569857,"2,815,120"
50,0.569595,"Apr 19, 2018",0.601114,0.526523,-,0.575843,"18,503,100"
51,0.574544,"Apr 18, 2018",0.614373,0.552147,-,0.604661,"163,567,000"
52,0.604233,"Apr 17, 2018",0.638690,0.581721,-,0.601066,"62,770,600"
53,0.601032,"Apr 16, 2018",0.602475,0.556107,-,0.589424,"32,686,400"
54,0.589528,"Apr 15, 2018",0.604006,0.559014,-,0.567286,"14,008,300"
55,0.566778,"Apr 14, 2018",0.613901,0.505384,-,0.601615,"44,335,300"
56,0.635342,"Apr 13, 2018",0.697924,0.624742,-,0.644314,"4,433,070"
57,0.638283,"Apr 12, 2018",0.640690,0.499151,-,0.524080,"2,599,500"
58,0.524783,"Apr 11, 2018",0.524783,0.496289,-,0.518389,"170,051"
59,0.517529,"Apr 10, 2018",0.520802,0.502274,-,0.507548,"5,082"
60,0.506460,"Apr 09, 2018",0.546982,0.494330,-,0.519992,"68,236"
61,0.519766,"Apr 08, 2018",0.545789,0.493029,-,0.507805,"105,097"
62,0.507422,"Apr 07, 2018",0.541319,0.496435,-,0.520733,"69,904"
