,close,date,high,low,market_cap,open,volume
0,0.112885,"Jun 08, 2018",0.124194,0.112885,"2,465,270",0.117389,613
1,0.117300,"Jun 07, 2018",0.122158,0.114772,"2,477,180",0.117957,438
2,0.117849,"Jun 06, 2018",0.121568,0.115305,"2,550,420",0.121446,210
3,0.121478,"Jun 05, 2018",0.121554,0.106370,"2,293,460",0.109210,505
4,0.109158,"Jun 04, 2018",0.128991,0.108986,"2,437,160",0.116054,"1,337"
5,0.116026,"Jun 03, 2018",0.116514,0.108869,"2,314,070",0.110194,788
6,0.110164,"Jun 02, 2018",0.114249,0.106213,"2,273,880",0.108281,287
7,0.108328,"Jun 01, 2018",0.117462,0.106035,"2,230,730",0.106226,"1,028"
8,0.106149,"May 31, 2018",0.115816,0.102353,"2,320,950",0.110523,552
9,0.110544,"May 30, 2018",0.150799,0.105995,"3,130,820",0.149090,"7,867"
10,0.148990,"May 29, 2018",0.151813,0.141563,"2,989,130",0.142343,62
11,0.142389,"May 28, 2018",0.153005,0.141956,"3,213,010",0.153005,625
12,0.152970,"May 27, 2018",0.158112,0.152878,"3,303,810",0.157329,31
13,0.157260,"May 26, 2018",0.163709,0.145920,"3,418,830",0.162807,"1,661"
14,0.163021,"May 25, 2018",0.167046,0.160270,"3,498,410",0.166597,98
15,0.166285,"May 24, 2018",0.174796,0.163071,"3,531,900",0.168192,"2,241"
16,0.168618,"May 23, 2018",0.207149,0.164524,"4,106,570",0.195558,"4,899"
17,0.195761,"May 22, 2018",0.227459,0.195477,"4,776,460",0.227459,"1,957"
18,0.227500,"May 21, 2018",0.255669,0.214152,"5,365,040",0.255489,"7,323"
19,0.255170,"May 20, 2018",0.256902,0.235279,"4,972,950",0.236817,"2,447"
20,0.236640,"May 19, 2018",0.247698,0.235871,"5,178,680",0.246614,739
21,0.246652,"May 18, 2018",0.246813,0.193456,"4,330,420",0.206219,"4,614"
22,0.206039,"May 17, 2018",0.209637,0.188503,"4,175,230",0.198829,"2,348"
23,0.198708,"May 16, 2018",0.206687,0.192808,"4,223,480",0.201127,"1,773"
24,0.201243,"May 15, 2018",0.251075,0.200083,"4,980,060",0.237156,"5,358"
25,0.237564,"May 14, 2018",0.328314,0.211661,"4,479,910",0.213338,"35,292"
26,0.213377,"May 13, 2018",0.214913,0.191170,"4,105,710",0.195519,"1,655"
27,0.195587,"May 12, 2018",0.197541,0.172488,"3,622,100",0.172488,"1,255"
28,0.172997,"May 11, 2018",0.198971,0.172997,"4,142,850",0.197287,345
29,0.197051,"May 10, 2018",0.220374,0.194986,"4,254,310",0.202595,406
30,0.202652,"May 09, 2018",0.221567,0.183177,"3,846,550",0.183177,"4,067"
31,0.183457,"May 08, 2018",0.196994,0.173470,"3,996,220",0.190304,891
32,0.189901,"May 07, 2018",0.213722,0.188706,"4,487,200",0.213686,"1,060"
33,0.213533,"May 06, 2018",0.225344,0.203440,"4,700,770",0.223856,855
34,0.223705,"May 05, 2018",0.243186,0.215927,"4,675,910",0.222672,"2,906"
35,0.222778,"May 04, 2018",0.238515,0.202788,"4,340,540",0.206701,"6,030"
36,0.206994,"May 03, 2018",0.208258,0.185181,"4,000,780",0.190522,"1,341"
37,0.190515,"May 02, 2018",0.190937,0.173273,"3,672,970",0.174911,928
38,0.175175,"May 01, 2018",0.192427,0.171886,"3,859,850",0.183810,"1,500"
39,0.183650,"Apr 30, 2018",0.198415,0.171294,"3,631,540",0.172938,"4,301"
40,0.172996,"Apr 29, 2018",0.188371,0.154989,"3,254,630",0.154989,"3,855"
41,0.155050,"Apr 28, 2018",0.166297,0.149683,"3,322,160",0.158205,"1,176"
42,0.158750,"Apr 27, 2018",0.159642,0.146036,"3,126,330",0.148879,"1,328"
43,0.148673,"Apr 26, 2018",0.149005,0.136072,"3,069,710",0.146183,"1,150"
44,0.144982,"Apr 25, 2018",0.157611,0.142355,"3,295,960",0.156957,263
45,0.158175,"Apr 24, 2018",0.160776,0.147492,"3,203,730",0.152565,"1,233"
46,0.152435,"Apr 23, 2018",0.152883,0.143716,"3,024,450",0.144027,485
47,0.144319,"Apr 22, 2018",0.157512,0.142832,"3,182,710",0.151564,458
48,0.151564,"Apr 21, 2018",0.151564,0.134890,"2,860,840",0.136236,114
49,0.136190,"Apr 20, 2018",0.152350,0.130658,"3,097,570",0.147510,"2,949"
50,0.147413,"Apr 19, 2018",0.151009,0.137696,"2,926,860",0.139381,141
51,0.139277,"Apr 18, 2018",0.140308,0.132039,"2,895,890",0.137906,241
52,0.137563,"Apr 17, 2018",0.149435,0.134149,"2,875,220",0.136921,206
53,0.136852,"Apr 16, 2018",0.149628,0.132548,"3,096,690",0.147468,208
54,0.147530,"Apr 15, 2018",0.148872,0.139155,"2,937,320",0.139879,468
55,0.139729,"Apr 14, 2018",0.157610,0.136518,"3,013,840",0.143522,393
56,0.143523,"Apr 13, 2018",0.145208,0.125382,"2,656,250",0.126493,100
57,0.126334,"Apr 12, 2018",0.155014,0.108431,"2,338,910",0.111382,38
58,0.111651,"Apr 11, 2018",0.111651,0.108083,"2,283,060",0.108722,67
59,0.108617,"Apr 10, 2018",0.132954,0.108539,"2,318,710",0.110420,55
60,0.110330,"Apr 09, 2018",0.128475,0.106903,"2,476,600",0.117938,223
61,0.117748,"Apr 08, 2018",0.130716,0.113603,"2,654,480",0.126409,446
62,0.126295,"Apr 07, 2018",0.136512,0.107799,"2,308,900",0.109952,6
63,0.109821,"Apr 06, 2018",0.110910,0.103366,"2,295,300",0.109305,73
64,0.109865,"Apr 05, 2018",0.116461,0.107202,"2,323,210",0.110634,721
65,0.110587,"Apr 04, 2018",0.119380,0.101823,"2,297,250",0.109398,924
66,0.109473,"Apr 03, 2018",0.116807,0.103185,"2,188,480",0.104218,155
67,0.104144,"Apr 02, 2018",0.131445,0.102760,"2,388,770",0.113756,279
68,0.113199,"Apr 01, 2018",0.132956,0.098015,"2,564,250",0.122113,31
69,0.122116,"Mar 31, 2018",0.134279,0.116064,"2,619,660",0.124751,84
70,0.124732,"Mar 30, 2018",0.129683,0.097916,"2,245,600",0.106938,25
71,0.107204,"Mar 29, 2018",0.154952,0.102027,"2,768,650",0.131846,22
72,0.131692,"Mar 28, 2018",0.132577,0.113979,"2,406,820",0.114616,102
73,0.114642,"Mar 27, 2018",0.129988,0.114489,"2,720,910",0.129573,396
74,0.129769,"Mar 26, 2018",0.141584,0.124546,"2,959,310",0.140926,92
75,0.141034,"Mar 25, 2018",0.144183,0.128059,"2,689,120",0.128059,120
76,0.129846,"Mar 24, 2018",0.147575,0.124358,"3,098,930",0.147575,266
77,0.137643,"Mar 23, 2018",0.155304,0.132943,"3,261,250",0.155304,21
78,0.155308,"Mar 22, 2018",0.164660,0.138567,"2,922,730",0.139183,99
79,0.139438,"Mar 21, 2018",0.152904,0.136722,"3,205,930",0.152670,611
80,0.152394,"Mar 20, 2018",0.157285,0.138203,"2,983,240",0.142065,78
81,0.140498,"Mar 19, 2018",0.166087,0.129278,"3,385,450",0.161219,706
82,0.161901,"Mar 18, 2018",0.164035,0.117445,"2,578,570",0.122795,97
83,0.123094,"Mar 17, 2018",0.125150,0.115763,"2,565,930",0.122192,610
84,0.121991,"Mar 16, 2018",0.125928,0.098046,"2,611,230",0.124350,"1,134"
85,0.124420,"Mar 15, 2018",0.144390,0.122231,"3,013,140",0.143489,55
86,0.143554,"Mar 14, 2018",0.160792,0.136664,"3,215,630",0.153132,7
87,0.153111,"Mar 13, 2018",0.158680,0.137682,"3,163,280",0.150639,29
88,0.151509,"Mar 12, 2018",0.151920,0.141696,"3,122,350",0.148690,133
89,0.149160,"Mar 11, 2018",0.173008,0.135217,"3,522,390",0.167740,693
90,0.166339,"Mar 10, 2018",0.182982,0.159515,"3,439,480",0.163792,67
91,0.163721,"Mar 09, 2018",0.164592,0.132617,"3,073,680",0.146372,295
92,0.147305,"Mar 08, 2018",0.205699,0.145379,"4,259,330",0.202834,"4,814"
93,0.203122,"Mar 07, 2018",0.221970,0.194284,"4,396,240",0.209354,273
94,0.209626,"Mar 06, 2018",0.235514,0.207405,"4,674,960",0.222627,"1,910"
95,0.223244,"Mar 05, 2018",0.255359,0.223159,"4,992,730",0.237760,"2,213"
96,0.237934,"Mar 04, 2018",0.237934,0.226794,"4,967,570",0.236561,402
97,0.239950,"Mar 03, 2018",0.248933,0.230725,"5,202,800",0.247763,882
98,0.248066,"Mar 02, 2018",0.249934,0.207121,"4,574,490",0.217842,"5,337"
99,0.218404,"Mar 01, 2018",0.222801,0.168874,"3,663,940",0.174481,"11,574"
100,0.174224,"Feb 28, 2018",0.191519,0.168929,"3,844,210",0.183065,595
101,0.183281,"Feb 27, 2018",0.184681,0.170059,"3,666,050",0.174581,785
102,0.174078,"Feb 26, 2018",0.177189,0.160381,"3,459,580",0.164749,364
103,0.164538,"Feb 25, 2018",0.176923,0.160739,"3,668,080",0.174678,448
104,0.174943,"Feb 24, 2018",0.198284,0.164495,"3,814,290",0.181641,"1,094"
105,0.181871,"Feb 23, 2018",0.186931,0.176537,"3,842,780",0.182998,405
