,close,date,high,low,market_cap,open,volume
0,0.001954,"Jun 02, 2018",0.001956,0.001943,"39,441",0.001954,1
1,0.001955,"Jun 01, 2018",0.002031,0.001915,"40,822",0.002023,1
2,0.002021,"May 31, 2018",0.002021,0.002018,"40,757",0.002020,2
3,0.001849,"May 24, 2018",0.001930,0.001849,"37,939",0.001880,2
4,0.001885,"May 23, 2018",0.002408,0.001868,"48,457",0.002401,2
5,0.002404,"May 22, 2018",0.002411,0.002390,"48,435",0.002400,135
6,0.002558,"May 21, 2018",0.002574,0.002539,"51,629",0.002558,7
7,0.002555,"May 20, 2018",0.002575,0.002486,"50,187",0.002487,7
8,0.002006,"May 17, 2018",0.002015,0.002004,"40,436",0.002004,38
9,0.002002,"May 16, 2018",0.002038,0.001952,"41,104",0.002037,38
10,0.002038,"May 15, 2018",0.002044,0.002026,"41,173",0.002040,10
11,0.002673,"May 11, 2018",0.002711,0.002670,"54,720",0.002711,2
12,0.002708,"May 10, 2018",0.002817,0.002706,"56,391",0.002794,2
13,0.002795,"May 09, 2018",0.002795,0.002217,"44,944",0.002227,6
14,0.002380,"May 08, 2018",0.002458,0.002359,"49,150",0.002435,2
15,0.002430,"May 07, 2018",0.002597,0.002326,"52,385",0.002596,230
16,0.002594,"May 06, 2018",0.003269,0.002594,"61,491",0.003047,12
17,0.003045,"May 05, 2018",0.003087,0.002741,"55,568",0.002753,17
18,0.002616,"May 04, 2018",0.002638,0.002582,"53,115",0.002632,1
19,0.002633,"May 03, 2018",0.002829,0.002492,"50,395",0.002497,42
20,0.002716,"May 01, 2018",0.002772,0.002674,"55,949",0.002772,1
21,0.002770,"Apr 30, 2018",0.002805,0.002752,"55,606",0.002755,1
22,0.002622,"Apr 28, 2018",0.002640,0.002490,"50,381",0.002496,3
23,0.002505,"Apr 27, 2018",0.002674,0.002505,"53,970",0.002674,3
24,0.002579,"Apr 26, 2018",0.002595,0.002508,"51,872",0.002570,1
25,0.002549,"Apr 25, 2018",0.002826,0.002546,"56,759",0.002812,1
26,0.002832,"Apr 24, 2018",0.002832,0.002744,"55,509",0.002750,1
27,0.002384,"Apr 23, 2018",0.002393,0.002369,"47,849",0.002371,24
28,0.002376,"Apr 22, 2018",0.002425,0.002363,"48,651",0.002411,23
29,0.002411,"Apr 21, 2018",0.003103,0.002339,"62,455",0.003095,24
30,0.003094,"Apr 20, 2018",0.003122,0.002882,"58,407",0.002894,1
31,0.002892,"Apr 19, 2018",0.002892,0.002683,"54,374",0.002694,11
32,0.002692,"Apr 18, 2018",0.002703,0.002241,"52,588",0.002606,5
33,0.002603,"Apr 17, 2018",0.002687,0.002595,"53,609",0.002656,2
34,0.002655,"Apr 16, 2018",0.002769,0.002613,"55,579",0.002754,2
35,0.002755,"Apr 15, 2018",0.002755,0.002181,"48,443",0.002400,105
36,0.002398,"Apr 14, 2018",0.002452,0.002352,"47,630",0.002360,31
37,0.002360,"Apr 13, 2018",0.003338,0.002347,"65,520",0.003246,31
38,0.003242,"Apr 12, 2018",0.003259,0.002773,"57,478",0.002848,5
39,0.002855,"Apr 11, 2018",0.002988,0.001913,"38,598",0.001913,708
40,0.001921,"Apr 07, 2018",0.001932,0.001851,"37,416",0.001854,6
41,0.001852,"Apr 06, 2018",0.001917,0.001827,"38,292",0.001897,6
42,0.001907,"Apr 05, 2018",0.001982,0.001900,"39,750",0.001970,18
43,0.001969,"Apr 04, 2018",0.002151,0.001951,"43,406",0.002151,1
44,0.002152,"Apr 03, 2018",0.002304,0.002038,"41,257",0.002044,12
45,0.002043,"Apr 02, 2018",0.002059,0.001899,"38,568",0.001911,5
46,0.001902,"Apr 01, 2018",0.001950,0.001741,"37,761",0.001871,3
47,0.001871,"Mar 31, 2018",0.001943,0.001841,"37,256",0.001846,2
48,0.001846,"Mar 30, 2018",0.001872,0.001717,"37,170",0.001842,6
49,0.001846,"Mar 29, 2018",0.002227,0.001793,"44,875",0.002224,3
50,0.002221,"Mar 28, 2018",0.002256,0.001936,"39,288",0.001947,11
51,0.001947,"Mar 27, 2018",0.002786,0.001784,"56,054",0.002777,217
52,0.002782,"Mar 26, 2018",0.002800,0.002670,"56,209",0.002785,9
53,0.002787,"Mar 25, 2018",0.002864,0.002764,"56,630",0.002806,9
54,0.002845,"Mar 24, 2018",0.002968,0.002838,"59,353",0.002941,1
55,0.002811,"Mar 23, 2018",0.002811,0.002318,"46,913",0.002325,20
56,0.002441,"Mar 21, 2018",0.002460,0.002401,"48,520",0.002404,149
57,0.002400,"Mar 20, 2018",0.003285,0.002284,"66,132",0.003277,147
58,0.003241,"Mar 19, 2018",0.003272,0.002849,"57,853",0.002867,1
59,0.002879,"Mar 18, 2018",0.002909,0.002574,"55,707",0.002760,33
60,0.002767,"Mar 17, 2018",0.002912,0.002712,"58,638",0.002906,4
61,0.002901,"Mar 16, 2018",0.003003,0.002783,"58,349",0.002891,9
62,0.002893,"Mar 15, 2018",0.002942,0.002695,"57,971",0.002872,10
63,0.002874,"Mar 14, 2018",0.002901,0.002675,"57,241",0.002836,2
64,0.002836,"Mar 13, 2018",0.003224,0.002692,"56,862",0.002818,15
65,0.002834,"Mar 12, 2018",0.003363,0.002509,"65,491",0.003245,51
66,0.003255,"Mar 11, 2018",0.003601,0.003195,"69,069",0.003422,159
67,0.003434,"Mar 10, 2018",0.003699,0.003403,"72,881",0.003611,2
68,0.003610,"Mar 09, 2018",0.003761,0.002939,"75,023",0.003717,326
69,0.003741,"Mar 08, 2018",0.004138,0.003063,"61,879",0.003066,15
70,0.003070,"Mar 07, 2018",0.003373,0.002928,"67,061",0.003323,8
71,0.003327,"Mar 06, 2018",0.003857,0.003288,"71,981",0.003567,35
72,0.003577,"Mar 05, 2018",0.003606,0.002626,"53,369",0.002644,52
73,0.002646,"Mar 04, 2018",0.004236,0.002620,"85,423",0.004233,962
74,0.004240,"Mar 03, 2018",0.005402,0.004175,"104,523",0.005179,129
75,0.005185,"Mar 02, 2018",0.005687,0.003674,"114,307",0.005664,204
76,0.004711,"Mar 01, 2018",0.004757,0.004405,"89,601",0.004440,7
77,0.004433,"Feb 28, 2018",0.005766,0.004429,"99,085",0.004910,76
78,0.004704,"Feb 27, 2018",0.004766,0.004475,"91,567",0.004537,1
79,0.004524,"Feb 26, 2018",0.006153,0.003952,"121,887",0.006040,19
80,0.006032,"Feb 25, 2018",0.006185,0.003952,"88,057",0.004363,126
81,0.004370,"Feb 24, 2018",0.004619,0.004215,"90,102",0.004465,28
82,0.004470,"Feb 23, 2018",0.004570,0.004225,"87,422",0.004332,95
83,0.004336,"Feb 22, 2018",0.007635,0.004290,"147,861",0.007327,8
84,0.007334,"Feb 21, 2018",0.007445,0.005185,"113,184",0.005608,36
85,0.005615,"Feb 20, 2018",0.006046,0.005555,"117,238",0.005809,15
86,0.005804,"Feb 19, 2018",0.009906,0.005704,"184,484",0.009141,47
87,0.009183,"Feb 18, 2018",0.009230,0.005414,"156,720",0.007765,20
88,0.007742,"Feb 17, 2018",0.007788,0.007044,"144,005",0.007135,15
89,0.007137,"Feb 16, 2018",0.007160,0.005069,"105,894",0.005247,20
90,0.005270,"Feb 15, 2018",0.005305,0.004871,"99,435",0.004927,11
91,0.004924,"Feb 14, 2018",0.004937,0.004510,"91,023",0.004510,14
92,0.004524,"Feb 13, 2018",0.006850,0.004459,"112,354",0.005567,360
93,0.004563,"Feb 11, 2018",0.004702,0.004322,"94,901",0.004702,8
94,0.004706,"Feb 10, 2018",0.007695,0.004499,"153,112",0.007587,23
95,0.006304,"Feb 06, 2018",0.006489,0.005285,"124,660",0.006177,1
96,0.006169,"Feb 05, 2018",0.007293,0.005932,"144,197",0.007145,1
97,0.007215,"Feb 04, 2018",0.008043,0.006896,"162,312",0.008043,3
98,0.008038,"Feb 03, 2018",0.008256,0.007299,"159,189",0.007888,1
99,0.007861,"Feb 02, 2018",0.008102,0.006709,"159,452",0.007901,3
100,0.007917,"Feb 01, 2018",0.008886,0.007519,"178,572",0.008848,6
101,0.008828,"Jan 31, 2018",0.008898,0.005493,"115,229",0.005710,4
102,0.005701,"Jan 30, 2018",0.009878,0.005684,"198,906",0.009856,49
103,0.009853,"Jan 29, 2018",0.010223,0.009568,"203,671",0.010092,26
104,0.010101,"Jan 28, 2018",0.010628,0.010046,"212,050",0.010507,157
105,0.010710,"Jan 27, 2018",0.010972,0.010483,"215,553",0.010681,4
106,0.010688,"Jan 26, 2018",0.011153,0.009982,"216,225",0.010714,4
