,close,date,high,low,market_cap,open,volume
0,0.009907,"Jun 08, 2018",0.012239,0.009242,"346,472",0.009634,"1,080"
1,0.009627,"Jun 07, 2018",0.009706,0.009527,"343,546",0.009555,31
2,0.009546,"Jun 06, 2018",0.009855,0.009363,"353,203",0.009826,114
3,0.009829,"Jun 05, 2018",0.010910,0.009219,"344,485",0.009585,243
4,0.009581,"Jun 04, 2018",0.010040,0.009199,"359,773",0.010013,106
5,0.010008,"Jun 03, 2018",0.010239,0.009937,"364,318",0.010142,234
6,0.010139,"Jun 02, 2018",0.010844,0.009799,"353,879",0.009854,56
7,0.009856,"Jun 01, 2018",0.012068,0.009597,"369,242",0.010284,739
8,0.009166,"May 31, 2018",0.016180,0.008582,"309,087",0.008610,"3,051"
9,0.008612,"May 30, 2018",0.009136,0.008342,"324,151",0.009032,173
10,0.009026,"May 29, 2018",0.009197,0.008484,"307,335",0.008566,351
11,0.008568,"May 28, 2018",0.009148,0.008556,"323,883",0.009029,110
12,0.009027,"May 27, 2018",0.009116,0.008724,"317,244",0.008846,85
13,0.008842,"May 26, 2018",0.009300,0.008808,"326,654",0.009111,165
14,0.009123,"May 25, 2018",0.009313,0.008980,"327,199",0.009128,208
15,0.009111,"May 24, 2018",0.009321,0.008750,"322,739",0.009006,33
16,0.009028,"May 23, 2018",0.009792,0.008954,"346,960",0.009684,298
17,0.009694,"May 22, 2018",0.010640,0.009633,"370,418",0.010341,320
18,0.010343,"May 21, 2018",0.010813,0.010254,"375,601",0.010489,62
19,0.010476,"May 20, 2018",0.010700,0.010192,"367,266",0.010258,288
20,0.010251,"May 19, 2018",0.010459,0.010217,"368,613",0.010299,76
21,0.010300,"May 18, 2018",0.010337,0.009851,"357,810",0.009999,60
22,0.009991,"May 17, 2018",0.010544,0.009884,"375,120",0.010486,50
23,0.010479,"May 16, 2018",0.010479,0.009459,"352,324",0.009851,192
24,0.009857,"May 15, 2018",0.010620,0.009800,"374,122",0.010463,341
25,0.010481,"May 14, 2018",0.017151,0.010178,"391,438",0.010950,"1,570"
26,0.010952,"May 13, 2018",0.011026,0.010212,"369,520",0.010339,46
27,0.010342,"May 12, 2018",0.010972,0.010137,"371,868",0.010407,75
28,0.010438,"May 11, 2018",0.011452,0.010370,"401,202",0.011231,55
29,0.011217,"May 10, 2018",0.012197,0.011207,"412,057",0.011537,93
30,0.011541,"May 09, 2018",0.011588,0.011151,"407,290",0.011407,97
31,0.011424,"May 08, 2018",0.011981,0.011408,"423,753",0.011871,57
32,0.011846,"May 07, 2018",0.012216,0.011692,"435,735",0.012209,110
33,0.012201,"May 06, 2018",0.012841,0.011847,"441,287",0.012368,414
34,0.012360,"May 05, 2018",0.013003,0.012221,"441,746",0.012384,183
35,0.012390,"May 04, 2018",0.012813,0.012330,"450,450",0.012631,373
36,0.012636,"May 03, 2018",0.012697,0.011022,"438,951",0.012312,"8,181"
37,0.012311,"May 02, 2018",0.013725,0.011208,"414,620",0.011632,"1,044"
38,0.011650,"May 01, 2018",0.012234,0.011295,"417,033",0.011703,307
39,0.011693,"Apr 30, 2018",0.012437,0.011609,"431,586",0.012114,109
40,0.012118,"Apr 29, 2018",0.012478,0.011495,"409,420",0.011495,253
41,0.011499,"Apr 28, 2018",0.013711,0.011119,"396,969",0.011148,876
42,0.011186,"Apr 27, 2018",0.012439,0.011186,"424,484",0.011924,341
43,0.011907,"Apr 26, 2018",0.012278,0.011311,"426,575",0.011985,65
44,0.011887,"Apr 25, 2018",0.012648,0.011819,"448,537",0.012605,171
45,0.012691,"Apr 24, 2018",0.013179,0.011483,"415,654",0.011684,"1,025"
46,0.011674,"Apr 23, 2018",0.011996,0.010689,"380,501",0.010698,208
47,0.010720,"Apr 22, 2018",0.011152,0.010720,"388,395",0.010923,89
48,0.011472,"Apr 21, 2018",0.011472,0.010827,"401,063",0.011282,194
49,0.011278,"Apr 20, 2018",0.011384,0.010570,"376,265",0.010587,114
50,0.010580,"Apr 19, 2018",0.010724,0.010406,"377,496",0.010624,105
51,0.010616,"Apr 18, 2018",0.011075,0.009812,"348,897",0.009822,128
52,0.009813,"Apr 17, 2018",0.010159,0.009504,"355,104",0.009999,285
53,0.009994,"Apr 16, 2018",0.011569,0.008165,"410,782",0.011569,948
54,0.011574,"Apr 15, 2018",0.011664,0.010002,"355,060",0.010002,124
55,0.009992,"Apr 14, 2018",0.016341,0.009931,"385,439",0.010861,546
56,0.010861,"Apr 13, 2018",0.011189,0.010379,"371,518",0.010471,86
57,0.010458,"Apr 12, 2018",0.010983,0.009255,"330,950",0.009330,96
58,0.009352,"Apr 11, 2018",0.009660,0.009282,"340,184",0.009592,163
59,0.009583,"Apr 10, 2018",0.010003,0.009529,"353,453",0.009969,39
60,0.009961,"Apr 09, 2018",0.010788,0.009267,"337,908",0.009532,127
61,0.009517,"Apr 08, 2018",0.009591,0.009087,"325,951",0.009197,328
62,0.009189,"Apr 07, 2018",0.009942,0.008547,"303,290",0.008560,96
63,0.008550,"Apr 06, 2018",0.010244,0.008482,"332,098",0.009375,216
64,0.009423,"Apr 05, 2018",0.010126,0.009390,"351,177",0.009916,48
65,0.009912,"Apr 04, 2018",0.010946,0.009822,"380,062",0.010734,66
66,0.010741,"Apr 03, 2018",0.011367,0.010646,"386,716",0.010925,241
67,0.010917,"Apr 02, 2018",0.010927,0.009561,"340,581",0.009623,54
68,0.009576,"Apr 01, 2018",0.010307,0.009540,"357,103",0.010093,19
