,close,date,high,low,market_cap,open,volume
0,0.055986,"Jun 08, 2018",0.056238,0.054810,"1,379,500",0.055850,83
1,0.055808,"Jun 07, 2018",0.056251,0.055588,"1,373,040",0.055588,76
2,0.055537,"Jun 06, 2018",0.061602,0.054571,"1,444,350",0.058475,430
3,0.058491,"Jun 05, 2018",0.060103,0.055433,"1,484,570",0.060103,182
4,0.056564,"Jun 04, 2018",0.058281,0.056330,"1,435,700",0.058125,423
5,0.058098,"Jun 03, 2018",0.064460,0.050749,"1,259,100",0.050975,834
6,0.050961,"Jun 02, 2018",0.058276,0.050952,"1,387,510",0.056174,128
7,0.056198,"Jun 01, 2018",0.072230,0.054679,"1,776,890",0.071938,438
8,0.071886,"May 31, 2018",0.072765,0.037281,"920,887",0.037283,317
9,0.056792,"May 30, 2018",0.058287,0.056396,"1,423,390",0.057627,17
10,0.057588,"May 29, 2018",0.059599,0.055606,"1,381,070",0.055913,276
11,0.055932,"May 28, 2018",0.058467,0.055596,"1,431,320",0.057947,113
12,0.057934,"May 27, 2018",0.062275,0.056584,"1,538,200",0.062275,278
13,0.062247,"May 26, 2018",0.082707,0.058900,"1,468,300",0.059445,133
14,0.059523,"May 25, 2018",0.060909,0.058592,"1,485,080",0.060124,21
15,0.060011,"May 24, 2018",0.069053,0.059595,"1,660,950",0.067244,74
16,0.067415,"May 23, 2018",0.083461,0.066864,"1,719,570",0.069618,232
17,0.069690,"May 22, 2018",0.098617,0.064309,"1,613,050",0.065305,726
18,0.065317,"May 21, 2018",0.097032,0.064968,"1,900,910",0.076959,376
19,0.076863,"May 20, 2018",0.077458,0.068842,"1,703,600",0.068971,361
20,0.068920,"May 19, 2018",0.070166,0.063349,"1,719,610",0.069619,"1,185"
21,0.069630,"May 18, 2018",0.074229,0.068339,"1,811,530",0.073341,650
22,0.073276,"May 17, 2018",0.075684,0.063806,"1,717,700",0.069542,222
23,0.069499,"May 16, 2018",0.069505,0.065239,"1,714,610",0.069417,34
24,0.069457,"May 15, 2018",0.072579,0.069057,"1,760,250",0.071264,552
25,0.071387,"May 14, 2018",0.081253,0.070959,"2,002,710",0.081080,"1,527"
26,0.081095,"May 13, 2018",0.096557,0.079012,"2,082,320",0.084304,340
27,0.084333,"May 12, 2018",0.123643,0.063969,"1,580,060",0.063969,"4,978"
28,0.064158,"May 11, 2018",0.085047,0.063735,"2,100,680",0.085047,192
29,0.084945,"May 10, 2018",0.111864,0.084863,"2,749,020",0.111295,360
30,0.111327,"May 09, 2018",0.112728,0.076776,"2,783,400",0.112687,"1,297"
31,0.112860,"May 08, 2018",0.113235,0.074703,"2,128,550",0.086175,181
32,0.085993,"May 07, 2018",0.086671,0.079061,"2,048,440",0.082932,712
33,0.082873,"May 06, 2018",0.109420,0.076235,"1,971,300",0.079809,"5,573"
34,0.079755,"May 05, 2018",0.095232,0.078705,"2,348,870",0.095095,130
35,0.095140,"May 04, 2018",0.095863,0.072097,"1,822,290",0.073776,344
36,0.073805,"May 03, 2018",0.083896,0.070065,"2,060,830",0.083434,332
37,0.083431,"May 02, 2018",0.083620,0.076420,"1,907,870",0.077241,922
38,0.077358,"May 01, 2018",0.086956,0.077314,"2,147,840",0.086956,377
39,0.086880,"Apr 30, 2018",0.092578,0.082434,"2,085,770",0.084443,"2,159"
40,0.084471,"Apr 29, 2018",0.086558,0.079090,"2,096,050",0.084859,"1,761"
41,0.084892,"Apr 28, 2018",0.175885,0.068467,"1,759,330",0.071227,"6,323"
42,0.071472,"Apr 27, 2018",0.099313,0.067551,"1,683,270",0.068148,"4,779"
43,0.068054,"Apr 26, 2018",0.068205,0.051595,"1,332,250",0.053937,417
44,0.053493,"Apr 25, 2018",0.081771,0.053419,"1,980,930",0.080199,"1,290"
45,0.080747,"Apr 24, 2018",0.087014,0.071796,"1,958,870",0.079306,"1,186"
46,0.079238,"Apr 23, 2018",0.099842,0.079151,"2,199,700",0.089056,"1,137"
47,0.089484,"Apr 22, 2018",0.121967,0.079695,"2,306,480",0.093379,"2,887"
48,0.145849,"Apr 21, 2018",0.148341,0.064510,"1,646,710",0.066668,"16,072"
49,0.066645,"Apr 20, 2018",0.067222,0.057484,"1,437,820",0.058211,820
50,0.058173,"Apr 19, 2018",0.082126,0.039684,"1,217,710",0.049299,"11,510"
51,0.049263,"Apr 18, 2018",0.053525,0.042739,"1,255,440",0.050827,777
52,0.050780,"Apr 17, 2018",0.052537,0.029030,"718,520",0.029090,"3,964"
53,0.029075,"Apr 16, 2018",0.043197,0.024198,"1,066,980",0.043197,"2,790"
54,0.043215,"Apr 15, 2018",0.090492,0.031602,"941,986",0.038137,"29,223"
55,0.038096,"Apr 14, 2018",0.292056,0.025368,"684,508",0.027713,"38,706"
56,0.027713,"Apr 13, 2018",0.040875,0.024318,"834,264",0.033775,"1,252"
57,0.033733,"Apr 12, 2018",0.047364,0.016967,"579,931",0.023479,"2,529"
58,0.023536,"Apr 11, 2018",0.031316,0.023240,"654,764",0.026508,1
59,0.026483,"Apr 10, 2018",0.030702,0.022699,"649,895",0.026311,128
60,0.026290,"Apr 09, 2018",0.026290,0.023068,"583,066",0.023606,9
61,0.023568,"Apr 08, 2018",0.029640,0.020644,"509,907",0.020644,25
62,0.020625,"Apr 07, 2018",0.022603,0.020341,"531,575",0.021521,16
63,0.021495,"Apr 06, 2018",0.029260,0.019999,"714,545",0.028929,88
64,0.029077,"Apr 05, 2018",0.031565,0.021256,"542,300",0.021955,159
65,0.021946,"Apr 04, 2018",0.031227,0.021746,"771,301",0.031227,198
66,0.031248,"Apr 03, 2018",0.036189,0.028364,"700,594",0.028364,491
67,0.028344,"Apr 02, 2018",0.028344,0.023747,"662,705",0.026830,252
68,0.026699,"Apr 01, 2018",0.026850,0.020997,"640,742",0.025941,467
69,0.025941,"Mar 31, 2018",0.026145,0.018275,"516,772",0.020922,348
70,0.020918,"Mar 30, 2018",0.023286,0.017813,"570,486",0.023096,186
71,0.023154,"Mar 29, 2018",0.025514,0.021540,"555,875",0.022505,145
72,0.022478,"Mar 28, 2018",0.037025,0.021564,"786,473",0.031841,171
73,0.031848,"Mar 27, 2018",0.032867,0.025610,"632,672",0.025614,"1,669"
74,0.025653,"Mar 26, 2018",0.030720,0.023364,"620,465",0.025120,503
75,0.025139,"Mar 25, 2018",0.032685,0.021986,"802,626",0.032495,523
76,0.032948,"Mar 24, 2018",0.036215,0.026108,"866,283",0.035072,712
77,0.034569,"Mar 23, 2018",0.039580,0.032942,"977,635",0.039580,402
78,0.039581,"Mar 22, 2018",0.039767,0.027768,"773,074",0.031298,303
79,0.031355,"Mar 21, 2018",0.045255,0.031061,"901,591",0.036501,"1,933"
80,0.036435,"Mar 20, 2018",0.037028,0.032300,"848,302",0.034344,62
81,0.033965,"Mar 19, 2018",0.034029,0.030032,"764,693",0.030959,189
82,0.031090,"Mar 18, 2018",0.031991,0.025241,"751,378",0.030420,612
83,0.030494,"Mar 17, 2018",0.033335,0.026931,"727,874",0.029468,712
84,0.029420,"Mar 16, 2018",0.035788,0.025816,"666,529",0.026985,648
85,0.027000,"Mar 15, 2018",0.035936,0.025676,"882,094",0.035712,397
86,0.035728,"Mar 14, 2018",0.041563,0.031163,"906,402",0.036696,214
87,0.036691,"Mar 13, 2018",0.038386,0.030318,"870,898",0.035259,290
88,0.035462,"Mar 12, 2018",0.046923,0.032997,"968,347",0.039204,214
89,0.039328,"Mar 11, 2018",0.039927,0.033862,"898,362",0.036371,117
90,0.036496,"Mar 10, 2018",0.048382,0.035909,"886,948",0.035909,775
91,0.035893,"Mar 09, 2018",0.040151,0.030934,"980,176",0.039683,162
92,0.039936,"Mar 08, 2018",0.040986,0.028277,"941,902",0.038133,230
93,0.038187,"Mar 07, 2018",0.042855,0.032360,"979,163",0.039642,275
94,0.039669,"Mar 06, 2018",0.047179,0.031324,"1,034,450",0.041880,845
95,0.041996,"Mar 05, 2018",0.052010,0.035396,"1,148,600",0.046501,517
96,0.046536,"Mar 04, 2018",0.057063,0.033370,"1,386,840",0.056147,336
97,0.056244,"Mar 03, 2018",0.070026,0.054976,"1,403,110",0.056806,559
98,0.056875,"Mar 02, 2018",0.067207,0.034536,"1,392,920",0.056393,"3,271"
99,0.056538,"Mar 01, 2018",0.058025,0.040470,"1,008,980",0.040849,815
100,0.040789,"Feb 28, 2018",0.044432,0.029471,"805,883",0.032627,881
101,0.032665,"Feb 27, 2018",0.048361,0.029430,"1,167,800",0.047279,158
102,0.047142,"Feb 26, 2018",0.051396,0.041503,"1,104,620",0.044721,792
103,0.044664,"Feb 25, 2018",0.045171,0.032634,"1,018,880",0.041250,599
104,0.041312,"Feb 24, 2018",0.045911,0.034899,"940,991",0.038096,632
105,0.038145,"Feb 23, 2018",0.047633,0.028804,"1,017,510",0.041194,"1,518"
106,0.041794,"Feb 22, 2018",0.049547,0.036998,"1,192,400",0.048275,435
107,0.048324,"Feb 21, 2018",0.048507,0.025279,"640,384",0.025926,"1,491"
108,0.025958,"Feb 20, 2018",0.056962,0.025681,"1,359,750",0.055050,"1,567"
109,0.055000,"Feb 19, 2018",0.057945,0.052203,"1,293,420",0.052365,"1,635"
110,0.052607,"Feb 18, 2018",0.074818,0.046601,"1,324,190",0.053610,"6,598"
111,0.053446,"Feb 17, 2018",0.053842,0.047027,"1,275,530",0.051640,495
112,0.051652,"Feb 16, 2018",0.051815,0.046401,"1,178,840",0.047726,313
113,0.047931,"Feb 15, 2018",0.050131,0.044477,"1,164,570",0.047148,574
