,close,date,high,low,market_cap,open,volume
0,0.000534,"Jun 08, 2018",0.000612,0.000529,"488,908",0.000538,"2,533"
1,0.000537,"Jun 07, 2018",0.000620,0.000463,"543,689",0.000598,945
2,0.000598,"Jun 06, 2018",0.000601,0.000471,"428,037",0.000471,57
3,0.000471,"Jun 05, 2018",0.000601,0.000471,"541,933",0.000597,194
4,0.000597,"Jun 04, 2018",0.000600,0.000523,"523,869",0.000577,654
5,0.000577,"Jun 03, 2018",0.000618,0.000532,"484,934",0.000534,227
6,0.000534,"Jun 02, 2018",0.000611,0.000523,"477,192",0.000526,751
7,0.000573,"Jun 01, 2018",0.000575,0.000516,"515,966",0.000569,85
8,0.000569,"May 31, 2018",0.000591,0.000516,"535,216",0.000591,344
9,0.000591,"May 30, 2018",0.000603,0.000524,"483,359",0.000534,"1,896"
10,0.000533,"May 29, 2018",0.000661,0.000497,"486,210",0.000537,157
11,0.000537,"May 28, 2018",0.000615,0.000530,"550,097",0.000608,453
12,0.000608,"May 27, 2018",0.000612,0.000579,"530,989",0.000587,412
13,0.000587,"May 26, 2018",0.000672,0.000583,"608,009",0.000672,255
14,0.000673,"May 25, 2018",0.000742,0.000591,"559,104",0.000618,956
15,0.000617,"May 24, 2018",0.000688,0.000515,"605,206",0.000669,330
16,0.000671,"May 23, 2018",0.000712,0.000567,"587,066",0.000650,839
17,0.000650,"May 22, 2018",0.000796,0.000578,"701,788",0.000777,"1,715"
18,0.000777,"May 21, 2018",0.000851,0.000677,"768,375",0.000851,"1,398"
19,0.000850,"May 20, 2018",0.000856,0.000662,"734,941",0.000814,634
20,0.000813,"May 19, 2018",0.000822,0.000681,"669,144",0.000742,998
21,0.000742,"May 18, 2018",0.000804,0.000639,"642,616",0.000712,"1,596"
22,0.000712,"May 17, 2018",0.000819,0.000579,"602,321",0.000668,"2,203"
23,0.000667,"May 16, 2018",0.000703,0.000596,"612,040",0.000679,"3,125"
24,0.000679,"May 15, 2018",0.000790,0.000596,"703,392",0.000781,"1,164"
25,0.000782,"May 14, 2018",0.000797,0.000587,"551,287",0.000612,"2,686"
26,0.000612,"May 13, 2018",0.000699,0.000594,"610,038",0.000677,"3,274"
27,0.000678,"May 12, 2018",0.000774,0.000588,"609,230",0.000677,"7,471"
28,0.000679,"May 11, 2018",0.001341,0.000679,"1,053,470",0.001171,"130,928"
29,0.001169,"May 10, 2018",0.001310,0.000649,"586,511",0.000652,"137,388"
30,0.000652,"May 09, 2018",0.000725,0.000633,"633,706",0.000705,860
31,0.000706,"May 08, 2018",0.000967,0.000635,"642,565",0.000715,"2,793"
32,0.000713,"May 07, 2018",0.000767,0.000648,"614,465",0.000684,"1,023"
33,0.000683,"May 06, 2018",0.000794,0.000661,"706,144",0.000786,"1,305"
34,0.000786,"May 05, 2018",0.000797,0.000681,"695,516",0.000775,"6,128"
35,0.000775,"May 04, 2018",0.000780,0.000669,"612,277",0.000682,"4,754"
36,0.000683,"May 03, 2018",0.000736,0.000582,"578,886",0.000645,"1,184"
37,0.000645,"May 02, 2018",0.000820,0.000548,"636,599",0.000710,"8,529"
38,0.000704,"May 01, 2018",0.000706,0.000621,"579,747",0.000647,348
39,0.000646,"Apr 30, 2018",0.000661,0.000640,"589,603",0.000658,434
40,0.000658,"Apr 29, 2018",0.000762,0.000648,"669,576",0.000748,"1,753"
41,0.000748,"Apr 28, 2018",0.000755,0.000623,"558,788",0.000624,215
42,0.000626,"Apr 27, 2018",0.000836,0.000461,"661,960",0.000740,"6,778"
43,0.000739,"Apr 26, 2018",0.000798,0.000622,"634,392",0.000709,435
44,0.000703,"Apr 25, 2018",0.000962,0.000703,"777,404",0.000869,685
45,0.000875,"Apr 24, 2018",0.000939,0.000714,"638,390",0.000714,"1,375"
46,0.000789,"Apr 23, 2018",0.000801,0.000623,"700,160",0.000783,348
47,0.000785,"Apr 22, 2018",0.000794,0.000700,"638,097",0.000714,"1,250"
48,0.000714,"Apr 21, 2018",0.000788,0.000613,"552,667",0.000619,"1,285"
49,0.000619,"Apr 20, 2018",0.000765,0.000498,"589,344",0.000660,"1,723"
50,0.000660,"Apr 19, 2018",0.000660,0.000491,"491,668",0.000551,641
51,0.000551,"Apr 18, 2018",0.000569,0.000480,"492,987",0.000553,76
52,0.000552,"Apr 17, 2018",0.000644,0.000482,"430,596",0.000483,269
53,0.000483,"Apr 16, 2018",0.000586,0.000480,"519,438",0.000583,188
54,0.000583,"Apr 15, 2018",0.000585,0.000480,"427,746",0.000480,177
55,0.000480,"Apr 14, 2018",0.000635,0.000478,"490,392",0.000551,421
56,0.000551,"Apr 13, 2018",0.000575,0.000470,"486,032",0.000546,"1,369"
57,0.000545,"Apr 12, 2018",0.000548,0.000406,"421,671",0.000474,321
58,0.000475,"Apr 11, 2018",0.000483,0.000410,"408,189",0.000459,432
59,0.000458,"Apr 10, 2018",0.000459,0.000399,"360,656",0.000406,"1,357"
60,0.000405,"Apr 09, 2018",0.000479,0.000400,"374,648",0.000422,254
61,0.000421,"Apr 08, 2018",0.000488,0.000414,"368,042",0.000414,95
62,0.000414,"Apr 07, 2018",0.000490,0.000402,"357,691",0.000403,131
63,0.000402,"Apr 06, 2018",0.000479,0.000399,"421,076",0.000474,196
64,0.000477,"Apr 05, 2018",0.000547,0.000464,"482,185",0.000543,712
65,0.000543,"Apr 04, 2018",0.000593,0.000510,"526,365",0.000593,125
66,0.000539,"Apr 03, 2018",0.000547,0.000492,"437,559",0.000493,352
67,0.000493,"Apr 02, 2018",0.000601,0.000456,"406,707",0.000459,419
68,0.000457,"Apr 01, 2018",0.000559,0.000451,"487,779",0.000551,367
69,0.000551,"Mar 31, 2018",0.000573,0.000481,"484,273",0.000547,205
70,0.000547,"Mar 30, 2018",0.000632,0.000478,"448,852",0.000507,203
71,0.000508,"Mar 29, 2018",0.000710,0.000483,"491,967",0.000556,192
72,0.000556,"Mar 28, 2018",0.000724,0.000551,"618,175",0.000699,306
73,0.000699,"Mar 27, 2018",0.000728,0.000543,"505,332",0.000572,284
74,0.000573,"Mar 26, 2018",0.000719,0.000556,"521,922",0.000591,498
75,0.000591,"Mar 25, 2018",0.000689,0.000586,"525,686",0.000595,542
76,0.000604,"Mar 24, 2018",0.000716,0.000602,"552,595",0.000626,208
77,0.000617,"Mar 23, 2018",0.000693,0.000606,"577,619",0.000654,210
78,0.000655,"Mar 22, 2018",0.000726,0.000599,"627,871",0.000712,698
79,0.000713,"Mar 21, 2018",0.000733,0.000595,"628,302",0.000712,560
80,0.000711,"Mar 20, 2018",0.000718,0.000584,"566,037",0.000642,483
81,0.000635,"Mar 19, 2018",0.000666,0.000582,"522,655",0.000593,306
82,0.000595,"Mar 18, 2018",0.000647,0.000512,"491,194",0.000557,752
83,0.000559,"Mar 17, 2018",0.000665,0.000548,"585,096",0.000664,173
84,0.000663,"Mar 16, 2018",0.000686,0.000504,"445,001",0.000505,716
85,0.000506,"Mar 15, 2018",0.000720,0.000496,"617,837",0.000702,"1,471"
86,0.000702,"Mar 14, 2018",0.000767,0.000661,"644,300",0.000732,364
87,0.000732,"Mar 13, 2018",0.000783,0.000658,"585,533",0.000665,348
88,0.000669,"Mar 12, 2018",0.000875,0.000668,"755,702",0.000859,594
89,0.000862,"Mar 11, 2018",0.000875,0.000725,"694,539",0.000790,90
90,0.000793,"Mar 10, 2018",0.000898,0.000751,"683,095",0.000777,475
91,0.000777,"Mar 09, 2018",0.000821,0.000679,"678,915",0.000773,464
92,0.000777,"Mar 08, 2018",0.000865,0.000747,"750,588",0.000854,"1,064"
93,0.000856,"Mar 07, 2018",0.001069,0.000792,"769,016",0.000876,234
94,0.000877,"Mar 06, 2018",0.001035,0.000849,"909,187",0.001035,"1,457"
95,0.001038,"Mar 05, 2018",0.001121,0.001030,"908,299",0.001035,117
96,0.001036,"Mar 04, 2018",0.001113,0.000999,"903,437",0.001030,145
97,0.001031,"Mar 03, 2018",0.001271,0.001016,"1,032,500",0.001177,"1,831"
98,0.001178,"Mar 02, 2018",0.001230,0.001050,"1,051,710",0.001199,"1,311"
99,0.001202,"Mar 01, 2018",0.001273,0.000933,"907,380",0.001035,"1,527"
100,0.001034,"Feb 28, 2018",0.001273,0.000943,"942,627",0.001076,"4,230"
101,0.001077,"Feb 27, 2018",0.001291,0.001075,"995,569",0.001137,378
102,0.001134,"Feb 26, 2018",0.001286,0.001122,"1,007,080",0.001150,"1,431"
103,0.001149,"Feb 25, 2018",0.001227,0.001072,"1,018,250",0.001164,951
104,0.001165,"Feb 24, 2018",0.001365,0.001022,"1,009,220",0.001154,"1,939"
105,0.001155,"Feb 23, 2018",0.001320,0.001130,"1,119,370",0.001280,"1,032"
106,0.001281,"Feb 22, 2018",0.001534,0.001198,"1,116,550",0.001278,"2,810"
107,0.001279,"Feb 21, 2018",0.001706,0.001274,"1,483,730",0.001698,"2,187"
108,0.001701,"Feb 20, 2018",0.001842,0.001540,"1,483,530",0.001699,"5,670"
109,0.001697,"Feb 19, 2018",0.001861,0.001558,"1,450,720",0.001662,"3,938"
110,0.001670,"Feb 18, 2018",0.001851,0.001592,"1,549,140",0.001775,"2,771"
111,0.001770,"Feb 17, 2018",0.001842,0.001633,"1,511,950",0.001733,747
112,0.001733,"Feb 16, 2018",0.001783,0.001563,"1,467,740",0.001683,"3,667"
113,0.001690,"Feb 15, 2018",0.001776,0.001539,"1,404,540",0.001611,"1,259"
114,0.001610,"Feb 14, 2018",0.001827,0.001495,"1,403,890",0.001611,"10,359"
115,0.001616,"Feb 13, 2018",0.001718,0.001434,"1,395,210",0.001602,"6,811"
116,0.001599,"Feb 12, 2018",0.001901,0.001496,"1,418,130",0.001629,"9,878"
117,0.001611,"Feb 11, 2018",0.002022,0.001517,"1,475,430",0.001697,"9,277"
118,0.001698,"Feb 10, 2018",0.001971,0.001624,"1,580,390",0.001819,"1,678"
119,0.001817,"Feb 09, 2018",0.001918,0.001626,"1,530,320",0.001763,"3,952"
120,0.001757,"Feb 08, 2018",0.002064,0.001667,"1,445,120",0.001667,"4,299"
121,0.001673,"Feb 07, 2018",0.002000,0.001588,"1,469,100",0.001696,"4,256"
122,0.001713,"Feb 06, 2018",0.001897,0.001143,"1,260,710",0.001456,"12,468"
123,0.001455,"Feb 05, 2018",0.001770,0.001332,"1,344,420",0.001554,"13,258"
124,0.001569,"Feb 04, 2018",0.001933,0.001559,"1,438,770",0.001664,"2,716"
125,0.001663,"Feb 03, 2018",0.001958,0.001104,"1,503,470",0.001740,"24,908"
126,0.001734,"Feb 02, 2018",0.001865,0.001353,"1,328,860",0.001539,"11,427"
127,0.001542,"Feb 01, 2018",0.001831,0.001383,"1,490,300",0.001728,"4,603"
128,0.001724,"Jan 31, 2018",0.001921,0.001580,"1,468,310",0.001703,"7,407"
129,0.001700,"Jan 30, 2018",0.002289,0.001686,"1,830,770",0.002125,"13,513"
130,0.002124,"Jan 29, 2018",0.002175,0.001883,"1,691,490",0.001964,"9,399"
131,0.001965,"Jan 28, 2018",0.002717,0.001895,"2,258,720",0.002624,"16,292"
132,0.002499,"Jan 27, 2018",0.002858,0.001994,"1,742,290",0.002025,"24,791"
133,0.002126,"Jan 26, 2018",0.002547,0.001685,"2,017,020",0.002345,"65,635"
134,0.002351,"Jan 25, 2018",0.003342,0.002236,"2,647,280",0.003079,"73,256"
135,0.002806,"Jan 24, 2018",0.004102,0.001810,"1,762,620",0.002052,"376,697"
136,0.001948,"Jan 23, 2018",0.002213,0.001430,"1,487,510",0.001733,"15,575"
137,0.001737,"Jan 22, 2018",0.002143,0.001276,"1,693,330",0.001973,"8,778"
138,0.001947,"Jan 21, 2018",0.002402,0.001740,"1,974,790",0.002302,"13,969"
139,0.002297,"Jan 20, 2018",0.002644,0.002144,"1,998,340",0.002331,"13,027"
140,0.002306,"Jan 19, 2018",0.002620,0.001881,"1,734,400",0.002024,"24,379"
141,0.002048,"Jan 18, 2018",0.002442,0.001624,"1,413,780",0.001650,"24,155"
142,0.001644,"Jan 17, 2018",0.001936,0.001318,"1,334,950",0.001560,"21,453"
143,0.001555,"Jan 16, 2018",0.002329,0.001416,"1,991,650",0.002329,"14,576"
144,0.002327,"Jan 15, 2018",0.002658,0.002233,"2,219,110",0.002597,"16,055"
145,0.002349,"Jan 14, 2018",0.003139,0.002171,"2,331,360",0.002730,"58,223"
146,0.002728,"Jan 13, 2018",0.003428,0.002726,"2,728,340",0.003197,"52,417"
147,0.003200,"Jan 12, 2018",0.003444,0.002602,"2,506,290",0.002938,"70,489"
148,0.002794,"Jan 11, 2018",0.003417,0.002051,"2,564,620",0.003008,"50,798"
149,0.002884,"Jan 10, 2018",0.004017,0.002694,"3,225,720",0.003785,"80,033"
150,0.003780,"Jan 09, 2018",0.004553,0.003637,"3,167,840",0.003718,"184,142"
151,0.004019,"Jan 08, 2018",0.006391,0.003353,"5,036,100",0.005914,"294,347"
152,0.005612,"Jan 07, 2018",0.005968,0.001915,"2,798,560",0.003289,"873,498"
153,0.003335,"Jan 06, 2018",0.003335,0.001305,"1,273,180",0.001497,"229,393"
154,0.001496,"Jan 05, 2018",0.001505,0.000894,"885,684",0.001042,"39,021"
155,0.001042,"Jan 04, 2018",0.001196,0.000871,"872,461",0.001027,"15,944"
156,0.001022,"Jan 03, 2018",0.001205,0.000767,"883,812",0.001041,"13,690"
157,0.001044,"Jan 02, 2018",0.001193,0.000799,"681,877",0.000803,"30,877"
158,0.000803,"Jan 01, 2018",0.000818,0.000518,"558,421",0.000658,"19,907"
159,0.000650,"Dec 31, 2017",0.000654,0.000413,"502,041",0.000592,"2,149"
160,0.000598,"Dec 30, 2017",0.000716,0.000492,"514,065",0.000606,"1,514"
161,0.000608,"Dec 29, 2017",0.000848,0.000515,"596,059",0.000703,"3,138"
162,0.000697,"Dec 28, 2017",0.000754,0.000451,"514,818",0.000608,"4,814"
163,0.000609,"Dec 27, 2017",0.000799,0.000475,"666,990",0.000788,"7,287"
164,0.000787,"Dec 26, 2017",0.000791,0.000576,"531,644",0.000628,"8,586"
165,0.000698,"Dec 25, 2017",0.001206,0.000567,"800,739",0.000947,"28,536"
166,0.000937,"Dec 24, 2017",0.000999,0.000390,"487,851",0.000577,"29,727"
167,0.000571,"Dec 23, 2017",0.000616,0.000357,"353,103",0.000418,"3,075"
168,0.000414,"Dec 22, 2017",0.000474,0.000272,"397,090",0.000470,"2,292"
169,0.000468,"Dec 21, 2017",0.000518,0.000345,"291,715",0.000345,"4,056"
170,0.000345,"Dec 20, 2017",0.000523,0.000301,"441,841",0.000523,912
171,0.000524,"Dec 19, 2017",0.000526,0.000365,"323,023",0.000383,828
172,0.000382,"Dec 18, 2017",0.000561,0.000372,"343,712",0.000407,785
173,0.000407,"Dec 17, 2017",0.000810,0.000371,"433,827",0.000514,533
174,0.000504,"Dec 16, 2017",0.000546,0.000373,"447,512",0.000531,"2,464"
175,0.000530,"Dec 15, 2017",0.000690,0.000348,"293,184",0.000348,"3,004"
176,0.000347,"Dec 14, 2017",0.000511,0.000171,"278,395",0.000331,"3,652"
177,0.000331,"Dec 13, 2017",0.000421,0.000320,"343,587",0.000408,355
178,0.000407,"Dec 12, 2017",0.000539,0.000317,"271,659",0.000323,"1,445"
179,0.000322,"Dec 11, 2017",0.000374,0.000313,"308,953",0.000367,206
180,0.000370,"Dec 10, 2017",0.000434,0.000332,"364,955",0.000434,533
181,0.000432,"Dec 09, 2017",0.000441,0.000214,"365,506",0.000435,389
182,0.000435,"Dec 08, 2017",0.000660,0.000282,"550,283",0.000655,"4,126"
183,0.000653,"Dec 07, 2017",0.000653,0.000275,"237,276",0.000282,"9,025"
184,0.000282,"Dec 06, 2017",0.000503,0.000253,"294,296",0.000350,126
185,0.000351,"Dec 05, 2017",0.000469,0.000232,"290,658",0.000346,"1,800"
186,0.000346,"Dec 04, 2017",0.000346,0.000218,"188,530",0.000225,283
187,0.000224,"Dec 03, 2017",0.000354,0.000217,"183,329",0.000219,100
188,0.000218,"Dec 02, 2017",0.000335,0.000108,"220,753",0.000263,484
189,0.000263,"Dec 01, 2017",0.000322,0.000192,"167,571",0.000200,708
190,0.000201,"Nov 30, 2017",0.000319,0.000198,"179,570",0.000214,328
191,0.000211,"Nov 29, 2017",0.000419,0.000199,"305,063",0.000364,"1,660"
192,0.000365,"Nov 28, 2017",0.000366,0.000195,"187,190",0.000224,800
193,0.000223,"Nov 27, 2017",0.000322,0.000217,"214,653",0.000257,403
194,0.000257,"Nov 26, 2017",0.000367,0.000255,"219,178",0.000262,459
195,0.000263,"Nov 25, 2017",0.000318,0.000165,"205,646",0.000246,799
196,0.000247,"Nov 24, 2017",0.000249,0.000164,"151,586",0.000182,"1,566"
197,0.000182,"Nov 23, 2017",0.000259,0.000172,"208,199",0.000250,71
198,0.000250,"Nov 22, 2017",0.000303,0.000180,"200,412",0.000240,126
199,0.000240,"Nov 21, 2017",0.000409,0.000236,"340,632",0.000409,55
200,0.000409,"Nov 20, 2017",0.000411,0.000161,"200,876",0.000241,"3,796"
201,0.000241,"Nov 19, 2017",0.000241,0.000154,"129,790",0.000156,9
202,0.000156,"Nov 18, 2017",0.000221,0.000153,"183,480",0.000221,119
203,0.000222,"Nov 17, 2017",0.000240,0.000213,"194,254",0.000234,328
204,0.000234,"Nov 16, 2017",0.000273,0.000080,"222,936",0.000268,"2,236"
205,0.000267,"Nov 15, 2017",0.000281,0.000201,"197,265",0.000238,59
206,0.000236,"Nov 14, 2017",0.000251,0.000192,"162,618",0.000196,34
207,0.000196,"Nov 13, 2017",0.000307,0.000186,"155,384",0.000187,180
208,0.000187,"Nov 12, 2017",0.000215,0.000143,"158,053",0.000191,319
209,0.000191,"Nov 11, 2017",0.000216,0.000187,"171,217",0.000207,175
210,0.000207,"Nov 10, 2017",0.000283,0.000194,"181,172",0.000219,81
211,0.000217,"Nov 09, 2017",0.000299,0.000217,"247,341",0.000299,136
212,0.000299,"Nov 08, 2017",0.000299,0.000216,"179,588",0.000217,96
213,0.000218,"Nov 07, 2017",0.000290,0.000210,"173,750",0.000210,778
214,0.000210,"Nov 06, 2017",0.000223,0.000210,"183,395",0.000222,116
215,0.000221,"Nov 05, 2017",0.000302,0.000219,"233,705",0.000283,255
216,0.000283,"Nov 04, 2017",0.000291,0.000222,"229,725",0.000278,264
217,0.000279,"Nov 03, 2017",0.000328,0.000180,"188,713",0.000229,158
218,0.000229,"Nov 02, 2017",0.000352,0.000178,"166,560",0.000202,701
219,0.000202,"Nov 01, 2017",0.000264,0.000191,"198,666",0.000241,112
220,0.000241,"Oct 31, 2017",0.000245,0.000183,"154,071",0.000187,433
221,0.000187,"Oct 30, 2017",0.000249,0.000183,"201,319",0.000244,"1,290"
222,0.000246,"Oct 29, 2017",0.000276,0.000172,"198,796",0.000241,121
223,0.000242,"Oct 28, 2017",0.000243,0.000221,"189,675",0.000230,153
224,0.000230,"Oct 27, 2017",0.000234,0.000178,"159,653",0.000194,54
225,0.000194,"Oct 26, 2017",0.000298,0.000175,"189,055",0.000230,262
226,0.000230,"Oct 25, 2017",0.000329,0.000172,"175,137",0.000213,"2,897"
227,0.000213,"Oct 24, 2017",0.000287,0.000211,"235,388",0.000287,188
228,0.000287,"Oct 23, 2017",0.000293,0.000170,"216,243",0.000264,610
229,0.000264,"Oct 22, 2017",0.000287,0.000174,"148,082",0.000181,56
230,0.000180,"Oct 21, 2017",0.000243,0.000180,"172,481",0.000210,53
231,0.000211,"Oct 20, 2017",0.000246,0.000169,"140,499",0.000171,46
