,close,date,high,low,market_cap,open,volume
0,0.011925,"Jun 08, 2018",0.012002,0.010534,"6,192,990",0.010932,"35,242"
1,0.010914,"Jun 07, 2018",0.011581,0.010373,"6,269,890",0.011068,"37,061"
2,0.011071,"Jun 06, 2018",0.011453,0.010308,"6,455,820",0.011396,"39,517"
3,0.011419,"Jun 05, 2018",0.011871,0.009450,"6,655,390",0.011749,"35,516"
4,0.011749,"Jun 04, 2018",0.013164,0.010800,"7,299,760",0.012886,"20,225"
5,0.012881,"Jun 03, 2018",0.013022,0.011826,"6,704,640",0.011836,"23,567"
6,0.011851,"Jun 02, 2018",0.012927,0.011619,"6,624,880",0.011695,"26,202"
7,0.011697,"Jun 01, 2018",0.012852,0.011146,"6,715,950",0.011856,"56,749"
8,0.011830,"May 31, 2018",0.013026,0.010743,"7,224,550",0.012754,"42,603"
9,0.012766,"May 30, 2018",0.014828,0.011935,"7,423,480",0.013105,"22,524"
10,0.013097,"May 29, 2018",0.013682,0.011235,"6,747,190",0.011911,"34,511"
11,0.011945,"May 28, 2018",0.012996,0.011462,"7,069,230",0.012481,"31,118"
12,0.012481,"May 27, 2018",0.013885,0.011960,"7,774,480",0.013726,"32,823"
13,0.013699,"May 26, 2018",0.015145,0.012707,"8,172,640",0.014429,"39,041"
14,0.014427,"May 25, 2018",0.015040,0.013138,"8,391,530",0.014815,"35,872"
15,0.014799,"May 24, 2018",0.014831,0.012661,"8,032,200",0.014181,"52,146"
16,0.014245,"May 23, 2018",0.016068,0.012853,"8,823,070",0.015578,"52,888"
17,0.015614,"May 22, 2018",0.017743,0.014880,"9,513,650",0.016798,"81,670"
18,0.016831,"May 21, 2018",0.020231,0.016831,"10,679,600",0.018856,"80,372"
19,0.018733,"May 20, 2018",0.021738,0.015108,"11,491,900",0.020291,"244,816"
20,0.020274,"May 19, 2018",0.023042,0.019272,"11,646,800",0.023000,"176,290"
21,0.023000,"May 18, 2018",0.024721,0.022232,"12,268,600",0.024228,"96,226"
22,0.024252,"May 17, 2018",0.025207,0.019622,"11,474,400",0.022660,"159,949"
23,0.022201,"May 16, 2018",0.026417,0.021365,"13,377,100",0.026417,"143,371"
24,0.025142,"May 15, 2018",0.029839,0.024588,"14,214,600",0.028071,"190,251"
25,0.028200,"May 14, 2018",0.030317,0.026733,"14,951,500",0.029526,"212,767"
26,0.029539,"May 13, 2018",0.030978,0.027106,"14,599,000",0.028830,"156,269"
27,0.028888,"May 12, 2018",0.029455,0.025391,"13,316,400",0.026300,"167,384"
28,0.026347,"May 11, 2018",0.031688,0.024012,"14,947,200",0.029521,"420,640"
29,0.029498,"May 10, 2018",0.030981,0.027422,"14,295,800",0.028234,"296,380"
30,0.027867,"May 09, 2018",0.028964,0.023747,"12,585,300",0.024856,"80,813"
31,0.024872,"May 08, 2018",0.030964,0.022741,"15,238,700",0.030096,"70,776"
32,0.029901,"May 07, 2018",0.032519,0.024827,"16,346,800",0.032370,"83,327"
33,0.032352,"May 06, 2018",0.033549,0.027397,"16,853,800",0.033374,"99,792"
34,0.033380,"May 05, 2018",0.033725,0.029865,"15,458,600",0.030611,"122,850"
35,0.030569,"May 04, 2018",0.032876,0.026266,"15,926,600",0.031538,"143,744"
36,0.031642,"May 03, 2018",0.032900,0.027925,-,0.032844,"176,229"
37,0.032847,"May 02, 2018",0.033506,0.025021,-,0.032731,"208,252"
38,0.030969,"May 01, 2018",0.038547,0.027824,-,0.027824,"458,040"
