,close,date,high,low,market_cap,open,volume
0,0.008588,"Jun 08, 2018",0.009186,0.008545,-,0.009129,"5,689"
1,0.009114,"Jun 07, 2018",0.009663,0.008277,-,0.009522,"22,288"
2,0.009552,"Jun 06, 2018",0.010686,0.009101,-,0.009573,"17,371"
3,0.009585,"Jun 05, 2018",0.010161,0.008684,-,0.009350,"23,256"
4,0.009350,"Jun 04, 2018",0.010592,0.007469,-,0.008080,"27,805"
5,0.008092,"Jun 03, 2018",0.009236,0.007485,-,0.007485,"7,908"
6,0.007495,"Jun 02, 2018",0.008243,0.007234,-,0.008026,"6,502"
7,0.008027,"Jun 01, 2018",0.008134,0.007404,-,0.007998,"5,157"
8,0.007981,"May 31, 2018",0.009123,0.007382,-,0.007707,"12,366"
9,0.007714,"May 30, 2018",0.008563,0.007221,-,0.007911,"15,384"
10,0.007906,"May 29, 2018",0.008574,0.006191,-,0.006191,"16,651"
11,0.006458,"May 28, 2018",0.009423,0.005502,-,0.006292,"12,516"
12,0.006242,"May 27, 2018",0.006517,0.005911,-,0.006389,"13,405"
13,0.006376,"May 26, 2018",0.006713,0.005939,-,0.005963,"17,359"
14,0.005961,"May 25, 2018",0.006456,0.005781,-,0.006054,"4,515"
15,0.006047,"May 24, 2018",0.006683,0.005496,-,0.005739,"4,584"
16,0.005764,"May 23, 2018",0.006945,0.005719,-,0.006825,"15,215"
17,0.006839,"May 22, 2018",0.007829,0.006112,-,0.006195,"31,194"
18,0.006217,"May 21, 2018",0.007011,0.006217,-,0.006927,"6,521"
19,0.006919,"May 20, 2018",0.007061,0.006453,-,0.006616,"3,162"
20,0.006351,"May 19, 2018",0.007649,0.006205,-,0.006289,"10,245"
21,0.006288,"May 18, 2018",0.006302,0.005979,-,0.006221,"1,114"
22,0.006227,"May 17, 2018",0.007702,0.006027,-,0.006482,"5,287"
23,0.006474,"May 16, 2018",0.007594,0.006033,-,0.006310,"5,985"
24,0.006307,"May 15, 2018",0.007402,0.006229,-,0.007052,603
25,0.007062,"May 14, 2018",0.007663,0.006308,-,0.006825,"2,486"
26,0.006828,"May 13, 2018",0.007311,0.005180,-,0.006564,"2,816"
27,0.006578,"May 12, 2018",0.007745,0.006117,-,0.006926,"4,314"
28,0.006939,"May 11, 2018",0.009209,0.006876,-,0.007572,"2,806"
29,0.007570,"May 10, 2018",0.008456,0.006749,-,0.008277,"11,053"
30,0.008276,"May 09, 2018",0.008403,0.007287,-,0.007422,"8,363"
31,0.007432,"May 08, 2018",0.007613,0.007036,-,0.007522,"2,420"
32,0.007473,"May 07, 2018",0.009027,0.006019,-,0.007792,"9,586"
33,0.007787,"May 06, 2018",0.010211,0.006998,-,0.010020,"15,170"
34,0.010022,"May 05, 2018",0.010313,0.007157,-,0.010172,"9,312"
35,0.008926,"May 04, 2018",0.010574,0.007589,-,0.009657,"13,518"
36,0.009688,"May 03, 2018",0.011445,0.008701,-,0.009230,"13,085"
37,0.009230,"May 02, 2018",0.009438,0.008022,-,0.008319,"13,262"
38,0.008343,"May 01, 2018",0.009367,0.007057,-,0.007470,"16,764"
39,0.007446,"Apr 30, 2018",0.009804,0.007424,-,0.009663,"8,661"
40,0.009662,"Apr 29, 2018",0.010192,0.001689,-,0.009434,"4,149"
41,0.009482,"Apr 28, 2018",0.010476,0.009270,-,0.009275,"4,490"
42,0.009361,"Apr 27, 2018",0.010689,0.008746,-,0.010216,"9,946"
43,0.010198,"Apr 26, 2018",0.010976,0.009448,-,0.009888,"11,938"
44,0.009792,"Apr 25, 2018",0.011992,0.009413,-,0.011530,"3,724"
45,0.011534,"Apr 24, 2018",0.012666,0.010606,-,0.011704,"15,522"
46,0.011700,"Apr 23, 2018",0.011904,0.010592,-,0.011295,"12,072"
47,0.011337,"Apr 22, 2018",0.011676,0.009810,-,0.009998,"13,064"
48,0.009998,"Apr 21, 2018",0.010982,0.009429,-,0.010917,"16,312"
49,0.010924,"Apr 20, 2018",0.010992,0.009765,-,0.009855,"12,396"
50,0.009866,"Apr 19, 2018",0.010337,0.009013,-,0.009049,"13,155"
51,0.009044,"Apr 18, 2018",0.009476,0.008731,-,0.009025,"9,511"
52,0.009021,"Apr 17, 2018",0.009778,0.008825,-,0.009416,"1,624"
53,0.009418,"Apr 16, 2018",0.009561,0.008693,-,0.009508,"5,796"
54,0.009495,"Apr 15, 2018",0.009989,0.008595,-,0.008900,"18,477"
55,0.008906,"Apr 14, 2018",0.010037,0.006951,-,0.007649,"29,524"
56,0.007649,"Apr 13, 2018",0.009036,0.006944,-,0.007747,"13,423"
57,0.007734,"Apr 12, 2018",0.007886,0.006577,-,0.006577,"4,133"
58,0.006610,"Apr 11, 2018",0.007213,0.005379,-,0.006847,"8,292"
59,0.006831,"Apr 10, 2018",0.007955,0.006002,-,0.007619,"12,333"
60,0.007583,"Apr 09, 2018",0.008499,0.006716,-,0.006716,"7,737"
61,0.006700,"Apr 08, 2018",0.007543,0.006495,-,0.007310,"10,425"
62,0.006859,"Apr 07, 2018",0.007211,0.006158,-,0.006865,"7,688"
63,0.006867,"Apr 06, 2018",0.007349,0.006432,-,0.007242,"3,440"
64,0.007270,"Apr 05, 2018",0.008431,0.006884,-,0.007106,"13,717"
65,0.007115,"Apr 04, 2018",0.009485,0.007115,-,0.009400,"21,751"
66,0.009381,"Apr 03, 2018",0.009511,0.006527,-,0.007670,"59,369"
67,0.007662,"Apr 02, 2018",0.009464,0.007314,-,0.009178,"95,489"
68,0.009148,"Apr 01, 2018",0.009675,0.008414,-,0.009173,"5,741"
69,0.009170,"Mar 31, 2018",0.010075,0.008977,-,0.009510,"8,140"
70,0.009519,"Mar 30, 2018",0.009978,0.007860,-,0.009935,"17,636"
71,0.009964,"Mar 29, 2018",0.011169,0.009167,-,0.010585,"28,059"
72,0.010566,"Mar 28, 2018",0.012419,0.010566,-,0.011477,"21,076"
73,0.011473,"Mar 27, 2018",0.013201,0.011228,-,0.011962,"26,593"
74,0.011969,"Mar 26, 2018",0.015495,0.011367,-,0.015161,"48,767"
75,0.015197,"Mar 25, 2018",0.015505,0.014483,-,0.015435,"279,064"
