,close,date,high,low,market_cap,open,volume
0,0.001068,"Jun 08, 2018",0.001073,0.000680,"1,577",0.000768,337
1,0.000768,"Jun 07, 2018",0.000852,0.000765,"1,729",0.000842,33
2,0.000841,"Jun 06, 2018",0.000845,0.000608,"1,252",0.000610,85
3,0.000610,"Jun 05, 2018",0.000676,0.000591,"1,386",0.000675,80
4,0.000675,"Jun 04, 2018",0.000980,0.000674,"1,899",0.000925,222
5,0.000925,"Jun 03, 2018",0.000926,0.000760,"1,567",0.000763,201
6,0.000763,"Jun 02, 2018",0.000918,0.000763,"1,844",0.000898,2
7,0.000898,"Jun 01, 2018",0.000901,0.000810,"1,667",0.000812,25
8,0.000811,"May 31, 2018",0.000820,0.000662,"1,364",0.000664,86
9,0.000665,"May 30, 2018",0.000897,0.000585,"1,839",0.000896,158
10,0.000895,"May 29, 2018",0.000904,0.000708,"1,461",0.000712,289
11,0.000712,"May 28, 2018",0.000815,0.000710,"1,659",0.000808,78
12,0.000808,"May 27, 2018",0.000880,0.000718,"1,494",0.000728,39
13,0.000727,"May 26, 2018",0.000839,0.000727,"1,686",0.000821,10
14,0.000823,"May 25, 2018",0.000823,0.000603,"1,242",0.000605,425
15,0.000604,"May 24, 2018",0.000712,0.000582,"1,432",0.000697,79
16,0.000700,"May 23, 2018",0.001059,0.000677,"1,540",0.000750,10
17,0.000751,"May 22, 2018",0.000815,0.000632,"1,321",0.000643,22
18,0.000645,"May 21, 2018",0.000934,0.000623,"1,915",0.000933,7
19,0.000932,"May 20, 2018",0.001072,0.000753,"2,200",0.001072,676
20,0.001071,"May 19, 2018",0.001088,0.000904,"2,199",0.001071,371
21,0.001071,"May 18, 2018",0.001206,0.001032,"2,396",0.001167,47
22,0.001167,"May 17, 2018",0.001188,0.001016,"2,203",0.001073,152
23,0.001072,"May 16, 2018",0.001274,0.001047,"2,613",0.001273,37
24,0.001274,"May 15, 2018",0.001315,0.001121,"2,307",0.001124,23
25,0.001126,"May 14, 2018",0.001147,0.000999,"2,141",0.001043,45
26,0.001043,"May 13, 2018",0.001204,0.001028,"2,261",0.001101,116
27,0.001110,"May 12, 2018",0.001124,0.001073,"2,262",0.001102,4
28,0.001105,"May 11, 2018",0.001333,0.001097,"2,603",0.001268,172
29,0.001267,"May 10, 2018",0.002156,0.000979,"4,426",0.002156,"10,521"
30,0.001426,"May 09, 2018",0.001524,0.001169,"2,452",0.001195,221
31,0.001196,"May 08, 2018",0.001229,0.001175,"2,500",0.001218,134
32,0.001215,"May 07, 2018",0.001510,0.001108,"2,368",0.001154,324
33,0.001153,"May 06, 2018",0.001480,0.001133,"2,845",0.001386,413
34,0.001667,"May 05, 2018",0.001678,0.001645,"3,382",0.001648,12
35,0.001649,"May 04, 2018",0.001852,0.001255,"3,802",0.001852,236
36,0.001853,"May 03, 2018",0.001947,0.001779,"3,974",0.001936,123
37,0.001936,"May 02, 2018",0.001943,0.001363,"3,170",0.001544,174
38,0.001546,"May 01, 2018",0.001658,0.001506,"3,404",0.001658,140
39,0.001657,"Apr 30, 2018",0.002044,0.001649,"3,463",0.001687,41
40,0.002154,"Apr 29, 2018",0.002157,0.002039,"4,220",0.002056,31
41,0.002056,"Apr 28, 2018",0.002062,0.001423,"2,928",0.001427,343
42,0.001431,"Apr 27, 2018",0.001490,0.001191,"3,053",0.001488,114
43,0.001485,"Apr 26, 2018",0.001489,0.001383,"2,911",0.001418,2
44,0.001406,"Apr 25, 2018",0.001571,0.001404,"3,202",0.001560,37
45,0.001570,"Apr 24, 2018",0.002117,0.001483,"4,224",0.002058,225
46,0.002057,"Apr 23, 2018",0.002057,0.001316,"2,704",0.001317,30
47,0.001320,"Apr 22, 2018",0.001706,0.001233,"2,566",0.001250,41
48,0.001250,"Apr 21, 2018",0.001595,0.001139,"2,356",0.001148,141
49,0.001148,"Apr 20, 2018",0.001274,0.000659,"2,546",0.001240,183
50,0.001240,"Apr 19, 2018",0.002586,0.000495,"2,847",0.001387,483
51,0.001386,"Apr 18, 2018",0.001697,0.001142,"3,463",0.001687,259
52,0.001686,"Apr 17, 2018",0.001693,0.001381,"2,958",0.001441,380
53,0.001441,"Apr 16, 2018",0.001680,0.001196,"3,430",0.001671,76
54,0.001671,"Apr 15, 2018",0.001672,0.001218,"2,628",0.001280,382
55,0.001279,"Apr 14, 2018",0.001634,0.001267,"3,230",0.001573,363
56,0.001573,"Apr 13, 2018",0.002132,0.001327,"2,788",0.001358,425
57,0.001357,"Apr 12, 2018",0.001632,0.001224,"3,289",0.001602,297
58,0.001608,"Apr 11, 2018",0.001983,0.001298,"2,664",0.001298,16
59,0.001297,"Apr 10, 2018",0.001547,0.001205,"2,498",0.001217,106
60,0.001216,"Apr 09, 2018",0.001542,0.001191,"3,105",0.001513,104
61,0.001510,"Apr 08, 2018",0.001520,0.001381,"2,835",0.001381,72
62,0.001380,"Apr 07, 2018",0.001722,0.001225,"3,534",0.001722,228
63,0.001720,"Apr 06, 2018",0.001810,0.001551,"3,578",0.001743,329
64,0.001750,"Apr 05, 2018",0.001750,0.001378,"3,207",0.001562,63
65,0.001561,"Apr 04, 2018",0.001928,0.001211,"3,958",0.001928,157
66,0.001930,"Apr 03, 2018",0.001948,0.001538,"3,167",0.001543,11
67,0.001542,"Apr 02, 2018",0.001543,0.001351,"2,791",0.001360,2
68,0.001353,"Apr 01, 2018",0.001898,0.001290,"3,841",0.001871,71
69,0.001871,"Mar 31, 2018",0.002231,0.001439,"4,351",0.002120,40
70,0.002119,"Mar 30, 2018",0.002128,0.001420,"3,344",0.001629,328
71,0.001633,"Mar 29, 2018",0.002247,0.001586,"3,749",0.001826,577
72,0.001824,"Mar 28, 2018",0.001837,0.001718,"3,704",0.001805,140
73,0.001804,"Mar 27, 2018",0.001892,0.001723,"3,705",0.001805,48
74,0.001807,"Mar 26, 2018",0.002094,0.001735,"4,191",0.002042,24
75,0.002044,"Mar 25, 2018",0.002092,0.001894,"4,015",0.001956,292
76,0.001983,"Mar 24, 2018",0.002302,0.001983,"4,221",0.002056,42
77,0.002027,"Mar 23, 2018",0.002166,0.001839,"4,287",0.002088,435
78,0.002088,"Mar 22, 2018",0.002361,0.002055,"4,752",0.002315,216
79,0.002319,"Mar 21, 2018",0.002721,0.002023,"5,301",0.002582,257
80,0.002578,"Mar 20, 2018",0.002613,0.002254,"5,133",0.002501,17
81,0.002473,"Mar 19, 2018",0.002517,0.002116,"4,539",0.002211,24
82,0.002221,"Mar 18, 2018",0.002573,0.001923,"4,047",0.001972,875
83,0.001976,"Mar 17, 2018",0.002496,0.001937,"5,112",0.002490,359
84,0.002486,"Mar 16, 2018",0.002902,0.002226,"4,748",0.002313,251
85,0.002314,"Mar 15, 2018",0.002973,0.002237,"6,065",0.002955,249
86,0.002956,"Mar 14, 2018",0.003157,0.002675,"5,634",0.002745,45
87,0.002744,"Mar 13, 2018",0.003033,0.002365,"5,485",0.002672,113
88,0.002687,"Mar 12, 2018",0.003012,0.002550,"6,073",0.002959,73
89,0.002968,"Mar 11, 2018",0.003836,0.002204,"4,683",0.002282,"1,060"
90,0.002289,"Mar 10, 2018",0.002938,0.002269,"5,949",0.002898,288
91,0.002897,"Mar 09, 2018",0.003730,0.002501,"6,295",0.003067,801
92,0.003087,"Mar 08, 2018",0.003405,0.002719,"6,902",0.003363,27
93,0.003368,"Mar 07, 2018",0.003422,0.002627,"6,352",0.003095,377
94,0.003099,"Mar 06, 2018",0.003121,0.002265,"4,757",0.002318,730
95,0.002324,"Mar 05, 2018",0.003909,0.002302,"8,023",0.003909,422
96,0.003912,"Mar 04, 2018",0.003912,0.003108,"7,748",0.003775,45
97,0.003782,"Mar 03, 2018",0.003783,0.003378,"7,011",0.003416,325
98,0.003420,"Mar 02, 2018",0.003457,0.003350,"6,937",0.003380,360
99,0.003389,"Mar 01, 2018",0.003460,0.003176,"6,568",0.003201,265
100,0.003196,"Feb 28, 2018",0.003676,0.003193,"7,477",0.003650,354
101,0.003654,"Feb 27, 2018",0.003697,0.003057,"7,173",0.003508,"1,470"
102,0.003498,"Feb 26, 2018",0.003543,0.002848,"6,851",0.003358,"1,505"
103,0.003354,"Feb 25, 2018",0.003825,0.002582,"7,017",0.003444,"1,514"
104,0.003450,"Feb 24, 2018",0.004314,0.003341,"8,481",0.004170,945
105,0.004175,"Feb 23, 2018",0.004660,0.004072,"9,399",0.004627,"1,734"
