,close,date,high,low,market_cap,open,volume
0,0.002161,"Jun 08, 2018",0.002373,0.002068,"64,517",0.002229,"1,237"
1,0.002228,"Jun 07, 2018",0.002538,0.002145,"70,631",0.002441,938
2,0.002438,"Jun 06, 2018",0.002498,0.002209,"70,476",0.002435,"1,569"
3,0.002436,"Jun 05, 2018",0.002547,0.002206,"71,659",0.002476,977
4,0.002475,"Jun 04, 2018",0.002948,0.002151,"62,466",0.002158,"5,386"
5,0.002157,"Jun 03, 2018",0.002365,0.002148,"68,311",0.002360,406
6,0.002360,"Jun 02, 2018",0.002362,0.002132,"62,457",0.002158,952
7,0.002159,"Jun 01, 2018",0.002476,0.002006,"71,440",0.002469,"1,161"
8,0.002467,"May 31, 2018",0.002524,0.002266,"66,418",0.002295,748
9,0.002295,"May 30, 2018",0.002481,0.002279,"68,754",0.002376,622
10,0.002374,"May 29, 2018",0.002551,0.002142,"62,155",0.002148,828
11,0.002148,"May 28, 2018",0.002576,0.002148,"72,253",0.002497,"1,754"
12,0.002496,"May 27, 2018",0.003493,0.002185,"65,993",0.002280,"7,185"
13,0.002279,"May 26, 2018",0.002566,0.002263,"67,073",0.002318,"1,035"
14,0.002321,"May 25, 2018",0.002491,0.002194,"72,102",0.002491,"2,416"
15,0.002486,"May 24, 2018",0.002499,0.002120,"63,022",0.002178,906
16,0.002162,"May 23, 2018",0.002641,0.002162,"66,429",0.002295,"1,168"
17,0.002298,"May 22, 2018",0.003094,0.002285,"82,980",0.002867,"1,405"
18,0.002868,"May 21, 2018",0.003227,0.002838,"88,839",0.003070,658
19,0.003066,"May 20, 2018",0.003494,0.002919,"85,930",0.002969,914
20,0.002967,"May 19, 2018",0.003216,0.002725,"78,854",0.002725,744
21,0.002725,"May 18, 2018",0.003436,0.002599,"93,213",0.003221,"1,604"
22,0.003218,"May 17, 2018",0.003688,0.003180,"106,151",0.003668,943
23,0.003666,"May 16, 2018",0.003666,0.002976,"89,449",0.003091,"1,455"
24,0.003091,"May 15, 2018",0.003758,0.003075,"102,927",0.003557,"1,544"
25,0.003563,"May 14, 2018",0.003771,0.003331,"100,600",0.003476,"1,089"
26,0.003477,"May 13, 2018",0.004026,0.003353,"107,800",0.003725,"1,925"
27,0.003392,"May 12, 2018",0.003423,0.002935,"91,443",0.003160,"1,731"
28,0.003169,"May 11, 2018",0.003927,0.003145,"104,631",0.003615,"2,361"
29,0.003611,"May 10, 2018",0.004121,0.003608,"110,582",0.003821,"1,046"
30,0.003822,"May 09, 2018",0.004176,0.003802,"116,950",0.004041,"1,417"
31,0.004136,"May 08, 2018",0.004320,0.003993,"115,565",0.003993,"1,462"
32,0.003985,"May 07, 2018",0.004342,0.003864,"117,393",0.004056,"1,760"
33,0.004054,"May 06, 2018",0.004650,0.003986,"130,777",0.004519,"1,764"
34,0.004516,"May 05, 2018",0.004528,0.004179,"123,644",0.004272,"1,757"
35,0.004364,"May 04, 2018",0.004900,0.004250,"127,676",0.004412,"2,942"
