,close,date,high,low,market_cap,open,volume
0,0.000768,"Jun 08, 2018",0.000770,0.000767,"23,223",0.000768,10
1,0.000768,"Jun 07, 2018",0.000773,0.000765,"23,348",0.000772,10
2,0.000839,"Jun 05, 2018",0.000840,0.000812,"24,946",0.000825,3
3,0.000825,"Jun 04, 2018",0.000829,0.000823,"24,893",0.000824,2
4,0.001077,"Jun 03, 2018",0.001082,0.001064,"32,310",0.001069,1
5,0.001069,"Jun 02, 2018",0.001074,0.001046,"31,810",0.001052,1
6,0.001053,"Jun 01, 2018",0.001055,0.000744,"24,910",0.000824,104
7,0.000823,"May 31, 2018",0.000886,0.000818,"26,779",0.000886,1
8,0.000886,"May 30, 2018",0.000905,0.000877,"27,201",0.000900,1
9,0.000817,"May 29, 2018",0.000820,0.000779,"23,669",0.000783,1
10,0.000783,"May 28, 2018",0.000815,0.000723,"24,444",0.000809,86
11,0.000903,"May 24, 2018",0.000927,0.000873,"27,276",0.000902,2
12,0.000905,"May 23, 2018",0.000916,0.000897,"27,284",0.000903,3
13,0.000840,"May 21, 2018",0.000858,0.000840,"25,777",0.000853,18
14,0.000852,"May 20, 2018",0.001004,0.000836,"27,417",0.000907,26
15,0.000906,"May 19, 2018",0.000916,0.000817,"24,905",0.000824,1
16,0.000824,"May 18, 2018",0.000827,0.000822,"24,978",0.000826,58
17,0.000829,"May 16, 2018",0.000849,0.000813,"25,652",0.000849,1
18,0.000849,"May 15, 2018",0.001058,0.000844,"31,465",0.001041,1
19,0.001043,"May 14, 2018",0.001063,0.001003,"30,477",0.001008,8
20,0.000872,"May 13, 2018",0.000876,0.000837,"25,596",0.000847,1
21,0.000847,"May 12, 2018",0.001096,0.000843,"32,989",0.001091,14
22,0.001095,"May 11, 2018",0.001098,0.000890,"27,320",0.000904,6
23,0.000903,"May 10, 2018",0.000939,0.000902,"28,154",0.000931,1
24,0.000932,"May 09, 2018",0.001023,0.000924,"30,587",0.001012,99
25,0.001013,"May 08, 2018",0.001126,0.000907,"31,145",0.001030,156
26,0.001028,"May 07, 2018",0.001347,0.001019,"40,684",0.001346,44
27,0.001345,"May 06, 2018",0.001346,0.001133,"35,986",0.001190,52
28,0.001181,"May 05, 2018",0.001195,0.001161,"35,158",0.001163,3
29,0.001164,"May 04, 2018",0.001172,0.001148,"35,358",0.001170,10
30,0.001170,"May 03, 2018",0.001176,0.001102,"33,547",0.001110,78
31,0.001100,"May 02, 2018",0.001100,0.001083,"32,750",0.001083,3
32,0.001090,"May 01, 2018",0.001109,0.001064,"33,520",0.001109,3
33,0.001108,"Apr 30, 2018",0.001416,0.001102,"42,628",0.001410,3
34,0.001411,"Apr 29, 2018",0.001423,0.001388,"43,017",0.001423,1
35,0.001498,"Apr 28, 2018",0.001508,0.001423,"43,120",0.001427,12
36,0.001431,"Apr 27, 2018",0.001499,0.001198,"36,534",0.001209,12
37,0.001207,"Apr 26, 2018",0.001210,0.001038,"32,149",0.001064,1
38,0.001055,"Apr 25, 2018",0.001267,0.001053,"38,110",0.001261,122
39,0.001269,"Apr 24, 2018",0.001269,0.001160,"35,072",0.001160,142
40,0.001159,"Apr 23, 2018",0.001418,0.001148,"42,470",0.001405,52
41,0.001408,"Apr 22, 2018",0.001417,0.001313,"40,482",0.001339,12
42,0.001339,"Apr 21, 2018",0.001436,0.001307,"42,763",0.001415,4
43,0.001414,"Apr 20, 2018",0.001427,0.001153,"34,993",0.001158,168
44,0.001157,"Apr 19, 2018",0.001728,0.001151,"44,422",0.001470,192
45,0.001468,"Apr 18, 2018",0.001626,0.001437,"47,736",0.001579,28
46,0.001578,"Apr 17, 2018",0.001710,0.001573,"51,097",0.001690,3
47,0.001690,"Apr 16, 2018",0.001693,0.001425,"45,407",0.001502,12
48,0.001503,"Apr 15, 2018",0.001541,0.001454,"45,953",0.001520,61
49,0.001519,"Apr 14, 2018",0.001535,0.001176,"35,670",0.001180,4
50,0.001180,"Apr 13, 2018",0.001808,0.001173,"50,264",0.001663,92
51,0.001661,"Apr 12, 2018",0.001669,0.001420,"44,094",0.001459,74
52,0.001462,"Apr 11, 2018",0.001462,0.001430,"43,362",0.001435,70
53,0.001433,"Apr 10, 2018",0.001442,0.001148,"42,914",0.001420,27
54,0.001419,"Apr 09, 2018",0.001638,0.001125,"48,842",0.001616,98
55,0.001613,"Apr 08, 2018",0.001625,0.001519,"45,914",0.001519,2
56,0.001518,"Apr 07, 2018",0.001971,0.001299,"50,037",0.001655,677
57,0.001653,"Apr 06, 2018",0.001849,0.001639,"55,305",0.001830,22
58,0.001839,"Apr 05, 2018",0.002050,0.001832,"61,590",0.002038,1
59,0.002037,"Apr 04, 2018",0.002225,0.002018,"67,254",0.002225,61
60,0.002226,"Apr 03, 2018",0.002248,0.001825,"55,401",0.001833,67
61,0.001831,"Apr 02, 2018",0.002055,0.001795,"59,830",0.001979,78
62,0.001970,"Apr 01, 2018",0.002013,0.001677,"56,557",0.001871,15
63,0.001871,"Mar 31, 2018",0.001943,0.001841,"55,802",0.001846,1
64,0.001846,"Mar 30, 2018",0.001944,0.001783,"57,814",0.001913,1
65,0.001917,"Mar 29, 2018",0.002148,0.001862,"64,812",0.002144,16
66,0.002142,"Mar 28, 2018",0.002187,0.002109,"64,048",0.002119,2
67,0.002288,"Mar 27, 2018",0.002377,0.002250,"71,610",0.002369,1
68,0.002373,"Mar 26, 2018",0.002461,0.002277,"73,984",0.002448,1
69,0.002449,"Mar 25, 2018",0.002504,0.002192,"66,828",0.002211,6
70,0.002242,"Mar 24, 2018",0.002338,0.002236,"69,930",0.002313,21
71,0.002408,"Mar 23, 2018",0.002436,0.002328,"73,646",0.002436,19
72,0.002436,"Mar 22, 2018",0.002540,0.002386,"75,290",0.002491,19
73,0.002495,"Mar 21, 2018",0.002506,0.002223,"67,290",0.002226,19
74,0.002222,"Mar 20, 2018",0.002420,0.002133,"72,985",0.002414,41
75,0.002388,"Mar 19, 2018",0.002483,0.002309,"71,797",0.002375,52
76,0.002385,"Mar 18, 2018",0.002410,0.002063,"69,134",0.002287,15
77,0.002293,"Mar 17, 2018",0.002332,0.001942,"67,752",0.002241,57
78,0.002238,"Mar 16, 2018",0.002488,0.002238,"72,413",0.002396,59
79,0.002397,"Mar 15, 2018",0.002560,0.002289,"76,905",0.002544,54
80,0.002545,"Mar 14, 2018",0.002901,0.002479,"85,735",0.002836,8
81,0.002836,"Mar 13, 2018",0.002855,0.002680,"82,420",0.002727,36
82,0.002742,"Mar 12, 2018",0.002770,0.002402,"80,781",0.002672,158
83,0.002681,"Mar 11, 2018",0.002749,0.002543,"79,577",0.002633,8
84,0.002642,"Mar 10, 2018",0.002823,0.002564,"78,372",0.002593,37
85,0.002592,"Mar 09, 2018",0.003436,0.002341,"87,085",0.002881,280
86,0.002899,"Mar 08, 2018",0.003105,0.002538,"92,681",0.003066,15
87,0.003070,"Mar 07, 2018",0.003710,0.002613,"103,683",0.003430,177
88,0.003435,"Mar 06, 2018",0.003479,0.002808,"104,334",0.003452,218
89,0.003461,"Mar 05, 2018",0.003969,0.003460,"107,739",0.003564,100
90,0.003567,"Mar 04, 2018",0.003664,0.003441,"110,656",0.003661,86
91,0.003667,"Mar 03, 2018",0.004367,0.003526,"106,589",0.003526,77
92,0.003531,"Mar 02, 2018",0.003568,0.003458,"105,470",0.003489,76
93,0.003498,"Mar 01, 2018",0.003651,0.003381,"102,993",0.003407,16
94,0.003402,"Feb 28, 2018",0.003951,0.003392,"103,156",0.003413,54
95,0.003417,"Feb 27, 2018",0.003998,0.003356,"102,860",0.003403,184
96,0.003393,"Feb 26, 2018",0.003437,0.003011,"92,729",0.003068,31
97,0.003064,"Feb 25, 2018",0.003913,0.002982,"111,374",0.003684,80
98,0.003690,"Feb 24, 2018",0.003730,0.003020,"101,215",0.003348,87
99,0.003353,"Feb 23, 2018",0.003365,0.002877,"98,204",0.003249,7
100,0.003252,"Feb 22, 2018",0.004710,0.002730,"142,370",0.004710,158
101,0.004715,"Feb 21, 2018",0.004784,0.002920,"111,886",0.003701,533
102,0.003706,"Feb 20, 2018",0.004098,0.003016,"91,176",0.003016,187
103,0.003014,"Feb 19, 2018",0.003880,0.002825,"91,059",0.003012,101
104,0.003026,"Feb 18, 2018",0.003665,0.003019,"100,600",0.003328,260
105,0.003318,"Feb 17, 2018",0.003797,0.003179,"107,844",0.003568,150
106,0.003569,"Feb 16, 2018",0.004260,0.001660,"51,933",0.001718,202
107,0.001725,"Feb 15, 2018",0.002623,0.001209,"52,194",0.001727,"1,544"
108,0.001725,"Feb 14, 2018",0.002353,0.000295,"8,944",0.000296,"1,612"
109,0.000297,"Feb 13, 2018",0.001319,0.000297,"28,803",0.000953,424
110,0.000951,"Feb 12, 2018",0.001623,0.000705,"22,510",0.000745,233
111,0.000740,"Feb 11, 2018",0.002101,0.000619,"63,507",0.002101,774
112,0.002103,"Feb 10, 2018",0.003036,0.001532,"53,483",0.001769,"1,019"
113,0.001768,"Feb 09, 2018",0.002635,0.000314,"9,981",0.000330,933
114,0.000329,"Feb 08, 2018",0.000601,0.000323,"16,029",0.000530,201
115,0.000532,"Feb 07, 2018",0.000942,0.000506,"16,310",0.000540,95
116,0.000545,"Feb 06, 2018",0.002327,0.000480,"67,133",0.002221,6
117,0.002218,"Feb 05, 2018",0.002933,0.002069,"64,996",0.002150,176
118,0.002171,"Feb 04, 2018",0.002737,0.001133,"52,640",0.001741,136
119,0.001741,"Feb 03, 2018",0.002019,0.000701,"27,354",0.000905,"1,536"
120,0.000902,"Feb 02, 2018",0.002514,0.000874,"75,961",0.002513,485
