,close,date,high,low,market_cap,open,volume
0,0.032048,"Jun 08, 2018",0.035552,0.030878,"1,409,340",0.035480,"62,132"
1,0.035453,"Jun 07, 2018",0.038324,0.034528,"1,429,480",0.035987,"4,171"
2,0.035801,"Jun 06, 2018",0.038879,0.034827,"1,541,450",0.038805,"61,197"
3,0.038816,"Jun 05, 2018",0.039248,0.033998,"1,531,770",0.038562,"48,263"
4,0.038543,"Jun 04, 2018",0.039552,0.036656,"1,569,070",0.039316,"78,620"
5,0.039297,"Jun 03, 2018",0.041244,0.035486,"1,540,020",0.038556,"121,062"
6,0.038546,"Jun 02, 2018",0.042451,0.038128,"1,624,260",0.040665,"5,622"
7,0.040683,"Jun 01, 2018",0.043064,0.038163,"1,723,540",0.043064,"83,940"
8,0.043033,"May 31, 2018",0.048010,0.037539,"1,816,780",0.045622,"54,204"
9,0.045630,"May 30, 2018",0.050216,0.045303,"1,906,580",0.047997,"79,338"
10,0.047965,"May 29, 2018",0.050029,0.046847,"1,911,490",0.048121,"90,189"
11,0.048137,"May 28, 2018",0.054188,0.045183,"1,834,930",0.046194,"76,828"
12,0.046183,"May 27, 2018",0.049322,0.044060,"1,873,500",0.047165,"73,023"
13,0.047144,"May 26, 2018",0.053169,0.046890,"2,106,150",0.053022,"5,646"
14,0.053091,"May 25, 2018",0.056478,0.046782,"2,180,620",0.054896,"109,792"
15,0.054793,"May 24, 2018",0.062982,0.052387,"2,407,510",0.060610,"16,242"
16,0.060763,"May 23, 2018",0.078543,0.052691,"2,943,910",0.074114,"107,175"
17,0.074191,"May 22, 2018",0.086069,0.069053,"2,872,110",0.072306,"123,438"
18,0.072319,"May 21, 2018",0.083273,0.063899,"2,676,020",0.067369,"118,767"
19,0.067285,"May 20, 2018",0.076392,0.062853,"2,948,310",0.074224,"91,876"
20,0.074169,"May 19, 2018",0.083272,0.069030,"2,932,230",0.073819,"36,799"
21,0.073831,"May 18, 2018",0.076227,0.060054,"2,573,460",0.064787,"135,660"
22,0.064731,"May 17, 2018",0.075048,0.060933,"11,396,800",0.067042,"120,243"
23,0.074165,"May 16, 2018",0.074165,0.054206,"10,992,600",0.064664,"100,679"
24,0.065550,"May 15, 2018",0.074107,0.047083,"10,456,000",0.061507,"134,177"
25,0.061614,"May 14, 2018",0.073032,0.059392,"12,070,100",0.071002,"68,127"
26,0.071015,"May 13, 2018",0.081573,0.068057,"13,675,100",0.080443,"134,554"
27,0.080471,"May 12, 2018",0.084753,0.074457,"13,443,300",0.079080,"69,943"
28,0.079313,"May 11, 2018",0.096645,0.078958,"16,256,300",0.095627,"148,362"
29,0.095513,"May 10, 2018",0.102205,0.082160,"14,447,100",0.084985,"205,553"
30,0.085009,"May 09, 2018",0.091783,0.075416,-,0.079385,"140,176"
31,0.079507,"May 08, 2018",0.087602,0.061608,-,0.062775,"144,179"
