,close,date,high,low,market_cap,open,volume
0,0.056846,"Jun 08, 2018",0.064564,0.054466,"5,927,710",0.063304,"20,912"
1,0.063256,"Jun 07, 2018",0.065622,0.062458,"5,992,040",0.064010,"5,053"
2,0.063952,"Jun 06, 2018",0.073424,0.062334,"6,064,400",0.064803,"12,828"
3,0.064821,"Jun 05, 2018",0.065847,0.059602,"5,621,940",0.060094,"5,775"
4,0.060065,"Jun 04, 2018",0.079763,0.059970,"6,669,000",0.071307,"9,584"
5,0.078594,"Jun 03, 2018",0.080588,0.072285,"7,438,120",0.079555,"9,054"
6,0.079534,"Jun 02, 2018",0.081789,0.072642,"7,088,850",0.075843,"19,770"
7,0.075876,"Jun 01, 2018",0.083488,0.073926,"7,735,140",0.082783,"9,744"
8,0.078231,"May 31, 2018",0.089750,0.073346,"7,734,030",0.082834,"59,681"
9,0.082849,"May 30, 2018",0.091570,0.077516,"7,775,690",0.083305,"64,750"
10,0.083249,"May 29, 2018",0.085245,0.077886,"7,857,930",0.084212,"25,317"
11,0.079753,"May 28, 2018",0.086670,0.078715,"7,927,320",0.085207,"39,141"
12,0.085187,"May 27, 2018",0.085545,0.076411,"7,185,980",0.077239,"25,796"
13,0.077204,"May 26, 2018",0.093242,0.076973,"7,969,250",0.085657,"19,653"
14,0.085770,"May 25, 2018",0.091963,0.075794,"8,443,340",0.090753,"33,899"
15,0.090583,"May 24, 2018",0.097743,0.071381,"7,198,780",0.077376,"75,298"
16,0.077572,"May 23, 2018",0.096304,0.071359,"8,927,880",0.095961,"60,507"
17,0.096782,"May 22, 2018",0.110166,0.091877,-,0.096205,"238,209"
