,close,date,high,low,market_cap,open,volume
0,0.059922,"May 31, 2018",0.069314,0.055149,"17,643,400",0.056132,"30,115"
1,0.056116,"May 30, 2018",0.057600,0.055038,"17,795,000",0.056614,"8,990"
2,0.056586,"May 29, 2018",0.057599,0.053380,"17,287,600",0.055012,"20,469"
3,0.055073,"May 28, 2018",0.059484,0.054567,"18,685,600",0.059483,"11,798"
4,0.059570,"May 27, 2018",0.060041,0.058674,"18,596,500",0.059199,"2,638"
5,0.059167,"May 26, 2018",0.060504,0.057586,"18,404,000",0.058586,"6,566"
6,0.058572,"May 25, 2018",0.059862,0.056989,"18,010,200",0.057333,"5,414"
7,0.057239,"May 24, 2018",0.060478,0.056493,"18,080,900",0.057558,"22,146"
8,0.057550,"May 23, 2018",0.061898,0.056887,"19,385,600",0.061702,"19,307"
9,0.061742,"May 22, 2018",0.064423,0.061117,"19,734,400",0.062844,"37,761"
10,0.062808,"May 21, 2018",0.064521,0.062124,"19,651,000",0.062578,"9,588"
11,0.062528,"May 20, 2018",0.066061,0.060336,"20,672,100",0.065830,"20,234"
12,0.065780,"May 19, 2018",0.066505,0.063291,"20,162,800",0.064203,"7,615"
13,0.064206,"May 18, 2018",0.065140,0.061541,"19,425,300",0.061855,"12,799"
14,0.061874,"May 17, 2018",0.066573,0.061537,"20,584,600",0.065546,"18,569"
15,0.065520,"May 16, 2018",0.068211,0.063461,"21,412,700",0.068183,"62,868"
16,0.068215,"May 15, 2018",0.068833,0.065535,"20,771,500",0.066138,"26,332"
17,0.066279,"May 14, 2018",0.066639,0.063028,"20,104,100",0.064009,"20,075"
18,0.064034,"May 13, 2018",0.065783,0.063811,"20,551,500",0.065434,"6,091"
19,0.065488,"May 12, 2018",0.066055,0.062356,"19,915,600",0.063409,"11,191"
20,0.065219,"May 11, 2018",0.067460,0.064834,"21,168,300",0.067460,"35,450"
21,0.067438,"May 10, 2018",0.067895,0.062287,"19,547,800",0.062291,"11,726"
22,0.062315,"May 09, 2018",0.068080,0.062283,"20,650,400",0.065808,"37,326"
23,0.065834,"May 08, 2018",0.071366,0.065742,"22,278,000",0.070992,"42,428"
24,0.070888,"May 07, 2018",0.079884,0.067345,"24,954,300",0.079820,"72,523"
25,0.079800,"May 06, 2018",0.079813,0.076861,"24,581,400",0.078627,"23,817"
26,0.078619,"May 05, 2018",0.080546,0.077703,"24,952,100",0.079813,"41,099"
27,0.079801,"May 04, 2018",0.087719,0.075248,"27,423,100",0.087719,"132,107"
28,0.087625,"May 03, 2018",0.087910,0.068543,"21,499,900",0.068772,"210,523"
29,0.068784,"May 02, 2018",0.075906,0.065053,"20,563,200",0.065776,"96,459"
30,0.065893,"May 01, 2018",0.065980,0.064241,"20,567,700",0.065790,"24,995"
31,0.065850,"Apr 30, 2018",0.065902,0.064585,"20,217,400",0.064670,"17,824"
32,0.064686,"Apr 29, 2018",0.064697,0.060910,"19,323,100",0.061809,"15,685"
33,0.061820,"Apr 28, 2018",0.062346,0.060729,"19,062,200",0.060973,"9,207"
34,0.061009,"Apr 27, 2018",0.068243,0.058474,"18,416,400",0.058907,"110,393"
35,0.058966,"Apr 26, 2018",0.059815,0.057904,"18,243,600",0.058357,"13,369"
36,0.058277,"Apr 25, 2018",0.059870,0.053353,"18,348,600",0.058696,"93,212"
37,0.058791,"Apr 24, 2018",0.062117,0.056785,"19,013,100",0.060757,"27,547"
38,0.060748,"Apr 23, 2018",0.061848,0.060278,"18,869,800",0.060372,"5,745"
39,0.060457,"Apr 22, 2018",0.066385,0.059912,"20,746,600",0.066385,"30,688"
40,0.066420,"Apr 21, 2018",0.069862,0.065319,"21,833,200",0.069862,"24,799"
41,0.069852,"Apr 20, 2018",0.070432,0.068545,"21,684,000",0.069385,"10,485"
42,0.069415,"Apr 19, 2018",0.070186,0.067818,"21,609,100",0.069145,"32,332"
43,0.069173,"Apr 18, 2018",0.069200,0.067374,"21,085,200",0.067460,"7,413"
