,close,date,high,low,market_cap,open,volume
0,0.031275,"Jun 07, 2018",0.031535,0.031163,-,0.031163,17
1,0.031134,"Jun 06, 2018",0.038147,0.030530,-,0.030877,57
2,0.030885,"Jun 05, 2018",0.065258,0.026180,-,0.039012,786
3,0.038993,"Jun 04, 2018",0.039842,0.024536,-,0.024823,225
4,0.024811,"Jun 03, 2018",0.038360,0.022061,-,0.023973,"1,922"
5,0.023967,"Jun 02, 2018",0.036461,0.023096,-,0.023226,99
6,0.023236,"Jun 01, 2018",0.036707,0.022842,-,0.036559,19
7,0.036533,"May 31, 2018",0.040402,0.023020,-,0.039793,330
8,0.039800,"May 30, 2018",0.044988,0.022798,"81,496",0.044788,538
9,0.044757,"May 29, 2018",0.047247,0.031574,"57,770",0.031748,144
10,0.031759,"May 28, 2018",0.063395,0.028486,"51,859",0.028500,595
11,0.028494,"May 27, 2018",0.090753,0.022425,"41,376",0.022739,"2,540"
12,0.022729,"May 26, 2018",0.052849,0.022729,"67,808",0.037265,54
13,0.037314,"May 25, 2018",0.037314,0.028830,"52,981",0.029117,139
14,0.029062,"May 24, 2018",0.038530,0.028776,"52,678",0.028950,28
15,0.029024,"May 23, 2018",0.043723,0.028787,"64,806",0.035615,129
16,0.035652,"May 22, 2018",0.043903,0.023431,"79,859",0.043888,18
17,0.043896,"May 21, 2018",0.125484,0.023915,"43,602",0.023962,"2,376"
18,0.023932,"May 20, 2018",0.037638,0.021954,"40,209",0.022098,131
19,0.022081,"May 19, 2018",0.032229,0.021334,"39,128",0.021504,194
20,0.021507,"May 18, 2018",0.024336,0.020532,"37,776",0.020761,34
21,0.020742,"May 17, 2018",0.025836,0.020623,"38,281",0.021038,88
22,0.021025,"May 16, 2018",0.028337,0.015080,"47,560",0.026137,306
23,0.026152,"May 15, 2018",0.037720,0.025759,"47,353",0.026023,232
24,0.026068,"May 14, 2018",0.032856,0.025647,"58,666",0.032241,259
25,0.032247,"May 13, 2018",0.038275,0.025776,"47,457",0.026081,281
26,0.026090,"May 12, 2018",0.033853,0.024790,"61,102",0.033580,"2,411"
27,0.033679,"May 11, 2018",0.036242,0.033457,"65,947",0.036242,723
28,0.036199,"May 10, 2018",0.044081,0.036164,"68,468",0.037628,375
29,0.037638,"May 09, 2018",0.045228,0.037037,"70,469",0.038728,781
30,0.038787,"May 08, 2018",0.043689,0.038195,"71,756",0.039435,228
31,0.039351,"May 07, 2018",0.043835,0.038768,"73,646",0.040474,171
32,0.040445,"May 06, 2018",0.042473,0.039807,"75,651",0.041575,328
33,0.041547,"May 05, 2018",0.042325,0.040742,"74,251",0.040806,254
34,0.040825,"May 04, 2018",0.053081,0.038160,"80,526",0.044254,298
35,0.044272,"May 03, 2018",0.053622,0.038490,"70,792",0.038905,724
36,0.038904,"May 02, 2018",0.048862,0.036396,"66,939",0.036787,"1,134"
37,0.036843,"May 01, 2018",0.048047,0.032588,"70,622",0.038811,364
38,0.038777,"Apr 30, 2018",0.051174,0.034237,"85,536",0.047008,418
39,0.047023,"Apr 29, 2018",0.061830,0.038451,"76,523",0.042055,830
40,0.042071,"Apr 28, 2018",0.053194,0.037933,"95,391",0.052424,221
41,0.044732,"Apr 27, 2018",0.055860,0.036754,"68,007",0.037374,292
42,0.037323,"Apr 26, 2018",0.052248,0.035560,"68,702",0.037756,236
43,0.037446,"Apr 25, 2018",0.059352,0.036239,"107,998",0.059352,308
44,0.059758,"Apr 24, 2018",0.059758,0.036130,"65,772",0.036146,914
45,0.036115,"Apr 23, 2018",0.054725,0.035007,"97,787",0.053741,593
46,0.053849,"Apr 22, 2018",0.075351,0.053567,"100,725",0.055355,622
47,0.055355,"Apr 21, 2018",0.105617,0.046340,"85,914",0.047216,244
48,0.047199,"Apr 20, 2018",0.101925,0.042243,"140,079",0.076983,450
49,0.076932,"Apr 19, 2018",0.123338,0.040640,"124,790",0.068580,771
50,0.068529,"Apr 18, 2018",0.144194,0.057400,"257,903",0.141735,"1,181"
51,0.141604,"Apr 17, 2018",0.149750,0.028118,"51,557",0.028334,"1,333"
52,0.091798,"Apr 16, 2018",0.091969,0.015928,"29,004",0.015939,203
53,0.015946,"Apr 15, 2018",0.031611,0.013007,"56,635",0.031125,76
54,0.031092,"Apr 14, 2018",0.031119,0.011760,"21,472",0.011800,412
55,0.011801,"Apr 13, 2018",0.018321,0.011735,"30,113",0.016549,340
56,0.016528,"Apr 12, 2018",0.016607,0.003976,"9,549",0.005248,0
57,0.005261,"Apr 11, 2018",0.006088,0.003504,"10,512",0.005777,645
58,0.005771,"Apr 10, 2018",0.021604,0.002865,"6,740",0.003704,"1,131"
59,0.003443,"Apr 09, 2018",0.042366,0.003307,"10,892",0.005986,454
60,0.005976,"Apr 08, 2018",0.009609,0.005058,"13,718",0.007539,966
61,0.007532,"Apr 07, 2018",0.038732,0.004678,"15,424",0.008476,"1,070"
62,0.008449,"Apr 06, 2018",0.031763,0.006123,"12,533",0.006888,374
63,0.006923,"Apr 05, 2018",0.012691,0.006510,"12,607",0.006928,368
64,0.006925,"Apr 04, 2018",0.015177,0.006214,"17,618",0.009682,411
65,0.009687,"Apr 03, 2018",0.010892,0.007139,"17,332",0.009525,468
66,0.009168,"Apr 02, 2018",0.012991,0.006612,"23,033",0.012658,190
67,0.012596,"Apr 01, 2018",0.016392,0.007154,"28,149",0.015470,905
68,0.015470,"Mar 31, 2018",0.049121,0.011371,"87,185",0.047914,"1,904"
69,0.048295,"Mar 30, 2018",0.199281,0.015034,"28,573",0.015703,"9,507"
70,0.015742,"Mar 29, 2018",0.041864,0.013545,"27,823",0.015290,383
71,0.015272,"Mar 28, 2018",0.065900,0.015256,"112,496",0.061824,256
72,0.061838,"Mar 27, 2018",0.072459,0.034647,"77,555",0.042622,"2,244"
73,0.042686,"Mar 26, 2018",0.044898,0.030609,"75,144",0.041297,319
74,0.041328,"Mar 25, 2018",0.055638,0.036778,"81,340",0.044702,656
75,0.045326,"Mar 24, 2018",0.056753,0.037965,"73,607",0.040452,367
76,0.039871,"Mar 23, 2018",0.056812,0.038129,"86,230",0.047389,199
77,0.047391,"Mar 22, 2018",0.072054,0.030609,"90,029",0.049477,750
78,0.049570,"Mar 21, 2018",0.066659,0.047095,"121,106",0.066556,266
79,0.066436,"Mar 20, 2018",0.072015,0.031300,"109,168",0.059995,453
80,0.059550,"Mar 19, 2018",0.063746,0.027418,"100,429",0.055193,208
81,0.055527,"Mar 18, 2018",0.070152,0.044119,"127,649",0.070152,188
82,0.070323,"Mar 17, 2018",0.077285,0.035516,"108,348",0.059545,350
83,0.059447,"Mar 16, 2018",0.068474,0.056675,"105,766",0.058126,702
84,0.058157,"Mar 15, 2018",0.064759,0.056622,"112,801",0.061992,153
85,0.062021,"Mar 14, 2018",0.095424,0.060334,"136,565",0.075052,292
86,0.075042,"Mar 13, 2018",0.093762,0.063565,"116,322",0.063927,575
87,0.064296,"Mar 12, 2018",0.106766,0.059420,"152,510",0.083814,664
88,0.084079,"Mar 11, 2018",0.106346,0.061729,"116,790",0.064184,303
89,0.064406,"Mar 10, 2018",0.086185,0.064109,"125,273",0.068846,670
90,0.068816,"Mar 09, 2018",0.074599,0.061706,"123,978",0.068134,183
91,0.068568,"Mar 08, 2018",0.097865,0.066631,"133,314",0.073265,804
92,0.073369,"Mar 07, 2018",0.104259,0.063690,"137,811",0.075736,"1,040"
93,0.075835,"Mar 06, 2018",0.102192,0.073236,"138,899",0.076334,"2,606"
94,0.076546,"Mar 05, 2018",0.104062,0.074827,"144,357",0.079334,618
95,0.079392,"Mar 04, 2018",0.147355,0.050209,"251,973",0.138476,"1,917"
96,0.138715,"Mar 03, 2018",0.139011,0.045167,"241,120",0.132512,"1,540"
97,0.132674,"Mar 02, 2018",0.140381,0.122417,"243,736",0.133950,907
98,0.134295,"Mar 01, 2018",0.159755,0.133180,"263,423",0.144769,"2,841"
99,0.144556,"Feb 28, 2018",0.184333,0.130498,"327,754",0.180123,"3,572"
100,0.180336,"Feb 27, 2018",0.190588,0.129816,"259,854",0.142807,"1,988"
101,0.142396,"Feb 26, 2018",0.176546,0.101721,"252,274",0.138642,"1,499"
102,0.138464,"Feb 25, 2018",0.181599,0.111911,"330,440",0.181599,467
