,close,date,high,low,market_cap,open,volume
0,0.081035,"Jun 08, 2018",0.083256,0.076799,"481,320",0.076825,544
1,0.076767,"Jun 07, 2018",0.077481,0.075998,"479,688",0.076568,544
2,0.076497,"Jun 06, 2018",0.077266,0.068485,"482,867",0.077078,590
3,0.077098,"Jun 05, 2018",0.081262,0.074625,"508,519",0.081175,463
4,0.081136,"Jun 04, 2018",0.082426,0.075932,"482,905",0.077089,378
5,0.077053,"Jun 03, 2018",0.077261,0.069487,"450,512",0.071920,655
6,0.071901,"Jun 02, 2018",0.072003,0.069759,"442,579",0.070656,527
7,0.070687,"Jun 01, 2018",0.071103,0.069230,"441,092",0.070421,487
8,0.070370,"May 31, 2018",0.070957,0.068146,"431,888",0.068954,575
9,0.068967,"May 30, 2018",0.070594,0.062171,"437,134",0.069794,33
10,0.069747,"May 29, 2018",0.070876,0.063856,"402,140",0.064209,532
11,0.064230,"May 28, 2018",0.065451,0.059378,"391,483",0.062509,534
12,0.062495,"May 27, 2018",0.069725,0.062382,"434,100",0.069317,9
13,0.069286,"May 26, 2018",0.072039,0.059336,"385,827",0.061611,646
14,0.061692,"May 25, 2018",0.065423,0.054816,"402,552",0.064283,438
15,0.064163,"May 24, 2018",0.066635,0.061827,"407,301",0.065044,498
16,0.065209,"May 23, 2018",0.069832,0.064203,"436,001",0.069630,490
17,0.069702,"May 22, 2018",0.077209,0.064530,"483,276",0.077182,155
18,0.077196,"May 21, 2018",0.080817,0.068447,"504,559",0.080584,472
19,0.080483,"May 20, 2018",0.081107,0.073091,"488,375",0.078002,681
20,0.077943,"May 19, 2018",0.077943,0.066376,"416,274",0.066488,698
21,0.066498,"May 18, 2018",0.069589,0.065116,"428,866",0.068502,596
22,0.068442,"May 17, 2018",0.079366,0.067503,"423,342",0.067622,491
23,0.067580,"May 16, 2018",0.079999,0.059786,"382,505",0.061100,546
24,0.061136,"May 15, 2018",0.075669,0.060783,"439,309",0.070176,631
25,0.070297,"May 14, 2018",0.077650,0.066616,"456,961",0.072998,59
