,close,date,high,low,market_cap,open,volume
0,0.008393,"Jun 08, 2018",0.008776,0.008393,"247,670",0.008758,28
1,0.008751,"Jun 07, 2018",0.008751,0.008416,"238,179",0.008422,66
2,0.008415,"Jun 06, 2018",0.009225,0.008181,"256,560",0.009072,634
3,0.009075,"Jun 05, 2018",0.009091,0.008119,"233,374",0.008253,573
4,0.008249,"Jun 04, 2018",0.009121,0.008157,"257,241",0.009097,829
5,0.009092,"Jun 03, 2018",0.009565,0.009053,"269,883",0.009544,310
6,0.009541,"Jun 02, 2018",0.010379,0.009509,"272,081",0.009621,158
7,0.009625,"Jun 01, 2018",0.010476,0.009421,"290,243",0.010264,815
8,0.010256,"May 31, 2018",0.013125,0.009271,"315,250",0.011148,"3,363"
9,0.011150,"May 30, 2018",0.014034,0.010267,"329,303",0.011645,"7,461"
10,0.011637,"May 29, 2018",0.027609,0.008192,"233,513",0.008257,"25,396"
11,0.008260,"May 28, 2018",0.008945,0.008235,"247,188",0.008741,176
12,0.008739,"May 27, 2018",0.008928,0.008385,"242,692",0.008582,91
13,0.008578,"May 26, 2018",0.009809,0.008172,"259,760",0.009186,798
14,0.009198,"May 25, 2018",0.011186,0.008649,"269,474",0.009529,654
15,0.009511,"May 24, 2018",0.010551,0.008211,"263,680",0.009324,364
16,0.009348,"May 23, 2018",0.010325,0.008978,"267,069",0.009444,451
17,0.009454,"May 22, 2018",0.011780,0.009317,"332,866",0.011771,449
18,0.011773,"May 21, 2018",0.016464,0.009171,"267,674",0.009465,"3,882"
19,0.009454,"May 20, 2018",0.009681,0.009152,"258,822",0.009152,382
20,0.009146,"May 19, 2018",0.009514,0.009123,"260,949",0.009228,410
21,0.009229,"May 18, 2018",0.009510,0.008990,"260,421",0.009209,127
22,0.009201,"May 17, 2018",0.009706,0.009127,"269,135",0.009517,268
23,0.009511,"May 16, 2018",0.013165,0.008867,"259,179",0.009165,574
24,0.009170,"May 15, 2018",0.016066,0.008725,"247,759",0.008761,"9,252"
25,0.008776,"May 14, 2018",0.009211,0.008528,"253,126",0.008951,62
26,0.008953,"May 13, 2018",0.009807,0.008704,"251,432",0.008891,382
27,0.008894,"May 12, 2018",0.009056,0.008483,"246,897",0.008731,69
28,0.008756,"May 11, 2018",0.009770,0.008756,"263,252",0.009309,77
29,0.009298,"May 10, 2018",0.010381,0.009289,"281,824",0.009966,334
30,0.009969,"May 09, 2018",0.011349,0.009532,"275,746",0.009751,233
31,0.009766,"May 08, 2018",0.010616,0.009214,"264,887",0.009367,405
32,0.009347,"May 07, 2018",0.009811,0.009279,"277,303",0.009806,572
33,0.009799,"May 06, 2018",0.011012,0.009509,"308,520",0.010910,"1,191"
34,0.010902,"May 05, 2018",0.011821,0.009387,"265,875",0.009402,"11,292"
35,0.009406,"May 04, 2018",0.010086,0.009180,"272,898",0.009650,71
36,0.009654,"May 03, 2018",0.010919,0.008271,"237,246",0.008389,403
37,0.008389,"May 02, 2018",0.008855,0.007998,"228,612",0.008084,65
38,0.008096,"May 01, 2018",0.008908,0.008065,"240,416",0.008502,283
39,0.008494,"Apr 30, 2018",0.008602,0.008326,"239,280",0.008461,27
40,0.008464,"Apr 29, 2018",0.009525,0.008179,"264,281",0.009345,"2,211"
41,0.009349,"Apr 28, 2018",0.010914,0.008994,"264,732",0.009361,704
42,0.009394,"Apr 27, 2018",0.010245,0.009394,"289,205",0.010227,348
43,0.010213,"Apr 26, 2018",0.010452,0.009632,"280,713",0.009927,154
44,0.009845,"Apr 25, 2018",0.011377,0.009831,"309,904",0.010959,249
45,0.011034,"Apr 24, 2018",0.012365,0.010081,"285,200",0.010085,651
46,0.010077,"Apr 23, 2018",0.010375,0.009914,"280,605",0.009923,250
47,0.009943,"Apr 22, 2018",0.010803,0.009892,"305,505",0.010803,72
48,0.010803,"Apr 21, 2018",0.010803,0.009762,"290,047",0.010257,94
49,0.010253,"Apr 20, 2018",0.010603,0.009781,"289,955",0.010253,65
50,0.010247,"Apr 19, 2018",0.011394,0.009185,"263,203",0.009307,392
51,0.009300,"Apr 18, 2018",0.009753,0.009209,"265,720",0.009396,81
52,0.009388,"Apr 17, 2018",0.010725,0.009366,"270,882",0.009579,314
53,0.009574,"Apr 16, 2018",0.010238,0.009532,"287,916",0.010181,89
54,0.010186,"Apr 15, 2018",0.011144,0.009441,"266,996",0.009441,160
55,0.009431,"Apr 14, 2018",0.009643,0.009173,"260,290",0.009204,177
56,0.009204,"Apr 13, 2018",0.010157,0.008643,"248,554",0.008789,42
57,0.008778,"Apr 12, 2018",0.010069,0.007912,"227,867",0.008058,225
58,0.008077,"Apr 11, 2018",0.009611,0.006811,"224,081",0.007924,266
59,0.007916,"Apr 10, 2018",0.008307,0.006720,"198,825",0.007031,172
60,0.007025,"Apr 09, 2018",0.010793,0.006866,"210,586",0.007447,457
61,0.007435,"Apr 08, 2018",0.008510,0.007357,"216,724",0.007664,82
62,0.007657,"Apr 07, 2018",0.009512,0.007273,"205,970",0.007283,261
63,0.007341,"Apr 06, 2018",0.007943,0.007277,"222,290",0.007861,44
64,0.007901,"Apr 05, 2018",0.008968,0.007561,"220,875",0.007811,72
65,0.007807,"Apr 04, 2018",0.009450,0.007414,"243,285",0.008603,339
66,0.008609,"Apr 03, 2018",0.010923,0.005902,"167,449",0.005921,564
67,0.005917,"Apr 02, 2018",0.007190,0.005889,"193,010",0.006825,61
68,0.006792,"Apr 01, 2018",0.008364,0.005083,"233,202",0.008246,777
69,0.008247,"Mar 31, 2018",0.008637,0.008112,"232,018",0.008205,39
70,0.008203,"Mar 30, 2018",0.008712,0.008003,"244,393",0.008642,25
71,0.008664,"Mar 29, 2018",0.010998,0.008412,"269,485",0.009529,342
72,0.009518,"Mar 28, 2018",0.013280,0.008828,"251,032",0.008877,150
73,0.008879,"Mar 27, 2018",0.013019,0.007085,"288,767",0.010211,704
74,0.010227,"Mar 26, 2018",0.012554,0.008218,"233,899",0.008271,"1,507"
75,0.008277,"Mar 25, 2018",0.012631,0.008240,"353,475",0.012500,354
76,0.012674,"Mar 24, 2018",0.013204,0.011096,"372,989",0.013190,107
77,0.013000,"Mar 23, 2018",0.013000,0.011642,"351,874",0.012443,79
78,0.012443,"Mar 22, 2018",0.013438,0.011165,"329,540",0.011653,436
79,0.011674,"Mar 21, 2018",0.012074,0.011422,"329,866",0.011665,217
