,close,date,high,low,market_cap,open,volume
0,0.349306,"Jun 08, 2018",0.392288,0.346910,"9,056,780",0.389970,"269,242"
1,0.389443,"Jun 07, 2018",0.412180,0.374049,"8,717,450",0.375359,"218,685"
2,0.375017,"Jun 06, 2018",0.420193,0.358823,"9,733,720",0.419118,"295,536"
3,0.419534,"Jun 05, 2018",0.435568,0.394636,"10,080,300",0.434040,"393,212"
4,0.434507,"Jun 04, 2018",0.484055,0.420988,"11,199,500",0.482234,"697,576"
5,0.483167,"Jun 03, 2018",0.483796,0.463313,"10,832,200",0.466415,"993,310"
6,0.466524,"Jun 02, 2018",0.489750,0.462536,"11,245,600",0.484219,"1,073,270"
7,0.484617,"Jun 01, 2018",0.504647,0.467903,"11,600,400",0.499493,"1,034,780"
8,0.497551,"May 31, 2018",0.500303,0.444565,"10,331,100",0.444840,"1,090,640"
9,0.447159,"May 30, 2018",0.482672,0.444413,"10,473,700",0.450979,"1,148,860"
10,0.452448,"May 29, 2018",0.479989,0.418599,"10,108,200",0.435244,"1,101,860"
11,0.435988,"May 28, 2018",0.464636,0.407232,"10,689,200",0.460261,"1,127,020"
12,0.460963,"May 27, 2018",0.477051,0.411443,"9,870,470",0.425006,"1,034,550"
13,0.426181,"May 26, 2018",0.453714,0.420987,"10,444,700",0.449733,"850,853"
14,0.451122,"May 25, 2018",0.471643,0.438585,"10,946,000",0.471315,"163,065"
15,0.468569,"May 24, 2018",0.481790,0.436379,"10,419,500",0.448645,"360,682"
16,0.449807,"May 23, 2018",0.544103,0.445250,"12,560,500",0.540836,"336,400"
17,0.541700,"May 22, 2018",0.574439,0.539752,"13,180,700",0.567539,"365,080"
18,0.567175,"May 21, 2018",0.638458,0.565960,"14,789,800",0.636825,"366,912"
19,0.628762,"May 20, 2018",0.675507,0.591371,"13,959,000",0.601051,"410,869"
20,0.604127,"May 19, 2018",0.625680,0.595639,"14,416,500",0.620750,"217,186"
21,0.620791,"May 18, 2018",0.625967,0.587451,"14,537,600",0.625967,"261,619"
22,0.625887,"May 17, 2018",0.677154,0.623624,"14,819,600",0.638109,"254,135"
23,0.639715,"May 16, 2018",0.688875,0.602481,"14,812,500",0.637800,"397,835"
24,0.637933,"May 15, 2018",0.702339,0.634329,"16,059,700",0.691503,"463,466"
25,0.692854,"May 14, 2018",0.738950,0.679102,"16,969,800",0.730690,"625,201"
26,0.723131,"May 13, 2018",0.799339,0.655397,"17,253,900",0.742923,"1,617,980"
27,0.760469,"May 12, 2018",0.854469,0.514047,"12,883,800",0.554755,"1,079,010"
28,0.556402,"May 11, 2018",0.726081,0.556402,"16,862,700",0.726081,"399,663"
29,0.725335,"May 10, 2018",0.808101,0.720161,"18,767,600",0.808101,"528,606"
30,0.803083,"May 09, 2018",0.914569,0.750344,"21,240,200",0.914569,"957,172"
31,0.911594,"May 08, 2018",0.927951,0.840810,"20,791,800",0.895259,"788,652"
32,0.888218,"May 07, 2018",0.936831,0.774574,"20,456,700",0.880831,"833,622"
33,0.882589,"May 06, 2018",0.929317,0.836925,"21,302,300",0.917244,"533,549"
34,0.919388,"May 05, 2018",0.968213,0.879936,"20,816,600",0.896327,"702,840"
35,0.896863,"May 04, 2018",0.932540,0.871973,"21,366,000",0.919987,"1,001,950"
36,0.923453,"May 03, 2018",0.960918,0.905280,"21,936,700",0.944558,"2,234,690"
37,0.945932,"May 02, 2018",0.997363,0.919447,"23,163,100",0.997363,"4,047,400"
38,0.999826,"May 01, 2018",1.04,0.928198,"23,417,700",1.01,"2,239,460"
39,1.01,"Apr 30, 2018",1.03,0.952306,"23,001,200",0.990393,"1,400,060"
40,0.992163,"Apr 29, 2018",0.998819,0.922087,"22,746,100",0.979409,"1,467,520"
41,0.980304,"Apr 28, 2018",1.07,0.807733,"18,781,500",0.808699,"2,339,150"
42,0.818143,"Apr 27, 2018",0.945009,0.818143,"21,378,400",0.920518,"1,862,890"
43,0.919417,"Apr 26, 2018",0.950303,0.758882,"18,609,100",0.801279,"3,667,000"
44,0.796421,"Apr 25, 2018",1.02,0.763086,"23,680,800",1.02,"3,277,140"
45,1.02,"Apr 24, 2018",1.02,0.877514,"20,382,300",0.877627,"3,656,540"
46,0.879647,"Apr 23, 2018",0.909553,0.803172,"19,614,900",0.844584,"3,018,400"
47,0.846039,"Apr 22, 2018",0.927030,0.780904,"18,697,600",0.805089,"3,824,430"
48,0.811845,"Apr 21, 2018",0.861612,0.766012,"19,964,700",0.859646,"2,672,570"
49,0.862465,"Apr 20, 2018",0.880511,0.768856,"18,362,000",0.790637,"3,376,540"
50,0.797989,"Apr 19, 2018",0.872034,0.678996,"16,102,200",0.693333,"3,608,090"
51,0.691483,"Apr 18, 2018",0.731084,0.669274,"15,696,100",0.675847,"2,945,030"
52,0.672653,"Apr 17, 2018",0.813819,0.636540,"14,889,700",0.641128,"4,415,500"
53,0.647277,"Apr 16, 2018",0.655924,0.584465,"14,122,900",0.608110,"2,979,850"
54,0.612625,"Apr 15, 2018",0.623129,0.545108,"13,117,000",0.564797,"2,972,570"
55,0.556162,"Apr 14, 2018",0.593192,0.541018,"12,939,700",0.557163,"2,588,630"
56,0.564748,"Apr 13, 2018",0.631585,0.546557,"13,683,100",0.589174,"2,944,060"
57,0.588158,"Apr 12, 2018",0.593664,0.488359,"11,542,500",0.496999,"2,947,800"
58,0.505906,"Apr 11, 2018",0.546147,0.499519,"12,390,900",0.533533,"2,989,500"
59,0.528370,"Apr 10, 2018",0.547354,0.520075,"12,529,600",0.539506,"2,707,080"
60,0.538247,"Apr 09, 2018",0.627368,0.527896,"13,734,100",0.591365,"3,158,300"
61,0.607772,"Apr 08, 2018",0.665731,0.500871,"11,818,900",0.508902,"3,308,880"
62,0.503930,"Apr 07, 2018",0.574831,0.474716,"11,049,100",0.475758,"2,709,340"
63,0.489622,"Apr 06, 2018",0.505394,0.465129,"11,518,400",0.495961,"2,664,220"
64,0.503541,"Apr 05, 2018",0.555624,0.469827,"11,600,500",0.499497,"2,780,380"
65,0.506676,"Apr 04, 2018",0.545540,0.412511,"12,669,800",0.545540,"3,700,510"
66,0.524761,"Apr 03, 2018",0.618787,0.524761,"14,200,800",0.611463,"3,168,800"
67,0.583287,"Apr 02, 2018",0.721564,0.540908,"15,418,200",0.663882,"3,021,930"
68,0.654899,"Apr 01, 2018",0.736060,0.643489,"16,459,800",0.708731,"3,160,450"
69,0.716540,"Mar 31, 2018",0.805335,0.705931,"16,600,900",0.714807,"3,523,730"
70,0.716005,"Mar 30, 2018",0.857633,0.672788,"18,997,100",0.817983,"4,525,460"
71,0.828490,"Mar 29, 2018",0.996643,0.586075,"18,802,200",0.809590,"6,062,510"
72,0.809697,"Mar 28, 2018",1.45,0.377392,"9,207,220",0.396447,"15,744,200"
73,0.399539,"Mar 27, 2018",0.420505,0.317942,"7,457,850",0.321123,"2,587,800"
74,0.316683,"Mar 26, 2018",0.328769,0.282799,"7,071,560",0.304490,"2,802,280"
75,0.303683,"Mar 25, 2018",0.313601,0.286303,"7,166,800",0.308590,"2,609,440"
76,0.312195,"Mar 24, 2018",0.339000,0.307081,"7,305,390",0.314558,"2,858,330"
77,0.320278,"Mar 23, 2018",0.322681,0.282678,"7,366,630",0.317195,"2,927,920"
78,0.318204,"Mar 22, 2018",0.357893,0.299382,"7,541,080",0.324707,"3,446,680"
79,0.326716,"Mar 21, 2018",0.343408,0.299081,"7,133,150",0.307142,"2,912,360"
80,0.306347,"Mar 20, 2018",0.342603,0.263627,"7,364,460",0.317102,"2,947,070"
81,0.307790,"Mar 19, 2018",0.344433,0.269240,"6,253,340",0.269259,"2,834,180"
82,0.267795,"Mar 18, 2018",0.297743,0.227314,"6,914,870",0.297743,"2,940,520"
83,0.297208,"Mar 17, 2018",0.321923,0.294740,"7,472,990",0.321774,"2,518,000"
84,0.315540,"Mar 16, 2018",0.328886,0.281628,"6,952,920",0.299381,"2,528,100"
85,0.299845,"Mar 15, 2018",0.372983,0.281413,"8,329,770",0.358666,"4,159,480"
86,0.360778,"Mar 14, 2018",0.477439,0.334734,"10,278,800",0.442589,"3,640,190"
87,0.442666,"Mar 13, 2018",0.547328,0.426577,-,0.528699,"2,446,210"
88,0.529099,"Mar 12, 2018",0.531761,0.466436,-,0.489920,"5,494,140"
89,0.490923,"Mar 11, 2018",0.506898,0.454136,-,0.470513,"1,889,610"
90,0.483458,"Mar 10, 2018",0.524420,0.466522,-,0.507600,"2,409,080"
91,0.505267,"Mar 09, 2018",0.529527,0.438962,-,0.518279,"2,461,050"
92,0.520586,"Mar 08, 2018",0.576365,0.471548,-,0.489669,"2,944,450"
93,0.493840,"Mar 07, 2018",0.665605,0.468440,-,0.615742,"2,442,100"
94,0.615810,"Mar 06, 2018",0.754899,0.602612,-,0.703729,"2,870,850"
95,0.656512,"Mar 05, 2018",0.717358,0.634281,-,0.705735,"2,817,430"
96,0.704269,"Mar 04, 2018",0.754184,0.700210,-,0.751455,"2,797,440"
97,0.756125,"Mar 03, 2018",0.810342,0.624948,-,0.655486,"4,450,490"
98,0.659530,"Mar 02, 2018",0.701396,0.601169,-,0.664814,"2,938,960"
99,0.671032,"Mar 01, 2018",0.671385,0.592909,-,0.603290,"2,279,840"
100,0.603970,"Feb 28, 2018",0.736225,0.603970,-,0.671740,"1,930,250"
101,0.683113,"Feb 27, 2018",0.684271,0.581400,-,0.636735,"2,092,020"
102,0.635202,"Feb 26, 2018",0.666891,0.561096,-,0.620932,"1,502,360"
