,close,date,high,low,market_cap,open,volume
0,0.153980,"Jun 08, 2018",0.159945,0.152611,"3,571,910",0.158713,"31,520"
1,0.158593,"Jun 07, 2018",0.161933,0.157062,"3,596,580",0.159872,"35,255"
2,0.160277,"Jun 06, 2018",0.161742,0.152239,"3,438,520",0.152913,"150,891"
3,0.152957,"Jun 05, 2018",0.155970,0.148141,"3,433,470",0.152748,"37,232"
4,0.152556,"Jun 04, 2018",0.161772,0.151980,"3,546,560",0.157846,"67,506"
5,0.157675,"Jun 03, 2018",0.160056,0.153765,"3,518,310",0.156667,"33,082"
6,0.156625,"Jun 02, 2018",0.159253,0.153005,"3,460,340",0.154164,"16,345"
7,0.154231,"Jun 01, 2018",0.161364,0.150749,"3,538,300",0.157697,"41,080"
8,0.157582,"May 31, 2018",0.165460,0.147926,"3,384,150",0.150886,"153,802"
9,0.150915,"May 30, 2018",0.163322,0.149431,"3,576,980",0.159544,"52,584"
10,0.160402,"May 29, 2018",0.165316,0.151131,"3,515,670",0.156875,"136,774"
11,0.156927,"May 28, 2018",0.190135,0.156295,"3,760,150",0.167855,"902,650"
12,0.167815,"May 27, 2018",0.173970,0.165807,"3,838,770",0.171436,"13,482"
13,0.171361,"May 26, 2018",0.177704,0.168723,"3,829,530",0.171094,"20,907"
14,0.171389,"May 25, 2018",0.177206,0.168362,"3,826,980",0.171055,"45,118"
15,0.170735,"May 24, 2018",0.181665,0.160663,"3,944,780",0.176398,"149,604"
16,0.176844,"May 23, 2018",0.207791,0.174993,"4,632,180",0.207225,"167,055"
17,0.207440,"May 22, 2018",0.226806,0.207440,"5,050,940",0.226043,"26,602"
18,0.226085,"May 21, 2018",0.231942,0.217357,"5,150,170",0.230562,"90,224"
19,0.230274,"May 20, 2018",0.235830,0.210039,"4,804,580",0.215165,"146,910"
20,0.215005,"May 19, 2018",0.265552,0.209082,"4,885,880",0.218879,"108,823"
21,0.218912,"May 18, 2018",0.226121,0.215039,"4,958,940",0.222225,"101,629"
22,0.222030,"May 17, 2018",0.266206,0.217916,"5,215,890",0.233825,"972,647"
23,0.233599,"May 16, 2018",0.236615,0.219584,"5,123,130",0.229748,"84,651"
24,0.229881,"May 15, 2018",0.248376,0.225131,"5,159,240",0.231435,"141,984"
25,0.231833,"May 14, 2018",0.258053,0.213585,"5,145,030",0.230880,"407,289"
26,0.231768,"May 13, 2018",0.235190,0.210619,"4,864,690",0.218376,"80,730"
27,0.217275,"May 12, 2018",0.224007,0.211621,"4,898,700",0.219976,"52,740"
28,0.221772,"May 11, 2018",0.260831,0.214623,"5,795,480",0.260339,"216,028"
29,0.260027,"May 10, 2018",0.284033,0.259830,"6,158,440",0.276740,"86,428"
30,0.276818,"May 09, 2018",0.281324,0.269767,"6,241,510",0.280569,"75,582"
31,0.280999,"May 08, 2018",0.295587,0.277193,"6,271,160",0.281992,"120,118"
32,0.281395,"May 07, 2018",0.293933,0.277175,"6,486,690",0.291775,"146,277"
33,0.291470,"May 06, 2018",0.309470,0.285638,"6,833,010",0.307439,"92,761"
34,0.307231,"May 05, 2018",0.321000,0.303060,"6,891,400",0.310177,"193,270"
35,0.310324,"May 04, 2018",0.320246,0.287236,"6,521,070",0.293615,"1,245,820"
