,close,date,high,low,market_cap,open,volume
0,0.005804,"Jun 08, 2018",0.005942,0.005615,"6,563,240",0.005722,"14,618"
1,0.005778,"Jun 07, 2018",0.005880,0.005605,"6,492,940",0.005662,"21,666"
2,0.005657,"Jun 06, 2018",0.005734,0.005096,"6,189,000",0.005399,"28,233"
3,0.005400,"Jun 05, 2018",0.005571,0.004798,"6,061,170",0.005289,"21,088"
4,0.005244,"Jun 04, 2018",0.006507,0.005099,"7,067,890",0.006169,"51,844"
5,0.006117,"Jun 03, 2018",0.006726,0.005764,"7,423,010",0.006481,"42,539"
6,0.006479,"Jun 02, 2018",0.006809,0.006202,"7,392,940",0.006457,"24,915"
7,0.006459,"Jun 01, 2018",0.006701,0.005455,"6,611,080",0.005776,"51,096"
8,0.005795,"May 31, 2018",0.006022,0.004582,"5,627,880",0.004975,"44,907"
9,0.005017,"May 30, 2018",0.005135,0.004704,"5,530,430",0.004891,"21,793"
10,0.004784,"May 29, 2018",0.005403,0.004637,"5,276,530",0.004680,"31,421"
11,0.004682,"May 28, 2018",0.006440,0.003715,"6,898,070",0.006175,"77,232"
12,0.006111,"May 27, 2018",0.006500,0.005593,"7,185,630",0.006435,"26,715"
13,0.006432,"May 26, 2018",0.007193,0.005538,"6,420,690",0.005752,"35,924"
14,0.005583,"May 25, 2018",0.008859,0.005280,"9,734,880",0.008724,"60,147"
15,0.008699,"May 24, 2018",0.009516,0.005427,"6,844,370",0.006136,"123,987"
16,0.006318,"May 23, 2018",0.006657,0.003408,"4,884,110",0.004380,"105,405"
17,0.004426,"May 22, 2018",0.006306,0.003728,"6,975,170",0.006257,"85,458"
18,0.006258,"May 21, 2018",0.007562,0.005065,"8,231,760",0.007387,"74,670"
19,0.007378,"May 20, 2018",0.007987,0.007160,"8,401,870",0.007576,"24,798"
20,0.007621,"May 19, 2018",0.009743,0.006626,"10,732,500",0.009681,"45,571"
21,0.009683,"May 18, 2018",0.009736,0.007324,"9,763,640",0.008810,"36,991"
22,0.008803,"May 17, 2018",0.010864,0.006830,"11,562,800",0.010438,"81,275"
23,0.010601,"May 16, 2018",0.010778,0.010008,"11,696,000",0.010561,"19,954"
24,0.010567,"May 15, 2018",0.011104,0.010333,"11,839,000",0.010694,"18,408"
25,0.010712,"May 14, 2018",0.011456,0.010075,"11,823,100",0.010684,"21,442"
26,0.010686,"May 13, 2018",0.010897,0.009938,"11,405,800",0.010310,"13,219"
27,0.010312,"May 12, 2018",0.010601,0.009499,"10,762,200",0.009732,"22,557"
28,0.009617,"May 11, 2018",0.014896,0.009594,"16,467,800",0.014896,"75,832"
29,0.014879,"May 10, 2018",0.016033,0.013105,"17,660,400",0.015981,"41,064"
30,0.016021,"May 09, 2018",0.016487,0.014782,"17,321,100",0.015679,"24,528"
31,0.015742,"May 08, 2018",0.016618,0.015020,"17,685,800",0.016015,"34,192"
32,0.015981,"May 07, 2018",0.016993,0.015564,"18,743,300",0.016979,"18,892"
33,0.016966,"May 06, 2018",0.018323,0.016341,"19,531,800",0.017699,"27,474"
34,0.017687,"May 05, 2018",0.018712,0.015695,"18,253,700",0.016547,"66,755"
35,0.016554,"May 04, 2018",0.018234,0.015814,"20,013,000",0.018148,"49,617"
36,0.018211,"May 03, 2018",0.018682,0.016649,"19,172,100",0.017392,"61,602"
37,0.017391,"May 02, 2018",0.020671,0.013359,"21,921,000",0.019892,"148,234"
38,0.019953,"May 01, 2018",0.023948,0.018130,-,0.023903,"59,898"
39,0.023917,"Apr 30, 2018",0.023977,0.019743,-,0.020518,"59,774"
40,0.020283,"Apr 29, 2018",0.022225,0.020094,-,0.021246,"23,791"
41,0.021254,"Apr 28, 2018",0.021562,0.020435,-,0.020715,"25,447"
42,0.020786,"Apr 27, 2018",0.024773,0.020318,-,0.023890,"36,780"
43,0.024301,"Apr 26, 2018",0.024574,0.021428,-,0.022466,"54,497"
44,0.022281,"Apr 25, 2018",0.023785,0.019583,-,0.021215,"85,718"
45,0.021501,"Apr 24, 2018",0.022108,0.015423,-,0.020298,"93,018"
46,0.020492,"Apr 23, 2018",0.025630,0.018784,-,0.024840,"83,489"
47,0.024780,"Apr 22, 2018",0.026951,0.024693,-,0.026513,"29,782"
48,0.026513,"Apr 21, 2018",0.026513,0.025133,-,0.026040,"33,604"
49,0.026031,"Apr 20, 2018",0.028053,0.024487,-,0.026896,"44,206"
50,0.025871,"Apr 19, 2018",0.042579,0.022526,-,0.026574,"78,035"
51,0.026554,"Apr 18, 2018",0.027343,0.025544,-,0.026480,"30,168"
52,0.026455,"Apr 17, 2018",0.028954,0.024954,-,0.026908,"55,329"
53,0.026894,"Apr 16, 2018",0.029715,0.021635,-,0.021635,"117,560"
54,0.021644,"Apr 15, 2018",0.029894,0.016696,-,0.017016,"60,361"
55,0.016998,"Apr 14, 2018",0.021691,0.014622,-,0.021045,"72,749"
56,0.021456,"Apr 13, 2018",0.026930,0.017503,-,0.026054,"119,874"
57,0.026022,"Apr 12, 2018",0.028520,0.024131,-,0.025671,"56,346"
58,0.025737,"Apr 11, 2018",0.027365,0.024237,-,0.027099,"39,190"
59,0.027071,"Apr 10, 2018",0.028284,0.026509,-,0.027855,"37,574"
60,0.028028,"Apr 09, 2018",0.030510,0.026499,-,0.029082,"41,270"
61,0.029398,"Apr 08, 2018",0.030006,0.026627,-,0.029323,"74,107"
62,0.029297,"Apr 07, 2018",0.030241,0.028356,-,0.028472,"20,648"
63,0.028437,"Apr 06, 2018",0.029925,0.027795,-,0.029190,"39,203"
64,0.029464,"Apr 05, 2018",0.032187,0.027031,-,0.031191,"133,932"
65,0.031128,"Apr 04, 2018",0.037284,0.031128,-,0.037037,"98,283"
66,0.037171,"Apr 03, 2018",0.041469,0.037171,-,0.039441,"81,589"
67,0.039351,"Apr 02, 2018",0.040124,0.035725,-,0.038346,"53,362"
68,0.038159,"Apr 01, 2018",0.044436,0.029534,-,0.043428,"216,242"
69,0.043570,"Mar 31, 2018",0.046319,0.039932,-,0.040870,"129,263"
70,0.041256,"Mar 30, 2018",0.044340,0.035040,-,0.043009,"164,339"
71,0.042726,"Mar 29, 2018",0.054065,0.035596,-,0.041399,"214,589"
72,0.040327,"Mar 28, 2018",0.056749,0.030016,-,0.053750,"174,211"
73,0.053763,"Mar 27, 2018",0.057154,0.052254,-,0.057151,"55,772"
74,0.058788,"Mar 26, 2018",0.068618,0.051204,-,0.068183,"193,327"
75,0.068236,"Mar 25, 2018",0.070591,0.067351,-,0.068143,"45,747"
76,0.068922,"Mar 24, 2018",0.081296,0.067376,-,0.078830,"155,431"
77,0.077649,"Mar 23, 2018",0.077649,0.071546,-,0.075360,"95,190"
78,0.075381,"Mar 22, 2018",0.102331,0.072411,-,0.101746,"596,211"
79,0.103609,"Mar 21, 2018",0.144965,0.082784,-,0.087540,"1,478,910"
80,0.087347,"Mar 20, 2018",0.087347,0.061058,-,0.070511,"641,969"
81,0.069691,"Mar 19, 2018",0.070199,0.065036,-,0.065753,"81,703"
82,0.065954,"Mar 18, 2018",0.071310,0.058174,-,0.063950,"167,115"
83,0.064069,"Mar 17, 2018",0.068440,0.062147,-,0.066269,"65,855"
84,0.066213,"Mar 16, 2018",0.078367,0.062518,-,0.063785,"199,094"
85,0.063554,"Mar 15, 2018",0.067039,0.060637,-,0.065291,"115,301"
86,0.065063,"Mar 14, 2018",0.078982,0.063497,-,0.075091,"285,590"
87,0.075926,"Mar 13, 2018",0.085552,0.074642,-,0.084975,"191,881"
88,0.085532,"Mar 12, 2018",0.105800,0.069373,-,0.069373,"361,703"
89,0.069396,"Mar 11, 2018",0.071676,0.056403,-,0.065311,"169,365"
90,0.066222,"Mar 10, 2018",0.085942,0.062357,-,0.084550,"452,142"
91,0.084097,"Mar 09, 2018",0.096160,0.079960,-,0.092898,"281,672"
92,0.093483,"Mar 08, 2018",0.103841,0.074267,-,0.103054,"329,399"
93,0.103012,"Mar 07, 2018",0.131354,0.087588,-,0.129398,"730,386"
94,0.129870,"Mar 06, 2018",0.160063,0.127668,-,0.139980,"1,184,470"
95,0.149405,"Mar 05, 2018",0.158247,0.123216,-,0.151115,"1,021,170"
96,0.153968,"Mar 04, 2018",0.176752,0.127416,-,0.138662,"1,111,300"
97,0.140015,"Mar 03, 2018",0.191428,0.118422,-,0.185235,"1,769,870"
98,0.185894,"Mar 02, 2018",0.204331,0.111839,-,0.161987,"3,378,450"
99,0.161808,"Mar 01, 2018",0.162772,0.048998,-,0.050182,"2,706,450"
100,0.049834,"Feb 28, 2018",0.049834,0.037901,-,0.038314,"844,343"
101,0.038195,"Feb 27, 2018",0.038605,0.035993,-,0.036705,"80,264"
102,0.036684,"Feb 26, 2018",0.037109,0.033185,-,0.033948,"92,386"
103,0.033822,"Feb 25, 2018",0.036018,0.032873,-,0.035356,"56,080"
104,0.035290,"Feb 24, 2018",0.039146,0.034357,-,0.038225,"58,575"
105,0.038273,"Feb 23, 2018",0.039246,0.036186,-,0.037281,"93,347"
106,0.037316,"Feb 22, 2018",0.040907,0.036570,-,0.039217,"167,337"
107,0.039257,"Feb 21, 2018",0.042492,0.032740,-,0.036088,"475,780"
108,0.036068,"Feb 20, 2018",0.040524,0.035688,-,0.038615,"122,507"
109,0.038580,"Feb 19, 2018",0.045074,0.031985,-,0.042830,"441,004"
110,0.042950,"Feb 18, 2018",0.047032,0.041686,-,0.045613,"91,375"
111,0.045477,"Feb 17, 2018",0.056878,0.039842,-,0.040366,"304,162"
112,0.040555,"Feb 16, 2018",0.040579,0.036979,-,0.039053,"174,423"
113,0.039115,"Feb 15, 2018",0.039556,0.034491,-,0.035666,"203,767"
114,0.035715,"Feb 14, 2018",0.036380,0.032548,-,0.034020,"379,785"
115,0.034040,"Feb 13, 2018",0.034954,0.029970,-,0.031700,"350,421"
116,0.031440,"Feb 12, 2018",0.034490,0.025981,-,0.026865,"334,826"
117,0.026576,"Feb 11, 2018",0.031284,0.025049,-,0.030795,"209,444"
118,0.031644,"Feb 10, 2018",0.032658,0.024316,-,0.024316,"298,613"
