,close,date,high,low,market_cap,open,volume
0,0.028432,"Jun 08, 2018",0.051081,0.028432,"780,760",0.046411,364
1,0.046393,"Jun 07, 2018",0.049384,0.037792,"785,726",0.046706,"1,191"
2,0.046663,"Jun 06, 2018",0.056461,0.045757,"949,086",0.056417,141
3,0.056432,"Jun 05, 2018",0.056878,0.045680,"896,086",0.053266,684
4,0.053241,"Jun 04, 2018",0.057153,0.015315,"958,818",0.056995,"2,540"
5,0.056970,"Jun 03, 2018",0.057085,0.052185,"928,807",0.055211,117
6,0.055484,"Jun 02, 2018",0.055659,0.053667,"907,912",0.053969,1
7,0.053993,"Jun 01, 2018",0.054114,0.053257,"898,354",0.053401,2
8,0.056123,"May 31, 2018",0.056349,0.049740,"843,006",0.050111,112
9,0.050096,"May 30, 2018",0.053774,0.039011,"865,212",0.051431,370
10,0.051396,"May 29, 2018",0.056189,0.051218,"892,158",0.053033,771
11,0.053050,"May 28, 2018",0.055214,0.052889,"920,594",0.054723,53
12,0.054711,"May 27, 2018",0.054866,0.049842,"919,302",0.054646,383
13,0.054622,"May 26, 2018",0.056465,0.050758,"862,808",0.051288,929
14,0.051348,"May 25, 2018",0.057006,0.050435,"947,836",0.056343,"2,220"
15,0.056237,"May 24, 2018",0.057460,0.032040,"942,274",0.056012,56
16,0.056154,"May 23, 2018",0.060040,0.037024,"1,007,100",0.059866,899
17,0.059928,"May 22, 2018",0.062520,0.059590,"1,040,430",0.061847,150
18,0.061846,"May 21, 2018",0.062681,0.045413,"781,147",0.046434,"1,446"
19,0.046276,"May 20, 2018",0.062522,0.045158,"1,036,860",0.061635,11
20,0.061589,"May 19, 2018",0.064155,0.061372,"1,067,960",0.063483,62
21,0.063550,"May 18, 2018",0.064137,0.059407,"1,016,530",0.060426,10
22,0.060289,"May 17, 2018",0.061909,0.060060,"1,041,360",0.061902,41
23,0.064749,"May 16, 2018",0.065368,0.061348,"1,083,550",0.064410,7
24,0.064490,"May 15, 2018",0.067683,0.063320,"1,119,300",0.066535,679
25,0.066524,"May 14, 2018",0.067207,0.062417,"1,099,510",0.065359,268
26,0.065357,"May 13, 2018",0.066056,0.053647,"918,432",0.054595,"1,826"
27,0.054491,"May 12, 2018",0.054911,0.053185,"903,903",0.053731,"1,732"
28,0.059338,"May 09, 2018",0.059640,0.057359,"987,106",0.058677,5
29,0.058767,"May 08, 2018",0.060785,0.058252,"1,013,220",0.060229,50
30,0.060102,"May 07, 2018",0.060752,0.042808,"765,798",0.045522,60
31,0.045532,"May 06, 2018",0.074108,0.045050,"1,235,130",0.073420,29
32,0.073371,"May 05, 2018",0.073567,0.046834,"795,744",0.047302,"1,772"
33,0.047253,"May 04, 2018",0.073565,0.047253,"1,234,790",0.073400,"2,489"
34,0.073428,"May 03, 2018",0.073780,0.069170,"1,167,840",0.069420,73
35,0.069418,"May 02, 2018",0.069687,0.041918,"750,790",0.044630,129
36,0.044664,"May 01, 2018",0.068564,0.044416,"1,153,420",0.068563,108
37,0.068573,"Apr 30, 2018",0.072726,0.065327,"1,179,500",0.070114,456
38,0.070337,"Apr 29, 2018",0.080013,0.070044,"1,320,620",0.078502,352
39,0.078533,"Apr 28, 2018",0.079080,0.041414,"869,914",0.051711,"1,175"
40,0.051889,"Apr 27, 2018",0.053825,0.051889,"905,482",0.053825,"1,127"
41,0.018814,"Apr 26, 2018",0.050783,0.018314,"802,179",0.047684,3
42,0.047274,"Apr 25, 2018",0.053950,0.033443,"675,138",0.040133,415
43,0.039908,"Apr 24, 2018",0.070871,0.039615,"1,111,050",0.066045,2
44,0.065988,"Apr 23, 2018",0.080471,0.057976,"1,127,360",0.067014,"14,392"
45,0.067154,"Apr 22, 2018",0.068555,0.032220,"945,016",0.056175,"4,193"
46,0.057689,"Apr 21, 2018",0.057991,0.057689,"975,574",0.057991,12
47,0.057829,"Apr 20, 2018",0.085786,0.054502,"1,443,160",0.085786,93
48,0.085526,"Apr 19, 2018",0.085833,0.085088,"1,431,410",0.085088,77
49,0.068862,"Apr 18, 2018",0.068862,0.068167,"1,147,830",0.068231,28
50,0.068287,"Apr 17, 2018",0.072790,0.068169,"1,211,350",0.072007,27
51,0.071970,"Apr 16, 2018",0.072022,0.051470,"912,921",0.054267,892
52,0.054290,"Apr 15, 2018",0.070699,0.052082,"876,160",0.052082,64
53,0.052101,"Apr 14, 2018",0.052949,0.050960,"860,235",0.051135,224
54,0.051135,"Apr 13, 2018",0.053515,0.050850,"900,095",0.053505,"1,368"
55,0.061061,"Apr 12, 2018",0.063452,0.053414,"922,741",0.054851,215
56,0.054978,"Apr 11, 2018",0.054978,0.038734,"655,232",0.038949,208
57,0.032784,"Apr 10, 2018",0.032887,0.031719,"541,524",0.032190,23
58,0.032143,"Apr 09, 2018",0.032143,0.031134,"533,798",0.031731,35
59,0.038943,"Apr 07, 2018",0.038952,0.037911,"638,388",0.037948,237
60,0.037921,"Apr 06, 2018",0.039295,0.037472,"656,854",0.039046,231
61,0.029095,"Apr 05, 2018",0.029997,0.029095,"501,990",0.029840,242
62,0.029861,"Apr 04, 2018",0.037636,0.029545,"633,134",0.037636,825
63,0.038228,"Mar 30, 2018",0.041931,0.036045,"652,503",0.038787,16
64,0.038751,"Mar 29, 2018",0.043600,0.038166,"730,952",0.043450,183
65,0.043447,"Mar 28, 2018",0.043914,0.042092,"709,810",0.042194,222
66,0.042172,"Mar 27, 2018",0.044570,0.041100,"749,793",0.044570,49
67,0.044624,"Mar 26, 2018",0.063071,0.042530,"1,055,700",0.062754,"1,888"
68,0.062802,"Mar 25, 2018",0.084701,0.044837,"1,410,790",0.083862,"1,723"
69,0.085012,"Mar 24, 2018",0.085653,0.030304,"509,800",0.030304,"5,884"
70,0.030028,"Mar 23, 2018",0.030028,0.028031,"487,600",0.028985,"1,126"
71,0.035909,"Mar 22, 2018",0.037798,0.035720,"622,858",0.037025,49
72,0.036909,"Mar 21, 2018",0.038274,0.036267,"638,361",0.037946,79
73,0.048028,"Mar 20, 2018",0.048910,0.047773,"817,357",0.048586,287
74,0.048229,"Mar 19, 2018",0.048658,0.045807,"781,770",0.046471,288
75,0.045857,"Mar 18, 2018",0.047319,0.045314,"796,041",0.047319,223
76,0.047435,"Mar 17, 2018",0.049162,0.040614,"698,972",0.041549,231
77,0.041653,"Mar 16, 2018",0.051781,0.040332,"697,355",0.041453,26
78,0.052349,"Mar 15, 2018",0.053524,0.046496,"839,000",0.049873,31
79,0.049848,"Mar 14, 2018",0.051474,0.049573,"846,542",0.050321,32
80,0.050314,"Mar 13, 2018",0.052154,0.044866,"764,488",0.045444,68
81,0.045706,"Mar 12, 2018",0.045830,0.044061,"765,758",0.045519,"2,618"
82,0.048108,"Mar 11, 2018",0.048907,0.047041,"819,335",0.048704,433
83,0.048873,"Mar 10, 2018",0.062691,0.048429,"866,098",0.051484,440
84,0.051462,"Mar 09, 2018",0.051735,0.046103,"855,062",0.050828,360
85,0.050910,"Mar 08, 2018",0.064491,0.050567,"1,044,550",0.062092,199
86,0.062062,"Mar 07, 2018",0.063179,0.052716,"1,002,590",0.059597,37
87,0.059675,"Mar 06, 2018",0.064231,0.058975,"1,080,540",0.064231,19
88,0.064407,"Mar 05, 2018",0.071033,0.063770,"1,148,230",0.068254,"4,496"
89,0.068194,"Mar 04, 2018",0.069693,0.063205,"1,135,270",0.067484,"2,944"
90,0.067560,"Mar 03, 2018",0.067595,0.066077,"1,120,840",0.066627,36
91,0.062395,"Mar 02, 2018",0.062705,0.060964,"1,040,440",0.061847,1
92,0.061949,"Mar 01, 2018",0.063139,0.060080,"1,011,330",0.060117,2
93,0.084320,"Feb 28, 2018",0.088265,0.083325,"1,435,240",0.085315,"3,388"
94,0.085416,"Feb 27, 2018",0.086225,0.081158,"1,384,290",0.082287,"4,599"
95,0.082050,"Feb 26, 2018",0.083108,0.075087,"1,293,420",0.076885,24
96,0.092041,"Feb 24, 2018",0.094154,0.077722,"1,335,320",0.079376,92
97,0.079556,"Feb 23, 2018",0.100967,0.054587,"1,382,880",0.082203,"5,404"
98,0.082373,"Feb 22, 2018",0.094721,0.048820,"830,819",0.049387,"1,510"
99,0.049440,"Feb 21, 2018",0.104118,0.049247,"1,569,920",0.093321,"2,835"
100,0.093346,"Feb 20, 2018",0.120845,0.072702,"1,246,240",0.074081,"1,886"
101,0.074039,"Feb 19, 2018",0.095815,0.071938,"1,215,970",0.072281,628
102,0.072618,"Feb 18, 2018",0.079624,0.060616,"1,290,720",0.076725,"3,816"
103,0.076682,"Feb 17, 2018",0.103932,0.059541,"1,498,230",0.089060,"21,014"
104,0.088888,"Feb 16, 2018",0.089090,0.080289,"1,357,990",0.080724,228
105,0.081070,"Feb 15, 2018",0.117412,0.077727,"1,878,830",0.111684,354
106,0.111802,"Feb 14, 2018",0.111839,0.075122,"1,263,760",0.075122,22
107,0.075294,"Feb 13, 2018",0.105022,0.074978,"1,758,750",0.104546,"1,928"
108,0.104356,"Feb 12, 2018",0.105723,0.088129,"1,482,560",0.088129,2
109,0.087816,"Feb 11, 2018",0.101062,0.073872,"1,385,710",0.082372,"6,626"
110,0.082451,"Feb 10, 2018",0.103153,0.076865,"1,380,080",0.082037,"5,459"
111,0.081982,"Feb 09, 2018",0.100369,0.069627,"1,506,060",0.089525,"5,886"
112,0.089645,"Feb 08, 2018",0.093321,0.076996,"1,526,660",0.090750,"4,638"
113,0.091114,"Feb 07, 2018",0.100940,0.071396,"1,292,870",0.076853,"4,073"
114,0.077556,"Feb 06, 2018",0.091794,0.057687,"1,167,550",0.069403,"4,617"
115,0.069316,"Feb 05, 2018",0.096096,0.067524,"1,587,440",0.094363,699
116,0.095287,"Feb 04, 2018",0.108294,0.091069,"1,796,340",0.106781,48
117,0.106681,"Feb 03, 2018",0.118305,0.086253,"1,564,520",0.093001,"2,318"
118,0.097345,"Feb 02, 2018",0.110846,0.067974,"1,312,430",0.078015,"2,981"
119,0.078340,"Feb 01, 2018",0.082473,0.059776,"1,229,270",0.073072,"1,545"
120,0.072983,"Jan 31, 2018",0.103677,0.071376,"1,712,140",0.101775,"1,156"
121,0.101602,"Jan 30, 2018",0.118474,0.081638,"1,422,280",0.084545,367
122,0.084399,"Jan 29, 2018",0.140115,0.083448,"2,355,700",0.140031,"5,691"
123,0.140191,"Jan 28, 2018",0.148300,0.103019,"2,485,430",0.147742,"3,354"
124,0.147010,"Jan 27, 2018",0.160476,0.133689,"2,668,260",0.158610,81
125,0.158846,"Jan 25, 2018",0.166741,0.154566,"2,607,200",0.154981,0
126,0.154243,"Jan 24, 2018",0.156410,0.105617,"1,817,360",0.108030,"1,521"
127,0.109318,"Jan 23, 2018",0.135160,0.090144,"1,586,550",0.094310,"1,483"
128,0.094380,"Jan 22, 2018",0.157194,0.062754,"2,209,460",0.131338,"9,947"
129,0.132189,"Jan 21, 2018",0.172557,0.098895,"2,902,880",0.172557,101
130,0.172156,"Jan 20, 2018",0.182701,0.161653,"2,719,640",0.161665,"8,918"
131,0.160062,"Jan 19, 2018",0.168495,0.128099,"2,313,880",0.137545,"2,098"
132,0.137332,"Jan 18, 2018",0.179856,0.134702,"2,688,860",0.159835,"10,859"
133,0.159604,"Jan 17, 2018",0.164568,0.124287,"2,284,280",0.135785,"3,754"
134,0.146883,"Jan 16, 2018",0.179413,0.141678,"3,001,640",0.178428,117
135,0.178158,"Jan 15, 2018",0.186914,0.133919,"3,048,900",0.181237,"1,233"
136,0.182067,"Jan 14, 2018",0.182645,0.132298,"2,992,460",0.177882,"2,494"
137,0.177784,"Jan 13, 2018",0.204051,0.175951,"3,263,170",0.193974,"2,944"
138,0.194320,"Jan 12, 2018",0.199418,0.143490,"2,475,170",0.147133,"2,735"
139,0.146238,"Jan 11, 2018",0.213549,0.101118,"1,927,280",0.114564,"2,274"
140,0.114237,"Jan 10, 2018",0.114237,0.097476,"1,724,300",0.102498,"8,613"
141,0.102311,"Jan 09, 2018",0.118450,0.100607,"1,976,550",0.117493,"7,940"
142,0.117469,"Jan 08, 2018",0.117732,0.087413,"1,565,430",0.093054,"1,243"
143,0.093182,"Jan 07, 2018",0.127936,0.090786,"2,151,630",0.127900,"1,613"
144,0.128292,"Jan 06, 2018",0.128431,0.098177,"1,714,300",0.101904,"2,555"
145,0.101823,"Jan 05, 2018",0.102685,0.081219,"1,384,050",0.082272,210
146,0.082252,"Jan 04, 2018",0.083999,0.078336,"1,407,920",0.083692,94
147,0.083396,"Jan 03, 2018",0.116361,0.078420,"1,901,280",0.113019,"1,612"
148,0.113209,"Jan 02, 2018",0.113276,0.088982,"1,712,200",0.101779,"6,382"
149,0.101792,"Jan 01, 2018",0.105559,0.079434,"1,775,790",0.105559,"2,686"
150,0.105380,"Dec 31, 2017",0.106768,0.088575,"1,645,310",0.097803,809
151,0.098377,"Dec 30, 2017",0.101974,0.084251,"1,658,240",0.098571,"2,414"
152,0.098820,"Dec 29, 2017",0.110075,0.098109,"1,786,430",0.106192,"5,434"
153,0.105104,"Dec 28, 2017",0.118653,0.096680,"1,990,900",0.118346,757
154,0.118698,"Dec 27, 2017",0.118936,0.091311,"1,671,610",0.099366,"3,576"
155,0.105045,"Dec 26, 2017",0.123654,0.105045,"2,060,880",0.122506,"2,789"
156,0.086805,"Dec 25, 2017",0.090685,0.082741,"1,482,880",0.088147,1
157,0.087426,"Dec 24, 2017",0.087426,0.072534,"1,417,360",0.084252,"1,347"
158,0.083431,"Dec 23, 2017",0.089741,0.066783,"1,181,800",0.070250,"1,545"
159,0.063519,"Dec 22, 2017",0.076633,0.057774,"1,269,580",0.075468,254
160,0.075243,"Dec 21, 2017",0.079415,0.070641,"1,195,130",0.071043,501
161,0.070857,"Dec 20, 2017",0.103535,0.067945,"1,741,750",0.103535,73
162,0.103642,"Dec 19, 2017",0.107539,0.080266,"1,585,440",0.094244,"4,429"
163,0.093931,"Dec 18, 2017",0.117615,0.093931,"1,802,520",0.107148,376
164,0.106867,"Dec 17, 2017",0.112536,0.091058,"1,668,440",0.099177,"3,069"
165,0.099176,"Dec 16, 2017",0.104615,0.093717,"1,601,950",0.095225,493
166,0.095111,"Dec 15, 2017",0.102859,0.093342,"1,677,870",0.099738,"2,029"
167,0.099795,"Dec 14, 2017",0.107090,0.091765,"1,737,830",0.103303,"2,236"
168,0.103434,"Dec 13, 2017",0.118972,0.095313,"1,946,250",0.115691,745
169,0.115798,"Dec 12, 2017",0.126265,0.101608,"1,857,510",0.110417,"4,287"
170,0.110493,"Dec 11, 2017",0.111460,0.083495,"1,410,780",0.083861,34
171,0.084471,"Dec 10, 2017",0.110122,0.079060,"1,827,160",0.108612,679
172,0.108298,"Dec 09, 2017",0.109638,0.078796,"1,770,200",0.105227,567
173,0.105333,"Dec 08, 2017",0.105348,0.069562,"1,421,950",0.084526,263
174,0.090908,"Dec 07, 2017",0.134328,0.090908,"1,838,310",0.109276,"7,621"
175,0.109431,"Dec 06, 2017",0.109431,0.083067,"1,399,750",0.083206,"4,381"
176,0.083196,"Dec 05, 2017",0.083652,0.064371,"1,370,670",0.081477,"1,061"
177,0.081317,"Dec 04, 2017",0.081317,0.052808,"917,219",0.054523,1
178,0.054343,"Dec 03, 2017",0.068301,0.053032,"1,066,830",0.063416,28
179,0.063358,"Dec 02, 2017",0.065724,0.059861,"1,015,230",0.060348,420
180,0.060186,"Dec 01, 2017",0.074846,0.059389,"1,019,550",0.060605,"4,098"
181,0.060895,"Nov 30, 2017",0.064543,0.042939,"782,663",0.046524,"3,497"
182,0.046244,"Nov 29, 2017",0.065651,0.044020,"1,069,770",0.063591,"1,343"
183,0.063082,"Nov 28, 2017",0.063381,0.059627,"1,020,030",0.060634,779
184,0.060619,"Nov 27, 2017",0.064211,0.058531,"1,066,870",0.063418,326
185,0.063378,"Nov 26, 2017",0.064698,0.057421,"972,189",0.057790,217
186,0.057767,"Nov 25, 2017",0.057773,0.048344,"830,298",0.049356,"1,204"
187,0.049423,"Nov 24, 2017",0.049766,0.043959,"758,975",0.045116,852
188,0.045046,"Nov 23, 2017",0.046209,0.045019,"770,394",0.045795,14
189,0.045835,"Nov 22, 2017",0.054100,0.042612,"768,502",0.045682,694
190,0.045572,"Nov 21, 2017",0.047117,0.038820,"790,965",0.047018,"4,610"
191,0.047022,"Nov 20, 2017",0.048358,0.037447,"629,964",0.037447,"2,811"
192,0.037465,"Nov 19, 2017",0.040297,0.035970,"673,507",0.040036,704
193,0.040105,"Nov 18, 2017",0.047166,0.039291,"678,607",0.040339,"2,580"
194,0.040384,"Nov 17, 2017",0.044366,0.040384,"741,510",0.044078,43
195,0.043023,"Nov 16, 2017",0.045370,0.041839,"719,033",0.042742,"1,918"
196,0.042701,"Nov 15, 2017",0.045602,0.040699,"728,547",0.043307,621
197,0.043278,"Nov 14, 2017",0.043408,0.038005,"665,854",0.039581,858
198,0.039507,"Nov 13, 2017",0.045241,0.030068,"534,803",0.031790,"1,684"
199,0.031705,"Nov 12, 2017",0.035915,0.031259,"585,031",0.034776,4
200,0.034795,"Nov 11, 2017",0.040758,0.023244,"657,706",0.039096,237
201,0.039169,"Nov 10, 2017",0.044667,0.035835,"731,994",0.043512,404
202,0.043284,"Nov 09, 2017",0.046223,0.034894,"590,344",0.035092,"1,011"
203,0.035137,"Nov 08, 2017",0.037160,0.028882,"518,045",0.030794,"1,612"
204,0.030943,"Nov 07, 2017",0.030943,0.027425,"469,831",0.027928,130
205,0.027967,"Nov 06, 2017",0.040712,0.027783,"560,938",0.033344,180
206,0.033270,"Nov 05, 2017",0.042284,0.032903,"634,321",0.037706,40
207,0.037781,"Nov 04, 2017",0.049432,0.025125,"446,385",0.026535,"3,605"
208,0.026631,"Nov 03, 2017",0.033441,0.023262,"406,599",0.024170,"2,320"
209,0.023996,"Nov 02, 2017",0.026919,0.021559,"428,108",0.025448,620
210,0.025863,"Nov 01, 2017",0.028047,0.025633,"470,931",0.027994,500
211,0.028006,"Oct 31, 2017",0.034392,0.026991,"577,285",0.034316,538
212,0.034360,"Oct 30, 2017",0.035288,0.025614,"433,112",0.025746,357
213,0.025841,"Oct 29, 2017",0.026560,0.025094,"426,032",0.025325,"2,921"
214,0.025779,"Oct 28, 2017",0.026771,0.025660,"442,029",0.026276,0
215,0.026214,"Oct 27, 2017",0.030356,0.023858,"508,335",0.030217,"1,282"
216,0.030293,"Oct 26, 2017",0.033578,0.029004,"563,793",0.033514,648
217,0.033684,"Oct 25, 2017",0.033684,0.030437,"535,609",0.031838,555
218,0.031725,"Oct 24, 2017",0.054801,0.031443,"774,516",0.046040,"1,352"
219,0.046390,"Oct 23, 2017",0.051296,0.037259,"636,226",0.037819,"3,705"
220,0.037879,"Oct 22, 2017",0.044043,0.036452,"657,107",0.039061,761
221,0.039058,"Oct 21, 2017",0.050742,0.038439,"853,621",0.050742,126
222,0.050906,"Oct 20, 2017",0.055562,0.040225,"863,698",0.051341,"3,264"
223,0.051327,"Oct 19, 2017",0.051566,0.030432,"805,013",0.047853,709
224,0.047841,"Oct 18, 2017",0.048052,0.039696,"799,437",0.047521,213
225,0.047512,"Oct 17, 2017",0.047831,0.032942,"768,907",0.045706,"1,019"
226,0.045970,"Oct 16, 2017",0.047317,0.027775,"603,373",0.035867,125
227,0.035882,"Oct 15, 2017",0.053330,0.029067,"888,950",0.052842,133
228,0.052788,"Oct 14, 2017",0.053092,0.039356,"666,030",0.039591,482
229,0.039583,"Oct 13, 2017",0.044734,0.033304,"702,921",0.041784,89
230,0.041743,"Oct 12, 2017",0.062305,0.040556,"978,763",0.058181,16
231,0.058136,"Oct 11, 2017",0.058310,0.011035,"738,243",0.043884,"3,241"
232,0.043811,"Oct 10, 2017",0.054332,0.043575,"898,653",0.053419,"1,399"
233,0.053441,"Oct 09, 2017",0.057760,0.045549,"851,649",0.050625,882
234,0.050612,"Oct 08, 2017",0.050732,0.044486,"821,543",0.048835,664
235,0.048966,"Oct 07, 2017",0.050009,0.040821,"754,764",0.044866,190
236,0.044876,"Oct 06, 2017",0.063068,0.039721,"668,630",0.039746,510
237,0.039825,"Oct 05, 2017",0.058277,0.039519,"905,062",0.053800,16
238,0.053774,"Oct 04, 2017",0.054043,0.039516,"668,120",0.039715,850
239,0.039627,"Oct 03, 2017",0.058216,0.039327,"977,696",0.058118,"4,803"
240,0.058159,"Oct 02, 2017",0.059043,0.048419,"815,221",0.048460,276
241,0.048481,"Oct 01, 2017",0.048481,0.038807,"731,650",0.043492,"1,176"
242,0.043468,"Sep 30, 2017",0.055400,0.043143,"820,821",0.048792,174
243,0.048787,"Sep 29, 2017",0.049332,0.024000,"403,746",0.024000,205
244,0.024000,"Sep 28, 2017",0.055309,0.024000,"889,809",0.052893,2
245,0.052892,"Sep 27, 2017",0.053106,0.032739,"722,790",0.042965,953
