,close,date,high,low,market_cap,open,volume
0,0.148727,"Jun 08, 2018",0.149332,0.140433,"2,682,970",0.142520,"6,801"
1,0.142411,"Jun 07, 2018",0.160362,0.141920,"2,809,280",0.149230,"9,768"
2,0.149118,"Jun 06, 2018",0.150244,0.138547,"2,661,830",0.141397,"8,835"
3,0.141496,"Jun 05, 2018",0.145433,0.133926,"2,587,960",0.137473,"8,616"
4,0.137413,"Jun 04, 2018",0.152784,0.135150,"2,876,180",0.152784,"6,230"
5,0.152722,"Jun 03, 2018",0.161151,0.139842,"2,884,610",0.153231,"14,830"
6,0.153190,"Jun 02, 2018",0.166061,0.152781,"3,115,680",0.165506,"10,051"
7,0.165594,"Jun 01, 2018",0.173465,0.156815,"3,222,310",0.171170,"9,438"
8,0.171039,"May 31, 2018",0.183769,0.159187,"3,210,090",0.170521,"19,287"
9,0.170559,"May 30, 2018",0.183797,0.164119,"3,411,680",0.181229,"12,637"
10,0.181123,"May 29, 2018",0.186119,0.165599,"3,497,330",0.185779,"12,093"
11,0.185863,"May 28, 2018",0.194028,0.163938,"3,576,880",0.190005,"20,902"
12,0.189919,"May 27, 2018",0.211195,0.180565,"3,718,520",0.197529,"11,136"
13,0.197441,"May 26, 2018",0.215282,0.168546,"3,776,860",0.200628,"17,360"
14,0.200870,"May 25, 2018",0.219218,0.185431,"3,722,280",0.197728,"17,006"
15,0.197376,"May 24, 2018",0.216036,0.166538,"3,844,640",0.204228,"37,419"
16,0.204742,"May 23, 2018",0.255212,0.192732,"4,799,840",0.254969,"65,954"
17,0.255238,"May 22, 2018",0.331367,0.228636,"4,973,770",0.264208,"87,189"
18,0.264208,"May 21, 2018",0.292703,0.241312,"4,958,630",0.263404,"66,065"
19,0.263094,"May 20, 2018",0.290523,0.229325,"4,675,620",0.248370,"55,835"
20,0.246926,"May 19, 2018",0.268541,0.201517,"3,951,960",0.209929,"91,345"
21,0.210204,"May 18, 2018",0.221539,0.170370,"3,441,480",0.182812,"24,622"
22,0.182689,"May 17, 2018",0.199602,0.175209,"3,455,930",0.183580,"7,394"
23,0.183468,"May 16, 2018",0.199276,0.169775,"3,747,640",0.199077,"3,840"
24,0.199169,"May 15, 2018",0.209357,0.177383,"3,907,320",0.207560,"7,181"
25,0.207903,"May 14, 2018",0.209918,0.174002,"3,901,930",0.207273,"16,963"
26,0.207316,"May 13, 2018",0.207610,0.163955,"3,256,960",0.173012,"31,656"
27,0.173075,"May 12, 2018",0.175084,0.147115,"2,844,200",0.151086,"4,465"
28,0.151509,"May 11, 2018",0.185807,0.149895,"3,497,840",0.185807,"9,335"
29,0.185592,"May 10, 2018",0.191249,0.161330,"3,303,900",0.175505,"18,150"
30,0.175545,"May 09, 2018",0.190563,0.161562,"3,252,540",0.172777,"10,069"
31,0.173045,"May 08, 2018",0.209898,0.161331,"3,525,600",0.187282,"11,006"
32,0.186888,"May 07, 2018",0.221206,0.180993,"3,852,450",0.204645,"10,229"
33,0.204502,"May 06, 2018",0.235715,0.204502,"4,393,580",0.233390,"10,037"
34,0.233240,"May 05, 2018",0.271667,0.220443,"4,742,540",0.251927,"10,254"
35,0.252018,"May 04, 2018",0.256504,0.217396,"4,207,960",0.223530,"11,663"
36,0.223676,"May 03, 2018",0.239228,0.213618,"4,329,950",0.230010,"12,607"
