,close,date,high,low,market_cap,open,volume
0,0.509440,"Jun 08, 2018",0.533505,0.498812,"30,722,700",0.532712,"2,382,770"
1,0.532371,"Jun 07, 2018",0.550147,0.494860,"30,458,600",0.528132,"123,824"
2,0.527742,"Jun 06, 2018",0.554087,0.519842,"30,484,900",0.528588,"158,925"
3,0.528721,"Jun 05, 2018",0.536711,0.493425,"30,064,900",0.521306,"1,029,150"
4,0.521080,"Jun 04, 2018",0.557173,0.520178,"32,033,200",0.555435,"1,457,190"
5,0.555173,"Jun 03, 2018",0.558882,0.548991,"31,832,000",0.551946,"2,643,600"
6,0.551807,"Jun 02, 2018",0.560918,0.545087,"31,597,600",0.547881,"2,064,190"
7,0.548139,"Jun 01, 2018",0.577784,0.539003,"32,625,700",0.565708,"2,084,890"
8,0.565210,"May 31, 2018",0.575550,0.548644,"31,991,900",0.554719,"1,403,740"
9,0.555218,"May 30, 2018",0.589623,0.544067,"32,533,600",0.564112,"1,394,400"
10,0.563797,"May 29, 2018",0.572191,0.518666,"31,276,100",0.542306,"1,547,980"
11,0.542500,"May 28, 2018",0.601881,0.542500,"34,198,800",0.592984,"1,835,980"
12,0.592601,"May 27, 2018",0.608980,0.582034,"35,087,900",0.608401,"1,470,310"
13,0.607830,"May 26, 2018",0.627125,0.587053,"34,281,000",0.594411,"2,021,600"
14,0.595103,"May 25, 2018",0.599206,0.542808,"33,051,700",0.573095,"2,165,920"
15,0.569088,"May 24, 2018",0.617551,0.522010,"34,373,000",0.596005,"2,984,350"
16,0.602787,"May 23, 2018",0.712963,0.597469,"41,026,100",0.711365,"5,124,950"
17,0.743638,"May 22, 2018",1.11,0.578283,"34,083,300",0.590982,"12,809,400"
18,0.590996,"May 21, 2018",0.630905,0.585712,"34,369,500",0.595945,"1,458,950"
19,0.595236,"May 20, 2018",0.606985,0.584332,"33,939,800",0.588494,"1,642,830"
20,0.588058,"May 19, 2018",0.613756,0.579710,"34,446,700",0.597284,"1,130,950"
21,0.597385,"May 18, 2018",0.608477,0.569627,"33,353,600",0.578330,"1,456,330"
22,0.577906,"May 17, 2018",0.629015,0.574719,"35,941,100",0.623195,"1,767,800"
23,0.622847,"May 16, 2018",0.623306,0.560745,"35,917,600",0.622787,"1,945,750"
24,0.623123,"May 15, 2018",0.666449,0.619198,"37,494,300",0.650127,"947,483"
25,0.652063,"May 14, 2018",0.662863,0.622068,"37,265,200",0.646154,"704,742"
26,0.646285,"May 13, 2018",0.657138,0.624774,"37,431,600",0.649040,"947,485"
27,0.646210,"May 12, 2018",0.672061,0.612886,"36,724,600",0.636779,"1,310,050"
28,0.639626,"May 11, 2018",0.677342,0.613548,"39,063,900",0.677342,"2,216,240"
29,0.675999,"May 10, 2018",0.738601,0.659494,"41,798,000",0.724750,"1,310,080"
30,0.724921,"May 09, 2018",0.763433,0.688380,"42,421,300",0.735557,"1,837,150"
31,0.736581,"May 08, 2018",0.779233,0.698925,"41,041,000",0.711623,"672,133"
32,0.710213,"May 07, 2018",0.783897,0.662193,"45,188,700",0.783543,"775,362"
33,0.783033,"May 06, 2018",0.841391,0.770494,"45,807,200",0.794267,"1,462,850"
34,0.794396,"May 05, 2018",0.883399,0.776515,"48,524,800",0.841388,"1,828,680"
35,0.841766,"May 04, 2018",0.886486,0.793014,"46,165,500",0.800480,"1,377,400"
36,0.800182,"May 03, 2018",0.906385,0.644633,"37,697,700",0.653653,"2,246,110"
37,0.653644,"May 02, 2018",0.677034,0.634665,"38,067,400",0.660064,"444,207"
38,0.660763,"May 01, 2018",0.680351,0.628798,"39,210,900",0.679891,"201,983"
39,0.679204,"Apr 30, 2018",0.771576,0.650997,"42,147,600",0.730812,"279,659"
40,0.729627,"Apr 29, 2018",0.740601,0.672290,"41,005,300",0.711004,"156,712"
41,0.710858,"Apr 28, 2018",0.721977,0.663169,"38,298,100",0.664064,"196,685"
42,0.666722,"Apr 27, 2018",0.727237,0.666722,"41,911,500",0.726718,"170,002"
43,0.725279,"Apr 26, 2018",0.729711,0.601866,"40,371,500",0.700015,"638,167"
44,0.695113,"Apr 25, 2018",0.779544,0.679680,"44,311,000",0.768324,"621,652"
45,0.771715,"Apr 24, 2018",1.45,0.635043,"37,220,000",0.645370,"4,311,340"
46,0.644491,"Apr 23, 2018",0.650908,0.604347,"34,878,200",0.604765,"3,058,510"
47,0.606734,"Apr 22, 2018",0.636691,0.603115,"36,719,500",0.636691,"1,035,450"
48,0.633173,"Apr 21, 2018",0.666770,0.614145,"37,515,200",0.650489,"583,650"
49,0.650308,"Apr 20, 2018",0.688225,0.610493,"35,410,100",0.613987,"1,478,560"
50,0.614752,"Apr 19, 2018",0.636482,0.579078,"33,827,100",0.586539,"621,650"
51,0.586151,"Apr 18, 2018",0.607981,0.575926,"33,567,600",0.582040,"121,873"
52,0.581475,"Apr 17, 2018",0.615986,0.580639,"35,490,600",0.615384,"208,832"
53,0.614082,"Apr 16, 2018",0.664329,0.589979,"38,313,400",0.664329,"210,823"
54,0.664573,"Apr 15, 2018",0.666026,0.574971,"36,233,500",0.628265,"917,235"
55,0.627676,"Apr 14, 2018",0.652500,0.607327,"35,600,700",0.617292,"393,344"
56,0.617232,"Apr 13, 2018",0.658706,0.603801,"37,266,700",0.646179,"135,177"
57,0.645061,"Apr 12, 2018",0.645061,0.548269,"33,819,900",0.586415,"551,345"
58,0.587552,"Apr 11, 2018",0.589467,0.563889,"32,601,300",0.565285,"460,499"
59,0.564718,"Apr 10, 2018",0.575590,0.514863,"31,483,300",0.545899,"513,722"
60,0.547963,"Apr 09, 2018",0.560924,0.517951,"31,618,100",0.548237,"475,560"
61,0.547384,"Apr 08, 2018",0.566809,0.529077,"32,158,800",0.557612,"386,828"
62,0.556266,"Apr 07, 2018",0.571820,0.528647,"30,488,300",0.528647,"290,975"
63,0.528159,"Apr 06, 2018",0.553030,0.449808,"30,058,200",0.521189,"80,748"
64,0.523074,"Apr 05, 2018",0.553947,0.503944,"29,946,000",0.519244,"42,039"
65,0.519177,"Apr 04, 2018",0.597826,0.515400,"34,470,100",0.597688,"65,961"
66,0.596794,"Apr 03, 2018",0.640037,0.549153,"33,327,000",0.577869,"212,853"
67,0.577482,"Apr 02, 2018",0.597047,0.533364,"31,131,400",0.539798,"79,703"
68,0.536375,"Apr 01, 2018",0.603925,0.513461,"32,229,400",0.558837,"87,459"
69,0.559422,"Mar 31, 2018",0.636254,0.520102,"31,936,900",0.553765,"92,592"
70,0.553813,"Mar 30, 2018",0.618771,0.487875,"34,954,800",0.606093,"128,873"
71,0.607327,"Mar 29, 2018",0.690516,0.566732,"37,199,600",0.645016,"81,024"
72,0.644211,"Mar 28, 2018",0.706132,0.619725,"36,759,700",0.637389,"47,907"
73,0.637360,"Mar 27, 2018",0.703448,0.624160,"38,539,000",0.668240,"82,185"
74,0.668892,"Mar 26, 2018",0.752090,0.657098,"39,448,900",0.684017,"81,501"
75,0.684888,"Mar 25, 2018",0.733210,0.673265,"42,060,300",0.729298,"49,597"
76,0.739054,"Mar 24, 2018",0.782948,0.695709,"44,247,600",0.767224,"184,148"
77,0.763488,"Mar 23, 2018",0.791702,0.701785,"44,672,600",0.774592,"151,557"
78,0.774633,"Mar 22, 2018",0.863147,0.714683,"47,562,200",0.824697,"82,024"
79,0.871574,"Mar 21, 2018",0.961160,0.799722,"50,235,300",0.871047,"390,997"
80,0.869132,"Mar 20, 2018",0.869513,0.658879,"39,582,600",0.686336,"210,113"
81,0.681383,"Mar 19, 2018",0.737997,0.589137,"35,936,900",0.623123,"124,583"
82,0.624128,"Mar 18, 2018",0.633199,0.560985,"35,628,600",0.617776,"192,445"
83,0.618212,"Mar 17, 2018",0.647639,0.599583,"36,300,000",0.629418,"85,301"
84,0.624607,"Mar 16, 2018",0.680099,0.582889,"37,351,700",0.647653,"80,635"
85,0.648033,"Mar 15, 2018",0.704257,0.599460,"37,386,500",0.648257,"124,941"
86,0.648652,"Mar 14, 2018",0.780418,0.595931,"40,689,800",0.705535,"114,335"
87,0.705011,"Mar 13, 2018",0.740271,0.626757,"41,045,800",0.711706,"194,047"
88,0.714330,"Mar 12, 2018",0.788701,0.597112,"39,615,000",0.686897,"746,661"
89,0.690651,"Mar 11, 2018",0.812901,0.671959,"40,981,000",0.710582,"401,144"
90,0.712623,"Mar 10, 2018",0.809661,0.705675,"43,081,300",0.747001,"119,196"
91,0.746848,"Mar 09, 2018",0.780706,0.695381,"44,385,400",0.769613,"371,287"
92,0.773241,"Mar 08, 2018",0.866878,0.740157,"46,714,300",0.809995,"125,027"
93,0.810974,"Mar 07, 2018",0.905871,0.785905,"51,267,700",0.888948,"188,523"
94,0.862413,"Mar 06, 2018",0.921958,0.821638,"53,171,500",0.921958,"218,404"
