,close,date,high,low,market_cap,open,volume
0,1.81,"Jun 08, 2018",1.81,1.68,"25,180,500",1.71,"214,971"
1,1.71,"Jun 07, 2018",1.75,1.67,"24,613,800",1.67,"283,184"
2,1.67,"Jun 06, 2018",1.73,1.63,"24,809,100",1.68,"144,328"
3,1.68,"Jun 05, 2018",1.70,1.57,"23,705,000",1.61,"198,633"
4,1.61,"Jun 04, 2018",1.74,1.61,"25,574,900",1.74,"223,336"
5,1.73,"Jun 03, 2018",1.75,1.72,"25,364,700",1.72,"155,706"
6,1.72,"Jun 02, 2018",1.78,1.69,"25,002,400",1.70,"125,075"
7,1.70,"Jun 01, 2018",1.80,1.69,"26,265,000",1.78,"248,817"
8,1.78,"May 31, 2018",1.80,1.74,"25,888,600",1.76,"185,156"
9,1.76,"May 30, 2018",1.80,1.72,"25,330,300",1.72,"315,475"
10,1.72,"May 29, 2018",1.72,1.62,"23,846,800",1.62,"363,885"
11,1.62,"May 28, 2018",1.68,1.62,"24,514,400",1.66,"164,622"
12,1.66,"May 27, 2018",1.77,1.65,"25,954,600",1.76,"137,515"
13,1.76,"May 26, 2018",1.84,1.75,"26,022,700",1.77,"195,582"
14,1.77,"May 25, 2018",1.87,1.75,"26,397,500",1.79,"200,768"
15,1.79,"May 24, 2018",1.87,1.78,"26,956,900",1.83,"198,453"
16,1.83,"May 23, 2018",2.04,1.82,"29,953,500",2.03,"181,719"
17,2.03,"May 22, 2018",2.16,2.03,"31,834,500",2.16,"176,919"
18,2.16,"May 21, 2018",2.38,2.10,"34,793,800",2.36,"148,227"
19,2.36,"May 20, 2018",2.36,2.10,"31,328,600",2.13,"134,285"
20,2.13,"May 19, 2018",2.14,2.04,"30,328,800",2.06,"110,358"
21,2.06,"May 18, 2018",2.09,2.02,"30,081,700",2.04,"244,588"
22,2.04,"May 17, 2018",2.08,2.02,"30,308,800",2.06,"192,471"
23,2.06,"May 16, 2018",2.09,2.00,"30,799,700",2.09,"226,368"
24,2.09,"May 15, 2018",2.22,2.08,"32,494,000",2.21,"151,486"
25,2.21,"May 14, 2018",2.22,1.95,"29,629,500",2.01,"227,289"
26,2.01,"May 13, 2018",2.02,1.94,"29,017,500",1.97,"126,662"
27,1.97,"May 12, 2018",2.00,1.92,"28,833,700",1.96,"100,651"
28,1.96,"May 11, 2018",2.24,1.95,"33,081,100",2.24,"227,836"
29,2.25,"May 10, 2018",2.39,2.24,"34,625,500",2.35,"234,582"
30,2.35,"May 09, 2018",2.35,2.23,"33,532,600",2.28,"217,092"
31,2.28,"May 08, 2018",2.42,2.21,"35,060,500",2.38,"129,773"
32,2.38,"May 07, 2018",2.55,2.36,"37,065,200",2.52,"83,342"
33,2.52,"May 06, 2018",2.62,2.45,"37,149,200",2.52,"164,139"
34,2.52,"May 05, 2018",2.56,2.41,"35,502,600",2.41,"146,717"
35,2.41,"May 04, 2018",2.50,2.29,"34,438,900",2.34,"178,826"
36,2.34,"May 03, 2018",2.35,2.08,"30,669,400",2.08,"253,386"
37,2.08,"May 02, 2018",2.16,1.97,"29,466,200",2.00,"194,084"
38,1.98,"May 01, 2018",2.00,1.77,"26,088,100",1.77,"171,601"
39,1.77,"Apr 30, 2018",2.02,1.77,"29,561,800",2.01,"125,815"
40,2.01,"Apr 29, 2018",2.03,1.96,"29,149,100",1.98,"56,937"
41,1.97,"Apr 28, 2018",1.98,1.90,"28,083,300",1.91,"63,205"
42,1.91,"Apr 27, 2018",1.95,1.88,"28,515,800",1.94,"33,567"
43,1.93,"Apr 26, 2018",1.93,1.78,"27,466,700",1.86,"42,464"
44,1.85,"Apr 25, 2018",2.10,1.82,"30,933,200",2.10,"162,571"
45,2.10,"Apr 24, 2018",2.10,1.90,"28,079,500",1.91,"423,626"
46,1.90,"Apr 23, 2018",1.91,1.84,"27,349,400",1.86,"456,706"
47,1.86,"Apr 22, 2018",1.88,1.82,"27,126,700",1.84,"144,135"
48,1.84,"Apr 21, 2018",1.99,1.81,"28,990,000",1.97,"469,648"
49,1.97,"Apr 20, 2018",1.99,1.80,"26,598,000",1.80,"309,152"
50,1.80,"Apr 19, 2018",1.81,1.70,"25,152,800",1.71,"294,698"
51,1.71,"Apr 18, 2018",1.73,1.67,"24,695,300",1.68,"274,977"
52,1.68,"Apr 17, 2018",1.74,1.68,"25,239,400",1.71,"295,929"
53,1.71,"Apr 16, 2018",1.74,1.66,"25,504,000",1.73,"334,154"
54,1.73,"Apr 15, 2018",1.74,1.66,"24,653,900",1.67,"335,888"
55,1.67,"Apr 14, 2018",1.73,1.67,"25,328,200",1.72,"151,671"
56,1.72,"Apr 13, 2018",1.79,1.66,"25,121,800",1.70,"279,554"
57,1.70,"Apr 12, 2018",1.71,1.51,"22,325,800",1.52,"351,784"
58,1.52,"Apr 11, 2018",1.52,1.48,"22,048,700",1.50,"215,697"
59,1.49,"Apr 10, 2018",1.52,1.49,"22,326,700",1.52,"148,738"
60,1.52,"Apr 09, 2018",1.64,1.51,"23,596,900",1.60,"204,877"
61,1.60,"Apr 08, 2018",1.69,1.46,"21,832,300",1.48,"241,570"
62,1.48,"Apr 07, 2018",1.49,1.41,"20,796,100",1.41,"23,891"
63,1.41,"Apr 06, 2018",1.49,1.40,"21,863,000",1.48,"247,228"
64,1.49,"Apr 05, 2018",1.49,1.42,"21,924,000",1.49,"275,575"
65,1.49,"Apr 04, 2018",1.67,1.48,"24,637,600",1.67,"225,785"
66,1.62,"Apr 03, 2018",1.62,1.46,"21,621,400",1.47,"321,250"
67,1.47,"Apr 02, 2018",1.51,1.45,"21,508,400",1.46,"230,409"
68,1.46,"Apr 01, 2018",1.49,1.41,"21,343,700",1.45,"220,642"
69,1.45,"Mar 31, 2018",1.49,1.41,"20,705,100",1.41,"158,333"
70,1.40,"Mar 30, 2018",1.45,1.38,"21,378,000",1.45,"186,673"
71,1.45,"Mar 29, 2018",1.61,1.43,"23,661,600",1.61,"174,109"
72,1.61,"Mar 28, 2018",1.61,1.53,"23,570,700",1.60,"355,878"
73,1.60,"Mar 27, 2018",1.68,1.56,"24,690,300",1.68,"269,955"
74,1.68,"Mar 26, 2018",1.83,1.61,"26,929,900",1.83,"322,610"
75,1.83,"Mar 25, 2018",1.87,1.71,"25,485,200",1.73,"111,863"
76,1.74,"Mar 24, 2018",1.80,1.69,"25,922,600",1.76,"260,966"
77,1.74,"Mar 23, 2018",1.78,1.68,"25,620,800",1.74,"289,967"
78,1.74,"Mar 22, 2018",1.81,1.71,"26,318,300",1.79,"308,187"
79,1.79,"Mar 21, 2018",1.82,1.54,"26,104,500",1.77,"315,073"
80,1.77,"Mar 20, 2018",1.78,1.69,"25,375,700",1.72,"215,617"
81,1.71,"Mar 19, 2018",1.71,1.56,"23,083,000",1.57,"316,377"
82,1.58,"Mar 18, 2018",1.59,1.45,"23,299,400",1.58,"232,243"
83,1.58,"Mar 17, 2018",1.74,1.57,"25,678,300",1.74,"225,606"
84,1.74,"Mar 16, 2018",1.84,1.63,"24,488,000",1.66,"206,417"
85,1.66,"Mar 15, 2018",1.71,1.62,"24,983,900",1.70,"173,474"
86,1.70,"Mar 14, 2018",1.95,1.65,"28,311,000",1.92,"179,355"
87,1.92,"Mar 13, 2018",1.99,1.90,"28,815,200",1.96,"254,401"
88,1.96,"Mar 12, 2018",2.06,1.93,"29,667,300",2.01,"139,815"
89,2.02,"Mar 11, 2018",2.03,1.86,"27,791,900",1.89,"228,949"
90,1.89,"Mar 10, 2018",2.03,1.89,"29,477,100",2.00,"250,327"
91,2.00,"Mar 09, 2018",2.02,1.77,"28,456,900",1.93,"247,701"
92,1.94,"Mar 08, 2018",2.06,1.92,"30,108,200",2.04,"147,321"
93,2.05,"Mar 07, 2018",2.23,1.94,"32,543,700",2.21,"263,050"
94,2.21,"Mar 06, 2018",2.63,2.11,"38,688,100",2.63,"531,906"
95,2.63,"Mar 05, 2018",2.70,2.61,"39,459,100",2.68,"239,113"
96,2.67,"Mar 04, 2018",2.69,2.63,"39,430,000",2.68,"94,089"
97,2.68,"Mar 03, 2018",2.72,2.62,"38,674,100",2.62,"143,381"
98,2.62,"Mar 02, 2018",2.67,2.59,"38,593,600",2.62,"128,956"
99,2.62,"Mar 01, 2018",2.66,2.52,"37,315,700",2.53,"114,660"
100,2.53,"Feb 28, 2018",2.72,2.52,"39,344,700",2.67,"73,979"
101,2.67,"Feb 27, 2018",2.73,2.58,"38,459,600",2.61,"95,981"
102,2.60,"Feb 26, 2018",2.69,2.47,"37,665,600",2.56,"129,128"
103,2.54,"Feb 25, 2018",2.62,2.48,"37,378,800",2.54,"143,048"
104,2.53,"Feb 24, 2018",2.69,2.41,"38,807,500",2.63,"122,376"
105,2.64,"Feb 23, 2018",2.66,2.47,"37,391,800",2.54,"144,159"
106,2.54,"Feb 22, 2018",2.85,2.49,"41,040,500",2.78,"153,454"
107,2.79,"Feb 21, 2018",3.04,2.69,"44,443,100",3.02,"233,584"
108,3.03,"Feb 20, 2018",3.20,3.01,"46,028,300",3.12,"217,835"
109,3.12,"Feb 19, 2018",3.23,3.06,"45,901,000",3.11,"209,189"
110,3.12,"Feb 18, 2018",3.35,3.05,"48,629,600",3.30,"211,775"
111,3.27,"Feb 17, 2018",3.34,2.96,"44,312,200",3.01,"292,215"
112,3.01,"Feb 16, 2018",3.09,2.92,"44,530,500",3.02,"172,206"
113,3.04,"Feb 15, 2018",3.17,2.81,"41,402,500",2.81,"308,423"
114,2.79,"Feb 14, 2018",2.82,2.53,"37,286,700",2.53,"162,336"
115,2.53,"Feb 13, 2018",2.64,2.46,"38,292,700",2.60,"126,774"
116,2.60,"Feb 12, 2018",2.64,2.33,"34,311,700",2.33,"229,218"
117,2.31,"Feb 11, 2018",2.49,2.26,"36,651,000",2.49,"138,250"
118,2.49,"Feb 10, 2018",2.67,2.42,"36,852,200",2.50,"247,930"
119,2.53,"Feb 09, 2018",2.53,2.21,"35,151,200",2.39,"219,891"
120,2.38,"Feb 08, 2018",2.45,2.28,"33,547,300",2.28,"275,898"
121,2.28,"Feb 07, 2018",2.51,2.15,"34,057,600",2.31,"286,593"
122,2.27,"Feb 06, 2018",2.41,1.77,"30,800,200",2.09,"399,668"
123,2.08,"Feb 05, 2018",2.75,2.00,"39,501,800",2.68,"419,924"
124,2.69,"Feb 04, 2018",3.12,2.58,"44,841,300",3.04,"290,312"
125,3.03,"Feb 03, 2018",3.13,2.70,"42,098,700",2.86,"201,537"
126,2.87,"Feb 02, 2018",3.13,2.56,"46,072,900",3.13,"378,834"
127,3.11,"Feb 01, 2018",3.52,2.97,"51,205,900",3.47,"268,474"
128,3.47,"Jan 31, 2018",3.56,3.38,"51,738,700",3.51,"225,415"
129,3.51,"Jan 30, 2018",3.93,3.48,"57,542,800",3.90,"233,613"
130,3.90,"Jan 29, 2018",3.99,3.80,"58,444,400",3.97,"153,690"
131,3.96,"Jan 28, 2018",4.14,3.92,"58,254,600",3.95,"189,676"
132,3.94,"Jan 27, 2018",4.01,3.79,"56,466,600",3.83,"194,063"
133,3.82,"Jan 26, 2018",4.00,3.62,"56,983,300",3.87,"306,952"
134,3.88,"Jan 25, 2018",4.14,3.82,"60,206,100",4.09,"284,347"
135,4.04,"Jan 24, 2018",4.11,3.80,"57,174,200",3.88,"205,122"
136,3.88,"Jan 23, 2018",4.08,3.61,"55,642,200",3.78,"534,582"
137,3.78,"Jan 22, 2018",4.43,3.64,"64,209,800",4.36,"539,390"
138,4.30,"Jan 21, 2018",4.81,4.20,"70,836,500",4.81,"312,293"
139,4.80,"Jan 20, 2018",4.92,4.53,"68,122,900",4.62,"316,155"
140,4.58,"Jan 19, 2018",4.75,4.41,"66,524,900",4.51,"321,465"
141,4.53,"Jan 18, 2018",4.85,4.00,"60,755,500",4.12,"977,529"
142,4.12,"Jan 17, 2018",4.47,3.22,"63,980,300",4.34,"1,544,600"
143,4.36,"Jan 16, 2018",6.20,3.81,"90,700,300",6.15,"2,034,770"
144,6.18,"Jan 15, 2018",7.07,6.10,"100,949,000",6.85,"936,196"
145,6.88,"Jan 14, 2018",7.94,6.71,"108,447,000",7.36,"1,188,010"
146,7.33,"Jan 13, 2018",9.22,6.49,"95,664,500",6.49,"4,257,690"
147,6.47,"Jan 12, 2018",6.48,5.06,"75,209,000",5.10,"2,196,420"
148,5.08,"Jan 11, 2018",5.58,5.00,"81,853,100",5.55,"565,666"
149,5.53,"Jan 10, 2018",5.66,5.23,"83,040,000",5.64,"692,524"
150,5.65,"Jan 09, 2018",5.79,5.37,"83,985,400",5.70,"789,962"
151,5.71,"Jan 08, 2018",6.02,5.30,"83,168,300",5.64,"1,240,740"
152,5.68,"Jan 07, 2018",5.99,5.01,"75,358,500",5.11,"1,386,230"
153,5.12,"Jan 06, 2018",5.19,4.76,"71,968,500",4.88,"1,155,950"
154,4.86,"Jan 05, 2018",4.98,4.60,"69,234,100",4.70,"685,421"
155,4.69,"Jan 04, 2018",4.73,4.24,"67,822,400",4.60,"926,888"
156,4.58,"Jan 03, 2018",4.59,4.35,"65,143,600",4.42,"623,829"
157,4.44,"Jan 02, 2018",4.56,3.80,"58,273,200",3.95,"1,486,240"
158,3.93,"Jan 01, 2018",3.98,3.67,"58,416,700",3.96,"290,484"
159,3.95,"Dec 31, 2017",4.11,3.72,"56,420,200",3.83,"359,900"
160,3.85,"Dec 30, 2017",4.09,3.68,"59,198,400",4.02,"503,852"
161,4.02,"Dec 29, 2017",4.14,3.83,"59,930,600",4.07,"425,929"
162,4.05,"Dec 28, 2017",4.22,3.55,"62,028,300",4.21,"407,488"
163,4.24,"Dec 27, 2017",4.33,3.90,"61,479,400",4.17,"523,214"
164,4.13,"Dec 26, 2017",4.45,4.10,"64,203,800",4.36,"860,779"
165,4.33,"Dec 25, 2017",4.43,3.39,"51,420,700",3.49,"1,753,830"
166,3.45,"Dec 24, 2017",3.64,3.13,"53,171,900",3.61,"460,657"
167,3.58,"Dec 23, 2017",4.01,3.21,"48,727,600",3.31,"820,809"
168,3.25,"Dec 22, 2017",4.20,2.42,"61,590,700",4.18,"1,555,800"
169,4.16,"Dec 21, 2017",4.52,3.97,"62,153,600",4.22,"1,290,840"
170,4.21,"Dec 20, 2017",4.39,3.90,"64,761,400",4.39,"1,511,110"
171,4.40,"Dec 19, 2017",5.02,4.20,"73,078,600",4.96,"1,840,770"
172,4.96,"Dec 18, 2017",5.05,4.09,"65,593,100",4.45,"2,748,870"
173,4.46,"Dec 17, 2017",4.53,4.33,"65,097,500",4.42,"856,183"
174,4.43,"Dec 16, 2017",4.53,3.72,"56,520,000",3.84,"1,619,030"
175,3.83,"Dec 15, 2017",3.96,3.46,"57,983,000",3.93,"730,462"
176,3.94,"Dec 14, 2017",4.12,3.45,"51,128,300",3.47,"1,268,850"
177,3.48,"Dec 13, 2017",4.24,2.99,"45,196,000",3.07,"1,700,900"
178,3.04,"Dec 12, 2017",3.15,2.83,"42,545,700",2.89,"612,700"
179,2.89,"Dec 11, 2017",3.07,2.65,"39,123,200",2.65,"530,923"
180,2.66,"Dec 10, 2017",2.86,2.55,"42,169,800",2.86,"246,317"
181,2.86,"Dec 09, 2017",3.01,2.66,"42,887,700",2.91,"296,475"
182,2.91,"Dec 08, 2017",2.97,2.52,"41,434,300",2.81,"698,644"
183,2.82,"Dec 07, 2017",2.82,2.43,"36,783,400",2.50,"1,042,260"
184,2.50,"Dec 06, 2017",3.03,2.41,"42,654,100",2.89,"1,734,590"
185,2.91,"Dec 05, 2017",3.18,2.30,"35,062,600",2.38,"5,184,740"
186,2.38,"Dec 04, 2017",2.40,2.23,"33,920,000",2.30,"267,053"
187,2.30,"Dec 03, 2017",2.55,2.15,"35,420,300",2.40,"496,224"
188,2.39,"Dec 02, 2017",2.48,2.37,"36,311,100",2.46,"208,115"
