,close,date,high,low,market_cap,open,volume
0,0.016863,"Jun 08, 2018",0.023816,0.016863,"285,810",0.023816,515
1,0.023798,"Jun 07, 2018",0.024988,0.017946,"261,879",0.021822,421
2,0.021802,"Jun 06, 2018",0.029638,0.021423,"316,566",0.026379,390
3,0.026386,"Jun 05, 2018",0.031102,0.021109,"297,112",0.024758,915
4,0.024746,"Jun 04, 2018",0.034182,0.013525,"277,540",0.023127,"3,012"
5,0.023116,"Jun 03, 2018",0.028664,0.012284,"147,515",0.012292,"6,204"
6,0.012289,"Jun 02, 2018",0.017160,0.010986,"138,015",0.011500,"1,176"
7,0.011505,"Jun 01, 2018",0.015102,0.011177,"171,720",0.014309,334
8,0.014299,"May 31, 2018",0.018215,0.009552,"200,232",0.016685,"1,374"
9,0.016688,"May 30, 2018",0.016695,0.005920,"117,352",0.009779,"5,787"
10,0.009772,"May 29, 2018",0.010071,0.009297,"113,619",0.009468,99
11,0.009471,"May 28, 2018",0.012222,0.009016,"124,293",0.010357,186
12,0.010355,"May 27, 2018",0.011365,0.010280,"126,759",0.010563,228
13,0.010558,"May 26, 2018",0.013150,0.010501,"129,951",0.010828,77
14,0.010768,"May 25, 2018",0.013235,0.010599,"145,215",0.012100,155
15,0.012078,"May 24, 2018",0.012507,0.010405,"146,190",0.012182,130
16,0.012212,"May 23, 2018",0.012522,0.010684,"149,835",0.012485,36
17,0.012498,"May 22, 2018",0.014575,0.012348,"174,555",0.014545,234
18,0.014548,"May 21, 2018",0.016513,0.012784,"164,761",0.013729,251
19,0.013712,"May 20, 2018",0.016595,0.009863,"118,742",0.009895,488
20,0.009887,"May 19, 2018",0.013713,0.009620,"164,131",0.013677,208
21,0.013679,"May 18, 2018",0.016014,0.013211,"160,926",0.013410,643
22,0.013398,"May 17, 2018",0.015806,0.013321,"179,335",0.014944,586
23,0.014934,"May 16, 2018",0.021174,0.014628,"199,608",0.016633,689
24,0.016643,"May 15, 2018",0.019012,0.016023,"192,586",0.016048,827
25,0.016075,"May 14, 2018",0.021261,0.014619,"177,294",0.014774,"1,215"
26,0.014776,"May 13, 2018",0.016983,0.014776,"191,045",0.015919,451
27,0.015925,"May 12, 2018",0.019896,0.014890,"238,768",0.019896,196
28,0.019955,"May 11, 2018",0.020445,0.015430,"199,572",0.016630,808
29,0.016610,"May 10, 2018",0.021687,0.016594,"206,782",0.017231,862
30,0.017236,"May 09, 2018",0.020555,0.015368,"187,672",0.015638,283
31,0.015662,"May 08, 2018",0.018250,0.015423,"192,222",0.016017,99
32,0.015983,"May 07, 2018",0.022398,0.014872,"185,749",0.015478,673
33,0.015467,"May 06, 2018",0.016273,0.015111,"193,442",0.016119,217
34,0.016108,"May 05, 2018",0.018607,0.015923,"193,090",0.016090,314
35,0.016097,"May 04, 2018",0.018520,0.016097,"222,262",0.018520,213
36,0.018528,"May 03, 2018",0.018719,0.017453,"222,382",0.018531,296
37,0.018530,"May 02, 2018",0.022050,0.015098,"183,132",0.015260,371
38,0.015283,"May 01, 2018",0.022178,0.013431,"266,154",0.022178,"1,096"
39,0.022159,"Apr 30, 2018",0.022505,0.018371,"269,654",0.022470,"1,049"
40,0.022477,"Apr 29, 2018",0.022817,0.018950,"248,980",0.020747,531
41,0.020755,"Apr 28, 2018",0.023918,0.018586,"223,619",0.018634,120
42,0.018698,"Apr 27, 2018",0.025901,0.018698,"230,956",0.019245,"1,006"
43,0.019218,"Apr 26, 2018",0.019713,0.017789,"223,363",0.018612,292
44,0.018459,"Apr 25, 2018",0.022305,0.018433,"267,684",0.022305,40
45,0.022458,"Apr 24, 2018",0.023370,0.018288,"219,569",0.018296,488
46,0.018281,"Apr 23, 2018",0.019610,0.018001,"218,139",0.018177,208
47,0.018214,"Apr 22, 2018",0.023351,0.016818,"204,650",0.017053,472
48,0.017053,"Apr 21, 2018",0.024735,0.016648,"237,687",0.019806,429
49,0.019799,"Apr 20, 2018",0.022484,0.018835,"239,151",0.019928,584
50,0.019915,"Apr 19, 2018",0.021379,0.019507,"254,745",0.021227,255
51,0.019580,"Apr 18, 2018",0.021986,0.019560,"257,747",0.021477,304
52,0.021458,"Apr 17, 2018",0.024762,0.020725,"253,094",0.021090,375
53,0.021079,"Apr 16, 2018",0.026292,0.020666,"314,472",0.026204,423
54,0.026215,"Apr 15, 2018",0.026215,0.022368,"272,701",0.022724,913
55,0.022140,"Apr 14, 2018",0.022870,0.021763,"264,348",0.022027,457
56,0.022027,"Apr 13, 2018",0.023474,0.020593,"270,825",0.022567,414
57,0.022539,"Apr 12, 2018",0.022645,0.017380,"220,910",0.018408,"2,369"
58,0.018453,"Apr 11, 2018",0.020148,0.017610,"213,141",0.017760,529
59,0.019108,"Apr 10, 2018",0.020278,0.014166,"202,015",0.016833,"1,242"
60,0.016820,"Apr 09, 2018",0.018093,0.013501,"213,299",0.017774,320
61,0.017745,"Apr 08, 2018",0.017786,0.015360,"207,143",0.017261,283
62,0.017245,"Apr 07, 2018",0.017734,0.014680,"205,452",0.017149,266
63,0.017129,"Apr 06, 2018",0.017743,0.013757,"204,050",0.017076,518
64,0.017164,"Apr 05, 2018",0.018954,0.015254,"207,994",0.017455,336
65,0.017448,"Apr 04, 2018",0.020247,0.017289,"240,617",0.020247,237
66,0.020261,"Apr 03, 2018",0.029288,0.016839,"220,558",0.018610,"1,209"
67,0.018597,"Apr 02, 2018",0.019633,0.018498,"223,462",0.018906,272
68,0.018813,"Apr 01, 2018",0.019976,0.017926,"227,079",0.019265,183
69,0.019265,"Mar 31, 2018",0.021028,0.018957,"241,135",0.020511,202
70,0.020508,"Mar 30, 2018",0.028470,0.018093,"332,161",0.028335,598
71,0.019458,"Mar 29, 2018",0.020306,0.018613,"233,043",0.019932,102
72,0.019909,"Mar 28, 2018",0.028480,0.019731,"258,753",0.022192,440
73,0.022197,"Mar 27, 2018",0.035893,0.019707,"246,950",0.021240,"1,070"
74,0.021272,"Mar 26, 2018",0.039077,0.019471,"227,005",0.019581,"1,076"
75,0.019595,"Mar 25, 2018",0.027402,0.019433,"228,071",0.019727,198
76,0.020002,"Mar 24, 2018",0.025579,0.019955,"236,343",0.020497,87
77,0.020203,"Mar 23, 2018",0.025855,0.016974,"220,092",0.019143,171
78,0.019143,"Mar 22, 2018",0.034390,0.018748,"254,986",0.022239,326
79,0.022279,"Mar 21, 2018",0.028689,0.015186,"184,246",0.016117,195
80,0.016088,"Mar 20, 2018",0.021005,0.006510,"206,457",0.018109,923
81,0.017909,"Mar 19, 2018",0.033467,0.017094,"196,468",0.017282,651
82,0.017355,"Mar 18, 2018",0.017683,0.015549,"194,895",0.017193,221
83,0.017235,"Mar 17, 2018",0.028365,0.016889,"204,564",0.018097,252
84,0.018067,"Mar 16, 2018",0.023030,0.017493,"204,848",0.018173,234
85,0.018184,"Mar 15, 2018",0.023458,0.017014,"204,779",0.018220,61
86,0.018228,"Mar 14, 2018",0.020768,0.017750,"226,606",0.020220,78
87,0.020217,"Mar 13, 2018",0.020862,0.019523,"223,441",0.019995,65
88,0.020111,"Mar 12, 2018",0.021763,0.019387,"231,846",0.020807,314
89,0.020872,"Mar 11, 2018",0.021204,0.018307,"210,607",0.018955,49
90,0.019020,"Mar 10, 2018",0.037285,0.018847,"220,558",0.019908,653
91,0.019900,"Mar 09, 2018",0.023508,0.019900,"256,687",0.023234,304
92,0.023382,"Mar 08, 2018",0.025837,0.023174,"278,896",0.025320,234
93,0.025356,"Mar 07, 2018",0.028288,0.024179,"306,089",0.027869,119
94,0.027905,"Mar 06, 2018",0.029454,0.027578,"263,709",0.029338,22
95,0.029420,"Mar 05, 2018",0.029764,0.028661,"259,399",0.028859,154
96,0.028880,"Mar 04, 2018",0.030912,0.028587,"277,633",0.030887,114
97,0.030941,"Mar 03, 2018",0.031759,0.029201,"262,477",0.029201,72
98,0.029237,"Mar 02, 2018",0.033346,0.028022,"251,880",0.028022,335
99,0.028095,"Mar 01, 2018",0.028433,0.025509,"231,088",0.025709,144
100,0.025671,"Feb 28, 2018",0.037071,0.025471,"322,081",0.035833,214
101,0.035875,"Feb 27, 2018",0.041345,0.024860,"301,231",0.033513,"1,000"
102,0.033416,"Feb 26, 2018",0.040044,0.030009,"270,570",0.030102,194
103,0.030063,"Feb 25, 2018",0.039603,0.025346,"235,313",0.026179,856
104,0.026219,"Feb 24, 2018",0.031259,0.025679,"232,569",0.025874,304
105,0.025907,"Feb 23, 2018",0.033568,0.011010,"269,013",0.029929,"3,409"
106,0.029956,"Feb 22, 2018",0.037926,0.029541,"324,569",0.036109,259
107,0.036146,"Feb 21, 2018",0.052162,0.035999,"378,074",0.042062,250
108,0.042114,"Feb 20, 2018",0.055559,0.041664,"394,631",0.043904,461
109,0.043864,"Feb 19, 2018",0.056422,0.042068,"492,059",0.054743,969
110,0.054996,"Feb 18, 2018",0.061938,0.042188,"400,852",0.044596,945
111,0.044460,"Feb 17, 2018",0.062661,0.042657,"522,260",0.058103,456
112,0.058116,"Feb 16, 2018",0.071661,0.036850,"345,560",0.038445,"1,053"
113,0.038609,"Feb 15, 2018",0.042577,0.036771,"355,142",0.039511,251
114,0.039489,"Feb 14, 2018",0.043519,0.036677,"329,675",0.036677,263
115,0.036787,"Feb 13, 2018",0.051660,0.029183,"327,900",0.036480,"1,237"
116,0.036414,"Feb 12, 2018",0.049211,0.026741,"365,778",0.040694,"1,116"
117,0.040436,"Feb 11, 2018",0.053653,0.040436,"461,096",0.051298,792
118,0.051342,"Feb 10, 2018",0.063665,0.049080,"500,622",0.055696,447
119,0.055655,"Feb 09, 2018",0.064080,0.049967,"489,721",0.054483,563
120,0.054316,"Feb 08, 2018",0.072942,0.047315,"546,073",0.060752,696
121,0.060996,"Feb 07, 2018",0.088293,0.058671,"656,828",0.073074,820
122,0.073813,"Feb 06, 2018",0.077542,0.056408,"615,099",0.068432,"2,980"
123,0.068137,"Feb 05, 2018",0.091487,0.066444,"731,547",0.081387,"2,466"
124,0.082184,"Feb 04, 2018",0.108690,0.078466,"905,709",0.100763,720
125,0.100711,"Feb 03, 2018",0.100711,0.076272,"734,490",0.081714,"2,378"
126,0.081436,"Feb 02, 2018",0.107978,0.071025,"970,567",0.107978,"2,341"
127,0.108202,"Feb 01, 2018",0.134012,0.082187,"1,188,420",0.132215,"4,998"
128,0.131909,"Jan 31, 2018",0.131909,0.077890,"720,290",0.080134,"8,612"
129,0.080009,"Jan 30, 2018",0.122134,0.068942,"1,096,290",0.121965,"3,202"
130,0.121925,"Jan 29, 2018",0.123871,0.088866,"834,125",0.092799,"3,769"
131,0.092887,"Jan 28, 2018",0.128480,0.092887,"1,014,950",0.112916,"1,375"
132,0.112341,"Jan 27, 2018",0.142803,0.108212,"1,276,040",0.141964,"2,862"
133,0.142058,"Jan 26, 2018",0.145169,0.103891,"995,125",0.110711,"2,117"
134,0.111006,"Jan 25, 2018",0.137388,0.110396,"1,129,360",0.125645,"4,997"
135,0.123611,"Jan 24, 2018",0.151649,0.093110,"1,363,100",0.151649,"5,998"
136,0.151735,"Jan 23, 2018",0.169240,0.078224,"1,157,270",0.128749,"5,072"
