,close,date,high,low,market_cap,open,volume
0,52.59,"Jun 08, 2018",53.92,51.99,"3,480,610,000",53.55,"77,989,800"
1,53.82,"Jun 07, 2018",54.99,53.18,"3,510,460,000",54.01,"78,293,600"
2,53.92,"Jun 06, 2018",54.61,52.75,"3,543,110,000",54.51,"81,572,600"
3,54.45,"Jun 05, 2018",54.95,52.09,"3,477,660,000",53.50,"92,081,000"
4,53.44,"Jun 04, 2018",57.10,52.61,"3,660,100,000",56.31,"91,888,400"
5,56.42,"Jun 03, 2018",57.80,55.85,"3,682,140,000",56.65,"90,826,100"
6,56.76,"Jun 02, 2018",57.19,54.98,"3,615,890,000",55.63,"97,926,200"
7,55.45,"Jun 01, 2018",56.09,52.95,"3,457,790,000",53.20,"102,577,000"
8,52.93,"May 31, 2018",54.08,50.92,"3,343,510,000",51.44,"85,826,000"
9,51.54,"May 30, 2018",53.31,50.53,"3,403,160,000",52.36,"82,723,100"
10,52.11,"May 29, 2018",53.43,47.96,"3,127,560,000",48.12,"106,526,000"
11,48.26,"May 28, 2018",53.06,47.96,"3,436,200,000",52.86,"92,695,200"
12,52.93,"May 27, 2018",53.03,51.20,"3,400,820,000",52.32,"76,785,500"
13,52.26,"May 26, 2018",54.32,51.55,"3,428,000,000",52.74,"84,223,300"
14,53.03,"May 25, 2018",56.26,52.01,"3,581,540,000",55.10,"93,827,500"
15,54.76,"May 24, 2018",55.12,50.68,"3,403,300,000",52.36,"107,696,000"
16,52.47,"May 23, 2018",57.80,51.81,"3,734,310,000",57.45,"109,642,000"
17,57.38,"May 22, 2018",62.50,57.10,"4,056,540,000",62.41,"95,219,600"
18,62.46,"May 21, 2018",65.85,60.95,"4,133,600,000",63.59,"121,919,000"
19,63.51,"May 20, 2018",63.77,58.75,"3,850,000,000",59.23,"89,350,200"
20,59.17,"May 19, 2018",60.64,58.15,"3,877,990,000",59.66,"79,662,300"
21,59.68,"May 18, 2018",60.28,56.99,"3,751,860,000",57.72,"94,202,000"
22,57.82,"May 17, 2018",63.22,57.18,"4,025,910,000",61.94,"96,606,600"
23,61.85,"May 16, 2018",63.37,59.88,"4,098,810,000",63.06,"99,496,200"
24,63.25,"May 15, 2018",69.34,62.54,"4,314,880,000",66.38,"98,810,800"
25,66.46,"May 14, 2018",69.23,63.19,"4,408,480,000",67.82,"130,220,000"
26,67.76,"May 13, 2018",69.30,63.15,"4,209,410,000",64.76,"105,992,000"
27,64.76,"May 12, 2018",67.61,59.07,"4,124,450,000",63.45,"125,551,000"
28,63.40,"May 11, 2018",70.41,61.45,"4,547,400,000",69.96,"177,497,000"
29,70.18,"May 10, 2018",76.97,70.18,"4,960,570,000",76.32,"126,392,000"
30,76.33,"May 09, 2018",77.21,72.90,"5,013,070,000",77.12,"120,422,000"
31,77.08,"May 08, 2018",81.08,76.03,"5,172,050,000",79.57,"126,518,000"
32,79.29,"May 07, 2018",83.59,76.50,"5,433,500,000",83.59,"157,183,000"
33,83.56,"May 06, 2018",87.94,80.72,"5,479,820,000",84.30,"177,590,000"
34,84.36,"May 05, 2018",86.07,84.16,"5,480,030,000",84.31,"128,178,000"
35,84.26,"May 04, 2018",87.70,82.56,"5,700,730,000",87.70,"153,112,000"
36,87.82,"May 03, 2018",89.68,83.86,"5,519,480,000",84.92,"226,830,000"
37,84.79,"May 02, 2018",85.39,82.84,"5,486,900,000",84.41,"137,844,000"
38,84.64,"May 01, 2018",84.86,79.32,"5,483,980,000",84.37,"180,819,000"
39,84.27,"Apr 30, 2018",94.76,82.86,"5,990,010,000",92.15,"377,385,000"
40,91.07,"Apr 29, 2018",92.52,76.59,"4,978,030,000",76.59,"502,971,000"
41,76.75,"Apr 28, 2018",78.20,72.42,"4,707,530,000",72.42,"143,123,000"
42,72.67,"Apr 27, 2018",77.31,72.67,"5,006,040,000",77.02,"133,132,000"
43,77.19,"Apr 26, 2018",77.24,69.81,"4,651,610,000",71.56,"142,338,000"
44,71.38,"Apr 25, 2018",82.58,69.03,"5,361,910,000",82.49,"232,381,000"
45,83.01,"Apr 24, 2018",84.44,76.24,"4,958,950,000",76.29,"214,076,000"
46,76.22,"Apr 23, 2018",77.80,73.65,"4,787,280,000",73.65,"129,211,000"
47,73.76,"Apr 22, 2018",77.20,73.00,"4,844,570,000",74.53,"118,189,000"
48,74.99,"Apr 21, 2018",79.62,71.16,"5,141,750,000",79.10,"172,502,000"
49,79.03,"Apr 20, 2018",79.47,72.56,"4,821,730,000",74.18,"184,821,000"
50,74.13,"Apr 19, 2018",74.79,70.96,"4,715,590,000",72.55,"172,657,000"
51,72.84,"Apr 18, 2018",73.36,65.71,"4,271,150,000",65.71,"146,354,000"
52,65.75,"Apr 17, 2018",69.85,65.66,"4,355,820,000",67.01,"104,953,000"
53,66.70,"Apr 16, 2018",70.77,64.40,"4,557,690,000",70.12,"124,354,000"
54,70.33,"Apr 15, 2018",70.33,64.33,"4,181,560,000",64.33,"126,368,000"
55,63.86,"Apr 14, 2018",65.45,61.75,"4,043,730,000",62.21,"90,798,000"
56,62.21,"Apr 13, 2018",68.10,61.56,"4,332,710,000",66.66,"177,671,000"
57,66.71,"Apr 12, 2018",66.71,54.91,"3,794,850,000",58.38,"272,689,000"
58,58.54,"Apr 11, 2018",59.46,52.32,"3,417,620,000",52.58,"178,201,000"
59,52.62,"Apr 10, 2018",53.20,49.67,"3,458,030,000",53.20,"90,631,300"
60,52.93,"Apr 09, 2018",56.66,49.37,"3,209,100,000",49.37,"267,977,000"
61,49.19,"Apr 08, 2018",49.19,46.54,"3,025,190,000",46.54,"44,671,100"
62,46.42,"Apr 07, 2018",47.81,44.83,"2,919,100,000",44.91,"49,786,600"
63,44.94,"Apr 06, 2018",47.48,44.59,"3,058,490,000",47.05,"46,850,100"
64,47.20,"Apr 05, 2018",47.85,45.85,"3,084,660,000",47.46,"63,650,600"
65,47.55,"Apr 04, 2018",53.63,46.95,"3,469,680,000",53.38,"73,956,800"
66,53.64,"Apr 03, 2018",54.13,48.63,"3,183,760,000",48.98,"84,566,300"
67,48.82,"Apr 02, 2018",50.30,46.79,"3,077,220,000",47.34,"62,854,800"
68,47.30,"Apr 01, 2018",50.59,45.30,"3,272,060,000",50.34,"73,349,000"
69,50.13,"Mar 31, 2018",52.91,49.97,"3,278,240,000",50.43,"68,031,800"
70,50.31,"Mar 30, 2018",53.58,49.10,"3,370,350,000",51.85,"114,151,000"
71,51.88,"Mar 29, 2018",57.40,51.45,"3,724,950,000",57.31,"110,023,000"
72,57.24,"Mar 28, 2018",60.12,55.34,"3,596,940,000",55.34,"81,977,500"
73,55.53,"Mar 27, 2018",60.02,52.51,"3,866,570,000",59.49,"145,189,000"
74,59.74,"Mar 26, 2018",65.94,55.92,"4,251,170,000",65.40,"144,889,000"
75,65.43,"Mar 25, 2018",67.44,63.87,"4,237,240,000",65.19,"82,989,200"
