,close,date,high,low,market_cap,open,volume
0,0.094769,"Jun 08, 2018",0.095196,0.086168,"477,823",0.086168,886
1,0.110295,"Jun 07, 2018",0.111108,0.109798,"607,576",0.109798,6
2,0.109697,"Jun 06, 2018",0.110264,0.093654,"587,289",0.106256,50
3,0.106285,"Jun 05, 2018",0.106476,0.097284,"545,781",0.098860,250
4,0.098228,"Jun 04, 2018",0.105634,0.082695,"467,957",0.084862,"1,495"
5,0.088754,"Jun 03, 2018",0.094610,0.076821,"510,280",0.092649,"2,261"
6,0.092623,"Jun 02, 2018",0.100809,0.090395,"554,090",0.100723,427
7,0.100766,"Jun 01, 2018",0.121390,0.089301,"658,207",0.119791,821
8,0.119704,"May 31, 2018",0.123502,0.110126,"607,363",0.110666,450
9,0.110687,"May 30, 2018",0.110732,0.102638,"573,500",0.104621,"1,319"
10,0.104550,"May 29, 2018",0.108361,0.099796,"549,877",0.100429,98
11,0.100462,"May 28, 2018",0.109466,0.096899,"557,012",0.101853,302
12,0.101829,"May 27, 2018",0.110345,0.101768,"565,360",0.103501,65
13,0.103456,"May 26, 2018",0.122713,0.102897,"669,505",0.122713,"1,023"
14,0.122875,"May 25, 2018",0.137713,0.098603,"744,709",0.136659,"1,218"
15,0.136403,"May 24, 2018",0.139184,0.100620,"547,647",0.100620,28
16,0.100874,"May 23, 2018",0.152022,0.100051,"712,972",0.131149,987
17,0.131285,"May 22, 2018",0.158597,0.115984,"771,592",0.142104,"2,296"
18,0.142129,"May 21, 2018",0.168833,0.126176,"695,986",0.128634,"2,720"
19,0.128474,"May 20, 2018",0.152947,0.111686,"668,434",0.123542,"5,654"
20,0.123450,"May 19, 2018",0.131336,0.104399,"708,031",0.130986,"1,446"
21,0.131006,"May 18, 2018",0.131047,0.112323,"666,060",0.123271,"1,280"
22,0.123163,"May 17, 2018",0.132968,0.116749,"704,074",0.131298,268
23,0.131218,"May 16, 2018",0.136447,0.107064,"637,086",0.118806,252
24,0.118875,"May 15, 2018",0.135905,0.118190,"721,461",0.134541,54
25,0.134772,"May 14, 2018",0.137373,0.119718,"715,731",0.133472,18
26,0.133497,"May 13, 2018",0.140153,0.112302,"735,731",0.137202,207
27,0.137250,"May 12, 2018",0.138524,0.106267,"569,843",0.106267,385
28,0.106580,"May 11, 2018",0.159852,0.102796,"743,434",0.139083,"2,420"
29,0.138917,"May 10, 2018",0.148703,0.138783,"790,815",0.147947,218
30,0.147989,"May 09, 2018",0.148414,0.126125,"694,190",0.130039,141
31,0.130238,"May 08, 2018",0.150451,0.130238,"734,249",0.137562,389
32,0.137271,"May 07, 2018",0.158707,0.136329,"839,259",0.158626,493
33,0.158512,"May 06, 2018",0.165195,0.153910,"865,907",0.163662,53
34,0.163552,"May 05, 2018",0.176874,0.141088,"830,138",0.156902,461
35,0.156976,"May 04, 2018",0.182651,0.152857,"966,374",0.182651,290
36,0.182722,"May 03, 2018",0.186428,0.126740,"975,541",0.184384,"2,677"
37,0.184377,"May 02, 2018",0.192844,0.164037,"877,407",0.165836,998
38,0.166086,"May 01, 2018",0.191852,0.142004,"909,649",0.171930,"2,669"
39,0.171780,"Apr 30, 2018",0.200657,0.135198,"930,676",0.176489,940
40,0.176548,"Apr 29, 2018",0.197415,0.170715,"985,621",0.186909,697
41,0.186982,"Apr 28, 2018",0.192914,0.183902,"970,792",0.184375,305
42,0.185010,"Apr 27, 2018",0.200539,0.185010,"1,055,900",0.200539,687
43,0.200261,"Apr 26, 2018",0.209510,0.187130,"1,073,750",0.207478,904
44,0.205772,"Apr 25, 2018",0.232490,0.197249,"1,198,410",0.231564,593
45,0.233148,"Apr 24, 2018",0.233148,0.193907,"1,003,970",0.193994,405
46,0.193829,"Apr 23, 2018",0.214430,0.193616,"1,066,740",0.206122,633
47,0.206539,"Apr 22, 2018",0.214439,0.186451,"979,932",0.189349,475
48,0.189349,"Apr 21, 2018",0.217242,0.184678,"993,495",0.191970,909
49,0.191904,"Apr 20, 2018",0.203517,0.154919,"802,268",0.155020,"2,599"
50,0.154918,"Apr 19, 2018",0.199618,0.154481,"955,830",0.184692,"4,489"
51,0.184555,"Apr 18, 2018",0.189020,0.157852,"836,617",0.161657,"2,207"
52,0.161507,"Apr 17, 2018",0.180512,0.157024,"919,368",0.177647,642
53,0.177557,"Apr 16, 2018",0.191827,0.160044,"877,343",0.169526,"1,530"
54,0.169598,"Apr 15, 2018",0.199709,0.156506,"811,618",0.156826,927
55,0.156658,"Apr 14, 2018",0.183399,0.151191,"785,147",0.151711,498
56,0.151712,"Apr 13, 2018",0.196326,0.150075,"1,007,750",0.194886,326
57,0.194640,"Apr 12, 2018",0.197116,0.153635,"895,183",0.173464,"1,000"
58,0.173884,"Apr 11, 2018",0.173884,0.138333,"881,319",0.170778,"2,278"
59,0.170613,"Apr 10, 2018",0.181571,0.145766,"755,554",0.146775,"3,302"
60,0.146656,"Apr 09, 2018",0.158582,0.129655,"801,817",0.155762,518
61,0.155510,"Apr 08, 2018",0.161140,0.136854,"735,849",0.144197,"1,391"
62,0.144067,"Apr 07, 2018",0.172517,0.128475,"656,589",0.128666,"1,971"
63,0.128512,"Apr 06, 2018",0.150667,0.118602,"720,635",0.141216,493
64,0.141940,"Apr 05, 2018",0.143060,0.116738,"615,297",0.120574,"3,783"
65,0.120523,"Apr 04, 2018",0.174306,0.115895,"729,779",0.143008,"2,501"
