,close,date,high,low,market_cap,open,volume
0,0.058110,"Jun 08, 2018",0.063771,0.058110,"193,360",0.063738,98
1,0.063689,"Jun 07, 2018",0.064824,0.056954,"188,522",0.062210,348
2,0.062152,"Jun 06, 2018",0.066753,0.058007,"176,247",0.058232,136
3,0.058248,"Jun 05, 2018",0.066362,0.056423,"191,868",0.063465,148
4,0.063435,"Jun 04, 2018",0.068039,0.056477,"176,871",0.058571,492
5,0.058544,"Jun 03, 2018",0.059599,0.057189,"173,501",0.057530,89
6,0.057515,"Jun 02, 2018",0.066447,0.057417,"183,185",0.060811,258
7,0.060837,"Jun 01, 2018",0.068952,0.059862,"181,069",0.060189,201
8,0.060145,"May 31, 2018",0.069054,0.059225,"180,559",0.060095,374
9,0.060106,"May 30, 2018",0.066020,0.058734,"179,965",0.059975,284
10,0.059934,"May 29, 2018",0.066422,0.059134,"178,156",0.059447,134
11,0.059467,"May 28, 2018",0.066193,0.059348,"186,788",0.062409,374
12,0.062417,"May 27, 2018",0.064019,0.061048,"185,447",0.062039,102
13,0.061754,"May 26, 2018",0.069262,0.061422,"194,467",0.065142,151
14,0.065411,"May 25, 2018",0.067045,0.064278,"197,785",0.066341,179
15,0.066216,"May 24, 2018",0.072859,0.065647,"197,808",0.066437,136
16,0.066605,"May 23, 2018",0.079100,0.065728,"208,146",0.069997,178
17,0.070070,"May 22, 2018",0.083365,0.070070,"219,175",0.073800,255
18,0.073813,"May 21, 2018",0.085615,0.071629,"214,042",0.072159,424
19,0.072069,"May 20, 2018",0.085610,0.067633,"201,660",0.068075,677
20,0.068025,"May 19, 2018",0.087612,0.062351,"258,153",0.087258,926
21,0.087271,"May 18, 2018",0.087299,0.066611,"200,288",0.067775,"2,165"
22,0.067715,"May 17, 2018",0.077156,0.067327,"205,178",0.069513,241
23,0.069471,"May 16, 2018",0.077420,0.065634,"205,278",0.069641,277
24,0.069681,"May 15, 2018",0.081459,0.066888,"197,801",0.067191,"1,070"
25,0.067306,"May 14, 2018",0.076987,0.065207,"226,147",0.076921,668
26,0.076935,"May 13, 2018",0.077456,0.062170,"222,992",0.075948,115
27,0.075974,"May 12, 2018",0.079864,0.066661,"222,590",0.075911,334
28,0.076135,"May 11, 2018",0.081251,0.069830,"217,066",0.074126,510
29,0.074038,"May 10, 2018",0.085230,0.072703,"247,958",0.084793,323
30,0.084817,"May 09, 2018",0.085132,0.072938,"217,877",0.074612,281
31,0.074726,"May 08, 2018",0.084836,0.073976,"242,117",0.083032,136
32,0.082856,"May 07, 2018",0.085866,0.075241,"234,980",0.080700,355
33,0.080642,"May 06, 2018",0.090083,0.078702,"259,655",0.089303,178
34,0.089242,"May 05, 2018",0.098350,0.084043,"257,932",0.088838,523
35,0.088880,"May 04, 2018",0.096299,0.086270,"278,356",0.096011,562
36,0.096049,"May 03, 2018",0.096509,0.083042,"264,297",0.091295,327
37,0.091291,"May 02, 2018",0.092384,0.081473,"238,133",0.082375,445
38,0.082499,"May 01, 2018",0.090654,0.079129,"236,821",0.082041,923
39,0.081969,"Apr 30, 2018",0.092359,0.081552,"240,309",0.083371,303
40,0.083399,"Apr 29, 2018",0.093263,0.082402,"266,369",0.092548,660
41,0.092497,"Apr 28, 2018",0.092874,0.089520,"258,141",0.089822,375
42,0.090058,"Apr 27, 2018",0.096839,0.090058,"277,892",0.096839,248
43,0.096706,"Apr 26, 2018",0.104706,0.091302,"273,554",0.095467,107
44,0.094647,"Apr 25, 2018",0.111951,0.094514,"304,051",0.106266,324
45,0.115747,"Apr 24, 2018",0.119448,0.100999,"298,329",0.104419,858
46,0.104330,"Apr 23, 2018",0.115561,0.097248,"277,667",0.097329,702
47,0.097526,"Apr 22, 2018",0.121455,0.093966,"304,160",0.106773,"1,671"
48,0.106773,"Apr 21, 2018",0.109333,0.088208,"268,519",0.094405,650
49,0.094372,"Apr 20, 2018",0.101156,0.090611,"269,175",0.094779,667
50,0.094717,"Apr 19, 2018",0.094717,0.081586,"232,922",0.082136,436
51,0.082075,"Apr 18, 2018",0.091134,0.078099,"256,749",0.090673,211
52,0.090589,"Apr 17, 2018",0.090706,0.078697,"247,100",0.087396,"4,159"
53,0.087359,"Apr 16, 2018",0.098638,0.084796,"276,899",0.098086,657
54,0.093737,"Apr 15, 2018",0.094523,0.087219,"246,854",0.087576,286
55,0.087482,"Apr 14, 2018",0.102347,0.085110,"277,298",0.098527,351
56,0.098527,"Apr 13, 2018",0.108965,0.097977,"289,387",0.102979,245
57,0.102849,"Apr 12, 2018",0.106163,0.087729,"268,771",0.095788,220
58,0.096020,"Apr 11, 2018",0.096020,0.087095,"267,136",0.095348,231
59,0.095256,"Apr 10, 2018",0.095833,0.084520,"246,085",0.087967,614
60,0.087895,"Apr 09, 2018",0.100224,0.084070,"267,529",0.095778,60
61,0.095623,"Apr 08, 2018",0.098131,0.084928,"242,774",0.087045,542
62,0.086967,"Apr 07, 2018",0.094342,0.083961,"234,172",0.084086,143
63,0.083986,"Apr 06, 2018",0.086766,0.067472,"238,811",0.085871,504
64,0.086311,"Apr 05, 2018",0.104979,0.085227,"249,003",0.089664,256
65,0.089626,"Apr 04, 2018",0.109974,0.088370,"286,290",0.103247,243
66,0.103318,"Apr 03, 2018",0.112366,0.096582,"277,040",0.100059,560
67,0.099988,"Apr 02, 2018",0.104118,0.084663,"235,581",0.085218,341
68,0.084801,"Apr 01, 2018",0.110843,0.080245,"282,641",0.102393,973
69,0.102396,"Mar 31, 2018",0.105673,0.092242,"268,994",0.097597,188
70,0.097582,"Mar 30, 2018",0.107220,0.086361,"237,669",0.086361,"1,017"
71,0.086576,"Mar 29, 2018",0.107283,0.085774,"252,685",0.091954,704
72,0.091846,"Mar 28, 2018",0.108919,0.087441,"270,309",0.098520,731
73,0.098542,"Mar 27, 2018",0.114143,0.088638,"271,861",0.099236,860
74,0.099387,"Mar 26, 2018",0.123230,0.095387,"271,792",0.099364,651
75,0.099441,"Mar 25, 2018",0.107452,0.099092,"289,390",0.105960,456
76,0.107439,"Mar 24, 2018",0.123904,0.104822,"295,897",0.108510,"1,863"
77,0.106561,"Mar 23, 2018",0.110573,0.100553,"289,878",0.106463,150
78,0.106466,"Mar 22, 2018",0.120061,0.100440,"320,084",0.117739,386
