,close,date,high,low,market_cap,open,volume
0,0.099026,"Jun 08, 2018",0.102360,0.096836,"15,021,200",0.101779,"5,556,270"
1,0.101651,"Jun 07, 2018",0.104700,0.099940,"15,007,600",0.101687,"4,715,810"
2,0.101790,"Jun 06, 2018",0.111006,0.098493,"16,149,700",0.109426,"4,026,540"
3,0.109495,"Jun 05, 2018",0.115583,0.104204,"15,808,800",0.107116,"6,266,880"
4,0.107292,"Jun 04, 2018",0.110195,0.098184,"15,587,700",0.105617,"6,242,350"
5,0.106064,"Jun 03, 2018",0.112477,0.105750,"16,010,600",0.108483,"9,858,880"
6,0.108527,"Jun 02, 2018",0.112596,0.107204,"16,043,000",0.108702,"8,687,630"
7,0.108696,"Jun 01, 2018",0.125247,0.106474,"15,916,000",0.107842,"6,262,930"
8,0.107911,"May 31, 2018",0.110809,0.093147,"13,959,400",0.094585,"5,991,140"
9,0.094485,"May 30, 2018",0.102442,0.091271,"14,725,600",0.099776,"3,922,470"
10,0.099353,"May 29, 2018",0.105751,0.078337,"11,604,400",0.078628,"2,838,920"
11,0.078706,"May 28, 2018",0.082980,0.065310,"9,638,900",0.065310,"2,365,250"
12,0.065381,"May 27, 2018",0.090624,0.060782,"12,097,400",0.081968,"2,208,120"
13,0.071328,"May 26, 2018",0.086363,0.059152,"11,833,900",0.080183,"2,820,910"
14,0.080086,"May 25, 2018",0.100233,0.070044,"14,428,100",0.097760,"2,510,450"
15,0.097731,"May 24, 2018",0.105148,0.092524,"15,115,100",0.102415,"3,171,670"
16,0.101966,"May 23, 2018",0.118107,0.095682,"17,001,500",0.115197,"2,931,580"
17,0.114543,"May 22, 2018",0.135276,0.114543,"18,518,000",0.125472,"4,513,570"
18,0.125367,"May 21, 2018",0.130240,0.122523,"19,044,900",0.129043,"6,027,120"
19,0.128937,"May 20, 2018",0.130347,0.119318,"18,344,400",0.124296,"8,202,650"
20,0.124632,"May 19, 2018",0.125726,0.120178,"18,201,300",0.123327,"7,976,560"
21,0.123361,"May 18, 2018",0.124153,0.109171,"16,217,500",0.109885,"7,287,830"
22,0.109776,"May 17, 2018",0.123724,0.096177,"15,066,300",0.102085,"4,803,720"
23,0.102510,"May 16, 2018",0.110199,0.082426,"12,294,600",0.083305,"7,235,650"
24,0.080372,"May 15, 2018",0.082328,0.078232,"11,942,000",0.080915,"4,814,430"
25,0.081048,"May 14, 2018",0.082890,0.075448,"11,848,300",0.080281,"7,730,380"
26,0.080437,"May 13, 2018",0.084211,0.065085,"9,993,020",0.067710,"10,203,800"
27,0.068706,"May 12, 2018",0.069031,0.063326,"9,810,850",0.066475,"4,151,840"
28,0.066724,"May 11, 2018",0.070417,0.063619,"9,900,500",0.067083,"6,585,150"
29,0.067062,"May 10, 2018",0.073152,0.066176,"9,862,760",0.066829,"5,049,060"
30,0.066791,"May 09, 2018",0.068108,0.063414,"9,759,860",0.066160,"5,308,150"
31,0.066196,"May 08, 2018",0.069368,0.054305,"8,679,360",0.058896,"3,763,240"
32,0.058501,"May 07, 2018",0.062383,0.054655,"8,834,420",0.060849,"3,522,170"
33,0.060821,"May 06, 2018",0.070957,0.056111,"9,569,490",0.070793,"3,422,550"
34,0.070763,"May 05, 2018",0.072471,0.068747,"9,304,750",0.069026,"3,918,460"
35,0.068986,"May 04, 2018",0.077421,0.066792,"9,734,310",0.072231,"3,564,740"
36,0.072522,"May 03, 2018",0.076202,0.060061,"8,411,660",0.062415,"3,927,710"
37,0.062326,"May 02, 2018",0.062983,0.053529,"7,202,580",0.053529,"8,996,530"
38,0.053821,"May 01, 2018",0.062604,0.051379,"8,423,780",0.062604,"7,893,930"
39,0.062469,"Apr 30, 2018",0.066172,0.047953,"6,475,070",0.048211,"9,100,420"
