,close,date,high,low,market_cap,open,volume
0,0.406559,"Jun 08, 2018",0.435532,0.367010,"64,462,700",0.425486,"4,826,780"
1,0.424952,"Jun 07, 2018",0.475521,0.413974,"71,111,000",0.469368,"3,033,190"
2,0.468202,"Jun 06, 2018",0.497368,0.444835,"73,806,300",0.487158,"3,666,200"
3,0.485767,"Jun 05, 2018",0.503173,0.456473,"47,989,500",0.479895,"2,571,780"
4,0.481071,"Jun 04, 2018",0.538729,0.467136,"51,460,700",0.514607,"3,845,320"
5,0.514666,"Jun 03, 2018",0.520819,0.468360,"47,823,100",0.478231,"3,563,880"
6,0.478464,"Jun 02, 2018",0.545913,0.459344,"48,137,600",0.481376,"8,101,010"
7,0.484327,"Jun 01, 2018",0.510964,0.380724,-,0.387618,"10,212,600"
8,0.392609,"May 31, 2018",0.393734,0.356588,-,0.360693,"2,160,080"
9,0.360938,"May 30, 2018",0.384703,0.331717,-,0.361137,"2,465,920"
10,0.362569,"May 29, 2018",0.390244,0.328445,-,0.368619,"2,343,600"
11,0.370172,"May 28, 2018",0.384646,0.362879,-,0.378953,"16,839,000"
