,close,date,high,low,market_cap,open,volume
0,3.31,"Jun 08, 2018",3.42,3.31,"7,094,880",3.39,"16,312"
1,3.39,"Jun 07, 2018",3.46,3.33,"7,036,240",3.36,"15,852"
2,3.37,"Jun 06, 2018",3.47,3.30,"7,149,950",3.42,"3,486"
3,3.42,"Jun 05, 2018",3.42,3.25,"6,955,380",3.33,"9,035"
4,3.33,"Jun 04, 2018",3.46,3.29,"7,206,410",3.45,"4,301"
5,3.45,"Jun 03, 2018",3.49,3.42,"7,199,400",3.45,"3,938"
6,3.47,"Jun 02, 2018",3.52,3.36,"7,084,840",3.39,"6,704"
7,3.36,"Jun 01, 2018",3.51,3.35,"7,159,350",3.43,"3,861"
8,3.43,"May 31, 2018",3.47,3.32,"7,216,480",3.46,"11,438"
9,3.46,"May 30, 2018",3.48,3.37,"7,190,490",3.45,"17,413"
10,3.45,"May 29, 2018",3.59,3.40,"7,099,520",3.41,"20,157"
11,3.41,"May 28, 2018",3.49,3.25,"6,925,150",3.33,"21,857"
12,3.32,"May 27, 2018",3.35,3.27,"6,981,370",3.35,"9,122"
13,3.36,"May 26, 2018",3.46,3.31,"7,120,380",3.42,"3,639"
14,3.43,"May 25, 2018",3.53,3.36,"7,245,740",3.48,"4,877"
15,3.48,"May 24, 2018",3.59,3.45,"7,233,580",3.48,"42,144"
16,3.49,"May 23, 2018",3.73,3.49,"7,760,540",3.73,"20,605"
17,3.74,"May 22, 2018",3.87,3.72,"8,039,140",3.87,"7,262"
18,3.87,"May 21, 2018",3.93,3.84,"8,135,930",3.92,"23,389"
19,3.91,"May 20, 2018",3.92,3.78,"7,879,230",3.80,"12,551"
20,3.80,"May 19, 2018",3.91,3.78,"8,047,070",3.88,"6,860"
21,3.86,"May 18, 2018",3.88,3.76,"7,956,390",3.84,"4,494"
22,3.84,"May 17, 2018",4.03,3.82,"8,293,290",4.00,"10,785"
23,4.00,"May 16, 2018",4.13,3.94,"8,544,810",4.13,"23,163"
24,4.13,"May 15, 2018",4.25,4.08,"8,504,330",4.11,"33,060"
25,4.11,"May 14, 2018",4.22,3.98,"8,531,120",4.12,"13,699"
26,4.13,"May 13, 2018",4.16,4.02,"8,476,870",4.10,"11,648"
27,4.10,"May 12, 2018",4.20,4.00,"8,621,180",4.17,"17,759"
28,4.18,"May 11, 2018",4.41,4.14,"9,044,020",4.37,"36,458"
29,4.37,"May 10, 2018",4.61,4.37,"9,477,630",4.59,"12,961"
30,4.58,"May 09, 2018",4.65,4.43,"9,337,300",4.52,"14,820"
31,4.53,"May 08, 2018",4.80,4.52,"9,842,740",4.77,"16,094"
32,4.76,"May 07, 2018",4.87,4.70,"10,038,700",4.86,"15,197"
33,4.86,"May 06, 2018",5.06,4.80,"10,273,800",4.98,"56,850"
34,4.98,"May 05, 2018",4.99,4.65,"9,597,180",4.65,"38,295"
35,4.66,"May 04, 2018",4.78,4.61,"9,862,720",4.78,"17,715"
36,4.79,"May 03, 2018",4.93,4.14,"8,922,040",4.33,"127,564"
37,4.37,"May 02, 2018",4.40,4.04,"8,425,980",4.09,"197,614"
38,4.10,"May 01, 2018",4.19,3.98,"8,619,040",4.19,"6,031"
39,4.18,"Apr 30, 2018",4.22,4.06,"8,470,640",4.12,"7,716"
40,4.15,"Apr 29, 2018",4.24,4.05,"8,580,770",4.17,"6,779"
41,4.17,"Apr 28, 2018",4.20,3.94,"8,613,730",4.19,"8,291"
42,4.20,"Apr 27, 2018",8.37,3.72,"8,463,620",4.12,"78,537"
43,4.11,"Apr 26, 2018",4.20,3.92,"8,328,500",4.06,"8,930"
44,4.04,"Apr 25, 2018",4.38,3.99,"8,917,200",4.34,"27,073"
45,4.37,"Apr 24, 2018",4.39,4.03,"8,399,060",4.09,"35,408"
46,4.09,"Apr 23, 2018",4.12,4.02,"8,409,160",4.10,"8,359"
47,4.10,"Apr 22, 2018",4.15,3.96,"8,245,100",4.02,"13,632"
48,4.05,"Apr 21, 2018",4.21,3.94,"8,497,930",4.15,"19,595"
49,4.15,"Apr 20, 2018",4.24,3.79,"7,773,760",3.80,"74,698"
50,3.79,"Apr 19, 2018",3.85,3.69,"7,576,610",3.70,"12,710"
51,3.70,"Apr 18, 2018",3.77,3.55,"7,287,220",3.56,"10,048"
52,3.56,"Apr 17, 2018",3.71,3.39,"7,186,140",3.51,"15,522"
53,3.57,"Apr 16, 2018",3.78,3.56,"7,706,090",3.77,"9,343"
54,3.77,"Apr 15, 2018",3.82,3.62,"7,401,820",3.62,"13,374"
55,3.62,"Apr 14, 2018",3.71,3.52,"7,195,770",3.52,"12,560"
56,3.52,"Apr 13, 2018",3.79,3.47,"7,309,280",3.58,"38,410"
57,3.58,"Apr 12, 2018",3.58,3.03,"6,259,140",3.07,"25,428"
58,3.08,"Apr 11, 2018",3.15,2.99,"6,206,200",3.04,"21,515"
