,close,date,high,low,market_cap,open,volume
0,0.140098,"Jun 08, 2018",0.141873,0.138242,"141,146,000",0.141287,"4,065,150"
1,0.141574,"Jun 07, 2018",0.147624,0.140762,"141,822,000",0.141964,"4,355,720"
2,0.140948,"Jun 06, 2018",0.146876,0.138035,"146,421,000",0.146568,"4,335,750"
3,0.146617,"Jun 05, 2018",0.146617,0.139828,"141,758,000",0.141900,"4,236,000"
4,0.141921,"Jun 04, 2018",0.149310,0.137500,"147,792,000",0.147940,"4,742,630"
5,0.147767,"Jun 03, 2018",0.150602,0.144607,"147,814,000",0.147962,"4,092,410"
6,0.147912,"Jun 02, 2018",0.149337,0.131242,"133,763,000",0.133897,"5,737,830"
7,0.133937,"Jun 01, 2018",0.135442,0.130859,"133,506,000",0.133640,"2,873,320"
8,0.133451,"May 31, 2018",0.135552,0.131190,"132,645,000",0.132778,"2,866,040"
9,0.133012,"May 30, 2018",0.138303,0.130454,"135,601,000",0.135737,"1,582,630"
10,0.135837,"May 29, 2018",0.138135,0.126153,"127,901,000",0.128029,"2,846,240"
11,0.127939,"May 28, 2018",0.142362,0.127744,"137,441,000",0.137578,"3,031,110"
12,0.137419,"May 27, 2018",0.138004,0.132666,"134,736,000",0.134871,"2,230,530"
13,0.134923,"May 26, 2018",0.138354,0.133335,"135,115,000",0.135251,"2,091,090"
14,0.135254,"May 25, 2018",0.140832,0.133109,"139,284,000",0.139424,"2,766,820"
15,0.140156,"May 24, 2018",0.144722,0.131412,"138,960,000",0.139099,"2,528,280"
16,0.139384,"May 23, 2018",0.153400,0.135068,"152,573,000",0.152726,"3,310,480"
17,0.153176,"May 22, 2018",0.171826,0.153176,"165,658,000",0.165824,"4,084,860"
18,0.165673,"May 21, 2018",0.167345,0.162574,"164,753,000",0.164918,"2,954,870"
19,0.164774,"May 20, 2018",0.166098,0.155819,"156,660,000",0.156817,"2,784,570"
20,0.156728,"May 19, 2018",0.163154,0.155937,"160,370,000",0.160531,"2,691,630"
21,0.160473,"May 18, 2018",0.161760,0.152899,"157,404,000",0.157562,"2,965,610"
22,0.157065,"May 17, 2018",0.169367,0.157065,"165,869,000",0.166035,"3,030,760"
23,0.166071,"May 16, 2018",0.171077,0.160990,"170,906,000",0.171077,"3,164,080"
24,0.170981,"May 15, 2018",0.183564,0.169294,"178,823,000",0.179002,"3,533,930"
25,0.179563,"May 14, 2018",0.185210,0.169918,"184,459,000",0.184644,"3,124,120"
26,0.185096,"May 13, 2018",0.187910,0.173083,"174,510,000",0.174685,"2,061,280"
27,0.174723,"May 12, 2018",0.179320,0.161983,"173,234,000",0.173408,"2,785,840"
28,0.173370,"May 11, 2018",0.199885,0.167311,"199,686,000",0.199885,"5,214,790"
29,0.199802,"May 10, 2018",0.218527,0.199722,"211,640,000",0.211851,"2,887,740"
30,0.212135,"May 09, 2018",0.216177,0.203390,"215,961,000",0.216177,"2,556,340"
31,0.217447,"May 08, 2018",0.230705,0.209488,"222,144,000",0.222367,"4,136,320"
32,0.222416,"May 07, 2018",0.234202,0.213372,"229,986,000",0.230217,"5,561,360"
33,0.230404,"May 06, 2018",0.240844,0.224905,"239,315,000",0.239555,"5,576,880"
34,0.239381,"May 05, 2018",0.248041,0.238135,"246,299,000",0.246546,"5,706,580"
35,0.247280,"May 04, 2018",0.253224,0.240313,"249,208,000",0.249457,"8,281,530"
36,0.249701,"May 03, 2018",0.257298,0.239276,"248,077,000",0.248325,"15,859,400"
37,0.249248,"May 02, 2018",0.261649,0.235770,"237,239,000",0.237476,"18,600,500"
38,0.237214,"May 01, 2018",0.238730,0.206623,"218,752,000",0.218971,"14,120,200"
39,0.219956,"Apr 30, 2018",0.232149,0.208242,"211,122,000",0.211334,"8,055,170"
40,0.211574,"Apr 29, 2018",0.215316,0.204809,"211,373,000",0.211585,"3,781,290"
41,0.210725,"Apr 28, 2018",0.215279,0.199060,"199,730,000",0.199929,"3,712,840"
42,0.200440,"Apr 27, 2018",0.218887,0.200440,"206,281,000",0.206488,"6,994,000"
43,0.206426,"Apr 26, 2018",0.207228,0.181392,"186,262,000",0.186448,"4,877,330"
44,0.186017,"Apr 25, 2018",0.228344,0.182924,"228,116,000",0.228344,"6,820,710"
45,0.227561,"Apr 24, 2018",0.232204,0.202049,"202,805,000",0.203008,"6,687,920"
