,close,date,high,low,market_cap,open,volume
0,0.019076,"Jun 08, 2018",0.020695,0.018180,"163,254",0.019206,372
1,0.019192,"Jun 07, 2018",0.023186,0.019185,"188,739",0.022205,446
2,0.022184,"Jun 06, 2018",0.022299,0.019503,"168,488",0.019822,312
3,0.019828,"Jun 05, 2018",0.019863,0.019191,"165,801",0.019506,20
4,0.019497,"Jun 04, 2018",0.021579,0.019424,"170,367",0.020043,542
5,0.020034,"Jun 03, 2018",0.021417,0.019987,"175,220",0.020614,"1,217"
6,0.020608,"Jun 02, 2018",0.022246,0.019787,"178,896",0.021046,"1,048"
7,0.021056,"Jun 01, 2018",0.029257,0.017102,"171,933",0.020227,"8,739"
8,0.020213,"May 31, 2018",0.024278,0.017634,"181,983",0.021410,"1,633"
9,0.017722,"May 30, 2018",0.027797,0.017221,"164,968",0.019408,149
10,0.019395,"May 29, 2018",0.027767,0.015525,"157,319",0.018508,"5,194"
11,0.016378,"May 28, 2018",0.019592,0.015968,"143,603",0.016894,"1,872"
12,0.016890,"May 27, 2018",0.024172,0.012462,"187,045",0.022005,"6,143"
13,0.021996,"May 26, 2018",0.035013,0.021877,"190,433",0.022404,"19,676"
14,0.022433,"May 25, 2018",0.028312,0.021914,"218,564",0.025713,698
15,0.025665,"May 24, 2018",0.026509,0.021867,"223,706",0.026318,"2,300"
16,0.026385,"May 23, 2018",0.030163,0.023434,"224,496",0.026411,"6,350"
17,0.026439,"May 22, 2018",0.034118,0.026408,"257,275",0.030268,"18,706"
18,0.029432,"May 21, 2018",0.051060,0.020365,"188,456",0.022171,"128,303"
19,0.022144,"May 20, 2018",0.023891,0.019583,"182,224",0.021438,"1,051"
20,0.021422,"May 19, 2018",0.027569,0.021347,"189,084",0.022245,"5,805"
21,0.022249,"May 18, 2018",0.052113,0.019130,"178,525",0.021003,"95,554"
22,0.020984,"May 17, 2018",0.025961,0.020807,"219,979",0.025880,"1,423"
23,0.025864,"May 16, 2018",0.025864,0.019630,"194,758",0.022913,761
24,0.022926,"May 15, 2018",0.027133,0.020372,"228,572",0.026891,682
25,0.026937,"May 14, 2018",0.027420,0.019985,"184,669",0.021726,"3,094"
