,close,date,high,low,market_cap,open,volume
0,11.10,"Jun 08, 2018",11.50,11.00,"1,167,170,000",11.44,"37,601,400"
1,11.43,"Jun 07, 2018",11.98,11.06,"1,128,840,000",11.06,"44,687,900"
2,11.07,"Jun 06, 2018",11.36,10.80,"1,155,730,000",11.33,"48,931,100"
3,11.31,"Jun 05, 2018",11.48,10.64,"1,134,240,000",11.12,"48,334,800"
4,11.10,"Jun 04, 2018",12.01,10.92,"1,203,370,000",11.79,"57,932,500"
5,11.78,"Jun 03, 2018",12.30,11.55,"1,178,560,000",11.55,"65,306,600"
6,11.55,"Jun 02, 2018",11.83,10.71,"1,102,800,000",10.81,"79,031,200"
7,10.81,"Jun 01, 2018",10.84,10.37,"1,077,620,000",10.56,"58,000,500"
8,10.55,"May 31, 2018",10.89,10.29,"1,051,800,000",10.31,"50,501,700"
9,10.33,"May 30, 2018",10.84,9.98,"1,073,780,000",10.52,"45,997,000"
10,10.52,"May 29, 2018",10.75,9.56,"983,546,000",9.64,"45,009,000"
11,9.64,"May 28, 2018",10.59,9.61,"1,063,430,000",10.42,"36,995,300"
12,10.42,"May 27, 2018",10.78,10.28,"1,100,300,000",10.78,"39,393,500"
13,10.78,"May 26, 2018",11.16,10.55,"1,093,210,000",10.71,"35,272,400"
14,10.72,"May 25, 2018",11.48,10.61,"1,141,530,000",11.19,"40,454,300"
15,11.15,"May 24, 2018",11.34,10.22,"1,085,020,000",10.63,"47,290,900"
16,10.65,"May 23, 2018",11.60,10.13,"1,174,210,000",11.51,"46,023,500"
17,11.53,"May 22, 2018",12.91,11.47,"1,282,710,000",12.57,"27,751,100"
18,12.57,"May 21, 2018",13.13,12.32,"1,330,240,000",13.04,"28,183,300"
19,13.02,"May 20, 2018",13.24,12.41,"1,277,440,000",12.52,"37,409,600"
20,12.51,"May 19, 2018",12.88,12.37,"1,277,530,000",12.52,"32,444,300"
21,12.52,"May 18, 2018",12.78,12.11,"1,263,020,000",12.38,"38,880,800"
22,12.41,"May 17, 2018",13.58,12.29,"1,343,440,000",13.17,"38,815,700"
23,13.17,"May 16, 2018",13.55,12.83,"1,382,200,000",13.55,"32,027,500"
24,13.57,"May 15, 2018",14.48,13.52,"1,452,840,000",14.24,"32,125,800"
25,14.25,"May 14, 2018",14.60,13.31,"1,454,160,000",14.25,"46,665,600"
26,14.28,"May 13, 2018",14.65,13.43,"1,400,340,000",13.72,"39,654,500"
27,13.70,"May 12, 2018",14.11,12.63,"1,360,280,000",13.33,"39,982,700"
28,13.37,"May 11, 2018",15.30,13.16,"1,561,140,000",15.30,"58,339,000"
