,close,date,high,low,market_cap,open,volume
0,0.008760,"Jun 08, 2018",0.009636,0.008160,"968,734",0.009065,"3,721"
1,0.008598,"Jun 07, 2018",0.008852,0.008307,"899,593",0.008421,"1,172"
2,0.008413,"Jun 06, 2018",0.009682,0.007890,"952,679",0.008920,"3,233"
3,0.008922,"Jun 05, 2018",0.008974,0.008255,"957,160",0.008964,"1,316"
4,0.008960,"Jun 04, 2018",0.009471,0.008722,"987,480",0.009251,"1,014"
5,0.009246,"Jun 03, 2018",0.010100,0.008402,"1,075,490",0.010078,"4,302"
6,0.010075,"Jun 02, 2018",0.010702,0.010019,"1,074,600",0.010072,"1,037"
7,0.010077,"Jun 01, 2018",0.010482,0.009723,"1,039,420",0.009745,"9,226"
8,0.009738,"May 31, 2018",0.011740,0.008972,"976,155",0.009155,"2,630"
9,0.009156,"May 30, 2018",0.009842,0.008855,"955,176",0.008960,"1,644"
10,0.008954,"May 29, 2018",0.009526,0.008701,"940,731",0.008827,"2,263"
11,0.008830,"May 28, 2018",0.009583,0.008458,"978,284",0.009182,"2,031"
12,0.009180,"May 27, 2018",0.009518,0.009157,"992,268",0.009316,981
13,0.009311,"May 26, 2018",0.009905,0.009143,"1,002,030",0.009410,"2,440"
14,0.009422,"May 25, 2018",0.010286,0.008848,"1,095,070",0.010286,"5,725"
15,0.010267,"May 24, 2018",0.010906,0.009544,"1,064,440",0.010001,"4,376"
16,0.010026,"May 23, 2018",0.011069,0.009944,"1,158,170",0.010885,"1,462"
17,0.010896,"May 22, 2018",0.011725,0.010896,"1,216,320",0.011434,"2,628"
18,0.011437,"May 21, 2018",0.012714,0.011308,"1,224,250",0.011512,"3,955"
19,0.011498,"May 20, 2018",0.012357,0.010577,"1,139,610",0.010719,"3,300"
20,0.010711,"May 19, 2018",0.011715,0.010509,"1,243,500",0.011699,"1,185"
21,0.011701,"May 18, 2018",0.012676,0.011201,"1,287,550",0.012117,"1,158"
22,0.011945,"May 17, 2018",0.012717,0.011160,"1,294,800",0.012189,"2,596"
23,0.012181,"May 16, 2018",0.012763,0.010933,"1,288,800",0.012135,"2,644"
24,0.012142,"May 15, 2018",0.013652,0.012142,"1,384,790",0.013043,"2,409"
25,0.013065,"May 14, 2018",0.013391,0.011956,"1,355,970",0.012775,"2,286"
26,0.012777,"May 13, 2018",0.014001,0.012145,"1,446,690",0.013633,"4,035"
