,close,date,high,low,market_cap,open,volume
0,0.030522,"Jun 08, 2018",0.030793,0.022750,"3,228,520",0.023048,103
1,0.023030,"Jun 07, 2018",0.030911,0.022952,"3,216,560",0.022962,"4,660"
2,0.022941,"Jun 06, 2018",0.030513,0.015189,"2,135,920",0.015248,"31,106"
3,0.015252,"Jun 05, 2018",0.030361,0.014763,"4,203,710",0.030009,"31,105"
4,0.029995,"Jun 04, 2018",0.037700,0.022437,"3,284,400",0.023446,"15,700"
5,0.030019,"Jun 03, 2018",0.033418,0.023403,"4,293,560",0.030651,"1,378"
6,0.030645,"Jun 02, 2018",0.030743,0.022872,"4,246,330",0.030314,"5,371"
7,0.030326,"Jun 01, 2018",0.030675,0.022788,"4,211,320",0.030064,"3,156"
8,0.030040,"May 31, 2018",0.042196,0.028450,"4,665,120",0.033303,"2,213"
9,0.034506,"May 30, 2018",0.035066,0.021916,"4,220,940",0.030132,538
10,0.030112,"May 29, 2018",0.037279,0.022229,"4,985,820",0.035592,"17,892"
11,0.035604,"May 28, 2018",0.037052,0.028448,"5,128,770",0.036613,"5,391"
12,0.036927,"May 27, 2018",0.039201,0.030836,"5,338,140",0.038108,"7,153"
13,0.038047,"May 26, 2018",0.043606,0.030703,"4,318,080",0.030826,"2,296"
14,0.039965,"May 25, 2018",0.040466,0.030597,"5,236,010",0.037379,"27,424"
15,0.037316,"May 24, 2018",0.045310,0.030775,"5,261,350",0.037559,"1,720"
16,0.037655,"May 23, 2018",0.058209,0.030115,"8,088,910",0.057745,"18,477"
17,0.057855,"May 22, 2018",0.063245,0.029131,"5,855,130",0.041798,"15,395"
18,0.041806,"May 21, 2018",0.042553,0.032434,"4,778,100",0.034110,"3,518"
19,0.034067,"May 20, 2018",0.042688,0.033015,"5,775,120",0.041227,47
20,0.041196,"May 19, 2018",0.041836,0.033378,"5,731,030",0.040912,"2,647"
21,0.040919,"May 18, 2018",0.041052,0.031794,"5,657,880",0.040390,"2,018"
22,0.040355,"May 17, 2018",0.048142,0.032316,"6,699,760",0.047828,713
23,0.047786,"May 16, 2018",0.047786,0.032826,"5,943,740",0.042431,331
24,0.042455,"May 15, 2018",0.044096,0.034166,"6,075,620",0.043372,"3,237"
25,0.043447,"May 14, 2018",0.050782,0.033528,"7,101,900",0.050699,"6,694"
