,close,date,high,low,market_cap,open,volume
0,0.898195,"Jun 08, 2018",0.966746,0.819543,"28,583,200",0.952774,"67,191"
1,0.951188,"Jun 07, 2018",1.00,0.910921,"29,068,200",0.968941,"51,420"
2,0.969230,"Jun 06, 2018",1.03,0.943445,"30,783,900",1.03,"51,431"
3,1.03,"Jun 05, 2018",1.03,0.906705,"27,833,200",0.927775,"23,094"
4,0.927836,"Jun 04, 2018",1.11,0.913279,"32,825,400",1.09,"29,072"
5,1.10,"Jun 03, 2018",1.11,0.950900,"31,148,300",1.04,"101,945"
6,1.04,"Jun 02, 2018",1.16,0.968902,"29,189,900",0.972997,"126,249"
7,0.973152,"Jun 01, 2018",1.02,0.806673,"24,747,400",0.824913,"149,874"
8,0.823334,"May 31, 2018",0.851119,0.792537,"23,917,500",0.797249,"16,788"
9,0.797872,"May 30, 2018",1.00,0.779507,"24,333,500",0.811116,"59,206"
10,0.810474,"May 29, 2018",0.849016,0.628221,"19,593,700",0.653124,"252,726"
11,0.653494,"May 28, 2018",0.824181,0.653474,"21,642,000",0.721402,"48,931"
12,0.718907,"May 27, 2018",0.728241,0.663070,"19,892,100",0.663070,"2,839"
13,0.662683,"May 26, 2018",0.834956,0.662292,"23,429,100",0.780970,"38,983"
14,0.781138,"May 25, 2018",0.881382,0.660907,"20,309,200",0.676974,"129,337"
15,0.677360,"May 24, 2018",0.680566,0.538470,"17,196,300",0.573211,"26,381"
16,0.574631,"May 23, 2018",0.690288,0.544535,"20,477,400",0.682578,"37,684"
17,0.684182,"May 22, 2018",0.737705,0.660334,"21,148,900",0.704965,"70,147"
18,0.705855,"May 21, 2018",0.765397,0.671148,"22,924,400",0.764147,"24,365"
19,0.763207,"May 20, 2018",0.771847,0.704998,"21,374,100",0.712471,"56,654"
20,0.711771,"May 19, 2018",0.725489,0.660589,"21,693,400",0.723113,"27,279"
21,0.723204,"May 18, 2018",0.726053,0.615483,"18,862,600",0.628753,"63,642"
22,0.628929,"May 17, 2018",0.723232,0.616984,"20,810,700",0.693692,"21,176"
23,0.691079,"May 16, 2018",0.706487,0.615891,"21,022,200",0.700741,"30,024"
24,0.700797,"May 15, 2018",0.754994,0.686809,"21,857,700",0.728592,"72,212"
25,0.729654,"May 14, 2018",0.750422,0.662528,"21,705,000",0.723501,"69,239"
26,0.724918,"May 13, 2018",0.759900,0.666300,"20,858,700",0.695290,"25,566"
27,0.698553,"May 12, 2018",0.704297,0.515766,"19,916,200",0.663874,"153,618"
28,0.666239,"May 11, 2018",0.763884,0.603001,"22,433,000",0.747768,"35,217"
29,0.749188,"May 10, 2018",0.760122,0.631360,"19,569,600",0.652319,"64,786"
30,0.651869,"May 09, 2018",0.706941,0.624047,"20,623,900",0.687465,"21,303"
31,0.688943,"May 08, 2018",0.700164,0.639937,"20,018,900",0.667298,"49,545"
32,0.667144,"May 07, 2018",0.804920,0.626653,"23,921,600",0.797386,"29,170"
33,0.796580,"May 06, 2018",0.815509,0.681360,"21,574,500",0.719151,"68,065"
34,0.719910,"May 05, 2018",0.729924,0.647978,"19,959,700",0.665322,"34,490"
35,0.667387,"May 04, 2018",0.681224,0.587525,"20,046,200",0.668205,"58,966"
36,0.666010,"May 03, 2018",0.695497,0.623231,"20,734,100",0.691135,"39,999"
37,0.690733,"May 02, 2018",0.739306,0.496866,"21,383,400",0.712780,"69,153"
38,0.717332,"May 01, 2018",0.717332,0.536065,"18,455,900",0.615197,"52,377"
39,0.612619,"Apr 30, 2018",0.779230,0.581892,"23,257,800",0.775261,"38,619"
40,0.769533,"Apr 29, 2018",0.774340,0.649900,"21,691,400",0.723048,"98,249"
41,0.722646,"Apr 28, 2018",0.731939,0.633722,"20,614,600",0.687153,"50,563"
42,0.688506,"Apr 27, 2018",0.734818,0.635508,"19,536,600",0.651220,"36,078"
43,0.648635,"Apr 26, 2018",0.648635,0.560116,"17,320,600",0.577352,"26,601"
44,0.567479,"Apr 25, 2018",0.730673,0.520637,"21,920,200",0.730673,"65,247"
45,0.697028,"Apr 24, 2018",0.755645,0.630480,"19,107,800",0.636928,"44,404"
46,0.636172,"Apr 23, 2018",0.648142,0.569311,"17,635,200",0.587840,"42,105"
47,0.590391,"Apr 22, 2018",0.633589,0.542444,"16,673,200",0.555775,"34,428"
48,0.555673,"Apr 21, 2018",0.605672,0.509329,"17,941,600",0.598052,"6,802"
49,0.599685,"Apr 20, 2018",0.603549,0.439664,"14,111,300",0.470378,"28,142"
50,0.469384,"Apr 19, 2018",0.474270,0.442285,"13,985,900",0.466197,"46,095"
51,0.465700,"Apr 18, 2018",0.470210,0.417708,"12,963,800",0.432127,"9,212"
52,0.430187,"Apr 17, 2018",0.508615,0.349401,"14,261,900",0.475397,"62,445"
53,0.474918,"Apr 16, 2018",0.474918,0.377988,"13,269,500",0.442316,"24,278"
54,0.442970,"Apr 15, 2018",0.504403,0.340700,"11,656,300",0.388544,"66,952"
55,0.388381,"Apr 14, 2018",0.564373,0.263088,"16,312,100",0.543738,"223,723"
56,0.543743,"Apr 13, 2018",0.620437,0.427591,"16,912,400",0.563747,"102,548"
57,0.562144,"Apr 12, 2018",0.576667,0.375356,"14,671,600",0.489053,"142,610"
58,0.493607,"Apr 11, 2018",0.493607,0.347750,"10,450,500",0.348352,"29,288"
59,0.348373,"Apr 10, 2018",0.363195,0.338712,"10,676,200",0.355874,"2,859"
60,0.355481,"Apr 09, 2018",0.372652,0.335634,"10,859,200",0.361974,"19,729"
61,0.361852,"Apr 08, 2018",0.369406,0.355768,"10,751,400",0.358379,"2,717"
62,0.357807,"Apr 07, 2018",0.384208,0.356981,"10,961,900",0.365395,"20,763"
63,0.365511,"Apr 06, 2018",0.393967,0.359582,"11,760,400",0.392014,"2,157"
64,0.392947,"Apr 05, 2018",0.396527,0.349346,"10,891,400",0.363047,"1,032"
65,0.363121,"Apr 04, 2018",0.368794,0.338070,"10,998,700",0.366622,"2,571"
66,0.367322,"Apr 03, 2018",0.372836,0.344763,"11,098,900",0.369962,"5,708"
67,0.371087,"Apr 02, 2018",0.371087,0.340853,"10,401,300",0.346711,"7,322"
68,0.345623,"Apr 01, 2018",0.410039,0.322887,"12,181,300",0.406044,"15,920"
69,0.406317,"Mar 31, 2018",0.408465,0.367014,"11,338,200",0.377940,"2,926"
