,close,date,high,low,market_cap,open,volume
0,0.065913,"Jun 08, 2018",0.068727,0.057791,"5,589,880",0.066002,"87,608"
1,0.065935,"Jun 07, 2018",0.079739,0.065851,"5,482,190",0.079627,"148,286"
2,0.079599,"Jun 06, 2018",0.080782,0.071546,"5,089,250",0.076131,"36,986"
3,0.074067,"Jun 05, 2018",0.081461,0.066293,"4,923,550",0.073652,"78,842"
4,0.073626,"Jun 04, 2018",0.082256,0.067669,"5,255,270",0.078614,"151,078"
5,0.076722,"Jun 03, 2018",0.090724,0.076722,"5,417,060",0.081034,"36,283"
6,0.081073,"Jun 02, 2018",0.091986,0.078215,"6,149,140",0.091986,"45,571"
7,0.089461,"Jun 01, 2018",0.100739,0.085912,"6,184,300",0.092512,"64,469"
8,0.092382,"May 31, 2018",0.117832,0.084109,"6,314,190",0.094455,"116,523"
9,0.093744,"May 30, 2018",0.106201,0.089035,"6,346,060",0.099392,"70,419"
10,0.099326,"May 29, 2018",0.131412,0.088308,"6,955,790",0.109801,"181,198"
11,0.109935,"May 28, 2018",0.120468,0.086028,"7,546,790",0.119603,"165,512"
12,0.118695,"May 27, 2018",0.125792,0.115082,"7,679,200",0.121701,"55,417"
13,0.122126,"May 26, 2018",0.132588,0.121811,"7,945,470",0.125921,"53,148"
14,0.126245,"May 25, 2018",0.140479,0.123938,"8,790,690",0.139316,"113,844"
15,0.139953,"May 24, 2018",0.145935,0.112636,"8,796,660",0.139411,"178,023"
16,0.140447,"May 23, 2018",0.163853,0.127190,"10,276,300",0.162860,"200,672"
17,0.167509,"May 22, 2018",0.176919,0.144698,"9,840,650",0.155956,"285,791"
18,0.156123,"May 21, 2018",0.158920,0.142330,"9,054,590",0.143498,"170,515"
