,close,date,high,low,market_cap,open,volume
0,0.049534,"Jun 08, 2018",0.052969,0.048867,-,0.049862,"246,371"
1,0.049817,"Jun 07, 2018",0.054030,0.048339,-,0.052088,"276,114"
2,0.052050,"Jun 06, 2018",0.060445,0.049632,-,0.053377,"324,653"
3,0.052750,"Jun 05, 2018",0.054624,0.046624,-,0.046624,"463,267"
4,0.046608,"Jun 04, 2018",0.066038,0.046608,-,0.064887,"533,195"
5,0.065397,"Jun 03, 2018",0.070164,0.059410,-,0.068683,"550,290"
6,0.068693,"Jun 02, 2018",0.075611,0.063547,-,0.074361,"384,308"
7,0.074390,"Jun 01, 2018",0.090916,0.066656,-,0.077644,"779,562"
8,0.076288,"May 31, 2018",0.083670,0.063506,-,0.081269,"719,666"
9,0.081297,"May 30, 2018",0.087263,0.063779,-,0.085243,"431,329"
10,0.085922,"May 29, 2018",0.104714,0.081540,-,0.096275,"1,762,200"
11,0.095380,"May 28, 2018",0.141244,0.082814,-,0.129618,"4,656,680"
12,0.130102,"May 27, 2018",0.154104,0.051904,-,0.051983,"4,936,450"
13,0.051802,"May 26, 2018",0.061875,0.048539,-,0.059017,"459,625"
14,0.059073,"May 25, 2018",0.063964,0.057017,-,0.062875,"362,144"
15,0.062053,"May 24, 2018",0.067155,0.058726,-,0.064819,"648,166"
16,0.065624,"May 23, 2018",0.082768,0.060707,-,0.067292,"1,114,990"
17,0.068146,"May 22, 2018",0.072797,0.068146,-,0.071727,"933,787"
