,close,date,high,low,market_cap,open,volume
0,0.028086,"Jun 08, 2018",0.028645,0.022335,"340,168",0.028586,64
1,0.028565,"Jun 07, 2018",0.028706,0.022778,"271,192",0.022790,30
2,0.022222,"Jun 05, 2018",0.022456,0.022112,"266,909",0.022432,13
3,0.022421,"Jun 04, 2018",0.022558,0.022338,"268,400",0.022558,13
4,0.022381,"Jun 02, 2018",0.022476,0.021900,"262,029",0.022024,79
5,0.022033,"Jun 01, 2018",0.022083,0.021161,"252,241",0.021201,78
6,0.021186,"May 31, 2018",0.029587,0.021056,"342,550",0.028792,19
7,0.028798,"May 30, 2018",0.028810,0.018844,"228,233",0.019184,10
8,0.019171,"May 29, 2018",0.021683,0.018836,"245,222",0.020612,3
9,0.020619,"May 28, 2018",0.021275,0.018906,"229,824",0.019318,58
10,0.019314,"May 27, 2018",0.019369,0.019025,"229,498",0.019291,7
11,0.019283,"May 26, 2018",0.022105,0.019179,"262,968",0.022105,19
12,0.022134,"May 25, 2018",0.030472,0.021852,"358,281",0.030118,20
13,0.030061,"May 24, 2018",0.030345,0.021204,"260,324",0.021884,47
14,0.021939,"May 23, 2018",0.025381,0.019593,"242,776",0.020409,114
15,0.020430,"May 22, 2018",0.027112,0.020411,"304,737",0.025618,268
16,0.025623,"May 21, 2018",0.035465,0.021592,"406,879",0.034206,79
17,0.034163,"May 20, 2018",0.039066,0.033755,"408,003",0.034301,13
18,0.034275,"May 19, 2018",0.034275,0.026974,"323,394",0.027189,7
19,0.027193,"May 18, 2018",0.029203,0.026466,"347,342",0.029203,54
20,0.029177,"May 17, 2018",0.033805,0.027973,"397,753",0.033442,7
21,0.033422,"May 16, 2018",0.033483,0.025058,"350,164",0.029441,93
22,0.029458,"May 15, 2018",0.037041,0.029441,"434,320",0.036524,339
23,0.036155,"May 12, 2018",0.036781,0.034192,"406,556",0.034192,4
24,0.034293,"May 11, 2018",0.042802,0.034067,"505,085",0.042480,29
25,0.042429,"May 10, 2018",0.044521,0.036466,"434,493",0.036544,258
26,0.036554,"May 09, 2018",0.036678,0.031834,"384,984",0.032380,26
27,0.032430,"May 08, 2018",0.033087,0.031935,"390,055",0.032808,94
28,0.032738,"May 07, 2018",0.039436,0.032254,"468,610",0.039416,105
29,0.039388,"May 06, 2018",0.046031,0.038722,"525,817",0.044229,81
30,0.044199,"May 05, 2018",0.047658,0.043713,"553,092",0.046525,97
31,0.046547,"May 04, 2018",0.048109,0.026568,"546,516",0.045972,"1,723"
32,0.045990,"May 03, 2018",0.046211,0.043063,"514,045",0.043242,140
33,0.043241,"May 02, 2018",0.054849,0.037024,"513,964",0.043236,"1,418"
34,0.043302,"May 01, 2018",0.043302,0.033454,"414,638",0.034882,54
35,0.034851,"Apr 30, 2018",0.044646,0.034674,"528,587",0.044469,60
36,0.044484,"Apr 29, 2018",0.045055,0.043503,"525,421",0.044204,129
37,0.044221,"Apr 28, 2018",0.044330,0.035838,"427,064",0.035930,223
38,0.036054,"Apr 27, 2018",0.041965,0.036054,"454,166",0.038211,73
39,0.038158,"Apr 26, 2018",0.038243,0.034338,"412,057",0.034669,56
40,0.034384,"Apr 25, 2018",0.045786,0.034336,"541,454",0.045557,27
41,0.045869,"Apr 24, 2018",0.045869,0.037004,"445,534",0.037488,250
42,0.037456,"Apr 23, 2018",0.037840,0.035157,"418,171",0.035186,32
43,0.035257,"Apr 22, 2018",0.036077,0.034049,"422,569",0.035557,85
44,0.035557,"Apr 21, 2018",0.036048,0.034713,"422,031",0.035513,9
45,0.035501,"Apr 20, 2018",0.038320,0.034150,"438,017",0.036859,59
46,0.036835,"Apr 19, 2018",0.038153,0.032496,"387,816",0.032636,215
47,0.032612,"Apr 18, 2018",0.032747,0.031183,"371,456",0.031260,61
48,0.031231,"Apr 17, 2018",0.032517,0.031129,"385,956",0.032481,29
49,0.032465,"Apr 16, 2018",0.034347,0.028403,"405,837",0.034155,106
50,0.034169,"Apr 15, 2018",0.034326,0.023629,"373,036",0.031395,76
51,0.031362,"Apr 14, 2018",0.032192,0.030886,"368,239",0.030992,31
52,0.030992,"Apr 13, 2018",0.032111,0.029501,"355,900",0.029955,266
53,0.029917,"Apr 12, 2018",0.030058,0.018360,"218,702",0.018408,550
54,0.018453,"Apr 11, 2018",0.032346,0.017572,"331,607",0.027912,470
55,0.027885,"Apr 10, 2018",0.031734,0.019475,"232,970",0.019610,240
