,close,date,high,low,market_cap,open,volume
0,0.001170,"Jun 08, 2018",0.001251,0.001065,"568,701",0.001161,261
1,0.001160,"Jun 07, 2018",0.001231,0.001091,"563,812",0.001151,57
2,0.001150,"Jun 06, 2018",0.001220,0.000916,"562,468",0.001148,628
3,0.001148,"Jun 05, 2018",0.001258,0.001048,"615,789",0.001257,155
4,0.001256,"Jun 04, 2018",0.001266,0.001053,"566,566",0.001156,544
5,0.001156,"Jun 03, 2018",0.001236,0.001077,"598,527",0.001222,132
6,0.001221,"Jun 02, 2018",0.001226,0.001131,"593,468",0.001211,50
7,0.001212,"Jun 01, 2018",0.001252,0.001122,"557,974",0.001139,269
8,0.001138,"May 31, 2018",0.001162,0.001050,"542,572",0.001107,185
9,0.001108,"May 30, 2018",0.001231,0.001051,"596,378",0.001217,396
10,0.001216,"May 29, 2018",0.001277,0.001075,"582,448",0.001189,379
11,0.001189,"May 28, 2018",0.001277,0.001079,"541,416",0.001105,321
12,0.001105,"May 27, 2018",0.001304,0.001100,"638,772",0.001304,727
13,0.001303,"May 26, 2018",0.001461,0.001203,"686,006",0.001400,148
14,0.001402,"May 25, 2018",0.001418,0.001200,"597,275",0.001219,171
15,0.001217,"May 24, 2018",0.001319,0.001055,"630,581",0.001287,576
16,0.001290,"May 23, 2018",0.001600,0.001280,"783,783",0.001600,244
17,0.001602,"May 22, 2018",0.002116,0.001399,"743,562",0.001518,428
18,0.001518,"May 21, 2018",0.001518,0.001418,"710,189",0.001450,148
19,0.001448,"May 20, 2018",0.001519,0.001444,"727,095",0.001484,29
20,0.001483,"May 19, 2018",0.001504,0.001308,"677,992",0.001384,322
21,0.001384,"May 18, 2018",0.001462,0.001277,"635,238",0.001297,101
22,0.001296,"May 17, 2018",0.001604,0.001289,"713,384",0.001456,259
23,0.001455,"May 16, 2018",0.001455,0.001383,"706,714",0.001443,19
24,0.001443,"May 15, 2018",0.001501,0.001363,"681,372",0.001391,990
25,0.001393,"May 14, 2018",0.001568,0.001338,"766,279",0.001564,200
26,0.001565,"May 13, 2018",0.001576,0.001343,"705,169",0.001440,35
27,0.001440,"May 12, 2018",0.001453,0.001318,"657,845",0.001343,86
28,0.001347,"May 11, 2018",0.001628,0.001338,"797,435",0.001628,606
29,0.001626,"May 10, 2018",0.001776,0.001598,"789,699",0.001612,"1,032"
30,0.001613,"May 09, 2018",0.001747,0.001462,"814,457",0.001663,846
31,0.001666,"May 08, 2018",0.001702,0.001549,"825,744",0.001686,471
32,0.001682,"May 07, 2018",0.001937,0.001653,"948,037",0.001936,353
33,0.001934,"May 06, 2018",0.002143,0.001795,"885,230",0.001808,"1,826"
34,0.001806,"May 05, 2018",0.001882,0.001692,"901,915",0.001842,"1,027"
35,0.001842,"May 04, 2018",0.001852,0.001549,"873,012",0.001783,428
36,0.001783,"May 03, 2018",0.001862,0.001667,"900,354",0.001838,536
37,0.001838,"May 02, 2018",0.001838,0.001619,"801,455",0.001636,60
38,0.001639,"May 01, 2018",0.001895,0.001606,"859,836",0.001756,599
39,0.001754,"Apr 30, 2018",0.001849,0.001628,"824,016",0.001683,18
40,0.001683,"Apr 29, 2018",0.001897,0.001640,"911,141",0.001861,327
41,0.001861,"Apr 28, 2018",0.001881,0.001630,"813,918",0.001662,169
42,0.001668,"Apr 27, 2018",0.001855,0.001613,"892,294",0.001822,241
43,0.001820,"Apr 26, 2018",0.001824,0.001545,"775,730",0.001584,185
44,0.001571,"Apr 25, 2018",0.001914,0.001569,"900,390",0.001839,396
45,0.001851,"Apr 24, 2018",0.001962,0.001566,"833,238",0.001702,579
46,0.001700,"Apr 23, 2018",0.001785,0.001667,"817,020",0.001668,61
47,0.001672,"Apr 22, 2018",0.001783,0.001585,"872,223",0.001781,310
48,0.001696,"Apr 21, 2018",0.002059,0.001320,"947,461",0.001935,"1,291"
49,0.001934,"Apr 20, 2018",0.001935,0.001678,"890,805",0.001819,354
50,0.001818,"Apr 19, 2018",0.001853,0.001569,"839,568",0.001715,594
51,0.001713,"Apr 18, 2018",0.001883,0.001441,"795,807",0.001625,174
52,0.001624,"Apr 17, 2018",0.001937,0.001436,"865,458",0.001768,250
53,0.001767,"Apr 16, 2018",0.001842,0.001288,"653,727",0.001335,901
54,0.001336,"Apr 15, 2018",0.001577,0.001280,"626,775",0.001280,96
55,0.001279,"Apr 14, 2018",0.001407,0.001264,"665,185",0.001359,142
56,0.001359,"Apr 13, 2018",0.001454,0.001321,"658,835",0.001346,185
57,0.001344,"Apr 12, 2018",0.001351,0.001148,"606,794",0.001239,"1,183"
58,0.001242,"Apr 11, 2018",0.001292,0.001112,"568,539",0.001161,195
59,0.001160,"Apr 10, 2018",0.001293,0.001086,"581,385",0.001188,113
60,0.001187,"Apr 09, 2018",0.001298,0.001170,"599,543",0.001225,10
61,0.001223,"Apr 08, 2018",0.001359,0.001121,"574,846",0.001174,277
62,0.001173,"Apr 07, 2018",0.001314,0.001154,"565,720",0.001156,465
63,0.001154,"Apr 06, 2018",0.001205,0.001056,"573,140",0.001171,238
64,0.001174,"Apr 05, 2018",0.001223,0.001146,"598,467",0.001223,108
65,0.001222,"Apr 04, 2018",0.001335,0.001136,"653,500",0.001335,648
66,0.001263,"Apr 03, 2018",0.001349,0.001062,"627,510",0.001282,"2,511"
67,0.001281,"Apr 02, 2018",0.001341,0.001222,"602,051",0.001230,334
68,0.001224,"Apr 01, 2018",0.001305,0.001181,"616,202",0.001259,"1,168"
