,close,date,high,low,market_cap,open,volume
0,0.000687,"Jun 08, 2018",0.000845,0.000460,"16,189",0.000461,48
1,0.000461,"Jun 07, 2018",0.000465,0.000459,"16,134",0.000459,24
2,0.000459,"Jun 06, 2018",0.000537,0.000450,"18,743",0.000534,81
3,0.000534,"Jun 05, 2018",0.000535,0.000517,"18,444",0.000525,6
4,0.000525,"Jun 04, 2018",0.000541,0.000523,"18,952",0.000540,6
5,0.000539,"Jun 03, 2018",0.000541,0.000532,"18,770",0.000534,14
6,0.000534,"Jun 02, 2018",0.000537,0.000523,"18,422",0.000525,20
7,0.000516,"May 31, 2018",0.000517,0.000514,"18,150",0.000517,2
8,0.000517,"May 30, 2018",0.000529,0.000511,"18,351",0.000523,2
9,0.000522,"May 29, 2018",0.000714,0.000498,"25,000",0.000712,45
10,0.000712,"May 28, 2018",0.000725,0.000432,"18,156",0.000517,139
11,0.000513,"May 27, 2018",0.000516,0.000506,"18,033",0.000513,20
12,0.000513,"May 26, 2018",0.000747,0.000510,"26,227",0.000747,20
13,0.000748,"May 25, 2018",0.000765,0.000736,"26,560",0.000756,3
14,0.000755,"May 24, 2018",0.000836,0.000582,"21,127",0.000602,50
15,0.000603,"May 23, 2018",0.000642,0.000598,"22,486",0.000640,17
16,0.000641,"May 22, 2018",0.000668,0.000580,"20,669",0.000589,15
17,0.000589,"May 21, 2018",0.000768,0.000584,"26,953",0.000767,401
18,0.000767,"May 20, 2018",0.000772,0.000743,"26,162",0.000745,11
19,0.000740,"May 19, 2018",0.000743,0.000736,"26,042",0.000742,4
20,0.000742,"May 18, 2018",0.000966,0.000726,"31,207",0.000889,197
21,0.000888,"May 17, 2018",0.000917,0.000822,"29,319",0.000835,20
22,0.000834,"May 16, 2018",0.000849,0.000813,"29,803",0.000849,25
23,0.000849,"May 15, 2018",0.000882,0.000844,"30,465",0.000867,22
24,0.000869,"May 14, 2018",0.000971,0.000864,"33,572",0.000956,19
25,0.000956,"May 13, 2018",0.000963,0.000837,"29,739",0.000847,19
26,0.000847,"May 12, 2018",0.000950,0.000834,"29,483",0.000839,14
27,0.000842,"May 11, 2018",0.000904,0.000836,"31,741",0.000904,21
28,0.000903,"May 10, 2018",0.000939,0.000902,"32,767",0.000933,10
29,0.001003,"May 09, 2018",0.001012,0.000989,"35,537",0.001012,21
30,0.001013,"May 08, 2018",0.001127,0.000932,"39,476",0.001124,61
31,0.001122,"May 07, 2018",0.001209,0.001105,"40,516",0.001154,17
