,close,date,high,low,market_cap,open,volume
0,4.08,"Jun 08, 2018",4.62,3.91,"10,601,400",4.45,"45,588"
1,4.45,"Jun 07, 2018",4.76,4.16,"11,037,100",4.66,"68,369"
2,4.65,"Jun 06, 2018",4.81,4.55,"11,342,000",4.81,"72,292"
3,4.82,"Jun 05, 2018",4.82,3.94,"10,802,900",4.61,"102,435"
4,4.60,"Jun 04, 2018",4.93,4.53,"11,382,700",4.88,"74,329"
5,4.90,"Jun 03, 2018",5.10,4.75,"11,264,700",4.85,"50,255"
6,4.85,"Jun 02, 2018",5.00,4.74,"11,031,400",4.78,"43,194"
7,4.78,"Jun 01, 2018",4.89,4.63,"10,925,800",4.76,"45,882"
8,4.75,"May 31, 2018",4.89,4.58,"10,531,000",4.61,"75,487"
9,4.61,"May 30, 2018",4.91,4.54,"10,915,500",4.80,"45,648"
10,4.80,"May 29, 2018",5.18,4.62,"10,645,000",4.71,"48,358"
11,4.71,"May 28, 2018",5.19,4.67,"10,715,900",4.77,"70,986"
12,4.77,"May 27, 2018",5.45,4.73,"10,963,000",4.90,"69,358"
13,4.91,"May 26, 2018",5.18,4.78,"10,693,900",4.81,"49,595"
14,4.83,"May 25, 2018",5.35,4.76,"10,784,500",4.88,"110,402"
15,4.87,"May 24, 2018",4.94,4.62,"10,306,300",4.70,"80,949"
16,4.71,"May 23, 2018",5.40,4.66,"11,404,200",5.22,"63,789"
17,5.22,"May 22, 2018",5.55,5.20,"11,918,900",5.48,"72,763"
18,5.48,"May 21, 2018",5.64,5.39,"11,823,700",5.47,"90,679"
19,5.46,"May 20, 2018",5.88,5.29,"11,577,100",5.39,"73,723"
20,5.40,"May 19, 2018",5.47,5.29,"11,553,600",5.41,"47,682"
21,5.41,"May 18, 2018",5.90,5.01,"10,906,200",5.14,"72,970"
22,5.14,"May 17, 2018",5.65,5.11,"11,413,600",5.41,"61,026"
23,5.42,"May 16, 2018",5.70,5.18,"11,349,100",5.44,"79,256"
24,5.46,"May 15, 2018",5.87,5.41,"11,983,900",5.78,"98,341"
25,5.75,"May 14, 2018",5.81,5.37,"11,736,200",5.69,"78,665"
26,5.69,"May 13, 2018",5.85,5.43,"11,155,100",5.44,"53,353"
27,5.44,"May 12, 2018",5.58,5.02,"11,002,100",5.40,"61,484"
28,5.42,"May 11, 2018",6.55,5.36,"13,253,000",6.54,"90,980"
29,6.53,"May 10, 2018",7.26,6.28,"13,177,400",6.55,"153,403"
30,6.55,"May 09, 2018",6.86,5.84,"12,026,200",6.01,"94,344"
31,6.02,"May 08, 2018",6.23,5.85,"12,198,900",6.13,"89,810"
32,6.11,"May 07, 2018",6.45,5.91,"12,734,700",6.44,"80,270"
33,6.44,"May 06, 2018",6.61,6.05,"12,599,800",6.41,"91,274"
34,6.41,"May 05, 2018",6.83,6.26,"12,727,400",6.52,"73,133"
35,6.52,"May 04, 2018",6.98,6.45,"12,919,700",6.66,"65,108"
36,6.66,"May 03, 2018",7.07,6.27,"12,715,700",6.60,"86,421"
37,6.60,"May 02, 2018",6.65,5.75,"11,336,700",5.92,"99,251"
38,5.92,"May 01, 2018",6.47,5.26,"10,473,900",5.50,"129,917"
39,5.50,"Apr 30, 2018",5.92,5.43,"10,520,500",5.56,"62,573"
40,5.68,"Apr 29, 2018",5.83,5.32,"10,282,700",5.47,"78,955"
41,5.47,"Apr 28, 2018",5.77,4.95,"9,771,270",5.23,"82,698"
42,5.25,"Apr 27, 2018",5.92,5.24,"10,491,600",5.66,"85,714"
43,5.65,"Apr 26, 2018",6.10,5.53,"10,783,500",5.85,"93,779"
44,5.80,"Apr 25, 2018",6.72,5.75,"12,276,600",6.71,"104,438"
45,6.75,"Apr 24, 2018",6.75,5.79,"11,324,100",6.23,"94,445"
46,6.22,"Apr 23, 2018",6.84,6.11,"12,157,300",6.73,"80,665"
47,6.74,"Apr 22, 2018",7.22,6.70,"12,775,900",7.19,"91,694"
48,7.20,"Apr 21, 2018",7.80,6.70,"13,225,600",7.50,"72,083"
49,7.50,"Apr 20, 2018",8.14,7.12,"12,837,800",7.33,"166,381"
