,close,date,high,low,market_cap,open,volume
0,0.015786,"Jun 08, 2018",0.017386,0.015654,"264,563",0.016672,"1,577"
1,0.016660,"Jun 07, 2018",0.017830,0.014277,"227,158",0.014315,475
2,0.014302,"Jun 06, 2018",0.016634,0.014211,"231,068",0.014562,520
3,0.015061,"Jun 05, 2018",0.015122,0.014263,"228,217",0.014382,94
4,0.014375,"Jun 04, 2018",0.017178,0.013995,"268,885",0.016945,"1,105"
5,0.016937,"Jun 03, 2018",0.018396,0.014110,"243,101",0.015320,"2,494"
6,0.015316,"Jun 02, 2018",0.015848,0.014050,"234,565",0.014782,637
7,0.014788,"Jun 01, 2018",0.014991,0.013272,"218,730",0.013784,432
8,0.013774,"May 31, 2018",0.013923,0.013343,"212,732",0.013406,94
9,0.013409,"May 30, 2018",0.014175,0.013100,"223,922",0.014111,160
10,0.014102,"May 29, 2018",0.014824,0.012670,"204,548",0.012890,363
11,0.012895,"May 28, 2018",0.013862,0.012432,"217,994",0.013738,"1,076"
12,0.013735,"May 27, 2018",0.014495,0.013399,"218,389",0.013763,854
13,0.013757,"May 26, 2018",0.014977,0.013651,"232,209",0.014634,422
14,0.014653,"May 25, 2018",0.015132,0.013543,"222,324",0.014011,"1,133"
15,0.013984,"May 24, 2018",0.015020,0.012839,"217,249",0.013691,"1,528"
16,0.013725,"May 23, 2018",0.017552,0.013614,"276,535",0.017427,"2,238"
17,0.017445,"May 22, 2018",0.020329,0.016410,"278,960",0.017580,"4,232"
18,0.017583,"May 21, 2018",0.028469,0.015946,"265,486",0.016731,"13,914"
19,0.016710,"May 20, 2018",0.047080,0.015454,"261,617",0.016487,"27,188"
20,0.016474,"May 19, 2018",0.016999,0.014924,"245,742",0.015486,"2,168"
21,0.015489,"May 18, 2018",0.015636,0.013870,"238,248",0.015014,"2,818"
22,0.015001,"May 17, 2018",0.016286,0.014913,"251,761",0.015866,"4,500"
23,0.015856,"May 16, 2018",0.016953,0.015447,"268,628",0.016929,"1,104"
24,0.016938,"May 15, 2018",0.017380,0.011562,"257,806",0.016247,"2,756"
25,0.016275,"May 14, 2018",0.017899,0.016035,"271,976",0.017140,626
26,0.017143,"May 13, 2018",0.017610,0.013809,"265,888",0.016756,"3,088"
27,0.016762,"May 12, 2018",0.017926,0.015702,"282,069",0.017776,"1,805"
28,0.017828,"May 11, 2018",0.019334,0.016659,"306,801",0.019334,"2,683"
29,0.019311,"May 10, 2018",0.021801,0.018354,"344,187",0.021690,"1,772"
30,0.021696,"May 09, 2018",0.021733,0.018736,"315,810",0.019902,624
31,0.019932,"May 08, 2018",0.021648,0.019828,"340,376",0.021450,56
32,0.021405,"May 07, 2018",0.021592,0.020182,"331,963",0.020920,852
33,0.021518,"May 06, 2018",0.024202,0.021165,"368,241",0.023206,469
34,0.023191,"May 05, 2018",0.023708,0.021083,"338,591",0.021338,"2,941"
35,0.021566,"May 04, 2018",0.026319,0.020478,"359,892",0.022680,"8,081"
36,0.022689,"May 03, 2018",0.023322,0.019078,"303,457",0.019124,"2,895"
37,0.019123,"May 02, 2018",0.022065,0.018250,"329,812",0.020785,"5,570"
38,0.020816,"May 01, 2018",0.020816,0.018284,"300,735",0.018952,804
39,0.018935,"Apr 30, 2018",0.020614,0.017936,"326,370",0.020567,220
40,0.020574,"Apr 29, 2018",0.020589,0.017863,"316,315",0.019934,917
41,0.019942,"Apr 28, 2018",0.021079,0.019729,"313,875",0.019780,90
42,0.019848,"Apr 27, 2018",0.024272,0.019059,"308,490",0.019441,788
43,0.019414,"Apr 26, 2018",0.020664,0.018267,"314,167",0.019799,279
44,0.019636,"Apr 25, 2018",0.021848,0.018814,"345,034",0.021744,"1,167"
45,0.021892,"Apr 24, 2018",0.022528,0.020370,"334,995",0.021111,"1,561"
46,0.020933,"Apr 23, 2018",0.029141,0.020710,"462,051",0.029118,802
47,0.029669,"Apr 22, 2018",0.029669,0.019291,"317,955",0.020037,604
48,0.020037,"Apr 21, 2018",0.021172,0.019516,"328,329",0.020691,263
49,0.020684,"Apr 20, 2018",0.021043,0.019137,"308,283",0.019428,345
50,0.019415,"Apr 19, 2018",0.019860,0.018234,"307,887",0.019403,"1,139"
51,0.019388,"Apr 18, 2018",0.021215,0.018281,"314,937",0.019847,827
52,0.019829,"Apr 17, 2018",0.026343,0.017828,"328,778",0.020719,992
53,0.020709,"Apr 16, 2018",0.029651,0.019580,"467,870",0.029485,896
54,0.029497,"Apr 15, 2018",0.037444,0.018361,"291,356",0.018361,"3,905"
55,0.018342,"Apr 14, 2018",0.019308,0.017844,"285,644",0.018001,57
56,0.018001,"Apr 13, 2018",0.019470,0.016730,"274,592",0.017305,606
57,0.017285,"Apr 12, 2018",0.018510,0.014683,"244,949",0.015436,"1,034"
58,0.015474,"Apr 11, 2018",0.016787,0.014265,"247,903",0.015623,"1,324"
59,0.015645,"Apr 10, 2018",0.016386,0.014844,"252,715",0.015926,"2,307"
60,0.015913,"Apr 09, 2018",0.017222,0.015831,"255,173",0.016081,477
61,0.016076,"Apr 08, 2018",0.016910,0.016021,"257,751",0.016243,274
62,0.016425,"Apr 07, 2018",0.017467,0.014669,"233,122",0.014691,989
