,close,date,high,low,market_cap,open,volume
0,0.007631,"Jun 08, 2018",0.008307,0.007611,-,0.008290,"3,956"
1,0.008283,"Jun 07, 2018",0.008363,0.008255,-,0.008256,"4,352"
2,0.008249,"Jun 06, 2018",0.008291,0.006936,-,0.008229,"4,085"
3,0.008231,"Jun 05, 2018",0.008246,0.006228,-,0.006896,"4,015"
4,0.006893,"Jun 04, 2018",0.008340,0.005843,-,0.005859,"3,954"
5,0.005856,"Jun 03, 2018",0.007027,0.005847,-,0.006936,59
6,0.006934,"Jun 02, 2018",0.009790,0.006925,-,0.009781,"4,077"
7,0.009785,"Jun 01, 2018",0.009807,0.006665,-,0.008396,"4,355"
8,0.008390,"May 31, 2018",0.008518,0.008221,-,0.008260,"4,212"
9,0.008262,"May 30, 2018",0.008436,0.005427,-,0.007441,"4,378"
10,0.007436,"May 29, 2018",0.008428,0.007150,-,0.007190,"4,000"
11,0.007192,"May 28, 2018",0.008308,0.007170,-,0.008234,1
12,0.008232,"May 27, 2018",0.008874,0.006516,-,0.008822,"3,708"
13,0.008818,"May 26, 2018",0.009826,0.005440,-,0.009826,"4,011"
14,0.009839,"May 25, 2018",0.010029,0.008632,-,0.009981,"3,915"
15,0.009962,"May 24, 2018",0.010182,0.008787,-,0.008787,"3,902"
16,0.008809,"May 23, 2018",0.010194,0.008737,-,0.010164,39
17,0.010175,"May 22, 2018",0.011043,0.008551,-,0.011035,"4,110"
18,0.011037,"May 21, 2018",0.011253,0.010082,-,0.010720,"4,362"
19,0.010706,"May 20, 2018",0.011496,0.010325,-,0.010726,"4,741"
20,0.010718,"May 19, 2018",0.011628,0.010680,-,0.011286,"1,147"
21,0.011288,"May 18, 2018",0.011332,0.009651,-,0.011066,"4,319"
22,0.011056,"May 17, 2018",0.011992,0.010071,-,0.011857,"4,050"
23,0.011850,"May 16, 2018",0.012372,0.010169,-,0.012144,"4,345"
24,0.012151,"May 15, 2018",0.013961,0.010138,-,0.013320,"4,345"
25,0.013343,"May 14, 2018",0.013677,0.011935,-,0.013635,"4,905"
26,0.013637,"May 13, 2018",0.013751,0.013307,-,0.013634,"4,406"
27,0.013639,"May 12, 2018",0.014117,0.012286,-,0.013846,570
28,0.013887,"May 11, 2018",0.015164,0.012259,-,0.015164,"6,142"
29,0.015146,"May 10, 2018",0.015939,0.013651,-,0.015828,"4,679"
30,0.015832,"May 09, 2018",0.015886,0.013373,-,0.015722,"4,709"
31,0.015746,"May 08, 2018",0.016668,0.012922,-,0.016515,"6,462"
32,0.016480,"May 07, 2018",0.016799,0.014093,-,0.014625,"5,934"
33,0.014615,"May 06, 2018",0.016456,0.013126,-,0.016303,116
34,0.016292,"May 05, 2018",0.018014,0.013474,-,0.013746,"5,087"
35,0.013753,"May 04, 2018",0.017062,0.013685,-,0.017024,48
36,0.017031,"May 03, 2018",0.017982,0.013434,-,0.017879,"8,403"
37,0.017878,"May 02, 2018",0.018590,0.015430,-,0.018573,"5,928"
38,0.018601,"May 01, 2018",0.020226,0.015159,-,0.020226,"5,178"
39,0.020208,"Apr 30, 2018",0.020447,0.014417,-,0.018017,"9,286"
40,0.018023,"Apr 29, 2018",0.018922,0.014802,-,0.018576,"6,208"
41,0.018583,"Apr 28, 2018",0.019334,0.014625,-,0.018311,"9,554"
42,0.018374,"Apr 27, 2018",0.019192,0.013944,-,0.014212,"2,028"
43,0.014193,"Apr 26, 2018",0.015721,0.013766,-,0.015533,"2,945"
44,0.015405,"Apr 25, 2018",0.016447,0.012600,-,0.016376,"3,826"
45,0.016488,"Apr 24, 2018",0.016933,0.012813,-,0.016445,"1,412"
46,0.016431,"Apr 23, 2018",0.017765,0.013483,-,0.015149,"3,369"
47,0.015180,"Apr 22, 2018",0.016238,0.011478,-,0.016238,"1,852"
48,0.016238,"Apr 21, 2018",0.017328,0.012639,-,0.017059,"3,078"
49,0.017053,"Apr 20, 2018",0.018072,0.011439,-,0.011515,"4,319"
50,0.011507,"Apr 19, 2018",0.017897,0.010708,-,0.016821,"1,793"
51,0.016808,"Apr 18, 2018",0.017504,0.011206,-,0.014256,"1,846"
52,0.014243,"Apr 17, 2018",0.015804,0.010432,-,0.015787,"5,349"
53,0.015779,"Apr 16, 2018",0.017916,0.010093,-,0.017757,"1,196"
54,0.017765,"Apr 15, 2018",0.017857,0.008770,-,0.008770,"2,398"
55,0.008761,"Apr 14, 2018",0.015066,0.008741,-,0.011629,"1,539"
56,0.011629,"Apr 13, 2018",0.018103,0.010472,-,0.016012,"3,342"
57,0.015992,"Apr 12, 2018",0.016068,0.009403,-,0.010405,"1,260"
58,0.010430,"Apr 11, 2018",0.015386,0.009997,-,0.012044,"1,607"
59,0.012032,"Apr 10, 2018",0.012105,0.007557,-,0.008680,"1,795"
60,0.008673,"Apr 09, 2018",0.009244,0.008461,-,0.009123,989
61,0.009108,"Apr 08, 2018",0.010261,0.007735,-,0.010032,89
62,0.010023,"Apr 07, 2018",0.010459,0.007550,-,0.010052,937
63,0.010040,"Apr 06, 2018",0.010131,0.009387,-,0.009916,"2,015"
64,0.009967,"Apr 05, 2018",0.011683,0.007524,-,0.011473,"1,089"
65,0.011468,"Apr 04, 2018",0.012159,0.007572,-,0.009541,"1,924"
66,0.009547,"Apr 03, 2018",0.013729,0.009330,-,0.013023,"2,358"
67,0.013014,"Apr 02, 2018",0.013026,0.009666,-,0.009729,938
68,0.009681,"Apr 01, 2018",0.010733,0.009211,-,0.010582,11
69,0.010583,"Mar 31, 2018",0.013454,0.010463,-,0.012812,59
70,0.012810,"Mar 30, 2018",0.012971,0.009375,-,0.010057,782
71,0.010082,"Mar 29, 2018",0.014639,0.009789,-,0.013487,920
72,0.013471,"Mar 28, 2018",0.017235,0.011230,-,0.016733,967
73,0.016737,"Mar 27, 2018",0.017495,0.013310,-,0.015918,477
74,0.015942,"Mar 26, 2018",0.016577,0.015301,-,0.015563,"1,747"
75,0.015575,"Mar 25, 2018",0.016242,0.012203,-,0.015618,"1,132"
76,0.015836,"Mar 24, 2018",0.018213,0.013230,-,0.017667,"1,715"
77,0.017413,"Mar 23, 2018",0.018775,0.016604,-,0.018775,"1,825"
78,0.018775,"Mar 22, 2018",0.019002,0.013421,-,0.017193,"1,521"
79,0.017223,"Mar 21, 2018",0.017649,0.014287,-,0.016911,"1,296"
80,0.016879,"Mar 20, 2018",0.017222,0.013182,-,0.015821,"1,916"
81,0.015646,"Mar 19, 2018",0.016194,0.013383,-,0.014443,"2,780"
82,0.014504,"Mar 18, 2018",0.014533,0.011687,-,0.012273,420
83,0.012303,"Mar 17, 2018",0.016166,0.012185,-,0.016166,"1,973"
84,0.016140,"Mar 16, 2018",0.016903,0.012795,-,0.014721,"1,242"
85,0.014729,"Mar 15, 2018",0.014907,0.012991,-,0.014626,"1,747"
86,0.014632,"Mar 14, 2018",0.019762,0.014247,-,0.019320,"1,193"
87,0.019317,"Mar 13, 2018",0.020413,0.015411,-,0.019149,"3,507"
88,0.019260,"Mar 12, 2018",0.022645,0.016957,-,0.022156,"2,508"
