,close,date,high,low,market_cap,open,volume
0,0.005934,"Jun 08, 2018",0.006416,0.005594,"126,144",0.006045,601
1,0.006042,"Jun 07, 2018",0.006288,0.005170,"129,638",0.006218,721
2,0.006212,"Jun 06, 2018",0.006714,0.006028,"135,978",0.006527,149
3,0.006529,"Jun 05, 2018",0.007116,0.006334,"134,528",0.006462,256
4,0.006459,"Jun 04, 2018",0.007023,0.006449,"142,980",0.006874,179
5,0.006871,"Jun 03, 2018",0.007361,0.006806,"149,080",0.007173,186
6,0.007171,"Jun 02, 2018",0.008809,0.007034,"151,419",0.007291,222
7,0.007294,"Jun 01, 2018",0.008545,0.007116,"176,777",0.008519,277
8,0.008513,"May 31, 2018",0.008513,0.006314,"132,537",0.006392,432
9,0.006393,"May 30, 2018",0.006974,0.006141,"142,833",0.006894,244
10,0.006889,"May 29, 2018",0.007048,0.006120,"127,137",0.006141,382
11,0.006143,"May 28, 2018",0.007337,0.006018,"148,903",0.007198,871
12,0.007197,"May 27, 2018",0.007315,0.007056,"148,538",0.007187,133
13,0.007329,"May 26, 2018",0.007474,0.007145,"151,146",0.007319,162
14,0.007328,"May 25, 2018",0.007632,0.007158,"154,756",0.007499,312
15,0.007485,"May 24, 2018",0.008781,0.006875,"148,957",0.007224,947
16,0.007242,"May 23, 2018",0.007692,0.006923,"153,793",0.007465,414
17,0.007472,"May 22, 2018",0.008697,0.007466,"178,909",0.008691,830
18,0.008692,"May 21, 2018",0.008833,0.008239,"177,234",0.008616,"1,691"
19,0.008524,"May 20, 2018",0.008918,0.008498,"179,419",0.008729,717
20,0.008723,"May 19, 2018",0.010516,0.008692,"196,127",0.009550,153
21,0.009551,"May 18, 2018",0.010693,0.008387,"217,227",0.010586,460
22,0.010577,"May 17, 2018",0.011973,0.008623,"179,733",0.008766,"1,401"
23,0.008760,"May 16, 2018",0.009179,0.008552,"180,555",0.008813,190
24,0.008818,"May 15, 2018",0.009239,0.008770,"186,864",0.009128,184
25,0.009144,"May 14, 2018",0.011085,0.008675,"225,912",0.011045,"1,186"
26,0.011047,"May 13, 2018",0.012621,0.010060,"207,239",0.010140,512
27,0.010143,"May 12, 2018",0.011897,0.009600,"200,582",0.009822,332
28,0.009851,"May 11, 2018",0.010478,0.009786,"213,800",0.010478,89
29,0.010465,"May 10, 2018",0.011830,0.010433,"234,625",0.011508,699
30,0.011511,"May 09, 2018",0.011598,0.011234,"234,252",0.011499,83
31,0.011516,"May 08, 2018",0.013742,0.010887,"255,367",0.012545,"1,644"
32,0.012519,"May 07, 2018",0.013466,0.012440,"273,748",0.013459,165
33,0.013449,"May 06, 2018",0.014361,0.013269,"279,738",0.013765,553
34,0.013756,"May 05, 2018",0.015793,0.012727,"264,967",0.013049,"1,776"
35,0.013055,"May 04, 2018",0.014356,0.012468,"270,601",0.013337,272
36,0.013342,"May 03, 2018",0.013605,0.009497,"214,671",0.010589,"3,621"
37,0.010589,"May 02, 2018",0.010614,0.008556,"176,494",0.008713,725
38,0.008726,"May 01, 2018",0.009491,0.008305,"190,671",0.009420,190
39,0.009412,"Apr 30, 2018",0.010004,0.009365,"201,521",0.009964,225
40,0.009968,"Apr 29, 2018",0.010789,0.009015,"185,071",0.009159,773
41,0.009162,"Apr 28, 2018",0.009673,0.008627,"174,626",0.008649,76
42,0.008678,"Apr 27, 2018",0.010794,0.008678,"211,913",0.010504,"1,548"
43,0.010490,"Apr 26, 2018",0.010597,0.009614,"200,289",0.009936,161
44,0.009854,"Apr 25, 2018",0.012283,0.009726,"235,831",0.011709,340
45,0.011789,"Apr 24, 2018",0.012131,0.009898,"230,676",0.011462,"1,823"
46,0.011452,"Apr 23, 2018",0.011503,0.008966,"195,979",0.009746,226
47,0.009766,"Apr 22, 2018",0.011011,0.009707,"200,345",0.009971,821
48,0.009971,"Apr 21, 2018",0.010497,0.009743,"207,676",0.010345,263
49,0.010341,"Apr 20, 2018",0.010437,0.009245,"198,530",0.009897,585
50,0.009891,"Apr 19, 2018",0.010045,0.008635,"175,089",0.008736,"1,303"
51,0.008729,"Apr 18, 2018",0.009155,0.008354,"167,616",0.008370,384
52,0.008362,"Apr 17, 2018",0.008711,0.008359,"172,286",0.008610,151
53,0.008606,"Apr 16, 2018",0.008903,0.008470,"176,996",0.008853,162
54,0.008857,"Apr 15, 2018",0.009150,0.008576,"171,317",0.008576,131
55,0.008567,"Apr 14, 2018",0.008901,0.008453,"169,291",0.008481,149
56,0.008481,"Apr 13, 2018",0.008783,0.008385,"173,296",0.008689,382
57,0.008678,"Apr 12, 2018",0.008837,0.006910,"140,473",0.007049,318
58,0.007066,"Apr 11, 2018",0.008637,0.006423,"171,973",0.008637,463
59,0.008620,"Apr 10, 2018",0.008687,0.006132,"129,374",0.006503,872
60,0.006498,"Apr 09, 2018",0.007309,0.006366,"138,816",0.006983,269
61,0.006972,"Apr 08, 2018",0.007191,0.006873,"136,514",0.006873,144
62,0.006867,"Apr 07, 2018",0.007014,0.006663,"132,738",0.006689,125
63,0.006681,"Apr 06, 2018",0.006877,0.006408,"134,963",0.006807,167
64,0.006841,"Apr 05, 2018",0.007006,0.006692,"136,877",0.006909,226
65,0.006906,"Apr 04, 2018",0.007639,0.006845,"151,214",0.007639,98
66,0.007644,"Apr 03, 2018",0.007672,0.007155,"141,519",0.007155,124
67,0.007150,"Apr 02, 2018",0.007208,0.006703,"133,328",0.006747,144
68,0.006714,"Apr 01, 2018",0.007537,0.006480,"134,560",0.006815,251
69,0.006815,"Mar 31, 2018",0.007701,0.006779,"136,775",0.006933,132
70,0.006931,"Mar 30, 2018",0.008038,0.006718,"151,003",0.007660,189
71,0.007679,"Mar 29, 2018",0.008522,0.006781,"167,597",0.008509,334
72,0.008499,"Mar 28, 2018",0.009099,0.006816,"159,826",0.008121,"1,219"
73,0.008123,"Mar 27, 2018",0.008592,0.007984,"165,765",0.008430,192
74,0.008443,"Mar 26, 2018",0.010080,0.008020,"185,473",0.009440,238
75,0.009447,"Mar 25, 2018",0.010358,0.009307,"189,972",0.009677,339
76,0.009812,"Mar 24, 2018",0.012842,0.009284,"185,365",0.009451,340
