,close,date,high,low,market_cap,open,volume
0,1.94,"Jun 08, 2018",2.06,1.93,"48,761,600",2.04,"383,324"
1,2.04,"Jun 07, 2018",2.05,1.83,"45,007,500",1.89,"520,866"
2,1.88,"Jun 06, 2018",2.00,1.76,"45,738,800",1.92,"425,903"
3,1.92,"Jun 05, 2018",2.07,1.90,"46,791,200",1.96,"541,200"
4,1.96,"Jun 04, 2018",2.03,1.41,"46,562,300",1.95,"462,619"
5,1.96,"Jun 03, 2018",2.03,1.92,"46,370,100",1.95,"428,135"
6,1.99,"Jun 02, 2018",2.03,1.78,"44,199,900",1.86,"419,597"
7,1.82,"Jun 01, 2018",2.02,1.71,"46,851,600",1.97,"542,015"
8,1.98,"May 31, 2018",2.04,1.90,"47,402,300",1.99,"487,037"
9,1.95,"May 30, 2018",2.17,1.88,"50,262,000",2.11,"646,738"
10,2.15,"May 29, 2018",2.32,2.08,"52,208,200",2.20,"732,942"
11,2.19,"May 28, 2018",2.23,2.02,"50,219,100",2.11,"551,514"
12,2.11,"May 27, 2018",2.26,2.09,"51,302,000",2.16,"521,024"
13,2.17,"May 26, 2018",2.24,1.94,"46,406,600",1.96,"1,285,600"
14,1.96,"May 25, 2018",2.05,1.94,"48,429,900",2.04,"481,713"
15,2.04,"May 24, 2018",2.11,1.96,"46,572,300",1.96,"1,449,210"
16,1.97,"May 23, 2018",2.17,1.95,"50,363,600",2.12,"2,132,880"
17,2.13,"May 22, 2018",2.38,2.13,"56,299,500",2.38,"1,494,110"
18,2.37,"May 21, 2018",2.46,2.35,"58,013,900",2.45,"2,145,350"
19,2.44,"May 20, 2018",2.52,2.42,"59,703,600",2.52,"1,544,130"
20,2.52,"May 19, 2018",2.54,2.38,"57,457,700",2.43,"1,101,570"
21,2.43,"May 18, 2018",2.65,2.19,"52,290,600",2.21,"2,703,870"
22,2.22,"May 17, 2018",2.35,2.19,"53,087,400",2.25,"484,291"
23,2.25,"May 16, 2018",2.41,2.21,"56,115,400",2.38,"755,984"
24,2.38,"May 15, 2018",2.42,2.23,"55,525,100",2.35,"2,144,500"
25,2.36,"May 14, 2018",2.41,2.18,"56,093,500",2.38,"611,840"
26,2.38,"May 13, 2018",2.42,2.23,"55,162,600",2.34,"569,779"
27,2.32,"May 12, 2018",2.62,2.03,"50,163,100",2.13,"2,165,730"
28,2.13,"May 11, 2018",2.38,2.04,"54,997,600",2.33,"1,869,720"
29,2.33,"May 10, 2018",2.73,2.33,"60,905,400",2.58,"2,958,980"
30,2.64,"May 09, 2018",3.26,2.11,"53,580,800",2.27,"4,690,390"
31,2.24,"May 08, 2018",2.76,2.11,"64,886,900",2.76,"1,910,450"
32,2.74,"May 07, 2018",3.04,2.71,"71,379,600",3.03,"1,579,110"
33,3.04,"May 06, 2018",3.25,2.87,"73,604,200",3.13,"2,290,180"
34,3.11,"May 05, 2018",3.39,3.08,"75,778,200",3.22,"946,987"
35,3.23,"May 04, 2018",3.65,3.08,"75,525,500",3.21,"3,039,510"
36,3.20,"May 03, 2018",3.56,2.89,"82,980,200",3.53,"3,927,110"
37,3.54,"May 02, 2018",3.96,3.43,"92,895,000",3.96,"2,662,210"
38,3.97,"May 01, 2018",4.11,3.11,"84,064,400",3.58,"5,712,760"
39,3.63,"Apr 30, 2018",3.66,2.26,"57,451,400",2.45,"5,086,330"
40,2.46,"Apr 29, 2018",2.67,1.91,"59,425,400",2.54,"3,238,180"
41,2.54,"Apr 28, 2018",2.81,1.23,"32,035,200",1.37,"9,930,830"
42,1.26,"Apr 27, 2018",1.26,0.858268,"20,374,100",0.871178,"1,342,200"
43,0.861501,"Apr 26, 2018",0.885762,0.777555,"18,649,200",0.797802,"1,560,480"
44,0.794354,"Apr 25, 2018",0.922447,0.793200,"21,553,000",0.922447,"56,379"
45,0.923068,"Apr 24, 2018",0.923068,0.775530,"18,121,900",0.775957,"1,599,730"
46,0.775387,"Apr 23, 2018",0.840789,0.774306,"18,821,300",0.806297,"123,378"
47,0.807912,"Apr 22, 2018",0.837462,0.797826,"19,384,900",0.830840,"963,766"
48,0.819252,"Apr 21, 2018",0.844466,0.792060,"18,743,300",0.803722,"1,522,610"
49,0.803523,"Apr 20, 2018",0.810530,0.752279,"17,685,200",0.758705,"101,033"
50,0.758379,"Apr 19, 2018",0.782756,0.756255,"17,863,500",0.766711,"124,354"
51,0.767519,"Apr 18, 2018",0.782467,0.742949,"17,912,300",0.769181,"120,802"
52,0.768492,"Apr 17, 2018",0.817932,0.731001,"17,835,500",0.766281,"1,488,130"
53,0.765918,"Apr 16, 2018",0.802467,0.750691,"17,653,700",0.758859,"1,313,900"
54,0.759131,"Apr 15, 2018",0.780797,0.749783,"17,827,400",0.766713,"156,439"
55,0.765899,"Apr 14, 2018",0.830012,0.753321,"17,586,000",0.756707,"1,752,890"
56,0.756706,"Apr 13, 2018",0.799369,0.708649,"17,025,400",0.732934,"1,616,760"
57,0.736578,"Apr 12, 2018",0.736741,0.632071,"14,848,300",0.639515,"1,271,850"
58,0.640796,"Apr 11, 2018",0.655512,0.602714,"14,464,900",0.623287,"247,241"
59,0.622703,"Apr 10, 2018",0.634434,0.589769,"13,885,300",0.598565,"547,472"
60,0.601469,"Apr 09, 2018",0.643776,0.590404,"14,453,500",0.623332,"132,678"
61,0.622381,"Apr 08, 2018",0.666925,0.570438,"13,357,400",0.576323,"772,883"
62,0.575811,"Apr 07, 2018",0.590368,0.571951,"13,266,500",0.572689,"42,751"
63,0.572476,"Apr 06, 2018",0.604427,0.569595,"13,643,100",0.589207,"92,104"
64,0.591398,"Apr 05, 2018",0.597005,0.558648,"13,262,400",0.573025,"122,421"
65,0.572825,"Apr 04, 2018",0.674362,0.563592,"15,592,600",0.674031,"169,782"
66,0.674407,"Apr 03, 2018",0.689458,0.648294,"15,004,600",0.648953,"177,579"
67,0.648529,"Apr 02, 2018",0.687585,0.622653,"14,449,100",0.625242,"220,695"
68,0.622329,"Apr 01, 2018",0.646697,0.592347,"14,451,900",0.625674,"591,641"
69,0.619729,"Mar 31, 2018",0.648809,0.565023,"13,237,900",0.573383,"633,664"
70,0.573597,"Mar 30, 2018",0.617594,0.568537,"14,110,500",0.611460,"139,318"
71,0.611455,"Mar 29, 2018",0.695970,0.579048,"16,029,000",0.694913,"161,446"
72,0.694265,"Mar 28, 2018",0.702429,0.679060,"16,097,100",0.698208,"150,796"
73,0.693668,"Mar 27, 2018",0.733026,0.661217,"16,066,600",0.697263,"128,105"
74,0.701675,"Mar 26, 2018",0.756756,0.679335,"17,372,300",0.754380,"184,877"
75,0.755008,"Mar 25, 2018",0.769594,0.738501,"17,496,100",0.760254,"129,539"
76,0.767587,"Mar 24, 2018",0.806213,0.760875,"18,129,400",0.788315,"156,032"
77,0.779940,"Mar 23, 2018",0.788493,0.733152,"17,429,900",0.758387,"156,481"
78,0.758373,"Mar 22, 2018",0.788452,0.752261,"17,632,800",0.767646,"163,029"
79,0.768820,"Mar 21, 2018",0.790424,0.758861,"17,819,400",0.776262,"159,779"
80,0.775429,"Mar 20, 2018",0.781417,0.727685,"16,956,800",0.739159,"140,141"
81,0.733460,"Mar 19, 2018",0.758876,0.716936,"16,761,700",0.731121,"140,056"
82,0.736163,"Mar 18, 2018",0.741491,0.638595,"15,418,200",0.672955,"236,692"
