,close,date,high,low,market_cap,open,volume
0,0.000305,"Jun 08, 2018",0.000308,0.000302,-,0.000307,10
1,0.000307,"Jun 07, 2018",0.000309,0.000154,-,0.000154,24
2,0.000151,"Jun 06, 2018",0.000222,0.000150,-,0.000221,36
3,0.000221,"Jun 05, 2018",0.000228,0.000148,-,0.000224,340
4,0.000224,"Jun 04, 2018",0.000224,0.000149,-,0.000154,114
5,0.000154,"Jun 03, 2018",0.000232,0.000153,-,0.000229,424
6,0.000229,"Jun 02, 2018",0.000457,0.000149,-,0.000150,"1,122"
7,0.000150,"Jun 01, 2018",0.000227,0.000149,-,0.000227,3
8,0.000227,"May 31, 2018",0.000228,0.000220,-,0.000221,2
9,0.000222,"May 30, 2018",0.000227,0.000146,-,0.000224,27
10,0.000224,"May 29, 2018",0.000226,0.000212,-,0.000214,1
11,0.000214,"May 28, 2018",0.000221,0.000145,-,0.000147,6
12,0.000219,"May 27, 2018",0.000220,0.000217,-,0.000220,3
13,0.000220,"May 26, 2018",0.000229,0.000219,-,0.000223,3
14,0.000298,"May 25, 2018",0.000306,0.000294,-,0.000302,3
15,0.000301,"May 24, 2018",0.000303,0.000156,-,0.000156,157
16,0.000156,"May 23, 2018",0.000241,0.000155,-,0.000240,165
17,0.000240,"May 22, 2018",0.000267,0.000161,-,0.000267,44
18,0.000267,"May 21, 2018",0.000337,0.000169,-,0.000203,5
19,0.000203,"May 20, 2018",0.000251,0.000165,-,0.000247,25
20,0.000247,"May 19, 2018",0.000251,0.000163,-,0.000165,6
21,0.000165,"May 18, 2018",0.000244,0.000160,-,0.000163,165
22,0.000163,"May 17, 2018",0.000250,0.000162,-,0.000248,104
23,0.000251,"May 16, 2018",0.000255,0.000244,-,0.000255,1
24,0.000255,"May 15, 2018",0.000265,0.000253,-,0.000260,21
25,0.000261,"May 14, 2018",0.000266,0.000250,-,0.000261,98
26,0.000261,"May 13, 2018",0.000263,0.000251,-,0.000254,30
27,0.000254,"May 12, 2018",0.000259,0.000247,-,0.000252,4
28,0.000253,"May 11, 2018",0.000271,0.000251,-,0.000271,27
29,0.000271,"May 10, 2018",0.000282,0.000271,-,0.000279,8
30,0.000279,"May 09, 2018",0.000280,0.000270,-,0.000276,65
31,0.000276,"May 08, 2018",0.000284,0.000272,-,0.000281,70
32,0.000280,"May 07, 2018",0.000289,0.000277,-,0.000288,90
33,0.000288,"May 06, 2018",0.000298,0.000283,-,0.000295,3
34,0.000295,"May 05, 2018",0.000299,0.000290,-,0.000291,136
35,0.000291,"May 04, 2018",0.000293,0.000287,-,0.000292,469
36,0.000293,"May 03, 2018",0.000294,0.000276,-,0.000277,10
37,0.000277,"May 02, 2018",0.000367,0.000273,-,0.000363,17
38,0.000364,"May 01, 2018",0.000364,0.000266,-,0.000277,9
39,0.000277,"Apr 30, 2018",0.000378,0.000276,-,0.000376,172
40,0.000376,"Apr 29, 2018",0.000381,0.000361,-,0.000374,33
41,0.000374,"Apr 28, 2018",0.000377,0.000267,-,0.000267,56
42,0.000268,"Apr 27, 2018",0.000321,0.000268,-,0.000321,73
43,0.000322,"Apr 26, 2018",0.000356,0.000306,-,0.000347,33
