,close,date,high,low,market_cap,open,volume
0,4.65,"Jun 08, 2018",5.38,4.36,"6,080,510",5.14,"10,436"
1,5.14,"Jun 07, 2018",6.19,4.08,"5,390,060",4.56,"96,146"
2,4.55,"Jun 06, 2018",6.87,4.05,"5,158,610",4.36,"38,664"
3,4.36,"Jun 05, 2018",5.95,3.65,"4,429,540",3.75,"24,175"
4,3.77,"Jun 04, 2018",4.34,3.74,"4,641,180",3.92,"7,473"
5,4.27,"Jun 03, 2018",5.70,3.11,"3,840,140",3.25,"22,937"
6,3.25,"Jun 02, 2018",3.34,2.86,"3,860,730",3.26,"3,489"
7,3.27,"Jun 01, 2018",4.33,2.94,"3,644,790",3.08,"6,433"
8,3.08,"May 31, 2018",4.27,2.64,"3,134,560",2.65,"9,624"
9,2.65,"May 30, 2018",2.95,2.46,"2,914,950",2.46,874
10,2.46,"May 29, 2018",2.54,2.22,"2,704,900",2.29,"2,924"
11,2.29,"May 28, 2018",2.48,2.25,"2,831,590",2.39,"1,685"
12,2.39,"May 27, 2018",2.52,2.33,"2,986,010",2.52,"4,561"
13,2.52,"May 26, 2018",2.84,2.46,"3,231,360",2.73,920
14,2.73,"May 25, 2018",2.80,2.35,"2,922,710",2.47,"3,493"
15,2.47,"May 24, 2018",2.59,2.20,"2,998,930",2.54,"5,955"
16,2.54,"May 23, 2018",3.04,2.51,"3,573,280",3.02,"2,197"
17,3.03,"May 22, 2018",3.30,2.85,"3,818,160",3.23,"1,789"
18,3.23,"May 21, 2018",3.28,2.71,"3,217,370",2.72,"2,861"
19,2.72,"May 20, 2018",3.24,2.57,"3,769,020",3.19,"5,946"
20,3.18,"May 19, 2018",3.23,2.81,"3,394,280",2.87,"4,482"
21,2.87,"May 18, 2018",3.06,2.60,"3,491,300",2.95,727
22,2.95,"May 17, 2018",3.02,2.71,"3,318,950",2.81,"1,612"
23,2.80,"May 16, 2018",3.65,2.72,"4,305,180",3.64,"4,832"
24,3.66,"May 15, 2018",3.80,3.30,"4,448,550",3.76,"2,285"
25,3.77,"May 14, 2018",3.81,3.36,"4,332,610",3.66,"5,022"
26,3.66,"May 13, 2018",3.90,3.11,"3,730,980",3.15,"3,526"
27,3.16,"May 12, 2018",3.88,2.81,"4,298,110",3.63,"7,420"
28,3.64,"May 11, 2018",4.85,2.62,"5,693,600",4.81,"15,012"
29,4.81,"May 10, 2018",5.88,4.51,"6,509,160",5.50,"18,437"
30,5.50,"May 09, 2018",5.50,4.19,"5,116,530",4.33,"4,403"
31,4.34,"May 08, 2018",5.57,4.26,"6,314,290",5.34,"17,674"
32,5.32,"May 07, 2018",6.09,4.17,"5,203,060",4.40,"17,469"
33,4.40,"May 06, 2018",6.63,4.19,"6,969,520",5.89,"24,826"
34,5.89,"May 05, 2018",6.62,5.60,"7,735,320",6.54,"16,436"
35,6.55,"May 04, 2018",6.70,5.95,"7,641,570",6.46,"11,094"
36,6.47,"May 03, 2018",6.50,5.33,"7,043,010",5.96,"19,433"
37,5.96,"May 02, 2018",6.04,4.88,"7,128,560",6.03,"11,077"
38,6.04,"May 01, 2018",6.04,4.73,"6,334,520",5.36,"11,290"
39,5.34,"Apr 30, 2018",5.78,4.64,"6,804,000",5.75,"4,222"
40,5.76,"Apr 29, 2018",6.46,5.03,"7,480,930",6.33,"10,158"
41,6.33,"Apr 28, 2018",6.93,4.25,"7,735,370",6.54,"19,588"
42,6.59,"Apr 27, 2018",7.63,5.93,"7,095,110",6.00,"27,429"
43,5.98,"Apr 26, 2018",6.78,5.55,"6,820,690",5.77,"22,598"
44,5.67,"Apr 25, 2018",6.17,4.29,"6,022,400",5.09,"36,507"
45,5.07,"Apr 24, 2018",6.94,2.95,"3,948,260",3.34,"121,242"
46,3.34,"Apr 23, 2018",3.71,2.39,"4,389,760",3.71,"12,671"
47,3.72,"Apr 22, 2018",3.85,2.55,"3,065,400",2.59,"11,607"
48,2.81,"Apr 21, 2018",3.30,2.08,"2,571,120",2.17,"21,558"
49,2.17,"Apr 20, 2018",2.38,2.07,"2,744,740",2.32,"8,075"
50,2.34,"Apr 19, 2018",2.39,1.87,"2,606,680",2.20,"12,924"
51,2.20,"Apr 18, 2018",2.26,1.83,"2,349,310",1.99,"9,960"
52,1.99,"Apr 17, 2018",2.21,1.98,"2,472,870",2.09,"6,710"
53,2.09,"Apr 16, 2018",2.39,1.80,"2,769,830",2.34,"8,514"
54,2.34,"Apr 15, 2018",2.34,2.07,"2,450,950",2.07,"2,752"
55,2.07,"Apr 14, 2018",2.13,1.95,"2,319,260",1.96,"1,614"
56,1.96,"Apr 13, 2018",2.19,1.96,"2,459,100",2.08,"3,141"
57,2.08,"Apr 12, 2018",2.19,1.51,"1,824,480",1.54,"7,240"
58,1.55,"Apr 11, 2018",1.67,1.44,"1,963,960",1.66,"5,773"
59,1.66,"Apr 10, 2018",1.67,1.56,"1,858,420",1.57,"5,171"
60,1.57,"Apr 09, 2018",1.60,1.43,"1,853,020",1.57,"2,646"
61,1.56,"Apr 08, 2018",1.76,1.48,"2,036,220",1.72,"2,326"
62,1.72,"Apr 07, 2018",2.00,1.46,"1,733,400",1.47,"7,581"
63,1.47,"Apr 06, 2018",1.49,1.42,"1,677,020",1.42,"2,368"
64,1.42,"Apr 05, 2018",1.45,1.38,"1,678,090",1.42,"1,879"
65,1.42,"Apr 04, 2018",1.91,1.41,"1,967,430",1.66,"2,123"
66,1.66,"Apr 03, 2018",1.69,1.61,"1,913,750",1.62,"2,255"
67,1.62,"Apr 02, 2018",1.62,1.41,"1,867,170",1.58,"4,735"
68,1.57,"Apr 01, 2018",2.21,1.57,"2,587,240",2.19,"1,534"
69,2.19,"Mar 31, 2018",2.35,2.17,"2,641,060",2.23,"4,296"
70,2.23,"Mar 30, 2018",2.45,1.90,"2,357,870",1.99,"8,477"
71,2.00,"Mar 29, 2018",2.25,1.96,"2,628,750",2.22,"2,870"
72,2.22,"Mar 28, 2018",2.26,1.96,"2,436,220",2.06,"6,142"
73,2.06,"Mar 27, 2018",2.61,2.04,"3,077,270",2.60,"1,468"
74,2.61,"Mar 26, 2018",2.62,2.17,"2,696,890",2.28,"6,829"
75,2.28,"Mar 25, 2018",2.75,2.17,"3,214,150",2.72,"9,389"
76,2.76,"Mar 24, 2018",3.55,2.60,"4,195,250",3.55,"14,257"
