,close,date,high,low,market_cap,open,volume
0,1.07,"Jun 08, 2018",1.10,1.06,"21,392,000",1.10,"4,255,640"
1,1.10,"Jun 07, 2018",1.11,1.08,"21,355,000",1.10,"3,983,980"
2,1.10,"Jun 06, 2018",1.10,1.08,"21,360,700",1.10,"4,372,060"
3,1.10,"Jun 05, 2018",1.11,1.07,"21,547,600",1.11,"4,304,100"
4,1.11,"Jun 04, 2018",1.17,1.09,"22,719,700",1.17,"4,326,630"
5,1.16,"Jun 03, 2018",1.17,1.14,"22,154,400",1.14,"4,677,370"
6,1.14,"Jun 02, 2018",1.14,1.09,"21,513,800",1.10,"4,425,670"
7,1.11,"Jun 01, 2018",1.15,1.08,"22,083,000",1.13,"4,824,620"
8,1.13,"May 31, 2018",1.18,1.06,"20,798,800",1.07,"4,815,960"
9,1.07,"May 30, 2018",1.17,1.05,"21,358,600",1.10,"6,994,400"
10,1.10,"May 29, 2018",1.13,1.03,"20,375,700",1.05,"8,538,660"
11,1.06,"May 28, 2018",1.25,1.04,"24,211,400",1.24,"7,555,660"
12,1.24,"May 27, 2018",1.27,1.16,"24,693,000",1.27,"6,105,400"
13,1.26,"May 26, 2018",1.38,1.21,"25,251,800",1.30,"8,542,490"
14,1.30,"May 25, 2018",1.40,1.10,"21,982,200",1.13,"10,213,400"
15,1.13,"May 24, 2018",1.14,0.993085,"19,951,000",1.02,"6,270,900"
16,1.03,"May 23, 2018",1.21,1.03,"23,196,700",1.19,"6,067,420"
17,1.19,"May 22, 2018",1.27,1.18,"24,642,200",1.26,"5,361,670"
18,1.27,"May 21, 2018",1.40,1.24,"25,736,600",1.32,"5,998,400"
19,1.32,"May 20, 2018",1.35,1.23,"23,912,400",1.23,"5,600,150"
20,1.23,"May 19, 2018",1.31,1.22,"24,396,600",1.25,"6,037,930"
21,1.26,"May 18, 2018",1.28,1.21,"24,615,000",1.26,"5,360,900"
22,1.26,"May 17, 2018",1.44,1.25,"25,356,600",1.30,"5,576,730"
23,1.29,"May 16, 2018",1.37,1.24,"26,253,400",1.35,"5,848,950"
24,1.35,"May 15, 2018",1.54,1.34,"28,980,700",1.49,"6,647,000"
25,1.49,"May 14, 2018",1.68,1.42,"28,139,400",1.44,"11,268,400"
26,1.43,"May 13, 2018",1.46,1.19,"23,696,700",1.22,"6,284,060"
27,1.22,"May 12, 2018",1.28,1.16,"24,674,400",1.27,"5,626,010"
28,1.27,"May 11, 2018",1.52,1.26,"29,538,600",1.52,"6,040,470"
29,1.52,"May 10, 2018",1.65,1.51,"27,711,000",1.56,"6,868,310"
30,1.56,"May 09, 2018",1.62,1.50,"27,900,000",1.60,"7,177,690"
31,1.60,"May 08, 2018",1.79,1.55,"30,769,200",1.76,"8,448,970"
32,1.78,"May 07, 2018",1.90,1.55,"29,197,700",1.67,"10,644,400"
33,1.67,"May 06, 2018",1.78,1.59,"29,099,400",1.67,"8,801,520"
34,1.67,"May 05, 2018",1.74,1.62,"28,261,600",1.62,"8,038,240"
35,1.62,"May 04, 2018",1.66,1.59,"28,585,100",1.64,"7,984,160"
36,1.64,"May 03, 2018",1.72,1.60,"29,301,900",1.68,"10,245,400"
37,1.67,"May 02, 2018",1.68,1.50,"26,883,500",1.54,"11,557,700"
38,1.56,"May 01, 2018",1.58,1.45,"27,506,500",1.58,"8,880,900"
39,1.57,"Apr 30, 2018",1.68,1.54,"28,772,000",1.65,"10,115,700"
40,1.65,"Apr 29, 2018",1.74,1.61,"29,841,100",1.71,"9,972,330"
41,1.71,"Apr 28, 2018",1.98,1.68,"30,208,200",1.73,"14,886,200"
42,1.74,"Apr 27, 2018",1.84,1.73,"31,442,500",1.80,"9,613,450"
43,1.79,"Apr 26, 2018",1.85,1.70,"31,287,400",1.79,"15,625,100"
44,1.78,"Apr 25, 2018",2.21,1.66,"38,063,500",2.18,"13,244,100"
45,2.16,"Apr 24, 2018",2.17,1.93,"35,288,400",2.02,"18,746,700"
46,2.02,"Apr 23, 2018",2.05,1.97,"35,611,900",2.04,"14,745,200"
47,2.05,"Apr 22, 2018",2.08,1.89,"35,382,700",2.03,"19,479,100"
48,2.07,"Apr 21, 2018",2.39,1.92,"41,706,900",2.39,"26,102,000"
49,2.39,"Apr 20, 2018",2.99,2.30,"52,284,900",2.99,"55,467,200"
50,2.79,"Apr 19, 2018",3.00,1.20,"20,952,600",1.20,"24,401,400"
51,1.20,"Apr 18, 2018",1.25,1.17,"21,189,000",1.21,"10,144,400"
52,1.21,"Apr 17, 2018",1.30,1.15,"20,196,800",1.16,"10,346,300"
53,1.15,"Apr 16, 2018",1.25,1.06,"18,549,900",1.06,"8,823,200"
54,1.06,"Apr 15, 2018",1.06,1.01,"18,078,300",1.04,"8,131,370"
