,close,date,high,low,market_cap,open,volume
0,5.38,"Jun 08, 2018",5.41,4.72,"1,873,510",5.28,"70,723"
1,5.27,"Jun 07, 2018",5.45,5.11,"1,812,820",5.11,"67,115"
2,5.10,"Jun 06, 2018",5.54,5.00,"1,960,730",5.52,"52,832"
3,5.53,"Jun 05, 2018",5.54,4.82,"1,929,480",5.44,"63,371"
4,5.43,"Jun 04, 2018",5.57,5.19,"1,969,390",5.55,"51,259"
5,5.55,"Jun 03, 2018",5.58,4.94,"1,761,250",4.96,"48,579"
6,4.96,"Jun 02, 2018",5.69,4.33,"1,935,450",5.45,"57,131"
7,5.46,"Jun 01, 2018",5.55,5.34,"1,931,030",5.44,"42,874"
8,5.44,"May 31, 2018",5.56,5.07,"1,833,660",5.17,"40,528"
9,5.17,"May 30, 2018",5.55,5.11,"1,859,310",5.24,"33,515"
10,5.24,"May 29, 2018",5.64,4.88,"1,740,260",4.90,"17,495"
11,5.04,"May 28, 2018",6.08,5.03,"2,137,160",6.02,"41,244"
12,6.02,"May 27, 2018",6.18,4.71,"1,694,360",4.78,"8,765"
13,4.77,"May 26, 2018",5.53,4.76,"1,724,660",4.86,"36,664"
14,4.87,"May 25, 2018",5.68,4.84,"2,010,710",5.67,"41,571"
15,5.66,"May 24, 2018",6.02,4.88,"2,104,490",5.93,"62,127"
16,5.95,"May 23, 2018",6.41,4.86,"2,268,340",6.39,"35,576"
17,6.40,"May 22, 2018",6.94,5.20,"2,221,860",6.26,"22,293"
18,6.26,"May 21, 2018",8.45,5.53,"1,966,450",5.54,"22,972"
19,5.54,"May 20, 2018",8.50,5.53,"2,690,830",7.59,"13,879"
20,7.58,"May 19, 2018",7.86,5.74,"2,470,960",6.97,"37,381"
21,6.97,"May 18, 2018",7.41,5.10,"2,011,710",5.67,"39,527"
22,5.67,"May 17, 2018",9.28,5.63,"3,254,400",9.17,"50,701"
23,9.17,"May 16, 2018",9.19,7.46,"3,250,370",9.17,"96,461"
24,9.18,"May 15, 2018",10.14,9.02,"3,313,150",9.35,"91,036"
25,9.36,"May 14, 2018",10.23,9.28,"3,420,610",9.65,"90,734"
26,9.65,"May 13, 2018",10.51,5.86,"3,630,320",10.24,"65,243"
27,10.25,"May 12, 2018",10.38,8.74,"3,302,120",9.32,"55,557"
28,9.34,"May 11, 2018",10.44,8.42,"3,203,130",9.04,"106,440"
29,9.03,"May 10, 2018",10.31,9.02,"3,621,000",10.22,"90,387"
30,10.22,"May 09, 2018",10.25,9.27,"3,553,580",10.03,"67,822"
31,10.04,"May 08, 2018",10.35,9.17,"3,321,030",9.37,"119,626"
32,9.35,"May 07, 2018",10.39,8.95,"3,408,260",9.62,"86,699"
33,9.61,"May 06, 2018",10.89,8.97,"3,441,180",9.71,"11,893"
