,close,date,high,low,market_cap,open,volume
0,0.370762,"Jun 08, 2018",0.508867,0.367343,-,0.507820,17
1,0.507435,"Jun 07, 2018",0.512155,0.505722,-,0.506117,0
2,0.505652,"Jun 06, 2018",0.507693,0.505571,-,0.506720,34
3,0.509323,"Jun 03, 2018",0.510698,0.502429,-,0.504669,20
4,0.504533,"Jun 02, 2018",0.507052,0.494068,-,0.496854,20
5,0.497069,"Jun 01, 2018",0.498186,0.496298,-,0.496298,19
6,0.437067,"May 28, 2018",0.444752,0.431387,-,0.440797,6
7,0.440695,"May 27, 2018",0.442776,0.434109,-,0.440178,6
8,0.439984,"May 26, 2018",0.454825,0.437614,-,0.452261,6
9,0.534774,"May 25, 2018",0.548639,0.527767,-,0.542250,29
10,0.541233,"May 24, 2018",0.553620,0.521714,-,0.539151,29
11,0.540515,"May 23, 2018",0.575513,0.535704,-,0.573846,29
12,0.574442,"May 22, 2018",0.608129,0.571208,-,0.607662,300
13,0.607772,"May 21, 2018",0.620069,0.602525,-,0.616317,15
14,0.615548,"May 20, 2018",0.620313,0.603257,-,0.603518,15
15,0.580750,"May 18, 2018",0.583575,0.570613,-,0.579196,17
16,0.578688,"May 17, 2018",0.605378,0.575370,-,0.598576,17
17,0.598211,"May 16, 2018",0.608766,0.583063,-,0.608267,167
18,0.608617,"May 15, 2018",0.611095,0.411062,-,0.425836,237
19,0.498184,"May 14, 2018",0.499212,0.473362,-,0.494015,51
20,0.494104,"May 13, 2018",0.497759,0.475741,-,0.481362,51
21,0.481529,"May 12, 2018",0.485999,0.395470,-,0.400499,90
22,0.401679,"May 11, 2018",0.418375,0.385422,-,0.418375,147
23,0.417875,"May 10, 2018",0.435681,0.417471,-,0.433466,34
24,0.433588,"May 09, 2018",0.442724,0.425886,-,0.435664,0
25,0.436330,"May 08, 2018",0.439970,0.422228,-,0.435945,313
26,0.435022,"May 07, 2018",0.576200,0.432285,-,0.575904,0
27,0.575491,"May 06, 2018",0.599781,0.565770,-,0.594216,39
28,0.593814,"May 05, 2018",0.602090,0.585074,-,0.585994,3
29,0.586272,"May 04, 2018",0.589227,0.582552,-,0.583990,0
30,0.557289,"May 03, 2018",0.558501,0.556044,-,0.557372,35
31,0.557352,"May 02, 2018",0.559509,0.543318,-,0.549156,35
32,0.549984,"May 01, 2018",0.549984,0.533565,-,0.549175,57
33,0.548696,"Apr 30, 2018",0.585215,0.545901,-,0.571611,211
34,0.571802,"Apr 29, 2018",0.572225,0.554612,-,0.558800,78
35,0.559018,"Apr 28, 2018",0.564191,0.541331,-,0.544207,64
36,0.545868,"Apr 27, 2018",0.565924,0.541134,-,0.561451,4
37,0.560675,"Apr 26, 2018",0.561925,0.522165,-,0.535234,4
38,0.530834,"Apr 25, 2018",0.579381,0.524014,-,0.576591,81
39,0.580535,"Apr 24, 2018",0.580535,0.533651,-,0.533891,48
40,0.533437,"Apr 23, 2018",0.536331,0.525983,-,0.533914,11
41,0.534993,"Apr 22, 2018",0.546101,0.532193,-,0.542859,11
42,0.542859,"Apr 21, 2018",0.542859,0.491430,-,0.504209,96
43,0.504036,"Apr 20, 2018",0.508722,0.407905,-,0.408170,87
44,0.407902,"Apr 19, 2018",0.408190,0.401223,-,0.403013,5
45,0.402714,"Apr 18, 2018",0.423709,0.389026,-,0.421565,5
46,0.421175,"Apr 17, 2018",0.434762,0.419803,-,0.429755,26
47,0.429538,"Apr 16, 2018",0.456100,0.424409,-,0.453548,27
48,0.453739,"Apr 15, 2018",0.804979,0.434867,-,0.434867,79
49,0.434401,"Apr 14, 2018",0.443078,0.425078,-,0.426541,43
50,0.426542,"Apr 13, 2018",0.445580,0.421458,-,0.429325,19
51,0.428784,"Apr 12, 2018",0.450336,0.383089,-,0.400715,120
52,0.401684,"Apr 11, 2018",0.401684,0.392927,-,0.394058,0
53,0.393678,"Apr 10, 2018",0.396060,0.312474,-,0.314638,140
54,0.314381,"Apr 09, 2018",0.333693,0.283185,-,0.283185,4
55,0.282727,"Apr 08, 2018",0.286046,0.278311,-,0.278311,107
56,0.278060,"Apr 07, 2018",0.283795,0.255410,-,0.255790,146
57,0.255484,"Apr 06, 2018",0.264507,0.252050,-,0.261779,29
58,0.263120,"Apr 05, 2018",0.277743,0.259041,-,0.271059,96
59,0.270946,"Apr 04, 2018",0.295987,0.191811,-,0.295987,32
60,0.296191,"Apr 03, 2018",0.296627,0.196461,-,0.206143,13
61,0.205997,"Apr 02, 2018",0.207580,0.198296,-,0.199593,30
62,0.198616,"Apr 01, 2018",0.203686,0.179254,-,0.192640,40
63,0.192645,"Mar 31, 2018",0.200070,0.189509,-,0.190065,445
64,0.190036,"Mar 30, 2018",0.202289,0.174709,-,0.185453,51
65,0.185915,"Mar 29, 2018",0.208322,0.180508,-,0.207981,72
66,0.207738,"Mar 28, 2018",0.210815,0.181869,-,0.182885,109
67,0.182926,"Mar 27, 2018",0.208458,0.182693,-,0.208237,22
68,0.208553,"Mar 26, 2018",0.216320,0.200160,-,0.215141,31
69,0.215306,"Mar 25, 2018",0.221197,0.196973,-,0.196973,32
70,0.199722,"Mar 24, 2018",0.208329,0.199247,-,0.206443,0
71,0.203480,"Mar 23, 2018",0.203480,0.198796,-,0.200220,0
72,0.205648,"Mar 21, 2018",0.209367,0.204502,-,0.204800,0
73,0.204429,"Mar 20, 2018",0.207242,0.191965,-,0.198334,0
74,0.196146,"Mar 19, 2018",0.199629,0.187220,-,0.188377,0
75,0.189174,"Mar 18, 2018",0.212696,0.169493,-,0.212696,138
76,0.213215,"Mar 17, 2018",0.224352,0.208940,-,0.223885,35
77,0.223516,"Mar 16, 2018",0.235760,0.186422,-,0.222402,102
78,0.222527,"Mar 15, 2018",0.226325,0.177227,-,0.188927,6
79,0.189012,"Mar 14, 2018",0.268913,0.184062,-,0.262890,26
80,0.262854,"Mar 13, 2018",0.272467,0.254979,-,0.261149,37
81,0.262657,"Mar 12, 2018",0.297215,0.237014,-,0.286759,44
82,0.287665,"Mar 11, 2018",0.292229,0.228249,-,0.236318,101
83,0.237136,"Mar 10, 2018",0.253413,0.234981,-,0.245658,93
84,0.245553,"Mar 09, 2018",0.246858,0.216026,-,0.239335,0
85,0.240860,"Mar 08, 2018",0.243408,0.238509,-,0.241415,54
86,0.226479,"Mar 07, 2018",0.251469,0.218298,-,0.247743,35
87,0.248065,"Mar 06, 2018",0.265918,0.245155,-,0.265918,38
88,0.266655,"Mar 05, 2018",0.268261,0.252583,-,0.254327,41
89,0.254513,"Mar 04, 2018",0.262755,0.251929,-,0.262544,2
90,0.262998,"Mar 03, 2018",0.263757,0.252895,-,0.252895,67
91,0.253204,"Mar 02, 2018",0.313207,0.247971,-,0.306285,80
92,0.307074,"Mar 01, 2018",0.310771,0.254654,-,0.261428,222
93,0.261044,"Feb 28, 2018",0.270370,0.234385,-,0.235790,269
94,0.236069,"Feb 27, 2018",0.281941,0.233859,-,0.268427,907
95,0.267653,"Feb 26, 2018",0.271105,0.237710,-,0.241485,"2,241"
96,0.241176,"Feb 25, 2018",0.251923,0.206442,-,0.249478,197
97,0.249857,"Feb 24, 2018",0.268719,0.201340,-,0.256913,526
98,0.257239,"Feb 23, 2018",0.262204,0.194522,-,0.199444,0
99,0.199631,"Feb 22, 2018",0.220968,0.197512,-,0.212334,86
100,0.212550,"Feb 21, 2018",0.279469,0.212550,-,0.252371,772
101,0.252686,"Feb 20, 2018",0.273134,0.249985,-,0.251470,104
102,0.251241,"Feb 19, 2018",0.258924,0.237566,-,0.238301,87
103,0.239401,"Feb 18, 2018",0.275426,0.234289,-,0.273046,49
104,0.272211,"Feb 17, 2018",0.273821,0.255555,-,0.258886,121
105,0.258945,"Feb 16, 2018",0.273275,0.247590,-,0.268406,37
106,0.269557,"Feb 15, 2018",0.274058,0.251102,-,0.253982,121
107,0.253844,"Feb 14, 2018",0.254483,0.228110,-,0.228110,4
108,0.228793,"Feb 13, 2018",0.242913,0.227376,-,0.241812,128
109,0.241373,"Feb 12, 2018",0.261414,0.228042,-,0.247730,7
110,0.246161,"Feb 11, 2018",0.259087,0.223807,-,0.238587,143
111,0.238791,"Feb 10, 2018",0.280079,0.221263,-,0.268824,206
112,0.268628,"Feb 09, 2018",0.269474,0.240521,-,0.255400,296
113,0.254617,"Feb 08, 2018",0.266096,0.234365,-,0.234365,27
114,0.235306,"Feb 07, 2018",0.264876,0.230660,-,0.246374,25
115,0.248864,"Feb 06, 2018",0.251545,0.189547,-,0.221556,43
116,0.221276,"Feb 05, 2018",0.271271,0.215708,-,0.265780,94
117,0.268382,"Feb 04, 2018",0.295091,0.256501,-,0.269009,314
118,0.268871,"Feb 03, 2018",0.293761,0.253881,-,0.274354,19
119,0.273421,"Feb 02, 2018",0.281793,0.238723,-,0.281126,23
120,0.281708,"Feb 01, 2018",0.316194,0.267527,-,0.314836,8
121,0.314051,"Jan 31, 2018",0.332076,0.304695,-,0.324061,0
122,0.323553,"Jan 30, 2018",0.363132,0.318187,-,0.362332,13
123,0.362213,"Jan 29, 2018",0.380136,0.355814,-,0.375278,15
124,0.375637,"Jan 28, 2018",0.378593,0.247573,-,0.248329,409
125,0.247065,"Jan 27, 2018",0.257948,0.229218,-,0.236087,224
126,0.236244,"Jan 26, 2018",0.246534,0.220640,-,0.232242,147
127,0.232861,"Jan 25, 2018",0.409299,0.231582,-,0.292031,55
128,0.287304,"Jan 24, 2018",0.289252,0.215595,-,0.222127,218
129,0.222253,"Jan 23, 2018",0.248780,0.220872,-,0.239108,62
130,0.239743,"Jan 22, 2018",0.263178,0.224636,-,0.262737,4
131,0.254859,"Jan 21, 2018",0.285554,0.250197,-,0.285554,191
132,0.284891,"Jan 20, 2018",0.290916,0.259151,-,0.259286,214
133,0.256499,"Jan 19, 2018",0.256499,0.219218,-,0.224127,328
134,0.226508,"Jan 18, 2018",0.237819,0.203869,-,0.212228,178
135,0.211412,"Jan 17, 2018",0.383560,0.180812,-,0.208911,292
136,0.209976,"Jan 16, 2018",0.275352,0.185721,-,0.275352,78
137,0.275009,"Jan 15, 2018",0.283121,0.250187,-,0.251530,171
138,0.253367,"Jan 14, 2018",0.282488,0.244776,-,0.264959,144
139,0.264786,"Jan 13, 2018",0.271549,0.262430,-,0.262430,190
140,0.262730,"Jan 12, 2018",0.268510,0.247041,-,0.254535,51
141,0.252865,"Jan 11, 2018",0.376798,0.248231,-,0.375428,173
142,0.375850,"Jan 10, 2018",0.375850,0.250247,-,0.266981,142
143,0.266631,"Jan 09, 2018",0.282044,0.262885,-,0.275306,30
144,0.276058,"Jan 08, 2018",0.300884,0.254674,-,0.299760,275
145,0.300180,"Jan 07, 2018",0.312996,0.292487,-,0.312996,845
146,0.313226,"Jan 06, 2018",0.314937,0.293376,-,0.307937,754
147,0.300903,"Jan 05, 2018",0.307141,0.258685,-,0.276374,828
148,0.276319,"Jan 04, 2018",0.281461,0.261640,-,0.277004,340
149,0.275495,"Jan 03, 2018",0.276030,0.163296,-,0.250576,328
150,0.251468,"Jan 02, 2018",0.287131,0.231769,-,0.240054,326
151,0.240073,"Jan 01, 2018",0.244170,0.206355,-,0.230211,325
152,0.229324,"Dec 31, 2017",0.410478,0.229324,-,0.251782,709
153,0.254531,"Dec 30, 2017",0.269600,0.236772,-,0.258764,90
154,0.259417,"Dec 29, 2017",0.270957,0.228964,-,0.232203,114
155,0.229824,"Dec 28, 2017",0.272551,0.218276,-,0.271402,246
156,0.271972,"Dec 27, 2017",0.275688,0.248818,-,0.257806,140
157,0.257619,"Dec 26, 2017",0.298621,0.254482,-,0.267882,347
158,0.268156,"Dec 25, 2017",0.288344,0.259211,-,0.285542,284
159,0.282607,"Dec 24, 2017",0.282607,0.195361,-,0.227070,104
160,0.224590,"Dec 23, 2017",0.249850,0.223237,-,0.226419,155
161,0.224300,"Dec 22, 2017",0.303075,0.193982,-,0.300118,170
162,0.299081,"Dec 21, 2017",0.321942,0.282352,-,0.285921,1
163,0.285174,"Dec 20, 2017",0.326299,0.273452,-,0.326299,182
164,0.326621,"Dec 19, 2017",0.369471,0.290886,-,0.297240,134
165,0.296988,"Dec 18, 2017",0.326289,0.283862,-,0.297191,77
166,0.296294,"Dec 17, 2017",0.355966,0.250499,-,0.349801,602
167,0.349756,"Dec 16, 2017",0.352520,0.207345,-,0.275391,"1,122"
168,0.275004,"Dec 15, 2017",0.350119,0.197354,-,0.197392,802
169,0.197096,"Dec 14, 2017",0.340032,0.192766,-,0.194868,740
170,0.195496,"Dec 13, 2017",0.346130,0.181125,-,0.190036,224
171,0.189877,"Dec 12, 2017",0.248621,0.189770,-,0.235713,455
172,0.234959,"Dec 11, 2017",0.245059,0.212525,-,0.213458,23
173,0.215010,"Dec 10, 2017",0.268660,0.193400,-,0.268660,229
174,0.267575,"Dec 09, 2017",0.294874,0.241979,-,0.290569,0
175,0.290862,"Dec 08, 2017",0.320360,0.251587,-,0.315653,2
176,0.314912,"Dec 07, 2017",0.316269,0.267271,-,0.270734,32
177,0.271200,"Dec 06, 2017",0.271582,0.192547,-,0.192547,704
178,0.192974,"Dec 05, 2017",0.232390,0.192974,-,0.231592,182
179,0.231138,"Dec 04, 2017",0.231138,0.208740,-,0.208971,111
180,0.208280,"Dec 03, 2017",0.220035,0.196822,-,0.203207,44
181,0.203013,"Dec 02, 2017",0.208562,0.199844,-,0.202776,43
182,0.202948,"Dec 01, 2017",0.255009,0.172436,-,0.184144,117
183,0.185061,"Nov 30, 2017",0.186778,0.169400,-,0.178299,291
184,0.079614,"Nov 23, 2017",0.185358,0.079080,-,0.164069,2
185,0.164122,"Nov 22, 2017",0.192401,0.124259,-,0.129038,509
186,0.128852,"Nov 21, 2017",0.132477,0.090728,-,0.122863,215
187,0.122787,"Nov 20, 2017",0.180143,0.122787,-,0.153991,"1,533"
188,0.153878,"Nov 19, 2017",0.153878,0.134966,-,0.134966,76
189,0.135125,"Nov 18, 2017",0.136134,0.092149,-,0.092379,0
190,0.092237,"Nov 17, 2017",0.141895,0.082808,-,0.138026,0
191,0.141987,"Nov 16, 2017",0.183659,0.083111,-,0.152184,165
192,0.151538,"Nov 15, 2017",0.177123,0.146667,-,0.164648,0
193,0.165579,"Nov 14, 2017",0.167343,0.144017,-,0.155677,306
194,0.155650,"Nov 13, 2017",0.159169,0.147970,-,0.155188,31
195,0.116166,"Nov 11, 2017",0.121548,0.113100,-,0.116528,37
196,0.116906,"Nov 10, 2017",0.128213,0.114001,-,0.124618,37
197,0.124249,"Nov 09, 2017",0.133319,0.123834,-,0.133319,18
198,0.133457,"Nov 08, 2017",0.140021,0.126265,-,0.127018,34
199,0.127418,"Nov 07, 2017",0.129031,0.115284,-,0.124566,118
200,0.124746,"Nov 06, 2017",0.132023,0.121132,-,0.125951,32
201,0.125832,"Nov 05, 2017",0.127682,0.121147,-,0.125399,87
202,0.125637,"Nov 04, 2017",0.128337,0.124097,-,0.124754,1
203,0.138896,"Nov 03, 2017",0.146853,0.129428,-,0.141267,95
204,0.140919,"Nov 02, 2017",0.215974,0.109395,-,0.214122,102
205,0.212841,"Nov 01, 2017",0.237589,0.112671,-,0.114057,2
206,0.114141,"Oct 31, 2017",0.114141,0.109070,-,0.109275,12
207,0.179612,"Oct 29, 2017",0.182872,0.165234,-,0.165675,0
208,0.165901,"Oct 28, 2017",0.166526,0.101330,-,0.104420,0
209,0.104381,"Oct 27, 2017",0.107572,0.092008,-,0.100286,40
210,0.100307,"Oct 26, 2017",0.106482,0.094388,-,0.105739,49
211,0.105858,"Oct 25, 2017",0.107085,0.101247,-,0.104212,34
212,0.180890,"Oct 21, 2017",0.182070,0.176264,-,0.177498,36
213,0.177872,"Oct 20, 2017",0.180633,0.114469,-,0.154594,104
214,0.154550,"Oct 19, 2017",0.172920,0.145224,-,0.151397,4
215,0.151439,"Oct 18, 2017",0.152193,0.112171,-,0.114003,150
216,0.113995,"Oct 17, 2017",0.175499,0.112683,-,0.175020,19
217,0.174994,"Oct 16, 2017",0.175869,0.118419,-,0.155373,17
218,0.155355,"Oct 15, 2017",0.190866,0.123506,-,0.123506,10
219,0.123482,"Oct 14, 2017",0.123500,0.111908,-,0.113207,0
220,0.113178,"Oct 13, 2017",0.119633,0.095918,-,0.115484,24
221,0.115376,"Oct 12, 2017",0.167265,0.099623,-,0.125530,89
222,0.125424,"Oct 11, 2017",0.152539,0.123923,-,0.152224,164
223,0.152243,"Oct 10, 2017",0.155946,0.109174,-,0.121246,537
224,0.121251,"Oct 09, 2017",0.126826,0.118006,-,0.119673,668
225,0.119642,"Oct 08, 2017",0.120095,0.115139,-,0.120095,82
226,0.120417,"Oct 07, 2017",0.120700,0.116914,-,0.118203,18
227,0.118165,"Oct 06, 2017",0.118979,0.112187,-,0.112413,0
228,0.112414,"Oct 05, 2017",0.115251,0.100576,-,0.105136,44
229,0.105083,"Oct 04, 2017",0.127079,0.104076,-,0.111433,339
230,0.111306,"Oct 03, 2017",0.126201,0.109672,-,0.125844,414
231,0.125842,"Oct 02, 2017",0.161364,0.124041,-,0.158598,195
232,0.158635,"Oct 01, 2017",0.159303,0.131458,-,0.155221,121
233,0.155137,"Sep 30, 2017",0.155689,0.108412,-,0.108514,28
234,0.108500,"Sep 29, 2017",0.155170,0.108007,-,0.153400,57
235,0.153424,"Sep 28, 2017",0.161954,0.147812,-,0.149343,192
236,0.149341,"Sep 27, 2017",0.149578,0.131993,-,0.131993,65
237,0.131994,"Sep 26, 2017",0.137750,0.129640,-,0.130415,72
238,0.130415,"Sep 25, 2017",0.130415,0.115467,-,0.123773,20
