,close,date,high,low,market_cap,open,volume
0,0.015345,"Jun 07, 2018",0.015349,0.015314,"109,232",0.015314,"4,128"
1,0.015299,"Jun 06, 2018",0.015346,0.007506,"54,382",0.007624,"4,121"
2,0.015252,"Jun 05, 2018",0.015273,0.007384,"53,514",0.007502,259
3,0.007499,"Jun 04, 2018",0.015459,0.007482,"54,988",0.007709,"1,502"
4,0.015411,"Jun 03, 2018",0.015451,0.007627,"54,460",0.007635,"1,175"
5,0.007633,"Jun 02, 2018",0.022993,0.007477,"53,616",0.007517,"46,673"
6,0.007520,"Jun 01, 2018",0.022749,0.007389,"106,876",0.014983,"65,679"
7,0.022458,"May 31, 2018",0.037742,0.007347,"52,661",0.007383,"208,393"
8,0.007384,"May 30, 2018",0.007550,0.007305,"53,245",0.007465,4
9,0.007460,"May 29, 2018",0.007532,0.007079,"50,777",0.007118,3
10,0.007121,"May 28, 2018",0.007411,0.007099,"52,395",0.007345,10
11,0.007344,"May 27, 2018",0.007378,0.007234,"52,322",0.007335,1
12,0.007332,"May 26, 2018",0.007623,0.007292,"53,269",0.007468,9
13,0.007478,"May 25, 2018",0.007652,0.007361,"53,946",0.007563,376
14,0.007549,"May 24, 2018",0.007721,0.007276,"53,637",0.007520,27
15,0.007539,"May 23, 2018",0.008027,0.007471,"57,089",0.008003,36
16,0.008012,"May 22, 2018",0.008414,0.007967,"59,972",0.008408,354
17,0.008409,"May 21, 2018",0.008579,0.008337,"60,826",0.008527,40
18,0.008517,"May 20, 2018",0.008583,0.008192,"58,815",0.008245,11
19,0.008239,"May 19, 2018",0.008367,0.008174,"58,769",0.008239,21
20,0.008240,"May 18, 2018",0.008270,0.007958,"57,621",0.008078,15
21,0.008071,"May 17, 2018",0.008443,0.008025,"59,549",0.008348,87
22,0.008343,"May 16, 2018",0.008493,0.008135,"60,532",0.008486,56
23,0.008491,"May 15, 2018",0.008819,0.008442,"61,869",0.008674,231
24,0.008689,"May 14, 2018",0.008857,0.008327,"61,951",0.008690,291
25,0.008692,"May 13, 2018",0.008756,0.008369,"60,332",0.008468,378
26,0.008471,"May 12, 2018",0.008634,0.008236,"59,776",0.008395,64
27,0.008420,"May 11, 2018",0.009038,0.008364,"64,312",0.009038,521
28,0.009027,"May 10, 2018",0.009389,0.009018,"66,263",0.009314,64
29,0.009316,"May 09, 2018",0.009348,0.008993,"65,418",0.009199,41
30,0.009213,"May 08, 2018",0.009453,0.009072,"66,561",0.009367,28
31,0.009347,"May 07, 2018",0.009619,0.009209,"68,296",0.009614,130
32,0.009607,"May 06, 2018",0.009921,0.009444,"69,772",0.009829,7
33,0.009822,"May 05, 2018",0.009959,0.009677,"68,773",0.009693,737
34,0.009697,"May 04, 2018",0.009770,0.009563,"69,149",0.009748,179
35,0.009751,"May 03, 2018",0.009798,0.009186,"65,390",0.009219,646
36,0.009219,"May 02, 2018",0.009255,0.008987,"64,371",0.009083,34
37,0.009097,"May 01, 2018",0.009241,0.008866,"65,453",0.009241,59
38,0.009233,"Apr 30, 2018",0.009439,0.009149,"66,550",0.009402,18
39,0.009405,"Apr 29, 2018",0.009525,0.009199,"66,118",0.009345,45
40,0.009349,"Apr 28, 2018",0.009436,0.008893,"63,040",0.008916,35
41,0.008946,"Apr 27, 2018",0.009371,0.008946,"65,699",0.009297,649
42,0.009284,"Apr 26, 2018",0.009305,0.008647,"62,599",0.008863,100
43,0.008790,"Apr 25, 2018",0.009745,0.008778,"68,456",0.009698,8
44,0.009764,"Apr 24, 2018",0.009764,0.008921,"62,964",0.008925,144
45,0.008917,"Apr 23, 2018",0.008944,0.008774,"61,916",0.008781,49
46,0.008799,"Apr 22, 2018",0.008982,0.008753,"62,920",0.008928,59
47,0.008928,"Apr 21, 2018",0.008972,0.008662,"62,275",0.008842,173
48,0.008839,"Apr 20, 2018",0.008921,0.008235,"58,204",0.008269,153
