,close,date,high,low,market_cap,open,volume
0,0.000009,"Jun 08, 2018",0.000009,0.000009,-,0.000009,"1,275"
1,0.000009,"Jun 07, 2018",0.000009,0.000008,-,0.000009,"1,270"
2,0.000009,"Jun 06, 2018",0.000009,0.000008,-,0.000009,"1,711"
3,0.000009,"Jun 05, 2018",0.000009,0.000008,-,0.000008,768
4,0.000008,"Jun 04, 2018",0.000009,0.000008,-,0.000008,"1,263"
5,0.000008,"Jun 03, 2018",0.000008,0.000008,-,0.000008,105
6,0.000008,"Jun 02, 2018",0.000011,0.000008,-,0.000010,302
7,0.000010,"Jun 01, 2018",0.000016,0.000010,-,0.000013,514
8,0.000013,"May 31, 2018",0.000025,0.000012,-,0.000022,976
9,0.000022,"May 30, 2018",0.000052,0.000009,-,0.000050,"1,075"
10,0.000050,"May 29, 2018",0.000050,0.000007,-,0.000033,494
11,0.000033,"May 28, 2018",0.000060,0.000016,-,0.000016,540
12,0.000016,"May 27, 2018",0.000041,0.000015,-,0.000034,115
13,0.000034,"May 26, 2018",0.000035,0.000018,-,0.000021,489
14,0.000021,"May 25, 2018",0.000028,0.000008,-,0.000016,348
15,0.000016,"May 24, 2018",0.000019,0.000009,-,0.000009,687
16,0.000009,"May 23, 2018",0.000014,0.000009,-,0.000010,"1,162"
17,0.000010,"May 22, 2018",0.000027,0.000010,-,0.000025,"1,039"
18,0.000025,"May 21, 2018",0.000065,0.000015,-,0.000057,380
19,0.000057,"May 20, 2018",0.000057,0.000008,-,0.000010,515
20,0.000010,"May 19, 2018",0.000013,0.000009,-,0.000012,105
21,0.000011,"May 18, 2018",0.000060,0.000011,-,0.000042,747
22,0.000042,"May 17, 2018",0.000044,0.000008,-,0.000040,"3,974"
23,0.000040,"May 16, 2018",0.000048,0.000009,-,0.000009,"4,301"
24,0.000009,"May 15, 2018",0.000057,0.000009,-,0.000055,"1,648"
25,0.000055,"May 14, 2018",0.000055,0.000009,-,0.000017,375
26,0.000016,"May 13, 2018",0.000039,0.000016,-,0.000027,"1,206"
27,0.000027,"May 12, 2018",0.000028,0.000008,-,0.000010,"1,151"
28,0.000010,"May 11, 2018",0.000063,0.000009,-,0.000062,960
29,0.000062,"May 10, 2018",0.000087,0.000031,-,0.000086,668
30,0.000086,"May 09, 2018",0.000087,0.000024,-,0.000033,"2,099"
31,0.000033,"May 08, 2018",0.000078,0.000030,-,0.000067,"1,034"
32,0.000066,"May 07, 2018",0.000092,0.000060,-,0.000084,748
33,0.000084,"May 06, 2018",0.000087,0.000012,-,0.000020,"3,659"
34,0.000020,"May 05, 2018",0.000041,0.000019,-,0.000031,289
35,0.000031,"May 04, 2018",0.000082,0.000031,-,0.000082,342
36,0.000082,"May 03, 2018",0.000083,0.000012,-,0.000052,"1,213"
37,0.000052,"May 02, 2018",0.000088,0.000051,-,0.000079,507
38,0.000079,"May 01, 2018",0.000079,0.000044,-,0.000062,"3,623"
39,0.000062,"Apr 30, 2018",0.000067,0.000014,-,0.000042,860
40,0.000042,"Apr 29, 2018",0.000095,0.000041,-,0.000093,"1,127"
41,0.000093,"Apr 28, 2018",0.000094,0.000022,-,0.000022,47
42,0.000022,"Apr 27, 2018",0.000083,0.000022,-,0.000083,"2,019"
43,0.000083,"Apr 26, 2018",0.000089,0.000079,-,0.000083,"4,118"
44,0.000082,"Apr 25, 2018",0.000089,0.000018,-,0.000018,"3,600"
45,0.000018,"Apr 24, 2018",0.000019,0.000015,-,0.000015,"2,684"
46,0.000015,"Apr 23, 2018",0.000027,0.000012,-,0.000023,"5,742"
47,0.000023,"Apr 22, 2018",0.000026,0.000008,-,0.000012,"2,603"
48,0.000012,"Apr 21, 2018",0.000043,0.000010,-,0.000038,"1,837"
49,0.000038,"Apr 20, 2018",0.000075,0.000031,-,0.000066,93
50,0.000066,"Apr 19, 2018",0.000079,0.000057,-,0.000076,658
51,0.000075,"Apr 18, 2018",0.000077,0.000016,-,0.000039,81
52,0.000039,"Apr 17, 2018",0.000059,0.000039,-,0.000044,244
53,0.000044,"Apr 16, 2018",0.000070,0.000013,-,0.000068,546
