,close,date,high,low,market_cap,open,volume
0,0.000077,"Jun 07, 2018",0.000077,0.000077,-,0.000077,2
1,0.000076,"Jun 06, 2018",0.000077,0.000075,-,0.000075,3
2,0.000077,"Jun 04, 2018",0.000077,0.000077,-,0.000077,1
3,0.000077,"Jun 03, 2018",0.000077,0.000076,-,0.000076,1
4,0.000074,"May 25, 2018",0.000077,0.000074,-,0.000076,26
5,0.000075,"May 24, 2018",0.000077,0.000073,-,0.000075,27
6,0.000075,"May 23, 2018",0.000080,0.000075,-,0.000080,10
7,0.000080,"May 22, 2018",0.000084,0.000080,-,0.000084,8
8,0.000084,"May 21, 2018",0.000086,0.000083,-,0.000085,2
9,0.000085,"May 20, 2018",0.000086,0.000082,-,0.000082,135
10,0.000083,"May 17, 2018",0.000084,0.000082,-,0.000083,1
11,0.000083,"May 16, 2018",0.000084,0.000082,-,0.000082,9
12,0.000085,"May 15, 2018",0.000088,0.000085,-,0.000087,37
13,0.000087,"May 14, 2018",0.000089,0.000083,-,0.000087,39
14,0.000087,"May 13, 2018",0.000088,0.000086,-,0.000086,83
15,0.000087,"May 11, 2018",0.000090,0.000085,-,0.000090,17
16,0.000090,"May 10, 2018",0.000094,0.000090,-,0.000093,244
17,0.000093,"May 09, 2018",0.000093,0.000090,-,0.000092,572
18,0.000092,"May 08, 2018",0.000095,0.000091,-,0.000094,10
19,0.000093,"May 07, 2018",0.000096,0.000092,-,0.000096,6
20,0.000096,"May 06, 2018",0.000099,0.000094,-,0.000098,23
21,0.000098,"May 05, 2018",0.000100,0.000097,-,0.000097,4
22,0.000097,"May 04, 2018",0.000097,0.000096,-,0.000097,72
23,0.000094,"May 03, 2018",0.000095,0.000092,-,0.000092,2
24,0.000092,"May 02, 2018",0.000093,0.000090,-,0.000091,314
25,0.000091,"May 01, 2018",0.000091,0.000089,-,0.000089,91
26,0.000092,"Apr 30, 2018",0.000094,0.000092,-,0.000094,9
27,0.000094,"Apr 29, 2018",0.000095,0.000092,-,0.000095,9
28,0.000094,"Apr 28, 2018",0.000094,0.000089,-,0.000089,26
29,0.000089,"Apr 27, 2018",0.000094,0.000089,-,0.000093,24
30,0.000093,"Apr 26, 2018",0.000093,0.000088,-,0.000089,34
31,0.000095,"Apr 24, 2018",0.000095,0.000089,-,0.000089,119
32,0.000089,"Apr 23, 2018",0.000089,0.000088,-,0.000088,112
33,0.000088,"Apr 22, 2018",0.000090,0.000088,-,0.000089,12
34,0.000089,"Apr 21, 2018",0.000090,0.000087,-,0.000088,2
35,0.000088,"Apr 20, 2018",0.000089,0.000082,-,0.000083,2
36,0.000083,"Apr 19, 2018",0.000083,0.000081,-,0.000082,181
37,0.000082,"Apr 18, 2018",0.000082,0.000079,-,0.000079,"1,055"
38,0.000079,"Apr 17, 2018",0.000081,0.000079,-,0.000080,1
39,0.000080,"Apr 16, 2018",0.000084,0.000079,-,0.000083,1
40,0.000083,"Apr 15, 2018",0.000084,0.000080,-,0.000080,7
41,0.000080,"Apr 14, 2018",0.000082,0.000078,-,0.000079,9
42,0.000079,"Apr 13, 2018",0.000082,0.000078,-,0.000079,6
43,0.000079,"Apr 12, 2018",0.000079,0.000068,-,0.000069,8
44,0.000070,"Apr 11, 2018",0.000070,0.000068,-,0.000068,1
45,0.000068,"Apr 10, 2018",0.000069,0.000067,-,0.000068,924
46,0.000068,"Apr 09, 2018",0.000072,0.000066,-,0.000070,17
47,0.000070,"Apr 08, 2018",0.000071,0.000069,-,0.000069,16
48,0.000069,"Apr 07, 2018",0.000070,0.000066,-,0.000066,15
49,0.000066,"Apr 06, 2018",0.000068,0.000065,-,0.000068,64
50,0.000068,"Apr 05, 2018",0.000068,0.000066,-,0.000068,1
51,0.000068,"Apr 04, 2018",0.000074,0.000067,-,0.000074,68
52,0.000074,"Apr 03, 2018",0.000075,0.000070,-,0.000070,74
53,0.000070,"Apr 02, 2018",0.000071,0.000068,-,0.000068,3
54,0.000068,"Apr 01, 2018",0.000070,0.000064,-,0.000069,1
55,0.000069,"Mar 31, 2018",0.000072,0.000068,-,0.000068,1
56,0.000068,"Mar 30, 2018",0.000072,0.000066,-,0.000071,1
57,0.000071,"Mar 29, 2018",0.000080,0.000069,-,0.000079,1
58,0.000079,"Mar 28, 2018",0.000081,0.000077,-,0.000078,2
59,0.000078,"Mar 27, 2018",0.000082,0.000078,-,0.000082,7
60,0.000082,"Mar 26, 2018",0.000085,0.000079,-,0.000084,10
61,0.000084,"Mar 25, 2018",0.000087,0.000084,-,0.000085,38
62,0.000086,"Mar 24, 2018",0.000090,0.000086,-,0.000089,19
63,0.000088,"Mar 23, 2018",0.000088,0.000083,-,0.000087,1
64,0.000087,"Mar 22, 2018",0.000091,0.000085,-,0.000089,178
65,0.000089,"Mar 21, 2018",0.000092,0.000088,-,0.000091,135
66,0.000085,"Mar 20, 2018",0.000086,0.000084,-,0.000086,1
67,0.000085,"Mar 19, 2018",0.000087,0.000081,-,0.000082,10
68,0.000082,"Mar 18, 2018",0.000083,0.000073,-,0.000079,1
69,0.000079,"Mar 17, 2018",0.000083,0.000077,-,0.000083,3
70,0.000083,"Mar 16, 2018",0.000086,0.000080,-,0.000083,11
71,0.000083,"Mar 15, 2018",0.000084,0.000077,-,0.000082,239
72,0.000082,"Mar 14, 2018",0.000094,0.000080,-,0.000091,8
73,0.000091,"Mar 13, 2018",0.000095,0.000089,-,0.000091,14
74,0.000091,"Mar 12, 2018",0.000099,0.000088,-,0.000095,14
75,0.000096,"Mar 11, 2018",0.000097,0.000085,-,0.000088,1
76,0.000088,"Mar 10, 2018",0.000095,0.000087,-,0.000093,3
77,0.000087,"Mar 09, 2018",0.000094,0.000084,-,0.000093,4
78,0.000094,"Mar 08, 2018",0.000100,0.000091,-,0.000099,5
79,0.000099,"Mar 07, 2018",0.000109,0.000094,-,0.000107,1
80,0.000107,"Mar 06, 2018",0.000109,0.000106,-,0.000108,2
81,0.000116,"Mar 05, 2018",0.000117,0.000114,-,0.000115,2
82,0.000115,"Mar 04, 2018",0.000115,0.000111,-,0.000114,22
83,0.000115,"Mar 03, 2018",0.000115,0.000110,-,0.000110,183
84,0.000110,"Mar 02, 2018",0.000112,0.000108,-,0.000109,5
85,0.000109,"Mar 01, 2018",0.000111,0.000102,-,0.000103,7
86,0.000103,"Feb 28, 2018",0.000110,0.000103,-,0.000107,44
87,0.000107,"Feb 27, 2018",0.000108,0.000102,-,0.000103,4
88,0.000103,"Feb 26, 2018",0.000104,0.000094,-,0.000096,35
89,0.000096,"Feb 25, 2018",0.000099,0.000093,-,0.000097,155
90,0.000097,"Feb 24, 2018",0.000105,0.000094,-,0.000101,13
91,0.000102,"Feb 23, 2018",0.000102,0.000096,-,0.000098,3
92,0.000099,"Feb 22, 2018",0.000109,0.000097,-,0.000105,88
93,0.000105,"Feb 21, 2018",0.000112,0.000103,-,0.000112,43
94,0.000112,"Feb 20, 2018",0.000118,0.000111,-,0.000112,99
95,0.000112,"Feb 19, 2018",0.000113,0.000104,-,0.000106,27
96,0.000105,"Feb 18, 2018",0.000113,0.000105,-,0.000111,11
97,0.000111,"Feb 17, 2018",0.000111,0.000106,-,0.000108,11
98,0.000101,"Feb 16, 2018",0.000103,0.000097,-,0.000101,1
99,0.000101,"Feb 15, 2018",0.000102,0.000094,-,0.000095,117
100,0.000095,"Feb 14, 2018",0.000095,0.000085,-,0.000085,38
101,0.000085,"Feb 13, 2018",0.000089,0.000084,-,0.000089,11
102,0.000089,"Feb 12, 2018",0.000090,0.000081,-,0.000081,63
103,0.000081,"Feb 11, 2018",0.000085,0.000079,-,0.000085,10
104,0.000086,"Feb 10, 2018",0.000091,0.000082,-,0.000087,167
105,0.000087,"Feb 09, 2018",0.000087,0.000078,-,0.000080,38
106,0.000083,"Feb 08, 2018",0.000085,0.000081,-,0.000084,1
107,0.000071,"Feb 06, 2018",0.000073,0.000059,-,0.000069,408
108,0.000069,"Feb 05, 2018",0.000084,0.000067,-,0.000082,399
109,0.000083,"Feb 04, 2018",0.000094,0.000079,-,0.000092,271
110,0.000092,"Feb 03, 2018",0.000095,0.000082,-,0.000089,442
111,0.000088,"Feb 02, 2018",0.000091,0.000077,-,0.000091,"2,229"
112,0.000091,"Feb 01, 2018",0.000204,0.000086,-,0.000102,"1,716"
113,0.000101,"Jan 31, 2018",0.000204,0.000096,-,0.000200,"1,774"
114,0.000200,"Jan 30, 2018",0.000224,0.000098,-,0.000224,669
115,0.000224,"Jan 29, 2018",0.000235,0.000111,-,0.000232,"5,933"
116,0.000232,"Jan 28, 2018",0.000238,0.000114,-,0.000114,"1,050"
117,0.000114,"Jan 27, 2018",0.000230,0.000109,-,0.000111,"1,120"
118,0.000111,"Jan 26, 2018",0.000232,0.000105,-,0.000112,"1,651"
119,0.000112,"Jan 25, 2018",0.000228,0.000110,-,0.000114,"4,592"
120,0.000112,"Jan 24, 2018",0.000218,0.000105,-,0.000108,"1,196"
121,0.000108,"Jan 23, 2018",0.000114,0.000108,-,0.000112,630
122,0.000118,"Jan 22, 2018",0.000119,0.000113,-,0.000116,"2,653"
123,0.000115,"Jan 21, 2018",0.000256,0.000112,-,0.000256,"2,572"
124,0.000255,"Jan 20, 2018",0.000261,0.000117,-,0.000232,"2,810"
125,0.000230,"Jan 19, 2018",0.000231,0.000110,-,0.000113,"2,150"
126,0.000114,"Jan 18, 2018",0.000239,0.000107,-,0.000111,"2,437"
127,0.000111,"Jan 17, 2018",0.000227,0.000093,-,0.000114,"7,714"
128,0.000115,"Jan 16, 2018",0.000269,0.000102,-,0.000137,"9,912"
129,0.000136,"Jan 15, 2018",0.000286,0.000136,-,0.000274,"3,207"
130,0.000276,"Jan 14, 2018",0.000290,0.000133,-,0.000144,"1,889"
131,0.000144,"Jan 13, 2018",0.000292,0.000142,-,0.000278,"3,545"
132,0.000279,"Jan 12, 2018",0.000284,0.000132,-,0.000135,"19,353"
133,0.000134,"Jan 11, 2018",0.000295,0.000132,-,0.000150,"38,021"
134,0.000150,"Jan 10, 2018",0.000297,0.000137,-,0.000146,"19,279"
135,0.000146,"Jan 09, 2018",0.000154,0.000144,-,0.000151,"15,806"
136,0.000151,"Jan 08, 2018",0.000163,0.000142,-,0.000163,"5,409"
137,0.000163,"Jan 07, 2018",0.000172,0.000159,-,0.000172,"4,309"
138,0.000172,"Jan 06, 2018",0.000173,0.000164,-,0.000170,"1,942"
139,0.000170,"Jan 05, 2018",0.000171,0.000149,-,0.000152,"8,350"
140,0.000152,"Jan 04, 2018",0.000155,0.000144,-,0.000152,"1,381"
141,0.000151,"Jan 03, 2018",0.000155,0.000147,-,0.000148,453
142,0.000149,"Jan 02, 2018",0.000152,0.000130,-,0.000135,"1,684"
143,0.000135,"Jan 01, 2018",0.000140,0.000129,-,0.000140,135
144,0.000139,"Dec 31, 2017",0.000142,0.000126,-,0.000127,362
145,0.000129,"Dec 30, 2017",0.000145,0.000122,-,0.000145,233
146,0.000145,"Dec 29, 2017",0.000151,0.000141,-,0.000145,496
147,0.000143,"Dec 28, 2017",0.000156,0.000136,-,0.000155,"1,332"
148,0.000155,"Dec 27, 2017",0.000318,0.000147,-,0.000158,"2,243"
149,0.000158,"Dec 26, 2017",0.000321,0.000139,-,0.000139,"30,394"
150,0.000139,"Dec 25, 2017",0.000145,0.000133,-,0.000141,793
151,0.000139,"Dec 24, 2017",0.000146,0.000126,-,0.000146,34
152,0.000144,"Dec 23, 2017",0.000157,0.000136,-,0.000138,70
153,0.000137,"Dec 22, 2017",0.000159,0.000114,-,0.000157,40
154,0.000157,"Dec 21, 2017",0.000174,0.000151,-,0.000165,2
155,0.000164,"Dec 20, 2017",0.000178,0.000158,-,0.000176,115
156,0.000176,"Dec 19, 2017",0.000192,0.000171,-,0.000191,313
157,0.000191,"Dec 18, 2017",0.000193,0.000183,-,0.000191,"2,264"
158,0.000191,"Dec 17, 2017",0.000200,0.000189,-,0.000195,632
159,0.000195,"Dec 16, 2017",0.000196,0.000174,-,0.000176,123
160,0.000176,"Dec 15, 2017",0.000181,0.000166,-,0.000166,45
161,0.000166,"Dec 14, 2017",0.000171,0.000162,-,0.000164,6
162,0.000164,"Dec 13, 2017",0.000175,0.000159,-,0.000173,5
163,0.000173,"Dec 12, 2017",0.000178,0.000164,-,0.000168,"1,659"
164,0.000168,"Dec 11, 2017",0.000175,0.000152,-,0.000152,32
165,0.000154,"Dec 10, 2017",0.000158,0.000132,-,0.000150,273
166,0.000150,"Dec 09, 2017",0.000165,0.000135,-,0.000163,"1,015"
167,0.000163,"Dec 08, 2017",0.000176,0.000141,-,0.000174,"3,481"
168,0.000173,"Dec 07, 2017",0.000173,0.000136,-,0.000137,19
169,0.000138,"Dec 06, 2017",0.000138,0.000117,-,0.000117,189
170,0.000117,"Dec 05, 2017",0.000119,0.000115,-,0.000117,70
171,0.000116,"Dec 04, 2017",0.000116,0.000109,-,0.000112,15
172,0.000112,"Dec 03, 2017",0.000118,0.000106,-,0.000109,238
173,0.000109,"Dec 02, 2017",0.000112,0.000107,-,0.000109,336
174,0.000109,"Dec 01, 2017",0.000110,0.000095,-,0.000100,37
175,0.000100,"Nov 30, 2017",0.000107,0.000090,-,0.000098,181
176,0.000097,"Nov 29, 2017",0.000227,0.000091,-,0.000099,"2,986"
177,0.000099,"Nov 28, 2017",0.000100,0.000097,-,0.000098,655
178,0.000097,"Nov 27, 2017",0.000097,0.000093,-,0.000093,663
179,0.000093,"Nov 26, 2017",0.000095,0.000087,-,0.000087,279
180,0.000087,"Nov 25, 2017",0.000087,0.000082,-,0.000082,447
181,0.000082,"Nov 24, 2017",0.000083,0.000079,-,0.000080,44
182,0.000080,"Nov 23, 2017",0.000083,0.000080,-,0.000082,512
183,0.000082,"Nov 22, 2017",0.000083,0.000081,-,0.000081,"1,027"
184,0.000081,"Nov 21, 2017",0.000084,0.000078,-,0.000082,750
185,0.000082,"Nov 20, 2017",0.000165,0.000079,-,0.000161,996
186,0.000161,"Nov 19, 2017",0.000161,0.000077,-,0.000078,"1,895"
187,0.000078,"Nov 18, 2017",0.000079,0.000075,-,0.000077,241
188,0.000077,"Nov 17, 2017",0.000160,0.000076,-,0.000078,673
189,0.000157,"Nov 16, 2017",0.000158,0.000072,-,0.000073,"4,340"
190,0.000073,"Nov 15, 2017",0.000146,0.000068,-,0.000132,"2,682"
191,0.000132,"Nov 14, 2017",0.000133,0.000064,-,0.000065,475
192,0.000065,"Nov 13, 2017",0.000135,0.000058,-,0.000059,"3,992"
193,0.000059,"Nov 12, 2017",0.000064,0.000055,-,0.000064,56
194,0.000064,"Nov 11, 2017",0.000136,0.000062,-,0.000066,"4,194"
195,0.000066,"Nov 10, 2017",0.000073,0.000065,-,0.000071,"6,987"
196,0.000071,"Nov 09, 2017",0.000075,0.000071,-,0.000075,322
197,0.000075,"Nov 08, 2017",0.000078,0.000071,-,0.000071,"1,085"
198,0.000071,"Nov 07, 2017",0.000072,0.000070,-,0.000070,632
199,0.000070,"Nov 06, 2017",0.000074,0.000069,-,0.000074,51
200,0.000074,"Nov 05, 2017",0.000076,0.000073,-,0.000074,11
201,0.000074,"Nov 04, 2017",0.000075,0.000071,-,0.000072,134
202,0.000072,"Nov 03, 2017",0.000075,0.000069,-,0.000070,1
203,0.000070,"Nov 02, 2017",0.000072,0.000068,-,0.000070,1
204,0.000061,"Oct 31, 2017",0.000062,0.000061,-,0.000061,1
205,0.000061,"Oct 30, 2017",0.000062,0.000060,-,0.000062,1
206,0.000062,"Oct 29, 2017",0.000063,0.000057,-,0.000057,322
207,0.000057,"Oct 28, 2017",0.000058,0.000057,-,0.000057,1
208,0.000058,"Oct 27, 2017",0.000060,0.000058,-,0.000059,6
209,0.000059,"Oct 26, 2017",0.000060,0.000057,-,0.000057,8
210,0.000057,"Oct 25, 2017",0.000057,0.000054,-,0.000055,1
211,0.000055,"Oct 24, 2017",0.000057,0.000055,-,0.000057,1
212,0.000058,"Oct 23, 2017",0.000061,0.000057,-,0.000060,58
213,0.000060,"Oct 22, 2017",0.000060,0.000058,-,0.000059,60
214,0.000056,"Oct 20, 2017",0.000057,0.000056,-,0.000057,25
215,0.000057,"Oct 19, 2017",0.000057,0.000056,-,0.000056,26
216,0.000057,"Oct 13, 2017",0.000059,0.000054,-,0.000054,2
217,0.000054,"Oct 12, 2017",0.000054,0.000048,-,0.000048,1
218,0.000048,"Oct 11, 2017",0.000049,0.000048,-,0.000048,5
219,0.000048,"Oct 10, 2017",0.000049,0.000048,-,0.000048,1
220,0.000048,"Oct 09, 2017",0.000049,0.000046,-,0.000046,1
221,0.000046,"Oct 08, 2017",0.000046,0.000044,-,0.000044,5
222,0.000045,"Oct 07, 2017",0.000045,0.000043,-,0.000043,4
223,0.000044,"Oct 06, 2017",0.000044,0.000043,-,0.000043,0
224,0.000043,"Oct 05, 2017",0.000044,0.000042,-,0.000042,0
225,0.000042,"Oct 04, 2017",0.000042,0.000042,-,0.000042,1
226,0.000043,"Oct 03, 2017",0.000044,0.000042,-,0.000044,2
227,0.000044,"Oct 02, 2017",0.000045,0.000044,-,0.000044,3
228,0.000044,"Oct 01, 2017",0.000044,0.000043,-,0.000043,130
229,0.000043,"Sep 30, 2017",0.000044,0.000042,-,0.000042,81
230,0.000042,"Sep 29, 2017",0.000042,0.000040,-,0.000042,4
231,0.000042,"Sep 28, 2017",0.000043,0.000041,-,0.000042,101
232,0.000042,"Sep 27, 2017",0.000042,0.000039,-,0.000039,3
233,0.000039,"Sep 26, 2017",0.000040,0.000039,-,0.000039,60
234,0.000039,"Sep 25, 2017",0.000040,0.000037,-,0.000037,0
235,0.000037,"Sep 24, 2017",0.000038,0.000036,-,0.000038,0
236,0.000038,"Sep 23, 2017",0.000038,0.000036,-,0.000036,0
237,0.000036,"Sep 22, 2017",0.000038,0.000035,-,0.000036,5
238,0.000036,"Sep 21, 2017",0.000039,0.000036,-,0.000039,41
239,0.000039,"Sep 20, 2017",0.000040,0.000038,-,0.000039,22
240,0.000039,"Sep 19, 2017",0.000041,0.000039,-,0.000041,2
241,0.000041,"Sep 18, 2017",0.000041,0.000037,-,0.000037,2
242,0.000037,"Sep 17, 2017",0.000038,0.000035,-,0.000037,4
243,0.000037,"Sep 16, 2017",0.000037,0.000037,-,0.000037,0
244,0.000038,"Sep 15, 2017",0.000038,0.000030,-,0.000032,1
245,0.000032,"Sep 14, 2017",0.000039,0.000032,-,0.000039,1
246,0.000039,"Sep 13, 2017",0.000042,0.000038,-,0.000042,5
247,0.000042,"Sep 12, 2017",0.000044,0.000041,-,0.000042,10
248,0.000042,"Sep 11, 2017",0.000044,0.000041,-,0.000043,5
249,0.000043,"Sep 10, 2017",0.000043,0.000041,-,0.000043,2
250,0.000043,"Sep 09, 2017",0.000044,0.000042,-,0.000043,0
251,0.000043,"Sep 08, 2017",0.000047,0.000041,-,0.000046,22
252,0.000046,"Sep 07, 2017",0.000047,0.000046,-,0.000047,5
253,0.000045,"Sep 06, 2017",0.000045,0.000044,-,0.000044,0
254,0.000044,"Sep 05, 2017",0.000045,0.000041,-,0.000041,0
255,0.000045,"Sep 04, 2017",0.000046,0.000045,-,0.000046,0
256,0.000046,"Sep 03, 2017",0.000047,0.000044,-,0.000046,0
257,0.000046,"Sep 02, 2017",0.000047,0.000045,-,0.000047,1
258,0.000049,"Sep 01, 2017",0.000049,0.000047,-,0.000047,0
259,0.000047,"Aug 31, 2017",0.000048,0.000046,-,0.000046,6
260,0.000046,"Aug 29, 2017",0.000046,0.000043,-,0.000044,0
261,0.000044,"Aug 28, 2017",0.000044,0.000042,-,0.000043,0
262,0.000043,"Aug 27, 2017",0.000044,0.000043,-,0.000043,1
263,0.000043,"Aug 26, 2017",0.000044,0.000043,-,0.000044,4
264,0.000044,"Aug 25, 2017",0.000044,0.000043,-,0.000043,4
265,0.000043,"Aug 24, 2017",0.000044,0.000041,-,0.000041,6
266,0.000041,"Aug 23, 2017",0.000043,0.000041,-,0.000041,46
267,0.000041,"Aug 22, 2017",0.000041,0.000036,-,0.000040,14
268,0.000040,"Aug 21, 2017",0.000041,0.000040,-,0.000041,1
269,0.000041,"Aug 20, 2017",0.000042,0.000040,-,0.000041,0
270,0.000042,"Aug 19, 2017",0.000042,0.000040,-,0.000041,14
271,0.000041,"Aug 18, 2017",0.000044,0.000040,-,0.000043,1
